"Time","J1_w - Absolute angular velocity of flange as output signal","J2_w - Absolute angular velocity of flange as output signal","J3_w - Absolute angular velocity of flange as output signal","J4_w - Absolute angular velocity of flange as output signal"
0,10,0,0,0
0,10,0,0,0
0.003,9.97143,0.0299999,2.7825e-15,2.78258e-15
0.006,9.9458,0.0599995,-2.15106e-16,-2.15014e-16
0.009,9.92295,0.0899983,1.23512e-15,1.23523e-15
0.012,9.90281,0.119996,1.249e-16,1.25014e-16
0.015,9.8853,0.149992,-1.69309e-15,-1.69294e-15
0.018,9.8703,0.179986,-3.66374e-15,-3.66358e-15
0.021,9.85769,0.209977,4.44089e-16,4.44247e-16
0.024,9.8473,0.239966,1.30451e-15,1.30467e-15
0.027,9.83898,0.269951,3.60822e-15,3.6084e-15
0.03,9.83252,0.299932,2.22045e-16,2.22234e-16
0.033,9.82771,0.329909,2.10942e-15,2.10962e-15
0.036,9.82434,0.359882,2.72005e-15,2.72025e-15
0.039,9.82216,0.389849,4.55191e-15,4.55212e-15
0.042,9.82099,0.41981,7.60503e-15,7.60523e-15
0.045,9.82049,0.449765,5.21805e-15,5.21825e-15
0.048,9.82038,0.479714,3.16414e-15,3.16434e-15
0.051,9.82041,0.509656,5.77316e-15,5.77336e-15
0.054,9.8203,0.539591,4.32987e-15,4.33007e-15
0.057,9.8198,0.569518,5.9952e-15,5.99541e-15
0.06,9.81864,0.599438,7.99361e-15,7.99381e-15
0.063,9.81657,0.629348,7.88258e-15,7.88279e-15
0.066,9.81349,0.659251,9.88098e-15,9.88118e-15
0.069,9.80905,0.689144,9.76996e-15,9.77015e-15
0.072,9.80302,0.719028,9.21485e-15,9.21502e-15
0.075,9.7952,0.748902,9.21485e-15,9.21503e-15
0.078,9.78538,0.778765,1.07692e-14,1.07693e-14
0.081,9.7734,0.808617,1.27676e-14,1.27677e-14
0.084,9.75908,0.838457,1.33227e-14,1.33228e-14
0.087,9.74229,0.868286,1.36557e-14,1.36559e-14
0.09,9.72292,0.898103,1.72085e-14,1.72086e-14
0.093,9.70087,0.927907,1.93179e-14,1.9318e-14
0.096,9.67608,0.957697,1.42109e-14,1.42109e-14
0.099,9.64849,0.987475,1.4766e-14,1.4766e-14
0.102,9.61809,1.01724,1.42109e-14,1.42109e-14
0.105,9.58489,1.04699,1.77636e-14,1.77636e-14
0.108,9.54892,1.07672,2.10942e-14,2.10943e-14
0.111,9.51023,1.10644,2.24265e-14,2.24265e-14
0.114,9.4689,1.13614,2.37588e-14,2.37587e-14
0.117,9.42504,1.16583,2.22045e-14,2.22044e-14
0.12,9.37878,1.1955,2.06501e-14,2.06501e-14
0.123,9.33025,1.22515,2.15383e-14,2.15382e-14
0.126,9.27962,1.25479,2.5091e-14,2.50909e-14
0.129,9.22709,1.28441,2.39808e-14,2.39807e-14
0.132,9.17286,1.31401,2.53131e-14,2.53129e-14
0.135,9.11714,1.34359,2.73115e-14,2.73113e-14
0.138,9.06017,1.37315,2.57572e-14,2.5757e-14
0.141,9.00219,1.4027,2.35367e-14,2.35366e-14
0.144,8.94342,1.43222,2.06501e-14,2.065e-14
0.147,8.88418,1.46172,2.08722e-14,2.0872e-14
0.15,8.82474,1.4912,2.17604e-14,2.17602e-14
0.153,8.76537,1.52066,2.10942e-14,2.10941e-14
0.156,8.70633,1.55009,2.15383e-14,2.15382e-14
0.159,8.64789,1.57951,2.26485e-14,2.26484e-14
0.162,8.5902,1.6089,2.35367e-14,2.35366e-14
0.165,8.53358,1.63828,2.24265e-14,2.24263e-14
0.168,8.47828,1.66762,2.28706e-14,2.28704e-14
0.171,8.42452,1.69695,2.37588e-14,2.37586e-14
0.174,8.37252,1.72625,2.55351e-14,2.5535e-14
0.177,8.32248,1.75553,2.86438e-14,2.86436e-14
0.18,8.27459,1.78478,3.28626e-14,3.28625e-14
0.183,8.22902,1.81401,3.33067e-14,3.33066e-14
0.186,8.18591,1.84321,3.5083e-14,3.50829e-14
0.189,8.14539,1.87239,3.64153e-14,3.64152e-14
0.192,8.10755,1.90153,3.79696e-14,3.79695e-14
0.195,8.07248,1.93066,4.08562e-14,4.08561e-14
0.198,8.04024,1.95975,3.88578e-14,3.88577e-14
0.201,8.01083,1.98882,4.01901e-14,4.019e-14
0.204,7.98428,2.01786,3.95239e-14,3.95239e-14
0.207,7.96056,2.04687,4.13003e-14,4.13003e-14
0.21,7.93963,2.07585,4.08562e-14,4.08562e-14
0.213,7.9214,2.1048,4.08562e-14,4.08562e-14
0.216,7.90579,2.13372,4.17444e-14,4.17444e-14
0.219,7.89269,2.16261,4.17444e-14,4.17444e-14
0.222,7.88194,2.19147,3.90799e-14,3.90799e-14
0.225,7.87339,2.2203,3.86358e-14,3.86358e-14
0.228,7.86687,2.2491,4.08562e-14,4.08563e-14
0.231,7.86218,2.27787,4.04121e-14,4.04122e-14
0.234,7.8591,2.3066,4.04121e-14,4.04122e-14
0.237,7.8574,2.3353,4.17444e-14,4.17445e-14
0.24,7.85693,2.36396,4.21885e-14,4.21886e-14
0.243,7.85732,2.3926,4.26326e-14,4.26327e-14
0.246,7.85832,2.42119,4.35207e-14,4.35208e-14
0.249,7.85968,2.44975,4.44089e-14,4.4409e-14
0.252,7.86111,2.47828,4.44089e-14,4.4409e-14
0.255,7.86235,2.50677,4.52971e-14,4.52972e-14
