"time","x1@INJ01","pa@DVALV01","q@INJ01","p1@PUMP01","volume@INJ01","lca@PUMP01","sacp@INJ01"
0.00000000000000E+00,1.00000000000000E-09,1.00000000000000E+01,0.00000000000000E+00,2.50000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E+01
1.00000000000000E-05,1.00000000000000E-09,9.93552444690395E+00,-9.83159529763006E-09,2.49986748637886E+00,-1.63795528813431E-15,1.27440361253072E-08,4.99999999868896E+01
2.00000000000000E-05,1.00000000000000E-09,9.93609839523478E+00,-9.83153942530350E-09,2.50005035948047E+00,-3.27655641070271E-15,2.95592945298968E-08,4.99999999868896E+01
3.00000000000000E-05,1.00000000000000E-09,9.97453044581718E+00,-9.83161624975251E-09,2.50009369468559E+00,-4.91515765815328E-15,5.17386635689404E-08,4.99999999868895E+01
4.00000000000000E-05,1.00000000000000E-09,9.96156291630864E+00,-9.83158831358924E-09,2.49998333076890E+00,-6.55375903025857E-15,8.05750315976094E-08,4.99999999868896E+01
5.00000000000000E-05,1.00000000000000E-09,9.93993704645353E+00,-9.83161624975251E-09,2.50000902423094E+00,-8.19236050665202E-15,1.17361286971075E-07,4.99999999868895E+01
6.00000000000000E-05,1.00000000000000E-09,9.95708040813894E+00,-9.83162323379333E-09,2.50007887030962E+00,-9.83096206975893E-15,1.63390318044509E-07,4.99999999868895E+01
7.00000000000000E-05,1.00000000000000E-09,9.96741186336090E+00,-9.83160926571169E-09,2.50004461141500E+00,-1.14695637038358E-14,2.19955013173083E-07,4.99999999868895E+01
8.00000000000000E-05,1.00000000000000E-09,9.95311132572478E+00,-9.83160926571169E-09,2.50002956900222E+00,-1.31081653838177E-14,2.88348260711968E-07,4.99999999868895E+01
9.00000000000000E-05,1.00000000000000E-09,9.95229175963322E+00,-9.83161624975251E-09,2.50012118010900E+00,-1.47467670897655E-14,3.69862949016336E-07,4.99999999868895E+01
1.00000000000000E-04,1.00000000000000E-09,9.96363244699041E+00,-9.83160926571169E-09,2.50015860610562E+00,-1.63853688008563E-14,4.65791966441357E-07,4.99999999868895E+01
1.10000000000000E-04,1.00000000000000E-09,9.96118678127768E+00,-9.83161624975251E-09,2.50012678548993E+00,-1.80239704958566E-14,5.77428201342203E-07,4.99999999868895E+01
1.20000000000000E-04,1.00000000000000E-09,9.95606528840953E+00,-9.83161624975251E-09,2.50020443731380E+00,-1.96625721587406E-14,7.06064542074048E-07,4.99999999868895E+01
1.30000000000000E-04,1.00000000000000E-09,9.96116525938922E+00,-9.83167910611988E-09,2.50032171924885E+00,-2.13011737719155E-14,8.52993876992060E-07,4.99999999868894E+01
1.40000000000000E-04,1.00000000000000E-09,9.96449404754178E+00,-9.83159529763006E-09,2.50034617659302E+00,-2.29397753326311E-14,1.01950858253866E-06,4.99999999868896E+01
1.50000000000000E-04,1.00000000000000E-09,9.96141569618277E+00,-9.83160228167087E-09,2.50041104608297E+00,-2.45783768220090E-14,1.20639117005322E-06,4.99999999868895E+01
1.60000000000000E-04,1.00000000000000E-09,9.96238197483454E+00,-9.83160926571169E-09,2.50055577959434E+00,-2.62169782426656E-14,1.41295752083475E-06,4.99999999868895E+01
1.70000000000000E-04,1.00000000000000E-09,9.96599667109552E+00,-9.83161624975251E-09,2.50064073220527E+00,-2.78555795943151E-14,1.63826141685216E-06,4.99999999868895E+01
1.80000000000000E-04,1.00000000000000E-09,9.96579287541731E+00,-9.83167212207906E-09,2.50069561790486E+00,-2.94941808770650E-14,1.88135664007440E-06,4.99999999868895E+01
1.90000000000000E-04,1.00000000000000E-09,9.96530536570686E+00,-9.83156037742596E-09,2.50081849814113E+00,-3.11327821067593E-14,2.14129697247039E-06,4.99999999868896E+01
2.00000000000000E-04,1.00000000000000E-09,9.96773431261036E+00,-9.83161624975251E-09,2.50093654092540E+00,-3.27713832813835E-14,2.41713619600906E-06,4.99999999868895E+01
2.10000000000000E-04,1.00000000000000E-09,9.96903878836690E+00,-9.83160228167087E-09,2.50100056902050E+00,-3.44099844217492E-14,2.70792809265932E-06,4.99999999868895E+01
2.20000000000000E-04,1.00000000000000E-09,9.96874207308059E+00,-9.83161624975251E-09,2.50109484926844E+00,-3.60485855350944E-14,3.01272644439011E-06,4.99999999868895E+01
2.30000000000000E-04,1.00000000000000E-09,9.97006849112785E+00,-9.83159529763006E-09,2.50121208430607E+00,-3.76871866397252E-14,3.33058503317035E-06,4.99999999868896E+01
2.40000000000000E-04,1.00000000000000E-09,9.97166714348735E+00,-9.83160926571169E-09,2.50128606346332E+00,-3.93257877475504E-14,3.66055764096897E-06,4.99999999868895E+01
2.50000000000000E-04,1.00000000000000E-09,9.97187153246317E+00,-9.83160926571169E-09,2.50135817730924E+00,-4.09643888730688E-14,4.00169804975491E-06,4.99999999868895E+01
2.60000000000000E-04,1.00000000000000E-09,9.97268030088118E+00,-9.83160228167087E-09,2.50145346547461E+00,-4.26029900280496E-14,4.35306004149707E-06,4.99999999868895E+01
2.70000000000000E-04,1.00000000000000E-09,9.97400963960968E+00,-9.83160926571169E-09,2.50152274672890E+00,-4.42415912216299E-14,4.71369739816439E-06,4.99999999868895E+01
2.80000000000000E-04,1.00000000000000E-09,9.97454608145096E+00,-9.83160228167087E-09,2.50157777894100E+00,-4.58801924634647E-14,5.08266609416074E-06,4.99999999868895E+01
2.90000000000000E-04,1.00000000000000E-09,9.97506496622146E+00,-9.83160926571169E-09,2.50165473689361E+00,-4.75187937587751E-14,5.45937810051239E-06,4.99999999868895E+01
3.00000000000000E-04,1.00000000000000E-09,9.97618761537849E+00,-9.83160926571169E-09,2.50172708930798E+00,-4.91573951144164E-14,5.84399191234067E-06,4.99999999868895E+01
3.10000000000000E-04,1.00000000000000E-09,9.97679223719730E+00,-9.83160926571169E-09,2.50179234474541E+00,-5.07959965323953E-14,6.23676002541468E-06,4.99999999868895E+01
3.20000000000000E-04,1.00000000000000E-09,9.97733488589549E+00,-9.83161624975251E-09,2.50187658460568E+00,-5.24345980167943E-14,6.63793493550355E-06,4.99999999868895E+01
3.30000000000000E-04,1.00000000000000E-09,9.97814588481117E+00,-9.83160926571169E-09,2.50195812816497E+00,-5.40731995729965E-14,7.04776913837643E-06,4.99999999868895E+01
3.40000000000000E-04,1.00000000000000E-09,9.97867403833146E+00,-9.83160926571169E-09,2.50204206697899E+00,-5.57118012052760E-14,7.46651512980243E-06,4.99999999868895E+01
