Time,Ball1_pos,Ball2_pos,Ball1_vel,Ball2_vel,
0,-5.59908e+303,2.68208e-310,2.68208e-310,1.29654e-311,
0.1,11.451,11.451,14.019,14.019,
0.2,12.8038,12.8038,13.038,13.038,
0.3,14.0586,14.0586,12.057,12.057,
0.4,15.2152,15.2152,11.076,11.076,
0.5,16.2738,16.2738,10.095,10.095,
0.6,17.2342,17.2342,9.114,9.114,
0.7,18.0966,18.0966,8.133,8.133,
0.8,18.8608,18.8608,7.152,7.152,
0.9,19.527,19.527,6.171,6.171,
1,20.095,20.095,5.19,5.19,
1.1,20.565,20.565,4.209,4.209,
1.2,20.9368,20.9368,3.228,3.228,
1.3,21.2106,21.2106,2.247,2.247,
1.4,21.3862,21.3862,1.266,1.266,
1.5,21.4638,21.4638,0.285,0.285,
1.6,21.4432,21.4432,-0.696,-0.696,
1.7,21.3246,21.3246,-1.677,-1.677,
1.8,21.1078,21.1078,-2.658,-2.658,
1.9,20.793,20.793,-3.639,-3.639,
2,20.38,20.38,-4.62,-4.62,
2.1,19.869,19.869,-5.601,-5.601,
2.2,19.2598,19.2598,-6.582,-6.582,
2.3,18.5526,18.5526,-7.563,-7.563,
2.4,17.7472,17.7472,-8.544,-8.544,
2.5,16.8438,16.8438,-9.525,-9.525,
2.6,15.8422,15.8422,-10.506,-10.506,
2.7,14.7426,14.7426,-11.487,-11.487,
2.8,13.5448,13.5448,-12.468,-12.468,
2.9,12.249,12.249,-13.449,-13.449,
3,10.855,10.855,-14.43,-14.43,
3.1,9.36295,9.36295,-15.411,-15.411,
3.2,7.7728,7.7728,-16.392,-16.392,
3.3,6.08455,6.08455,-17.373,-17.373,
3.4,4.2982,4.2982,-18.354,-18.354,
3.5,2.41375,2.41375,-19.335,-19.335,
3.6,0.4312,0.4312,-20.316,-20.316,
3.7,1.25134,1.17127,15.6603,14.6337,
3.8,2.76832,2.58559,14.6793,13.6527,
3.9,4.1872,3.90181,13.6983,12.6717,
4,5.50798,5.11992,12.7173,11.6907,
4.1,6.73065,6.23994,11.7363,10.7097,
4.2,7.85523,7.26186,10.7553,9.72869,
4.3,8.88171,8.18568,9.77428,8.74769,
4.4,9.81009,9.0114,8.79328,7.76669,
4.5,10.6404,9.73902,7.81228,6.78569,
4.6,11.3725,10.3685,6.83128,5.80469,
4.7,12.0066,10.9,5.85028,4.82369,
4.8,12.5426,11.3333,4.86928,3.84269,
4.9,12.9805,11.6685,3.88828,2.86169,
5,13.3203,11.9056,2.90728,1.88069,
5.1,13.5619,12.0446,1.92628,0.899685,
5.2,13.7055,12.0855,0.945276,-0.081315,
5.3,13.751,12.0284,-0.035724,-1.06231,
5.4,13.6984,11.8731,-1.01672,-2.04331,
5.5,13.5476,11.6197,-1.99772,-3.02431,
5.6,13.2988,11.2682,-2.97872,-4.00531,
5.7,12.9519,10.8186,-3.95972,-4.98631,
5.8,12.5069,10.271,-4.94072,-5.96731,
5.9,11.9638,9.62518,-5.92172,-6.94831,
6,11.3225,8.88129,-6.90272,-7.92931,
6.1,10.5832,8.03931,-7.88372,-8.91031,
6.2,9.74578,7.09923,-8.86472,-9.89131,
6.3,8.81026,6.06105,-9.84572,-10.8723,
6.4,7.77664,4.92477,-10.8267,-11.8533,
6.5,6.64492,3.69039,-11.8077,-12.8343,
6.6,5.41509,2.35791,-12.7887,-13.8153,
6.7,4.08717,0.927324,-13.7697,-14.7963,
6.8,2.66115,0.431946,-14.7507,11.1806,
6.9,1.13703,1.50096,-15.7317,10.1996,
7,0.37701,2.47187,12.8581,9.21862,
7.1,1.61377,3.34468,11.8771,8.23762,
7.2,2.75243,4.11939,10.8961,7.25662,
7.3,3.79299,4.79601,9.9151,6.27562,
7.4,4.73545,5.37452,8.9341,5.29462,
7.5,5.57981,5.85493,7.9531,4.31362,
7.6,6.32607,6.23724,6.9721,3.33262,
7.7,6.97423,6.52146,5.9911,2.35162,
7.8,7.52429,6.70757,5.0101,1.37062,
7.9,7.97625,6.79558,4.0291,0.389621,
8,8.33011,6.78549,3.0481,-0.591379,
8.1,8.58587,6.6773,2.0671,-1.57238,
8.2,8.74353,6.47102,1.0861,-2.55338,
8.3,8.80309,6.16663,0.105097,-3.53438,
8.4,8.76455,5.76414,-0.875903,-4.51538,
8.5,8.62791,5.26355,-1.8569,-5.49638,
8.6,8.39317,4.66486,-2.8379,-6.47738,
8.7,8.06033,3.96808,-3.8189,-7.45838,
8.8,7.62938,3.17319,-4.7999,-8.43938,
8.9,7.10034,2.2802,-5.7809,-9.42038,
9,6.4732,1.28911,-6.7619,-10.4014,
9.1,5.74796,0.199925,-7.7429,-11.3824,
9.2,4.92462,0.677895,-8.7239,7.8648,
9.3,4.00318,1.41532,-9.7049,6.8838,
9.4,2.98364,2.05465,-10.6859,5.9028,
9.5,1.866,2.59588,-11.6669,4.9218,
9.6,0.650263,3.03901,-12.6479,3.9408,
9.7,0.503633,3.38404,10.0379,2.9598,
9.8,1.45837,3.63097,9.05688,1.9788,
9.9,2.31501,3.7798,8.07588,0.997799,
10,3.07355,3.83053,7.09488,0.0167991,
