"Time","iAC[3]","iAC[2]","iAC[1]"
0,0,0,0
0,0,0,0
2.02e-05,0.563614,-0.567734,0.00412055
4.02e-05,0.56289,-0.572476,0.00958604
6.02e-05,0.563446,-0.5798,0.0163538
8.02e-05,0.563958,-0.587056,0.0230984
0.0001002,0.564425,-0.594245,0.0298198
0.0001202,0.564847,-0.601365,0.0365176
0.0001402,0.567161,-0.610247,0.0430859
0.0001602,0.627726,-0.676961,0.0492353
0.0001802,0.769751,-0.825134,0.0553827
0.0002002,0.989461,-1.05099,0.061528
0.0002202,1.28307,-1.35074,0.0676708
0.0002402,1.64676,-1.72057,0.073811
0.0002602,2.07673,-2.15668,0.0799482
0.0002802,2.56915,-2.65523,0.0860823
0.0003002,3.12017,-3.21239,0.092213
0.0003202,3.72596,-3.8243,0.09834
0.0003402,4.38264,-4.4871,0.104463
0.0003602,5.08636,-5.19694,0.110582
0.0003802,5.83324,-5.94994,0.116697
0.0004002,6.61941,-6.74222,0.122807
0.0004202,7.44099,-7.5699,0.128912
0.0004402,8.29409,-8.4291,0.135012
0.0004602,9.17481,-9.31592,0.141107
0.0004802,10.0793,-10.2265,0.147196
0.0005002,11.0036,-11.1569,0.15328
0.0005202,11.9439,-12.1032,0.159357
0.0005402,12.8962,-13.0616,0.165428
0.0005602,13.8568,-14.0282,0.171493
0.0005802,14.8216,-14.9991,0.177551
0.0006002,15.7868,-15.9705,0.183601
0.0006202,16.7487,-16.9383,0.189645
0.0006402,17.7032,-17.8988,0.195681
0.0006602,18.6465,-18.8482,0.201709
0.0006802,19.5748,-19.7825,0.20773
0.0007002,20.4842,-20.6979,0.213742
0.0007202,21.3709,-21.5907,0.219745
0.0007402,22.2311,-22.4569,0.22574
0.0007602,23.061,-23.2927,0.231726
0.0007802,23.8568,-24.0945,0.237703
0.0008002,24.6146,-24.8583,0.243671
0.0008202,25.3308,-25.5804,0.249629
0.0008402,26.0016,-26.2572,0.255577
0.0008602,26.6233,-26.8848,0.261515
0.0008802,27.192,-27.4595,0.267443
0.0009002,27.7043,-27.9777,0.27336
0.0009202,28.1563,-28.4356,0.279266
0.0009402,28.5445,-28.8296,0.285162
0.0009602,28.8651,-29.1562,0.291046
0.0009802,29.1147,-29.4116,0.296918
0.0010002,29.2896,-29.5923,0.302779
0.0010202,29.3862,-29.6948,0.308628
0.0010402,29.401,-29.7155,0.314465
0.0010602,29.3306,-29.6509,0.320289
