"Time","In1","Out1"
0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-03,1.000000000000000E-03,0.000000000000000E+00
2.000000000000000E-03,2.000000000000000E-03,0.000000000000000E+00
3.000000000000000E-03,3.000000000000000E-03,0.000000000000000E+00
4.000000000000000E-03,4.000000000000000E-03,0.000000000000000E+00
5.000000000000000E-03,5.000000000000000E-03,0.000000000000000E+00
6.000000000000000E-03,6.000000000000000E-03,0.000000000000000E+00
7.000000000000000E-03,7.000000000000000E-03,0.000000000000000E+00
8.000000000000000E-03,8.000000000000000E-03,0.000000000000000E+00
8.999999999999999E-03,8.999999999999999E-03,0.000000000000000E+00
1.000000000000000E-02,1.000000000000000E-02,9.000000000000001E-05
1.100000000000000E-02,1.100000000000000E-02,9.000000000000001E-05
1.200000000000000E-02,1.200000000000000E-02,9.000000000000001E-05
1.300000000000000E-02,1.300000000000000E-02,9.000000000000001E-05
1.400000000000000E-02,1.400000000000000E-02,9.000000000000001E-05
1.500000000000000E-02,1.499900000000000E-02,9.000000000000001E-05
1.600000000000000E-02,1.599900000000000E-02,9.000000000000001E-05
1.700000000000000E-02,1.699900000000000E-02,9.000000000000001E-05
1.800000000000000E-02,1.799900000000000E-02,9.000000000000001E-05
1.900000000000000E-02,1.899900000000000E-02,9.000000000000001E-05
2.000000000000000E-02,1.999900000000000E-02,2.799900000000000E-04
2.100000000000000E-02,2.099800000000000E-02,2.799900000000000E-04
2.200000000000000E-02,2.199800000000000E-02,2.799900000000000E-04
2.300000000000000E-02,2.299800000000000E-02,2.799900000000000E-04
2.400000000000000E-02,2.399800000000000E-02,2.799900000000000E-04
2.500000000000000E-02,2.499700000000000E-02,2.799900000000000E-04
2.600000000000000E-02,2.599700000000000E-02,2.799900000000000E-04
2.700000000000000E-02,2.699700000000000E-02,2.799900000000000E-04
2.800000000000000E-02,2.799600000000000E-02,2.799900000000000E-04
2.900000000000000E-02,2.899600000000000E-02,2.799900000000000E-04
3.000000000000000E-02,2.999600000000000E-02,5.699499999999999E-04
3.100000000000000E-02,3.099500000000000E-02,5.699499999999999E-04
3.200000000000000E-02,3.199500000000000E-02,5.699499999999999E-04
3.300000000000000E-02,3.299400000000000E-02,5.699499999999999E-04
3.400000000000000E-02,3.399300000000000E-02,5.699499999999999E-04
3.500000000000000E-02,3.499300000000000E-02,5.699499999999999E-04
3.600000000000000E-02,3.599200000000000E-02,5.699499999999999E-04
3.700000000000000E-02,3.699200000000000E-02,5.699499999999999E-04
3.800000000000000E-02,3.799100000000000E-02,5.699499999999999E-04
3.900000000000000E-02,3.899000000000000E-02,5.699499999999999E-04
4.000000000000000E-02,3.998900000000000E-02,9.598500000000000E-04
4.100000000000000E-02,4.098900000000000E-02,9.598500000000000E-04
4.200000000000000E-02,4.198800000000000E-02,9.598500000000000E-04
4.300000000000000E-02,4.298700000000000E-02,9.598500000000000E-04
4.400000000000000E-02,4.398600000000000E-02,9.598500000000000E-04
4.500000000000000E-02,4.498500000000000E-02,9.598500000000000E-04
4.600000000000000E-02,4.598400000000000E-02,9.598500000000000E-04
4.700000000000000E-02,4.698300000000000E-02,9.598500000000000E-04
4.800000000000000E-02,4.798200000000000E-02,9.598500000000000E-04
4.900000000000000E-02,4.898000000000000E-02,9.598500000000000E-04
5.000000000000000E-02,4.997900000000000E-02,1.449650000000000E-03
5.100000000000000E-02,5.097800000000000E-02,1.449650000000000E-03
5.200000000000000E-02,5.197700000000000E-02,1.449650000000000E-03
5.300000000000000E-02,5.297500000000000E-02,1.449650000000000E-03
5.400000000000000E-02,5.397400000000000E-02,1.449650000000000E-03
5.500000000000000E-02,5.497200000000000E-02,1.449650000000000E-03
5.600000000000000E-02,5.597100000000000E-02,1.449650000000000E-03
5.700000000000000E-02,5.696900000000000E-02,1.449650000000000E-03
5.800000000000000E-02,5.796700000000000E-02,1.449650000000000E-03
5.900000000000000E-02,5.896600000000000E-02,1.449650000000000E-03
6.000000000000000E-02,5.996400000000000E-02,2.039310000000000E-03
6.100000000000000E-02,6.096200000000000E-02,2.039310000000000E-03
6.200000000000000E-02,6.196000000000000E-02,2.039310000000000E-03
6.300000000000000E-02,6.295800000000000E-02,2.039310000000000E-03
6.400000000000000E-02,6.395600000000000E-02,2.039310000000000E-03
6.500000000000000E-02,6.495400000000000E-02,2.039310000000000E-03
6.600000000000000E-02,6.595200000000000E-02,2.039310000000000E-03
6.700000000000000E-02,6.695000000000000E-02,2.039310000000000E-03
6.800000000000000E-02,6.794799999999999E-02,2.039310000000000E-03
6.900000000000001E-02,6.894500000000001E-02,2.039310000000000E-03
7.000000000000001E-02,6.994300000000001E-02,2.728760000000000E-03
7.099999999999999E-02,7.094000000000000E-02,2.728760000000000E-03
7.199999999999999E-02,7.193800000000000E-02,2.728760000000000E-03
7.300000000000000E-02,7.293500000000000E-02,2.728760000000000E-03
7.400000000000000E-02,7.393200000000000E-02,2.728760000000000E-03
7.500000000000000E-02,7.493000000000000E-02,2.728760000000000E-03
7.600000000000000E-02,7.592699999999999E-02,2.728760000000000E-03
7.700000000000000E-02,7.692400000000001E-02,2.728760000000000E-03
7.800000000000000E-02,7.792100000000000E-02,2.728760000000000E-03
7.900000000000000E-02,7.891800000000000E-02,2.728760000000000E-03
8.000000000000000E-02,7.991500000000000E-02,3.517940000000000E-03
8.100000000000000E-02,8.091100000000000E-02,3.517940000000000E-03
8.200000000000000E-02,8.190799999999999E-02,3.517940000000000E-03
8.300000000000000E-02,8.290500000000001E-02,3.517940000000000E-03
8.400000000000001E-02,8.390100000000000E-02,3.517940000000000E-03
8.500000000000001E-02,8.489800000000000E-02,3.517940000000000E-03
8.599999999999999E-02,8.589400000000000E-02,3.517940000000000E-03
8.699999999999999E-02,8.689000000000000E-02,3.517940000000000E-03
8.799999999999999E-02,8.788600000000001E-02,3.517940000000000E-03
8.900000000000000E-02,8.888300000000000E-02,3.517940000000000E-03
9.000000000000000E-02,8.987900000000000E-02,4.406770000000000E-03
9.100000000000000E-02,9.087400000000000E-02,4.406770000000000E-03
9.200000000000000E-02,9.186999999999999E-02,4.406770000000000E-03
9.300000000000000E-02,9.286600000000000E-02,4.406770000000000E-03
9.400000000000000E-02,9.386200000000000E-02,4.406770000000000E-03
9.500000000000000E-02,9.485700000000000E-02,4.406770000000000E-03
9.600000000000000E-02,9.585299999999999E-02,4.406770000000000E-03
9.700000000000000E-02,9.684800000000000E-02,4.406770000000000E-03
9.800000000000000E-02,9.784300000000000E-02,4.406770000000000E-03
9.900000000000000E-02,9.883800000000000E-02,4.406770000000000E-03
1.000000000000000E-01,9.983300000000001E-02,5.395150000000000E-03
1.010000000000000E-01,1.008280000000000E-01,5.395150000000000E-03
1.020000000000000E-01,1.018230000000000E-01,5.395150000000000E-03
1.030000000000000E-01,1.028180000000000E-01,5.395150000000000E-03
1.040000000000000E-01,1.038130000000000E-01,5.395150000000000E-03
1.050000000000000E-01,1.048070000000000E-01,5.395150000000000E-03
1.060000000000000E-01,1.058020000000000E-01,5.395150000000000E-03
1.070000000000000E-01,1.067960000000000E-01,5.395150000000000E-03
