"time", "y_multiSwitch", "y_product", "y_sum", "y_triggeredAdd"
0, 4, 0, 1, 0
0.01, 4, 0, 1, 0
0.02, 4, 0, 1, 0
0.03, 4, 0, 1, 0
0.04, 4, 0, 1, 0
0.05, 4, 0, 1, 0
0.06, 4, 0, 1, 0
0.07, 4, 0, 1, 0
0.08, 4, 0, 1, 0
0.09, 4, 0, 1, 0
0.1, 4, 0, 1, 0
0.11, 4, 0, 1, 0
0.12, 4, 0, 1, 0
0.13, 4, 0, 1, 0
0.14, 4, 0, 1, 0
0.15000001, 4, 0, 1, 0
0.16000001, 4, 0, 1, 0
0.17000001, 4, 0, 1, 0
0.18000006, 4, 0, 1, 0
0.19000006, 4, 0, 1, 0
0.20000006, 4, 0, 1, 0
0.21000031, 4, 0, 1, 0
0.22000031, 4, 0, 1, 0
0.23000031, 4, 0, 1, 0
0.24000031, 4, 0, 1, 0
0.25000156, 4, 0, 1, 0
0.26000156, 4, 0, 1, 0
0.27000156, 4, 0, 2, 0
0.28000156, 4, 0, 2, 0
0.29000781, 4, 0, 2, 0
0.30000781, 4, 0, 2, 0
0.31000781, 4, 0, 2, 0
0.32000781, 4, 0, 2, 0
0.33000781, 4, 0, 2, 0
0.34000781, 4, 0, 2, 0
0.35000781, 4, 0, 2, 0
0.36003906, 4, 0, 2, 0
0.37003906, 4, 0, 2, 0
0.38003906, 4, 0, 2, 0
0.39003906, 4, 0, 2, 0
0.40003906, 4, 0, 2, 0
0.41003906, 4, 0, 2, 0
0.42019531, 4, 0, 2, 0
0.43019531, 4, 0, 2, 0
0.44019531, 4, 0, 2, 0
0.45019531, 4, 0, 2, 0
0.46019531, 4, 0, 2, 0
0.47019531, 4, 0, 2, 0
0.48019531, 4, 0, 2, 0
0.49097656, 4, 0, 2, 0
0.50097656, 6, 0, 2, 0
0.51097656, 6, 0, 2, 0
0.52097656, 6, 0, 2, 0
0.53097656, 6, 0, 2, 0
0.54097656, 6, 0, 2, 0
0.55097656, 6, 0, 2, 0
0.56097656, 6, 0, 2, 0
0.57097656, 6, 0, 2, 0
0.581, 6, 0, 2, 0
0.591, 6, 0, 2, 0
0.601, 6, 0, 2, 0
0.611, 6, 0, 2, 0
0.621, 6, 0, 2, 0
0.631, 6, 0, 2, 0
0.641, 6, 0, 2, 0
0.651, 6, 0, 2, 0
0.661, 6, 0, 2, 0
0.671, 6, 0, 2, 0
0.681, 6, 0, 2, 0
0.691, 6, 0, 2, 0
0.701, 6, 0, 2, 0
0.71100001, 6, 0, 2, 0
0.72100001, 6, 0, 2, 0
0.73100001, 6, 0, 2, 0
0.74100001, 6, 0, 2, 0
0.75100001, 6, 0, 2, 0
0.76100001, 6, 0, 2, 0
0.77100001, 6, 0, 2, 0
0.78100001, 6, 0, 2, 0
0.79100001, 6, 0, 2, 0
0.80100001, 6, 0, 2, 0
0.81100001, 6, 0, 2, 0
0.82100001, 6, 0, 2, 0
0.83100001, 6, 0, 2, 0
0.84100006, 6, 0, 3, 0
0.85100006, 6, 0, 3, 0
0.86100006, 6, 0, 3, 0
0.87100006, 6, 0, 3, 0
0.88100006, 6, 0, 3, 0
0.89100006, 6, 0, 3, 0
0.90100006, 6, 0, 3, 0
0.91100006, 6, 0, 3, 0
0.92100006, 6, 0, 3, 0
0.93100006, 6, 0, 3, 0
0.94100006, 6, 0, 3, 0
0.95100006, 6, 0, 3, 0
0.96100031, 6, 0, 3, 0
0.97100031, 6, 0, 3, 0
0.98100031, 6, 0, 3, 0
0.99100031, 6, 0, 3, 0
1.00100031, 4, 0, 3, 1
1.01100031, 4, 0, 3, 1
1.02100031, 4, 0, 3, 1
1.03100156, 4, 0, 3, 1
1.04100156, 4, 0, 3, 1
1.05100156, 4, 0, 3, 1
1.06100156, 4, 0, 3, 1
1.07100156, 4, 0, 3, 1
1.08100156, 4, 0, 3, 1
1.09100156, 4, 0, 3, 1
1.10100156, 4, 0, 3, 1
1.11100156, 4, 0, 3, 1
1.12100156, 4, 0, 3, 1
1.13100156, 4, 0, 3, 1
1.14100156, 4, 0, 3, 1
1.15100156, 4, 0, 3, 1
1.16100156, 4, 0, 3, 1
1.17100156, 4, 0, 3, 1
1.18100156, 4, 0, 3, 1
1.19100156, 4, 0, 3, 1
1.20100156, 4, 0, 3, 1
1.21100156, 4, 0, 3, 1
1.22100156, 4, 0, 3, 1
1.23100156, 4, 0, 3, 1
1.24100156, 4, 0, 3, 1
1.25100156, 4, 0, 3, 1
1.26100156, 4, 0, 3, 1
1.27100156, 4, 0, 3, 1
1.28100781, 4, 0, 3, 1
1.29100781, 4, 0, 3, 1
1.30100781, 4, 0, 3, 1
1.31100781, 4, 0, 3, 1
1.32100781, 4, 0, 3, 1
1.33100781, 4, 0, 3, 1
1.34100781, 4, 0, 3, 1
1.35100781, 4, 0, 3, 1
1.36100781, 4, 0, 3, 1
1.37100781, 4, 0, 3, 1
1.38100781, 4, 0, 3, 1
1.39100781, 4, 0, 3, 1
1.40100781, 4, 0, 3, 1
1.41100781, 4, 0, 3, 1
1.42100781, 4, 0, 3, 1
1.43100781, 4, 0, 3, 1
1.44100781, 4, 0, 3, 1
1.45100781, 4, 0, 3, 1
1.46100781, 4, 0, 3, 1
1.47100781, 4, 0, 3, 1
1.48100781, 4, 0, 3, 1
1.49100781, 4, 0, 3, 1
1.50100781, 6, 0, 3, 1
1.51100781, 6, 0, 3, 1
1.52100781, 6, 0, 3, 1
1.53100781, 6, 0, 3, 1
1.54103906, 6, 0, 3, 1
1.55103906, 6, 0, 3, 1
1.56103906, 6, 0, 3, 1
1.57103906, 6, 0, 4, 1
1.58103906, 6, 0, 4, 1
1.59103906, 6, 0, 4, 1
1.60103906, 2, 0, 4, 1
1.61103906, 2, 0, 4, 1
1.62103906, 2, 0, 4, 1
1.63103906, 2, 0, 4, 1
1.64103906, 2, 0, 4, 1
