"time","x1@INJ01","pa@DVALV01","q@INJ01","p1@PUMP01","volume@INJ01","lca@PUMP01","sacp@INJ01"
0.00000000000000E+00,1.00000000000000E-09,1.00000000000000E+01,0.00000000000000E+00,2.50000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E+01
1.00000000000000E-05,1.00000000000000E-09,9.93545643116450E+00,-9.83160926571169E-09,2.49986701499217E+00,-1.63795530337850E-15,1.27440361253072E-08,4.99999999868895E+01
2.00000000000000E-05,1.00000000000000E-09,9.93599323744604E+00,-9.83161624975251E-09,2.50005066699900E+00,-3.27655642447348E-15,2.95592945298969E-08,4.99999999868895E+01
3.00000000000000E-05,1.00000000000000E-09,9.97468396561151E+00,-9.83160926571169E-09,2.50009487205466E+00,-4.91515767677000E-15,5.17386635689403E-08,4.99999999868895E+01
4.00000000000000E-05,1.00000000000000E-09,9.96138777869124E+00,-9.83160926571169E-09,2.49998834870805E+00,-6.55375904796847E-15,8.05750315976092E-08,4.99999999868895E+01
5.00000000000000E-05,1.00000000000000E-09,9.93979759848513E+00,-9.83161624975251E-09,2.50000927776177E+00,-8.19236052587473E-15,1.17361286971075E-07,4.99999999868895E+01
6.00000000000000E-05,1.00000000000000E-09,9.95793699945855E+00,-9.83160926571169E-09,2.50010980097417E+00,-9.83096209140353E-15,1.63390318044509E-07,4.99999999868895E+01
7.00000000000000E-05,1.00000000000000E-09,9.96732292538517E+00,-9.83160926571169E-09,2.50004376603425E+00,-1.14695637246632E-14,2.19955013173082E-07,4.99999999868895E+01
8.00000000000000E-05,1.00000000000000E-09,9.95271972734118E+00,-9.83160228167087E-09,2.50003239653422E+00,-1.31081654056696E-14,2.88348260711966E-07,4.99999999868895E+01
9.00000000000000E-05,1.00000000000000E-09,9.95247278624861E+00,-9.83160228167087E-09,2.50011704145262E+00,-1.47467671109943E-14,3.69862949016334E-07,4.99999999868895E+01
1.00000000000000E-04,1.00000000000000E-09,9.96338387223328E+00,-9.83159529763006E-09,2.50015765580466E+00,-1.63853688229634E-14,4.65791966441355E-07,4.99999999868896E+01
1.10000000000000E-04,1.00000000000000E-09,9.96097663316955E+00,-9.83160926571169E-09,2.50012669146661E+00,-1.80239705182246E-14,5.77428201342203E-07,4.99999999868895E+01
1.20000000000000E-04,1.00000000000000E-09,9.95610563113666E+00,-9.83160926571169E-09,2.50020618978711E+00,-1.96625721816146E-14,7.06064542074046E-07,4.99999999868895E+01
1.30000000000000E-04,1.00000000000000E-09,9.96128625535106E+00,-9.83165116995661E-09,2.50032109006393E+00,-2.13011737963638E-14,8.52993876992059E-07,4.99999999868895E+01
1.40000000000000E-04,1.00000000000000E-09,9.96439325774121E+00,-9.83160926571169E-09,2.50034579088484E+00,-2.29397753555981E-14,1.01950858253866E-06,4.99999999868895E+01
1.50000000000000E-04,1.00000000000000E-09,9.96143631166372E+00,-9.83160926571169E-09,2.50041241373291E+00,-2.45783768465790E-14,1.20639117005322E-06,4.99999999868895E+01
1.60000000000000E-04,1.00000000000000E-09,9.96245222030068E+00,-9.83161624975251E-09,2.50055529423513E+00,-2.62169782677152E-14,1.41295752083474E-06,4.99999999868895E+01
1.70000000000000E-04,1.00000000000000E-09,9.96594792205346E+00,-9.83160926571169E-09,2.50063981782640E+00,-2.78555796184091E-14,1.63826141685216E-06,4.99999999868895E+01
1.80000000000000E-04,1.00000000000000E-09,9.96576184833639E+00,-9.83156736146678E-09,2.50069653377201E+00,-2.94941809046627E-14,1.88135664007440E-06,4.99999999868896E+01
1.90000000000000E-04,1.00000000000000E-09,9.96535029460695E+00,-9.83156736146678E-09,2.50081885931438E+00,-3.11327821314920E-14,2.14129697247039E-06,4.99999999868896E+01
2.00000000000000E-04,1.00000000000000E-09,9.96773531192611E+00,-9.83160926571169E-09,2.50093567245981E+00,-3.27713833055205E-14,2.41713619600904E-06,4.99999999868895E+01
2.10000000000000E-04,1.00000000000000E-09,9.96902149269627E+00,-9.83160926571169E-09,2.50100094976443E+00,-3.44099844448622E-14,2.70792809265931E-06,4.99999999868895E+01
2.20000000000000E-04,1.00000000000000E-09,9.96877169009018E+00,-9.83160926571169E-09,2.50109475150284E+00,-3.60485855593432E-14,3.01272644439010E-06,4.99999999868895E+01
2.30000000000000E-04,1.00000000000000E-09,9.97005273766436E+00,-9.83160926571169E-09,2.50121148770099E+00,-3.76871866640686E-14,3.33058503317034E-06,4.99999999868895E+01
2.40000000000000E-04,1.00000000000000E-09,9.97165057797748E+00,-9.83161624975251E-09,2.50128648543944E+00,-3.93257877719571E-14,3.66055764096896E-06,4.99999999868895E+01
2.50000000000000E-04,1.00000000000000E-09,9.97192235879355E+00,-9.83160926571169E-09,2.50135642983591E+00,-4.09643888972985E-14,4.00169804975489E-06,4.99999999868895E+01
2.60000000000000E-04,1.00000000000000E-09,9.97256828089520E+00,-9.83160926571169E-09,2.50145292986632E+00,-4.26029900518540E-14,4.35306004149706E-06,4.99999999868895E+01
2.70000000000000E-04,1.00000000000000E-09,9.97400400295733E+00,-9.83160926571169E-09,2.50152609321600E+00,-4.42415912459473E-14,4.71369739816438E-06,4.99999999868895E+01
2.80000000000000E-04,1.00000000000000E-09,9.97460891465499E+00,-9.83160926571169E-09,2.50157734952552E+00,-4.58801924879669E-14,5.08266609416073E-06,4.99999999868895E+01
