"time", "Q", "QI", "y", "y1", "y2", "y3", "y4"
0, 0, 1, 0, 0, 1, 0, 0
0.01, 1, 0, 0, 0, 1, 0, 0
0.06, 1, 0, 0, 0, 1, 0, 0
0.200000001200001, 1, 0, 0, 0, 1, 0, 0
0.210000001200001, 1, 0, 0, 0, 1, 0, 0
0.260000001200001, 1, 0, 0, 0, 1, 0, 0
0.3, 1, 0, 0, 0, 1, 0, 0
0.31, 0, 1, 0, 0, 1, 0, 0
0.36, 0, 1, 0, 0, 1, 0, 0
0.5, 0, 1, 0, 0, 1, 0, 0
0.51, 1, 0, 0, 0, 1, 0, 0
0.56, 1, 0, 0, 0, 1, 0, 0
0.8, 1, 0, 0, 0, 1, 0, 0
0.8100000018, 0, 1, 0, 2, 0, 1, 0
0.8600000018, 0, 1, 0, 2, 0, 1, 0
1, 0, 1, 0, 2, 0, 1, 0
1.01, 1, 0, 0, 4, 1, 0, 0
1.06, 1, 0, 0, 4, 1, 0, 0
1.2000000022, 1, 0, 0, 4, 1, 0, 0
1.2100000022, 1, 0, 0, 4, 1, 0, 0
1.2600000022, 1, 0, 0, 4, 1, 0, 0
1.3, 1, 0, 0, 4, 1, 0, 0
1.31, 0, 1, 0, 4, 1, 0, 0
1.36, 0, 1, 0, 4, 1, 0, 0
1.5, 0, 1, 0, 4, 1, 0, 0
1.51, 1, 0, 0, 4, 1, 0, 0
1.56, 1, 0, 0, 4, 1, 0, 0
1.8, 1, 0, 0, 4, 1, 0, 0
1.8100000028, 0, 1, 0, 6, 0, 1, 0
1.8600000028, 0, 1, 0, 6, 0, 1, 0
2, 0, 1, 0, 6, 0, 1, 0
2.010000003, 1, 0, 1, 8, 1, 0, 0
2.060000003, 1, 0, 1, 8, 1, 0, 0
2.2000000032, 1, 0, 1, 8, 1, 0, 0
2.2100000032, 1, 0, 0, 8, 1, 0, 0
2.2600000032, 1, 0, 0, 8, 1, 0, 0
2.3, 1, 0, 0, 8, 1, 0, 0
2.31, 0, 1, 0, 8, 1, 0, 0
2.36, 0, 1, 0, 8, 1, 0, 0
2.5, 0, 1, 0, 8, 1, 0, 0
2.51, 1, 0, 0, 8, 1, 0, 0
2.56, 1, 0, 0, 8, 1, 0, 0
2.8, 1, 0, 0, 8, 1, 0, 0
2.8100000038, 0, 1, 0, 10, 0, 1, 0
2.8600000038, 0, 1, 0, 10, 0, 1, 0
2.999999999, 0, 1, 0, 10, 0, 1, 0
3.01, 1, 0, 1, 12, 1, 0, 1
3.06, 1, 0, 1, 12, 1, 0, 1
3.2000000042, 1, 0, 1, 12, 1, 0, 1
3.2100000042, 1, 0, 0, 12, 1, 0, 1
3.2600000042, 1, 0, 0, 12, 1, 0, 1
3.3, 1, 0, 0, 12, 1, 0, 1
3.31, 0, 1, 0, 12, 1, 0, 1
3.36, 0, 1, 0, 12, 1, 0, 1
3.5, 0, 1, 0, 12, 1, 0, 1
3.51, 1, 0, 0, 12, 1, 0, 1
3.56, 1, 0, 0, 12, 1, 0, 1
3.8, 1, 0, 0, 12, 1, 0, 1
3.8100000048, 0, 1, 0, 14, 0, 1, 1
3.8600000048, 0, 1, 0, 14, 0, 1, 1
4, 0, 1, 0, 14, 0, 1, 1
4.010000005, 1, 0, 1, 16, 1, 0, 0
4.060000005, 1, 0, 1, 16, 1, 0, 0
4.20000000520001, 1, 0, 1, 16, 1, 0, 0
4.21000000520001, 1, 0, 0, 16, 1, 0, 0
4.26000000520001, 1, 0, 0, 16, 1, 0, 0
4.30000000000001, 1, 0, 0, 16, 1, 0, 0
4.31, 0, 1, 0, 16, 1, 0, 0
4.36, 0, 1, 0, 16, 1, 0, 0
4.5, 0, 1, 0, 16, 1, 0, 0
4.51, 1, 0, 0, 16, 1, 0, 0
4.56, 1, 0, 0, 16, 1, 0, 0
4.8, 1, 0, 0, 16, 1, 0, 0
4.81000000580001, 0, 1, 0, 18, 0, 1, 0
4.86000000580001, 0, 1, 0, 18, 0, 1, 0
5, 0, 1, 0, 18, 0, 1, 0
5.01, 1, 0, 1, 20, 1, 0, 0
5.06, 1, 0, 1, 20, 1, 0, 0
5.20000000620001, 1, 0, 1, 20, 1, 0, 0
5.21000000620001, 1, 0, 0, 20, 1, 0, 0
5.26000000620001, 1, 0, 0, 20, 1, 0, 0
5.30000000000001, 1, 0, 0, 20, 1, 0, 0
5.31, 0, 1, 0, 20, 1, 0, 0
5.36, 0, 1, 0, 20, 1, 0, 0
5.5, 0, 1, 0, 20, 1, 0, 0
5.51, 1, 0, 0, 20, 1, 0, 0
5.56, 1, 0, 0, 20, 1, 0, 0
5.8, 1, 0, 0, 20, 1, 0, 0
5.81000000680001, 0, 1, 0, 22, 0, 1, 0
5.86000000680001, 0, 1, 0, 22, 0, 1, 0
6, 0, 1, 0, 22, 0, 1, 0
6.01000000700001, 1, 0, 1, 24, 1, 0, 0
6.06000000700001, 1, 0, 1, 24, 1, 0, 0
6.20000000720001, 1, 0, 1, 24, 1, 0, 0
6.21000000720001, 1, 0, 0, 24, 1, 0, 0
6.26000000720001, 1, 0, 0, 24, 1, 0, 0
6.30000000000001, 1, 0, 0, 24, 1, 0, 0
6.31, 0, 1, 0, 24, 1, 0, 0
6.36, 0, 1, 0, 24, 1, 0, 0
6.5, 0, 1, 0, 24, 1, 0, 0
6.5100000075, 1, 0, 0, 24, 1, 0, 0
6.5600000075, 1, 0, 0, 24, 1, 0, 0
6.8, 1, 0, 0, 24, 1, 0, 0
6.8100000078, 0, 1, 0, 26, 0, 1, 0
6.8600000078, 0, 1, 0, 26, 0, 1, 0
7, 0, 1, 0, 26, 0, 1, 0
7.010000008, 1, 0, 1, 28, 1, 0, 0
7.060000008, 1, 0, 1, 28, 1, 0, 0
7.2000000082, 1, 0, 1, 28, 1, 0, 0
7.2100000082, 1, 0, 0, 28, 1, 0, 0
7.2600000082, 1, 0, 0, 28, 1, 0, 0
7.30000000000001, 1, 0, 0, 28, 1, 0, 0
7.31, 0, 1, 0, 28, 1, 0, 0
7.36, 0, 1, 0, 28, 1, 0, 0
7.5, 0, 1, 0, 28, 1, 0, 0
7.51, 1, 0, 0, 28, 1, 0, 0
7.56, 1, 0, 0, 28, 1, 0, 0
7.8, 1, 0, 0, 28, 1, 0, 0
7.8100000088, 0, 1, 0, 30, 0, 1, 0
7.8600000088, 0, 1, 0, 30, 0, 1, 0
7.99999999900001, 0, 1, 0, 30, 0, 1, 0
8.01, 1, 0, 1, 32, 1, 0, 1
8.06, 1, 0, 1, 32, 1, 0, 1
8.20000000920001, 1, 0, 1, 32, 1, 0, 1
8.21000000920001, 1, 0, 0, 32, 1, 0, 1
8.26000000920001, 1, 0, 0, 32, 1, 0, 1
8.30000000000001, 1, 0, 0, 32, 1, 0, 1
8.31000000000001, 0, 1, 0, 32, 1, 0, 1
8.36000000000001, 0, 1, 0, 32, 1, 0, 1
8.5, 0, 1, 0, 32, 1, 0, 1
8.51, 1, 0, 0, 32, 1, 0, 1
8.56, 1, 0, 0, 32, 1, 0, 1
8.8, 1, 0, 0, 32, 1, 0, 1
8.8100000098, 0, 1, 0, 34, 0, 1, 1
