"time","J1_w","J3_w"
0,10,0
0.003,9.970942032,0
0.006,9.944701076,0
0.009,9.921244196,0
0.012,9.90051375,0
0.015,9.882427906,0
0.018,9.86688137,0
0.021,9.85374633,0
0.024,9.842873588,0
0.027,9.834093891,0
0.03,9.827219438,0
0.033,9.822045548,0
0.036,9.818352483,0
0.039,9.815907402,0
0.042,9.814466428,0
0.045,9.813776821,0
0.048,9.813579224,0
0.051,9.813609967,0
0.054,9.813603412,0
0.057,9.813294315,0
0.06,9.812420184,0
0.063,9.810723614,0
0.066,9.807954572,0
0.069,9.803872623,0
0.072,9.798249067,0
0.075,9.790868973,0
0.078,9.78153309,0
0.081,9.77005962,0
0.084,9.756285834,0
0.087,9.740069524,0
0.09,9.721290262,0
0.093,9.69985048,0
0.096,9.675676335,0
0.099,9.648718372,0
0.102,9.618951961,0
0.105,9.586377528,0
0.108,9.551020544,0
0.111,9.512931313,0
0.114,9.472184524,0
0.117,9.42887859,0
0.12,9.383134784,0
0.123,9.335096162,0
0.126,9.284926298,0
0.129,9.232807835,0
0.132,9.178940871,0
0.135,9.123541181,0
0.138,9.066838311,0
0.141,9.009073542,0
0.144,8.95049775,0
0.147,8.891369187,0
0.15,8.831951189,0
0.153,8.772509845,0
0.156,8.713311636,0
0.159,8.654621077,0
0.162,8.59669837,0
0.165,8.539797098,0
0.168,8.48416198,0
0.171,8.430026701,0
0.174,8.377611843,0
0.177,8.327122928,0
0.18,8.278748601,0
0.183,8.232658956,0
0.186,8.189004032,0
0.189,8.147912485,0
0.192,8.109490447,0
0.195,8.073820593,0
0.198,8.040961403,0
0.201,8.010946656,0
0.204,7.983785124,0
0.207,7.959460508,0
0.21,7.937931577,0
0.213,7.919132543,0
0.216,7.902973647,0
0.219,7.889341961,0
0.222,7.878102391,0
0.225,7.869098883,0
0.228,7.862155808,0
0.231,7.857079528,0
0.234,7.853660118,0
0.237,7.851673231,0
0.24,7.850882093,0
0.243,7.85103961,0
0.246,7.851890565,0
0.249,7.853173885,0
0.252,7.854624962,0
0.255,7.855978008,0
0.258,7.856968415,0
0.261,7.857335108,0
0.264,7.856822866,0
0.267,7.855184591,0
0.27,7.852183505,0
0.273,7.847595255,0
0.276,7.841209909,0
0.279,7.83283382,0
0.282,7.822291351,0
0.285,7.809426438,0
0.288,7.794103977,0
0.291,7.776211026,0
0.294,7.755657814,0
0.297,7.73237854,0
0.3,7.706331959,0
0.303,7.677501752,0
0.306,7.645896679,0
0.309,7.611550498,0
0.312,7.574521672,0
0.315,7.534892855,0
0.318,7.492770159,0
0.321,7.448282218,0
0.324,7.401579047,0
0.327,7.352830719,0
0.33,7.302225852,0
0.333,7.249969943,0
0.336,7.196283547,0
0.339,7.141400321,0
0.342,7.085564956,0
0.345,7.029031006,0
0.348,6.972058641,0
0.351,6.914912345,0
0.354,6.857858566,0
0.357,6.80116336,0
0.36,6.745090028,0
0.363,6.689896786,0
0.366,6.635834475,0
0.369,6.583144337,0
0.372,6.532055879,0
0.375,6.482784839,0
0.378,6.435531272,0
0.381,6.390477781,0
0.384,6.347787897,0
0.387,6.307604633,0
0.39,6.270049216,0
0.393,6.235220016,0
0.396,6.203191675,0
0.399,6.174014448,0
0.402,6.147713761,0.02
0.405,6.124289987,0.05
0.408,6.103718449,0.08
0.411,6.085949639,0.11
