"time","FMU_Interface_OUT1_Current","FMU_Interface_OUT3_Power"
0,0,0
0.2,-115.335,-2.25793
0.4,-115.324,-2.25777
0.6,-115.314,-2.25761
0.8,-115.303,-2.25745
1,-115.293,-2.25729
1.2,-115.282,-2.25713
1.4,-115.272,-2.25697
1.6,-115.261,-2.25681
1.8,-115.251,-2.25665
2,-115.24,-2.25649
2.2,-115.23,-2.25633
2.4,-115.219,-2.25617
2.6,-115.209,-2.25601
2.8,-115.198,-2.25585
3,-115.188,-2.25569
3.2,-115.177,-2.25553
3.4,-115.167,-2.25537
3.6,-115.156,-2.25521
3.8,-115.145,-2.25505
4,-115.135,-2.25489
4.2,-115.124,-2.25473
4.4,-115.114,-2.25457
4.6,-115.103,-2.25441
4.8,-115.093,-2.25425
5,-115.082,-2.25409
5.2,-115.072,-2.25393
5.4,-115.061,-2.25377
5.6,-115.051,-2.25361
5.8,-115.04,-2.25345
6,-115.03,-2.25329
6.2,-115.019,-2.25313
6.4,-115.009,-2.25297
6.6,-114.998,-2.25281
6.8,-114.988,-2.25265
7,-114.977,-2.25249
7.2,-114.967,-2.25233
7.4,-114.956,-2.25217
7.6,-114.946,-2.25201
7.8,-114.935,-2.25185
8,-114.925,-2.25169
8.2,-114.914,-2.25153
8.4,-114.904,-2.25137
8.6,-114.893,-2.25121
8.8,-114.883,-2.25105
9,-114.872,-2.25089
9.2,-114.862,-2.25073
9.4,-114.851,-2.25057
9.6,-114.841,-2.25041
9.8,-114.83,-2.25025
10,-114.82,-2.25009
10.2,-114.809,-2.24993
10.4,-114.799,-2.24977
10.6,-114.788,-2.24961
10.8,-114.778,-2.24945
11,-114.767,-2.24929
11.2,-114.757,-2.24913
11.4,-114.746,-2.24897
11.6,-114.736,-2.24881
11.8,-114.725,-2.24865
12,-114.715,-2.24849
12.2,-114.704,-2.24833
12.4,-114.694,-2.24817
12.6,-114.683,-2.24801
12.8,-114.673,-2.24785
13,-114.663,-2.24769
13.2,-114.652,-2.24753
13.4,-114.642,-2.24737
13.6,-114.631,-2.24721
13.8,-114.621,-2.24705
14,-114.61,-2.24689
14.2,-114.6,-2.24673
14.4,-114.589,-2.24657
14.6,-114.579,-2.24641
14.8,-114.568,-2.24625
15,-114.558,-2.24609
15.2,-114.547,-2.24593
15.4,-114.537,-2.24577
15.6,-114.526,-2.24561
15.8,-114.516,-2.24545
16,-114.505,-2.24529
16.2,-114.495,-2.24513
16.4,-114.484,-2.24497
16.6,-114.474,-2.24481
16.8,-114.463,-2.24465
17,-114.453,-2.24449
17.2,-114.442,-2.24433
17.4,-114.432,-2.24417
17.6,-114.421,-2.24401
17.8,-114.411,-2.24385
18,-114.4,-2.24369
18.2,-114.39,-2.24353
18.4,-114.379,-2.24337
18.6,-114.369,-2.24321
18.8,-114.358,-2.24305
19,-114.348,-2.24289
19.2,-114.338,-2.24273
19.4,-114.327,-2.24257
19.6,-114.317,-2.2424
19.8,-114.306,-2.24224
20,-114.296,-2.24208
20.2,-114.285,-2.24192
20.4,-114.275,-2.24176
20.6,-114.264,-2.2416
20.8,-114.254,-2.24144
21,-114.243,-2.24128
21.2,-114.233,-2.24112
21.4,-114.222,-2.24096
21.6,-114.212,-2.2408
21.8,-114.201,-2.24064
22,-114.191,-2.24048
22.2,-114.18,-2.24032
22.4,-114.17,-2.24016
22.6,-114.16,-2.24
22.8,-114.149,-2.23984
23,-114.139,-2.23968
23.2,-114.128,-2.23952
23.4,-114.118,-2.23936
23.6,-114.107,-2.2392
23.8,-114.097,-2.23904
24,-114.086,-2.23888
24.2,-114.076,-2.23872
24.4,-114.065,-2.23856
24.6,-114.055,-2.2384
24.8,-114.044,-2.23824
25,-114.034,-2.23808
25.2,-114.023,-2.23792
25.4,-114.013,-2.23776
25.6,-114.003,-2.2376
25.8,-113.992,-2.23744
26,-113.982,-2.23728
26.2,-113.971,-2.23712
26.4,-113.961,-2.23696
26.6,-113.95,-2.2368
26.8,-113.94,-2.23664
27,-113.929,-2.23648
