"time","FMU_Interface_OUT0_Primary Ang"
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,0
0.052,0
0.053,0
0.054,0
0.055,0
0.056,0
0.057,0
0.058,0
0.059,0
0.06,0
0.061,0
0.062,0
0.063,0
0.064,0
0.065,0
0.066,0
0.067,0
0.068,0
0.069,0
0.07,0
0.071,0
0.072,0
0.073,0
0.074,0
0.075,0
0.076,0
0.077,0
0.078,0
0.079,0
0.08,0
0.081,0
0.082,0
0.083,0
0.084,0
0.085,0
0.086,0
0.087,0
0.088,0
0.089,0
0.09,0
0.091,0
0.092,0
0.093,0
0.094,0
0.095,0
0.096,0
0.097,0
0.098,0
0.099,0
0.1,0
0.101,0.00704293
0.102,0.0287496
0.103,0.0651229
0.104,0.116163
0.105,0.18187
0.106,0.262243
0.107,0.357283
0.108,0.46699
0.109,0.591363
0.11,0.730403
0.111,0.88411
0.112,1.05248
0.113,1.23552
0.114,1.43323
0.115,1.6456
0.116,1.87264
0.117,2.11435
0.118,2.37072
0.119,2.64176
0.12,2.92747
0.121,3.22784
0.122,3.54288
0.123,3.87259
0.124,4.21696
0.125,4.576
0.126,4.94971
0.127,5.33808
0.128,5.74112
0.129,6.15883
0.13,6.5912
0.131,7.03824
0.132,7.49995
0.133,7.97632
0.134,8.46736
0.135,8.97307
0.136,9.49344
0.137,10.0285
0.138,10.5782
0.139,11.1426
0.14,11.7216
0.141,12.3153
0.142,12.9237
0.143,13.5467
0.144,14.1844
0.145,14.8368
0.146,15.5038
0.147,16.1855
0.148,16.8819
0.149,17.593
0.15,18.3187
0.151,19.059
0.152,19.8141
0.153,20.5838
0.154,21.3682
0.155,22.1672
0.156,22.9809
0.157,23.8093
0.158,24.6523
0.159,25.51
0.16,26.3824
0.161,27.2694
0.162,28.1712
0.163,29.0875
0.164,30.0186
0.165,30.9643
0.166,31.9246
0.167,32.8997
0.168,33.8894
0.169,34.8938
0.17,35.9128
0.171,36.9465
0.172,37.9949
0.173,39.0579
0.174,40.1356
0.175,41.228
0.176,42.335
0.177,43.4567
0.178,44.5931
0.179,45.7442
0.18,46.9099
0.181,48.0902
0.182,49.2853
0.183,50.495
0.184,51.7194
0.185,52.9584
0.186,54.2121
0.187,55.4805
0.188,56.7635
0.189,58.0612
0.19,59.3736
0.191,60.7006
0.192,62.0424
0.193,63.3987
0.194,64.7698
0.195,66.1555
0.196,67.5558
0.197,68.9709
0.198,70.4006
0.199,71.845
0.2,73.304
0.201,74.7777
0.202,76.2661
0.203,77.7691
0.204,79.2868
0.205,80.8192
0.206,82.3662
0.207,83.9279
0.208,85.5043
0.209,87.0954
0.21,88.7011
0.211,90.3214
0.212,91.9565
0.213,93.6062
0.214,95.2706
0.215,96.9496
0.216,98.6433
0.217,100.352
0.218,102.075
0.219,103.812
0.22,105.565
0.221,107.332
0.222,109.114
0.223,110.91
0.224,112.721
0.225,114.547
0.226,116.387
0.227,118.242
0.228,120.112
0.229,121.996
0.23,123.895
0.231,125.809
0.232,127.737
0.233,129.68
0.234,131.638
0.235,133.61
0.236,135.597
0.237,137.599
0.238,139.616
0.239,141.647
0.24,143.692
0.241,145.753
0.242,147.828
0.243,149.917
0.244,152.022
0.245,154.141
0.246,156.275
0.247,158.423
0.248,160.586
0.249,162.764
0.25,164.956
0.251,167.163
0.252,169.385
0.253,171.621
0.254,173.872
0.255,176.138
0.256,178.418
0.257,180.713
0.258,183.023
0.259,185.347
0.26,187.686
0.261,190.04
0.262,192.408
0.263,194.792
0.264,197.189
0.265,199.602
0.266,202.029
0.267,204.47
0.268,206.927
0.269,209.398
0.27,211.883
0.271,214.384
0.272,216.899
0.273,219.429
0.274,221.973
0.275,224.532
0.276,227.106
0.277,229.694
0.278,232.297
0.279,234.915
0.28,237.547
0.281,240.194
0.282,242.856
0.283,245.532
0.284,248.223
0.285,250.929
0.286,253.649
0.287,256.384
0.288,259.134
0.289,261.899
0.29,264.678
0.291,267.471
0.292,270.28
0.293,273.103
0.294,275.94
0.295,278.793
0.296,281.66
0.297,284.542
0.298,287.438
0.299,290.349
0.3,293.275
0.301,296.215
0.302,299.17
0.303,302.14
0.304,305.124
0.305,308.123
0.306,311.137
0.307,314.165
0.308,317.208
0.309,320.266
0.31,323.338
0.311,326.425
0.312,329.527
0.313,332.644
0.314,335.775
0.315,338.92
0.316,342.081
0.317,345.256
0.318,348.445
0.319,351.65
0.32,354.869
0.321,358.103
0.322,361.351
0.323,364.614
0.324,367.892
0.325,371.184
0.326,374.491
0.327,377.813
0.328,381.149
0.329,384.5
0.33,387.866
0.331,391.246
0.332,394.641
0.333,398.051
0.334,401.475
0.335,404.914
0.336,408.368
0.337,411.836
0.338,415.32
0.339,418.817
0.34,422.33
0.341,425.857
0.342,429.398
0.343,432.955
0.344,436.526
0.345,440.111
0.346,443.712
0.347,447.327
0.348,450.957
0.349,454.601
0.35,458.26
0.351,461.934
0.352,465.622
0.353,469.325
0.354,473.043
0.355,476.775
0.356,480.522
0.357,484.284
0.358,488.06
0.359,491.851
0.36,495.657
0.361,499.477
0.362,503.312
0.363,507.162
0.364,511.027
0.365,514.906
0.366,518.799
0.367,522.708
0.368,526.631
0.369,530.568
0.37,534.521
0.371,538.488
0.372,542.47
0.373,546.466
0.374,550.477
0.375,554.503
0.376,558.543
0.377,562.598
0.378,566.668
0.379,570.752
0.38,574.851
0.381,578.965
0.382,583.093
0.383,587.236
0.384,591.394
0.385,595.566
0.386,599.753
0.387,603.955
0.388,608.172
0.389,612.403
0.39,616.648
0.391,620.909
0.392,625.184
0.393,629.473
0.394,633.778
0.395,638.097
0.396,642.43
0.397,646.779
0.398,651.142
0.399,655.52
0.4,659.912
0.401,664.319
0.402,668.741
0.403,673.177
0.404,677.628
0.405,682.094
0.406,686.574
0.407,691.069
0.408,695.579
0.409,700.103
0.41,704.642
0.411,709.196
0.412,713.764
0.413,718.348
0.414,722.945
0.415,727.558
0.416,732.185
0.417,736.826
0.418,741.483
0.419,746.154
0.42,750.839
0.421,755.54
0.422,760.255
0.423,764.985
0.424,769.729
0.425,774.488
0.426,779.262
0.427,784.05
0.428,788.853
0.429,793.671
0.43,798.503
0.431,803.35
0.432,808.212
0.433,813.088
0.434,817.979
0.435,822.885
0.436,827.805
0.437,832.74
0.438,837.69
0.439,842.655
0.44,847.634
0.441,852.627
0.442,857.636
0.443,862.659
0.444,867.696
0.445,872.749
0.446,877.816
0.447,882.898
0.448,887.994
0.449,893.105
0.45,898.231
0.451,903.371
0.452,908.526
0.453,913.696
0.454,918.88
0.455,924.079
0.456,929.293
0.457,934.521
0.458,939.764
0.459,945.022
0.46,950.294
0.461,955.581
0.462,960.883
0.463,966.2
0.464,971.531
0.465,976.876
0.466,982.237
0.467,987.612
0.468,993.001
0.469,998.406
0.47,1003.82
0.471,1009.26
0.472,1014.71
0.473,1020.17
0.474,1025.65
0.475,1031.14
0.476,1036.65
0.477,1042.17
0.478,1047.71
0.479,1053.26
0.48,1058.82
0.481,1064.4
0.482,1070
0.483,1075.61
0.484,1081.23
0.485,1086.87
0.486,1092.52
0.487,1098.19
0.488,1103.88
0.489,1109.57
0.49,1115.29
0.491,1121.01
0.492,1126.75
0.493,1132.51
0.494,1138.28
0.495,1144.07
0.496,1149.87
0.497,1155.68
0.498,1161.51
0.499,1167.36
0.5,1173.22
0.501,1179.09
0.502,1184.98
0.503,1190.88
0.504,1196.8
0.505,1202.73
0.506,1208.68
0.507,1214.64
0.508,1220.62
0.509,1226.61
0.51,1232.61
0.511,1238.63
0.512,1244.67
0.513,1250.72
0.514,1256.78
0.515,1262.86
0.516,1268.96
0.517,1275.06
0.518,1281.19
0.519,1287.32
0.52,1293.48
0.521,1299.64
0.522,1305.83
0.523,1312.02
0.524,1318.23
0.525,1324.46
0.526,1330.7
0.527,1336.95
0.528,1343.22
