"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6","ContinuousState[0]","ContinuousState[1]","ContinuousState[2]","ContinuousState[3]","ContinuousState[4]","ContinuousState[5]","ContinuousState[6]","ContinuousState[7]","EventIndicator[0]","EventIndicator[1]","EventIndicator[2]","Integrator_IC","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","IntegratorLimited_IC","IntegratorLimited_UpperSat","IntegratorLimited_LowerSat","SineWave2_Amp","SineWave2_Bias","SineWave2_Freq","SineWave2_Phase","IntegratorSecondOrder_ICX","IntegratorSecondOrder_ICDXDT","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Phase","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","StateSpace_A","StateSpace_C","StateSpace_D","StateSpace_X0","TransferFcn_A","TransferFcn_C","SineWave8_Amp","SineWave8_Bias","SineWave8_Freq","SineWave8_Phase","ZeroPole_A[0]","ZeroPole_A[1]","ZeroPole_C[0]","ZeroPole_C[1]","SineWave12_Amp","SineWave12_Bias","SineWave12_Freq","SineWave12_Phase","indicators.z[0]","indicators.z[1]","indicators.z[2]","indicators.z[3]","solver.numSteps","solver.minStepSize","solver.maxStepSize","solver.minOrder","solver.maxOrder","solver.numStateEvents","solver.numTimeEvents","Out1_ref","Out2_ref","Out3[1]_ref","Out3[2]_ref","Out4_ref","Out5_ref","Out6_ref","ContinuousState[0]_ref","ContinuousState[1]_ref","ContinuousState[2]_ref","ContinuousState[3]_ref","ContinuousState[4]_ref","ContinuousState[5]_ref","ContinuousState[6]_ref","ContinuousState[7]_ref","EventIndicator[0]_ref","EventIndicator[1]_ref","EventIndicator[2]_ref","Integrator_IC_ref","SineWave1_Amp_ref","SineWave1_Bias_ref","SineWave1_Freq_ref","SineWave1_Phase_ref","IntegratorLimited_IC_ref","IntegratorLimited_UpperSat_ref","IntegratorLimited_LowerSat_ref","SineWave2_Amp_ref","SineWave2_Bias_ref","SineWave2_Freq_ref","SineWave2_Phase_ref","IntegratorSecondOrder_ICX_ref","IntegratorSecondOrder_ICDXDT_ref","SineWave3_Amp_ref","SineWave3_Bias_ref","SineWave3_Freq_ref","SineWave3_Phase_ref","SineWave6_Amp_ref","SineWave6_Bias_ref","SineWave6_Freq_ref","SineWave6_Phase_ref","StateSpace_A_ref","StateSpace_C_ref","StateSpace_D_ref","StateSpace_X0_ref","TransferFcn_A_ref","TransferFcn_C_ref","SineWave8_Amp_ref","SineWave8_Bias_ref","SineWave8_Freq_ref","SineWave8_Phase_ref","ZeroPole_A[0]_ref","ZeroPole_A[1]_ref","ZeroPole_C[0]_ref","ZeroPole_C[1]_ref","SineWave12_Amp_ref","SineWave12_Bias_ref","SineWave12_Freq_ref","SineWave12_Phase_ref","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.real_time","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,        -1,         0,         0,         1,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,        -1,         0,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.1,0.004496626,0.008993252,0.00011995181,0.004496626,0.10445212,0.0043787487,0.0042608714,0.004496626,0.008993252,0.00011995181,0.004496626,0.0046187027,0.0043787487,0.0043787487,0.00011787729,-0.99100675,0.008993252,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.99100675,0.008993252,         0,     -9000,        11,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0, 0.0998334,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,        -1,         0,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.2,0.018939909,0.037879819,0.0011379479,0.018939909,0.21879717,0.017848845,0.016757781,0.018939909,0.037879819,0.0011379479,0.018939909,0.020127841,0.017848845,0.017848845,0.0010910641,-0.96212018,0.037879819,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.96212018,0.037879819,         0,    -19000,        21,      0.01,      0.01,         0,         0,         0,         0,0.00998334, 0.0199667,         0,0.00998334,  0.208653,0.00998334,0.00998334,0.00998334, 0.0199667,         0,0.00998334,0.00998334,0.00998334,0.00998334,         0, -0.980033, 0.0199667,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.3,0.043185538,0.086371075,0.0040429753,0.043185538,0.34303687,0.039402222,0.035618906,0.043185538,0.086371075,0.0040429753,0.043185538,0.047516661,0.039402222,0.039402222,0.0037833159,-0.91362892,0.086371075,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.91362892,0.086371075,         0,    -29000,        31,      0.01,      0.01,         0,         0,         0,         0, 0.0298503, 0.0597005,0.000998334, 0.0298503,  0.326369, 0.0288519, 0.0278536, 0.0298503, 0.0597005,0.000998334, 0.0298503, 0.0308486, 0.0288519, 0.0288519,0.000998334, -0.940299, 0.0597005,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.4,0.076991256,0.15398251,0.0098051666,0.076991256,0.47719376,0.068033565,0.059075873,0.076991256,0.15398251,0.0098051666,0.076991256,0.087775422,0.068033565,0.068033565,0.0089576916,-0.84601749,0.15398251,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.84601749,0.15398251,         0,    -39000,        41,      0.01,      0.01,         0,         0,         0,         0, 0.0594023,  0.118805,0.00398336, 0.0594023,  0.452904, 0.0555188, 0.0516352, 0.0594023,  0.118805,0.00398336, 0.0594023, 0.0634855, 0.0555188, 0.0555188,0.00388353, -0.881195,  0.118805,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.5,0.12001929,0.24003858,0.019366107,0.12001929,0.62132356,0.10274238,0.08546546,0.12001929,0.24003858,0.019366107,0.12001929,0.14189802,0.10274238,0.10274238,0.017276915,-0.75996142,0.24003858,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.75996142,0.24003858,         0,    -49000,        51,      0.01,      0.01,         0,         0,         0,         0, 0.0983441,  0.196688,0.00992359, 0.0983441,  0.588201, 0.0889087, 0.0794733, 0.0983441,  0.196688,0.00992359, 0.0983441,  0.108776, 0.0889087, 0.0889087, 0.0094354, -0.803312,  0.196688,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.6,0.17183972,0.34367943,0.033629424,0.17183972,0.77552838,0.14253574,0.11323176,0.17183972,0.34367943,0.033629424,0.17183972,0.21088591,0.14253574,0.14253574,0.029303976,-0.65632057,0.34367943,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.65632057,0.34367943,         0,    -59000,        61,      0.01,      0.01,         0,         0,         0,         0,  0.146287,  0.292573,  0.019758,  0.146287,  0.732238,   0.12796,  0.109634,  0.146287,  0.292573,  0.019758,  0.146287,  0.167596,   0.12796,   0.12796, 0.0183263, -0.707427,  0.292573,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.7,0.23193476,0.46386953,0.053451763,0.23193476,0.93997103,0.18643173,0.14092869,0.23193476,0.46386953,0.053451763,0.23193476,0.29575334,0.18643173,0.18643173,0.045503038,-0.53613047,0.46386953,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.53613047,0.46386953,         0,    -69000,        71,      0.01,      0.01,         0,         0,         0,         0,  0.202751,  0.405502, 0.0343867,  0.202751,  0.885038,  0.171629,  0.140506,  0.202751,  0.405502, 0.0343867,  0.202751,   0.24082,  0.171629,  0.171629, 0.0311223, -0.594498,  0.405502,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.8,0.29970398,0.59940797,0.079634225,0.29970398, 1.1148903,0.23346328,0.16722257,0.29970398,0.59940797,0.079634225,0.29970398,0.39753417,0.23346328,0.23346328,0.066240704,-0.40059203,0.59940797,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.40059203,0.59940797,         0,    -79000,        81,      0.01,      0.01,         0,         0,         0,         0,  0.267173,  0.534345, 0.0546618,  0.267173,   1.04668,  0.218888,  0.170602,  0.267173,  0.534345, 0.0546618,  0.267173,  0.329324,  0.218888,  0.218888, 0.0482852, -0.465655,  0.534345,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.9,0.37447024,0.74894049,0.11291436,0.37447024,  1.300617,0.28268254,0.19089484,0.37447024,0.74894049,0.11291436,0.37447024, 0.5172901,0.28268254,0.28268254,0.091787702,-0.25105951,0.74894049,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,-0.25105951,0.74894049,         0,    -89000,        91,      0.01,      0.01,         0,         0,         0,         0,  0.338908,  0.677817,  0.081379,  0.338908,   1.21732,  0.268734,   0.19856,  0.338908,  0.677817,  0.081379,  0.338908,  0.433992,  0.268734,  0.268734, 0.0701739, -0.322183,  0.677817,         0,         0,         1,         0,         1,         0,         0,         1,         0,         2,         0,         1,         0,         0,         0,         1,         0,         1,         0,         1,         0,         1,         0,         1,         1,         1,         0,        -1,         1,         1,         0,         1,         0,        -1,         0,         1,        -1,         1,         0,         1,         0,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
