"time","outputs"
0,282.842712474619
0.0002,279.504154441297
0.0004,276.184124441034
0.0006,272.915862361157
0.0008,269.710041020924
0.001,266.551642407532
0.0012,263.40071490431
0.0014,260.193774566869
0.0016,256.875041611223
0.0018,253.537990444768
0.002,250.20858020934
0.0022,247.017499347914
0.0024,244.180260817714
0.0026,241.883970559575
0.0028,240.279473704286
0.003,239.477733943286
0.0032,239.547203103785
0.0034,240.51223707022
0.0036,242.352590456173
0.0038,245.003998051715
0.004,248.359826594286
0.0042,252.273756380253
0.0044,256.563429181693
0.0046,261.014977367217
0.0048,265.388329520884
0.005,269.423170638626
0.0052,272.845420531584
0.0054,275.39020966449
0.0056,276.898924849484
0.0058,277.259394640277
0.006,276.406497779149
0.0062,275.171005206127
0.0064,273.984911904922
0.0066,272.919531609633
0.0068,272.018642772079
0.007,271.297530110863
0.0072,270.742757833217
0.0074,270.312677036252
0.0076,269.938653143694
0.0078,269.52698295437
0.008,268.961455330407
0.0082,268.106495079673
0.0084,266.810816506809
0.0086,264.914795811286
0.0088,262.343602770321
0.009,259.45860927994
0.0092,256.737184577828
0.0094,254.348787366093
0.0096,252.430999675475
0.0098,251.086249219212
0.01,250.379416144002
0.0102,250.336376000274
0.0104,250.943508636547
0.0106,252.148180849626
0.0108,253.860188648498
0.011,255.95412340337
0.0112,258.272605430719
0.0114,260.630309167744
0.0116,262.818686442021
0.0118,264.611278830751
0.012,265.786722485658
0.0122,266.231461274621
0.0124,265.873082031466
0.0126,264.736942295232
0.0128,263.620119372048
0.013,262.787565364414
0.0132,262.310151349059
0.0134,262.226072169343
0.0136,262.539996402454
0.0138,263.223059012262
0.014,264.213694091785
0.0142,265.419286120298
0.0144,266.718599723639
0.0146,267.964930440493
0.0148,268.989902847591
0.015,269.607827937739
0.0152,269.620519192181
0.0154,268.8524945381
0.0156,267.252284656941
0.0158,264.997884031941
0.016,262.809566737001
0.0162,260.877912618783
0.0164,259.314495646859
0.0166,258.197916913507
0.0168,257.571996109939
0.017,257.444836436178
0.0172,257.788781045949
0.0174,258.541258940445
0.0176,259.60649815131
0.0178,260.858064539477
0.018,262.142166014193
0.0182,263.281644854088
0.0184,264.080565465391
0.0186,264.333723118311
0.0188,263.919717017226
0.019,262.797354998496
0.0192,261.107587765269
0.0194,259.587320509067
0.0196,258.418752689289
0.0198,257.688119659157
0.02,257.447155152825
0.0202,257.711915165668
0.0204,258.462493147813
0.0206,259.643630024299
0.0208,261.166202343678
0.021,262.909552083404
0.0212,264.724602743111
0.0214,266.437688752755
0.0216,267.855009298691
0.0218,268.767603775408
0.022,268.9662463931
0.0222,268.344582529399
0.0224,266.861024280792
0.0226,264.933878731267
0.0228,263.185872637352
0.023,261.733865825001
0.0232,260.662407217941
0.0234,260.022761048031
0.0236,259.831769452637
0.0238,260.071578557524
0.024,260.690231282466
0.0242,261.603110518528
0.0244,262.695197166585
0.0246,263.824089220639
0.0248,264.82371103076
0.025,265.508626463849
0.0252,265.678929914174
0.0254,265.171091629139
0.0256,263.938822645756
0.0258,262.052698360491
0.026,260.228347483284
0.0262,258.716598956128
0.0264,257.619540980336
0.0266,257.005291993907
0.0268,256.906427614801
0.027,257.319297089906
0.0272,258.204241727165
0.0274,259.486707388241
