time,Noise,Noise_Filt,Noise_Filt_Sat,Sine,Sine_Filt,Sine_Filt_Quantized
0.00000,0.50419,0.06302,0.06302,0.00000,0.00000,0.00000
0.00100,0.50419,0.06302,0.06302,0.00200,0.00000,0.00000
0.00200,0.50419,0.06302,0.06302,0.00400,0.00000,0.00000
0.00300,0.50419,0.06302,0.06302,0.00600,0.00000,0.00000
0.00400,0.50419,0.06302,0.06302,0.00800,0.00000,0.00000
0.00500,0.50419,0.06302,0.06302,0.01000,0.00000,0.00000
0.00600,0.50419,0.06302,0.06302,0.01200,0.00000,0.00000
0.00700,0.50419,0.06302,0.06302,0.01400,0.00000,0.00000
0.00800,0.50419,0.06302,0.06302,0.01600,0.00000,0.00000
0.00900,0.50419,0.06302,0.06302,0.01800,0.00000,0.00000
0.01000,0.50419,0.06302,0.06302,0.02000,0.00000,0.00000
0.01100,0.50419,0.06302,0.06302,0.02200,0.00000,0.00000
0.01200,0.50419,0.06302,0.06302,0.02400,0.00000,0.00000
0.01300,0.50419,0.06302,0.06302,0.02600,0.00001,0.00000
0.01400,0.50419,0.06302,0.06302,0.02800,0.00001,0.00000
0.01500,0.50419,0.06302,0.06302,0.03000,0.00001,0.00000
0.01600,0.50419,0.06302,0.06302,0.03200,0.00001,0.00000
0.01700,0.50419,0.06302,0.06302,0.03400,0.00001,0.00000
0.01800,0.50419,0.06302,0.06302,0.03600,0.00001,0.00000
0.01900,0.50419,0.06302,0.06302,0.03800,0.00002,0.00000
0.02000,0.50419,0.06302,0.06302,0.04000,0.00002,0.00000
0.02100,0.50419,0.06302,0.06302,0.04200,0.00002,0.00000
0.02200,0.50419,0.06302,0.06302,0.04400,0.00003,0.00000
0.02300,0.50419,0.06302,0.06302,0.04600,0.00003,0.00000
0.02400,0.50419,0.06302,0.06302,0.04800,0.00004,0.00000
0.02500,0.50419,0.06302,0.06302,0.04999,0.00004,0.00000
0.02600,0.50419,0.06302,0.06302,0.05199,0.00005,0.00000
0.02700,0.50419,0.06302,0.06302,0.05399,0.00005,0.00000
0.02800,0.50419,0.06302,0.06302,0.05599,0.00006,0.00000
0.02900,0.50419,0.06302,0.06302,0.05799,0.00006,0.00000
0.03000,0.50419,0.06302,0.06302,0.05999,0.00007,0.00000
0.03100,0.50419,0.06302,0.06302,0.06199,0.00008,0.00000
0.03200,0.50419,0.06302,0.06302,0.06399,0.00009,0.00000
0.03300,0.50419,0.06302,0.06302,0.06599,0.00010,0.00000
0.03400,0.50419,0.06302,0.06302,0.06799,0.00010,0.00000
0.03500,0.50419,0.06302,0.06302,0.06999,0.00011,0.00000
0.03600,0.50419,0.06302,0.06302,0.07198,0.00012,0.00000
0.03700,0.50419,0.06302,0.06302,0.07398,0.00013,0.00000
