    "time", "axis1_w", "axis2_w", "axis3_w", "axis4_w", "axis5_w", "axis6_w"
     0.284, 1.6770879,-1.2682848,-1.7259084,0.64090001, 3.1224902,0.62406428
     0.288,  1.677413,-1.2699484,-1.7311122,0.64065142, 3.1198375, 0.6253279
     0.292, 1.6777048,-1.2714037,-1.7361797,0.64045779, 3.1171152,0.62661131
     0.296, 1.6779629,-1.2726509,-1.7410261,0.64030888, 3.1143911,0.62788853
       0.3, 1.6781854,-1.2736946,-1.7455843,0.64019624, 3.1117233,0.62913574
     0.304, 1.6783708,-1.2745429,-1.7498036,  0.640113, 3.1091602,0.63033065
     0.308,  1.678518,-1.2752067,-1.7536483,0.64005387, 3.1067413,0.63145688
     0.312, 1.6786269,-1.2756991,-1.7570958,0.64001458, 3.1044969,0.63250006
     0.316, 1.6786989, -1.276035,-1.7601354,0.63999159, 3.1024495,0.63344931
      0.32,  1.678737,-1.2762305,-1.7627667,0.63998184,  3.100614, 0.6342972
     0.324, 1.6787452,-1.2763017,-1.7649975,0.63998263, 3.0989981,0.63503953
     0.328, 1.6787282, -1.276265,-1.7668419,0.63999134, 3.0976049,0.63567462
     0.332, 1.6786917,-1.2761374,-1.7683207,0.64000529, 3.0964323,0.63620326
     0.336, 1.6786412,-1.2759351,-1.7694592,0.64002194,  3.095474,0.63662869
      0.34, 1.6785823,-1.2756735,-1.7702859,0.64003884, 3.0947204,0.63695575
     0.344, 1.6785198,-1.2753672,-1.7708315,0.64005372,  3.094159,0.63719084
     0.348, 1.6784578,-1.2750297,-1.7711285,0.64006459, 3.0937752,0.63734152
     0.352, 1.6783996,-1.2746731,-1.7712101,0.64006982, 3.0935527,0.63741606
     0.356, 1.6783475,-1.2743084,-1.7711088,0.64006818, 3.0934745,0.63742308
      0.36, 1.6783029,-1.2739452,-1.7708567,0.64005889, 3.0935228,0.63737141
     0.364, 1.6782666,-1.2735918,-1.7704842,0.64004159, 3.0936799,0.63726976
     0.368, 1.6782391, -1.273255,  -1.77002, 0.6400163, 3.0939284,0.63712666
     0.372, 1.6782203,-1.2729406,-1.7694911,0.63998336, 3.0942511,0.63695027
     0.376, 1.6782099, -1.272653,-1.7689215,0.63994334,  3.094632,0.63674832
      0.38, 1.6782076,-1.2723956,-1.7683334, 0.6398971, 3.0950555,0.63652814
     0.384,  1.678213,-1.2721708, -1.767746,0.63984548, 3.0955076, 0.6362964
     0.388, 1.6782257,-1.2719797, -1.767176,0.63978948, 3.0959755,0.63605919
     0.392, 1.6782454,-1.2718231, -1.766637,0.63973003, 3.0964479,0.63582173
     0.396, 1.6782717,-1.2717008,-1.7661405,0.63966803, 3.0969149,0.63558889
       0.4, 1.6783043, -1.271612,-1.7656952,0.63960429, 3.0973682, 0.6353647
     0.404, 1.6783426,-1.2715553, -1.765308,0.63953965, 3.0978007,0.63515265
     0.408, 1.6783861,-1.2715291,-1.7649834,0.63947484, 3.0982066,0.63495553
     0.412, 1.6784344,-1.2715312,-1.7647243,0.63941048, 3.0985815,0.63477552
     0.416, 1.6784866,-1.2715593,-1.7645318,0.63934726, 3.0989221,0.63461415
      0.42,  1.678542,-1.2716107,-1.7644055,0.63928575, 3.0992261,0.63447241
     0.424, 1.6786001,-1.2716829,-1.7643436,0.63922645, 3.0994923,0.63435089
     0.428, 1.6786601,-1.2717729,-1.7643433,0.63916983, 3.0997204,0.63424962
     0.432, 1.6787216,-1.2718781,-1.7644009,0.63911628, 3.0999107,0.63416826
     0.436, 1.6787841,-1.2719956,-1.7645119,0.63906603, 3.1000644,0.63410623
      0.44, 1.6788474,-1.2721229,-1.7646714,0.63901928, 3.1001831,0.63406257
     0.444, 1.6789112,-1.2722574, -1.764874,0.63897622, 3.1002687,0.63403612
     0.448, 1.6789753,-1.2723969, -1.765114, 0.6389368, 3.1003237,0.63402562
     0.452, 1.6790395, -1.272539,-1.7653856,  0.638901, 3.1003507,0.63402967
     0.456, 1.6791037,-1.2726819,-1.7656831,0.63886887, 3.1003528,0.63404655
      0.46, 1.6791678,-1.2728238, -1.766001, 0.6388402, 3.1003328,0.63407478
     0.464, 1.6792317,-1.2729631,-1.7663337,0.63881471, 3.1002937,0.63411285
     0.468, 1.6792952,-1.2730983,-1.7666762,0.63879253, 3.1002386,0.63415886
     0.472, 1.6793583,-1.2732284,-1.7670237,0.63877345, 3.1001705, 0.6342113
     0.476, 1.6794212,-1.2733526,-1.7673716,0.63875661, 3.1000916,0.63426922
      0.48, 1.6794836,-1.2734698,-1.7677161,0.63874261, 3.1000051,0.63433043
     0.484, 1.6795457,-1.2735795, -1.768054,0.63873153, 3.0999136, 0.6343933
     0.488, 1.6796081,-1.2736816,-1.7683811,0.63872115, 3.0998183,0.63445839
     0.492, 1.6796707,-1.2737757,-1.7686949,0.63871172, 3.0997213,0.63452405
     0.496, 1.6797332,-1.2738614, -1.768995,0.63870654, 3.0996265,0.63458622
       0.5, 1.6797957,-1.2739388,-1.7692783,0.63870203, 3.0995335,0.63464784
     0.504, 1.6798586,-1.2740087,-1.7695426,0.63869738,  3.099443,0.63470769
     0.508, 1.6799222,-1.2740709,-1.7697874,0.63869402, 3.0993572,0.63476376
     0.512, 1.6799866,-1.2741257,-1.7700127,0.63869172, 3.0992771,0.63481629
     0.516, 1.6800517,-1.2741735,-1.7702179,0.63868953, 3.0992028,0.63486529
      0.52, 1.6801176,-1.2742149,-1.7704029,0.63868747, 3.0991346,0.63491019
     0.524, 1.6801846,-1.2742503,-1.7705679, 0.6386859, 3.0990731, 0.6349508
     0.528, 1.6802526,-1.2742802,-1.7707136,0.63868447, 3.0990184,0.63498723
     0.532, 1.6803218,-1.2743051,-1.7708407,0.63868293, 3.0989702, 0.6350195
     0.536, 1.6803923,-1.2743257,-1.7709499, 0.6386813, 3.0989283,0.63504776
      0.54, 1.6804642,-1.2743425,-1.7710423,0.63867967, 3.0988925,0.63507215
     0.544, 1.6805376,-1.2743559,-1.7711189,0.63867789, 3.0988624,0.63509293
     0.548, 1.6806126,-1.2743666,-1.7711809,0.63867591, 3.0988375,0.63511042
     0.552, 1.6806892,-1.2743749,-1.7712295,0.63867377, 3.0988173,0.63512492
     0.556, 1.6807676,-1.2743813,-1.7712659, 0.6386715, 3.0988011,0.63513674
      0.56, 1.6808476,-1.2743862,-1.7712914,0.63866912, 3.0987885,0.63514626
     0.564, 1.6809294,  -1.27439,-1.7713071,0.63866662, 3.0987787,0.63515385
     0.568, 1.6810131, -1.274393,-1.7713141,0.63866402, 3.0987712,0.63515988
     0.572, 1.6810988,-1.2743955,-1.7713137,0.63866136, 3.0987653,0.63516473
     0.576, 1.6811863,-1.2743978,-1.7713067,0.63865872, 3.0987605, 0.6351687
      0.58, 1.6812759,   -1.2744,-1.7712941,0.63865615, 3.0987562,0.63517216
     0.584, 1.6813673,-1.2744023,-1.7712768,0.63865372,  3.098752,0.63517537
     0.588, 1.6814606, -1.274405,-1.7712555,0.63865149, 3.0987472,0.63517865
     0.592, 1.6815561,-1.2744079,-1.7712309,0.63864935, 3.0987416,0.63518228
     0.596, 1.6816538,-1.2744112,-1.7712038,0.63864735, 3.0987347,0.63518651
       0.6, 1.6817533,-1.2744149,-1.7711744,0.63864577, 3.0987261,0.63519142
     0.604, 1.6818547, -1.274419,-1.7711431,0.63864469, 3.0987157, 0.6351972
     0.608, 1.6819583,-1.2744234,-1.7711105,0.63864382,  3.098703,0.63520412
     0.612,  1.682064,-1.2744281,-1.7710766,0.63864313, 3.0986881,0.63521232
     0.616, 1.6821719, -1.274433,-1.7710416,0.63864279, 3.0986707,0.63522179
      0.62, 1.6822822, -1.274438,-1.7710055,0.63864275, 3.0986507,0.63523258
     0.624, 1.6823943,-1.2744431,-1.7709684,0.63864319, 3.0986282,0.63524474
     0.628, 1.6825079,-1.2744482,-1.7709299,0.63864426, 3.0986029,0.63525823
     0.632, 1.6826236,-1.2744531,-1.7708904,0.63864559, 3.0985751,0.63527305
     0.636, 1.6827415,-1.2744576,-1.7708496,0.63864706, 3.0985448,0.63528918
      0.64, 1.6828618,-1.2744615,-1.7708074,0.63864862, 3.0985122,0.63530661
     0.644, 1.6829851,-1.2744648,-1.7707637, 0.6386501, 3.0984774,0.63532533
     0.648, 1.6831104,-1.2744673,-1.7707178,0.63865199, 3.0984404,0.63534519
     0.652, 1.6832363,-1.2744693,-1.7706692,0.63865483,  3.098401,0.63536599
     0.656, 1.6833634,-1.2744705,-1.7706181,0.63865771, 3.0983597, 0.6353877
      0.66, 1.6834924,-1.2744705,-1.7705645, 0.6386604, 3.0983167,0.63541016
     0.664, 1.6836241,-1.2744691,-1.7705085,0.63866264, 3.0982726,0.63543327
     0.668, 1.6837589,-1.2744663,-1.7704494,0.63866475, 3.0982272,0.63545697
     0.672, 1.6838963,-1.2744622,-1.7703868,0.63866692, 3.0981804,0.63548129
     0.676, 1.6840354,-1.2744569,-1.7703199,0.63866924, 3.0981324,0.63550617
