    "time","resistorv"
         0,         0
    1e-007,0.00014303727
    2e-007,0.0010718932
    3e-007,0.0035155488
    4e-007,0.0081830772
    5e-007,0.015752229
    6e-007,0.026834351
    7e-007,0.041975053
    8e-007,0.061649965
    9e-007,0.086258666
    1e-006,0.11611834
  1.1e-006,0.15145853
  1.2e-006, 0.1924207
  1.3e-006,0.23905469
  1.4e-006,0.29131468
  1.5e-006,0.34907241
  1.6e-006,0.41210406
  1.7e-006,0.48010043
  1.8e-006,0.55266159
  1.9e-006,0.62933117
    2e-006, 0.7095472
  2.1e-006,0.79269904
  2.2e-006,0.87810926
  2.3e-006,0.96505408
  2.4e-006, 1.0527591
  2.5e-006, 1.1404109
  2.6e-006,  1.227169
  2.7e-006, 1.3121778
  2.8e-006, 1.3945716
  2.9e-006, 1.4734861
    3e-006, 1.5480693
  3.1e-006, 1.6174907
  3.2e-006, 1.6809502
  3.3e-006, 1.7376868
  3.4e-006, 1.7869871
  3.5e-006, 1.8281941
  3.6e-006, 1.8607134
  3.7e-006, 1.8840215
  3.8e-006, 1.8976711
  3.9e-006, 1.9012966
    4e-006, 1.8946177
  4.1e-006, 1.8774427
  4.2e-006, 1.8496718
  4.3e-006, 1.8112981
  4.4e-006, 1.7624083
  4.5e-006, 1.7031822
  4.6e-006, 1.6338913
  4.7e-006, 1.5548961
  4.8e-006, 1.4666437
  4.9e-006, 1.3696629
    5e-006, 1.2645594
  5.1e-006, 1.0147156
  5.2e-006,0.76482314
  5.3e-006,0.51707071
  5.4e-006,0.27255808
  5.5e-006,0.032321553
  5.6e-006,-0.20268501
  5.7e-006,-0.4315433
  5.8e-006,-0.65337845
  5.9e-006,-0.86736778
    6e-006,-1.0727391
  6.1e-006,-1.2687761
  6.2e-006,-1.4548248
  6.3e-006,-1.6302898
  6.4e-006,-1.7946353
  6.5e-006,-1.9473853
  6.6e-006,-2.0881251
  6.7e-006,-2.2165023
  6.8e-006, -2.332227
  6.9e-006,-2.4350716
    7e-006,-2.5248705
  7.1e-006,-2.6015195
  7.2e-006,-2.6649746
  7.3e-006,-2.7152507
  7.4e-006,-2.7524207
  7.5e-006,-2.7766138
  7.6e-006,-2.7880131
  7.7e-006,-2.7868546
  7.8e-006,-2.7734241
  7.9e-006, -2.748055
    8e-006,-2.7111261
  8.1e-006,-2.6630588
  8.2e-006,-2.6043139
  8.3e-006,-2.5353894
  8.4e-006,-2.4568166
  8.5e-006,-2.3691579
  8.6e-006, -2.273003
  8.7e-006,-2.1689657
  8.8e-006,-2.0576813
  8.9e-006,-1.9398025
    9e-006,-1.8159966
  9.1e-006,-1.6869421
  9.2e-006,-1.5533255
  9.3e-006,-1.4158381
  9.4e-006,-1.2751728
  9.5e-006,-1.1320211
  9.6e-006,-0.9870698
  9.7e-006,-0.84099848
  9.8e-006,-0.69447639
  9.9e-006,-0.54815983
    1e-005,-0.4026895
 1.01e-005,-0.23920708
 1.02e-005,-0.039417051
 1.03e-005, 0.1948619
 1.04e-005,0.46144031
 1.05e-005,0.75753068
 1.06e-005, 1.0800637
 1.07e-005, 1.4256326
 1.08e-005, 1.7904505
 1.09e-005, 2.1704222
  1.1e-005,   2.56123
 1.11e-005, 2.9583931
 1.12e-005, 3.3573105
 1.13e-005, 3.7533056
 1.14e-005, 4.1416759
 1.15e-005, 4.5177502
 1.16e-005, 4.8769468
 1.17e-005,  5.214823
 1.18e-005, 5.5271224
 1.19e-005, 5.8098203
  1.2e-005, 6.0591699
 1.21e-005, 6.2717443
 1.22e-005, 6.4444753
 1.23e-005, 6.5746852
 1.24e-005, 6.6601165
 1.25e-005, 6.6989558
 1.26e-005, 6.6898533
 1.27e-005, 6.6319371
 1.28e-005, 6.5248227
 1.29e-005, 6.3686163
  1.3e-005, 6.1639139
 1.31e-005, 5.9117942
 1.32e-005, 5.6138068
 1.33e-005,  5.271956
 1.34e-005, 4.8886787
 1.35e-005, 4.4668191
 1.36e-005, 4.0095984
 1.37e-005, 3.5205811
 1.38e-005, 3.0036381
 1.39e-005, 2.4629059
  1.4e-005, 1.9027448
 1.41e-005, 1.3276935
 1.42e-005,0.74242356
 1.43e-005,0.15169144
 1.44e-005,-0.43970878
 1.45e-005,-1.0269934
 1.46e-005,-1.6054365
 1.47e-005,-2.1704161
 1.48e-005,-2.7174593
 1.49e-005, -3.242285
  1.5e-005,-3.7408447
 1.51e-005,-4.1832726
 1.52e-005,-4.5971048
 1.53e-005,-4.9812861
 1.54e-005,-5.3349693
 1.55e-005,-5.6572138
 1.56e-005, -5.947362
 1.57e-005,-6.2048463
 1.58e-005,-6.4292285
 1.59e-005,-6.6202383
  1.6e-005, -6.777772
 1.61e-005,-6.9018821
 1.62e-005, -6.992769
 1.63e-005, -7.050766
 1.64e-005,-7.0763465
 1.65e-005,-7.0701288
 1.66e-005,-7.0328578
 1.67e-005, -6.965396
 1.68e-005,-6.8687166
 1.69e-005,-6.7438982
  1.7e-005,-6.5921201
 1.71e-005,-6.4146546
 1.72e-005, -6.212859
 1.73e-005,-5.9881669
 1.74e-005,-5.7420809
 1.75e-005,-5.4761642
 1.76e-005,-5.1920329
 1.77e-005,-4.8913476
 1.78e-005,-4.5758043
 1.79e-005,-4.2471269
  1.8e-005,-3.9070584
 1.81e-005,-3.5573534
 1.82e-005,-3.1997696
 1.83e-005,-2.8360602
 1.84e-005,-2.4679662
 1.85e-005, -2.097209
 1.86e-005,-1.7254834
 1.87e-005,-1.3544504
 1.88e-005,-0.98573103
 1.89e-005,-0.62089964
  1.9e-005,-0.26147838
 1.91e-005,0.091068513
 1.92e-005,0.43533985
 1.93e-005,0.77000226
 1.94e-005, 1.0937946
 1.95e-005, 1.4055317
 1.96e-005, 1.7041084
 1.97e-005, 1.9885018
 1.98e-005, 2.2577749
 1.99e-005, 2.5110779
    2e-005, 2.7476509
 2.01e-005, 2.9798625
 2.02e-005, 3.2197952
 2.03e-005, 3.4661462
 2.04e-005, 3.7174038
 2.05e-005, 3.9719078
 2.06e-005, 4.2278429
 2.07e-005, 4.4832416
 2.08e-005, 4.7360131
 2.09e-005, 4.9839699
  2.1e-005,  5.224859
 2.11e-005, 5.4563774
 2.12e-005,  5.676197
 2.13e-005,     5.882
 2.14e-005, 6.0715077
 2.15e-005, 6.2425061
 2.16e-005, 6.3928699
 2.17e-005, 6.5205861
 2.18e-005, 6.6237775
 2.19e-005, 6.7007247
  2.2e-005, 6.7498869
 2.21e-005, 6.7699254
 2.22e-005, 6.7597175
 2.23e-005, 6.7183706
 2.24e-005,  6.645233
 2.25e-005, 6.5399035
 2.26e-005, 6.4022404
 2.27e-005, 6.2323659
 2.28e-005, 6.0306676
 2.29e-005, 5.7977971
  2.3e-005, 5.5346662
 2.31e-005,  5.242441
 2.32e-005, 4.9225327
 2.33e-005, 4.5765866
 2.34e-005, 4.2064681
 2.35e-005, 3.8142467
 2.36e-005, 3.4021783
 2.37e-005, 2.9726856
 2.38e-005, 2.5283365
 2.39e-005, 2.0718218
  2.4e-005,  1.605931
 2.41e-005, 1.1335279
 2.42e-005,0.65752533
 2.43e-005,0.18085936
 2.44e-005,-0.29353635
