"Time","J1.w - Absolute angular velocity of component (= der(phi))","J2.w - Absolute angular velocity of component (= der(phi))","J3.w - Absolute angular velocity of component (= der(phi))","J4.w - Absolute angular velocity of component (= der(phi))"
0,10,0,0,0
0.001,9.99016,0.01,-2.93168e-15,-2.93177e-15
0.002,9.98063,0.02,7.4489e-15,7.44871e-15
0.003,9.97141,0.03,1.11647e-14,1.11644e-14
0.004,9.96251,0.0399999,1.03736e-14,1.03732e-14
0.005,9.95392,0.0499998,9.21485e-15,9.21423e-15
0.006,9.94564,0.0599996,1.28023e-14,1.28014e-14
0.007,9.93767,0.0699993,1.84575e-14,1.84565e-14
0.008,9.93,0.0799989,1.72917e-14,1.72906e-14
0.009,9.92264,0.0899985,1.56958e-14,1.56945e-14
0.01,9.91558,0.0999978,1.05749e-14,1.05734e-14
0.011,9.90882,0.109997,1.7597e-14,1.75954e-14
0.012,9.90236,0.119996,1.5668e-14,1.56662e-14
0.013,9.89618,0.129995,1.8846e-14,1.8844e-14
0.014,9.8903,0.139994,2.39531e-14,2.39508e-14
0.015,9.8847,0.149992,1.80411e-14,1.80386e-14
0.016,9.87938,0.15999,1.95954e-14,1.95927e-14
0.017,9.87434,0.169988,2.63678e-14,2.63648e-14
0.018,9.86957,0.179986,2.85605e-14,2.85573e-14
0.019,9.86506,0.189984,2.55351e-14,2.55316e-14
0.02,9.86081,0.199981,2.80054e-14,2.80016e-14
0.021,9.85682,0.209978,2.78388e-14,2.78347e-14
0.022,9.85307,0.219974,3.82472e-14,3.82428e-14
0.023,9.84957,0.229971,3.73035e-14,3.72988e-14
0.024,9.84631,0.239966,3.52496e-14,3.52446e-14
0.025,9.84327,0.249962,3.53051e-14,3.52999e-14
0.026,9.84045,0.259957,2.82552e-14,2.82496e-14
0.027,9.83786,0.269952,1.93179e-14,1.9312e-14
0.028,9.83547,0.279946,2.37588e-14,2.37526e-14
0.029,9.83328,0.28994,2.34257e-14,2.34192e-14
0.03,9.83128,0.299933,1.59872e-14,1.59804e-14
0.031,9.82947,0.309926,2.68674e-14,2.68602e-14
0.032,9.82783,0.319919,1.94844e-14,1.94769e-14
0.033,9.82637,0.329911,2.09832e-14,2.09754e-14
0.034,9.82506,0.339902,2.60902e-14,2.6082e-14
0.035,9.82391,0.349893,1.62093e-14,1.62007e-14
0.036,9.8229,0.359884,1.89293e-14,1.89204e-14
0.037,9.82202,0.369873,2.20379e-14,2.20286e-14
0.038,9.82127,0.379863,2.33147e-14,2.33051e-14
0.039,9.82063,0.389851,3.07532e-14,3.07432e-14
0.04,9.82011,0.399839,3.78586e-14,3.78483e-14
0.041,9.81968,0.409827,3.31957e-14,3.3185e-14
0.042,9.81934,0.419814,2.48135e-14,2.48025e-14
0.043,9.81907,0.4298,1.96509e-14,1.96396e-14
0.044,9.81888,0.439785,1.19904e-14,1.19787e-14
0.045,9.81875,0.44977,1.03251e-14,1.0313e-14
0.046,9.81866,0.459754,4.71845e-15,4.70597e-15
0.047,9.81862,0.469738,4.16334e-15,4.1505e-15
0.048,9.8186,0.47972,7.21645e-16,7.08448e-16
0.049,9.81861,0.489702,-3.71925e-15,-3.7328e-15
0.05,9.81863,0.499683,4.38538e-15,4.37146e-15
0.051,9.81864,0.509664,6.77236e-15,6.75808e-15
0.052,9.81865,0.519643,6.66134e-15,6.6467e-15
0.053,9.81864,0.529622,6.55032e-15,6.53531e-15
0.054,9.8186,0.5396,1.18794e-14,1.1864e-14
0.055,9.81853,0.549577,1.32117e-14,1.31959e-14
0.056,9.8184,0.559553,5.10703e-15,5.09094e-15
0.057,9.81822,0.569529,5.88418e-15,5.86775e-15
0.058,9.81797,0.579503,8.65974e-15,8.64296e-15
0.059,9.81764,0.589477,1.11022e-15,1.0931e-15
0.06,9.81722,0.599449,-6.10623e-15,-6.12369e-15
0.061,9.81671,0.609421,-7.32747e-15,-7.34527e-15
0.062,9.8161,0.619392,-1.36557e-14,-1.36739e-14
0.063,9.81536,0.629362,-1.19904e-14,-1.20089e-14
0.064,9.81451,0.639331,-1.22125e-14,-1.22312e-14
0.065,9.81352,0.649298,-1.76525e-14,-1.76716e-14
0.066,9.81239,0.659265,-1.75415e-14,-1.75609e-14
0.067,9.81111,0.669231,-2.39808e-14,-2.40004e-14
0.068,9.80967,0.679196,-3.0087e-14,-3.01069e-14
0.069,9.80807,0.689159,-3.09752e-14,-3.09954e-14
0.07,9.80629,0.699122,-2.93099e-14,-2.93304e-14
0.071,9.80432,0.709083,-2.25375e-14,-2.25583e-14
0.072,9.80216,0.719044,-1.77636e-14,-1.77846e-14
0.073,9.79981,0.729003,-1.43219e-14,-1.43431e-14
0.074,9.79725,0.738961,-1.32117e-14,-1.32331e-14
0.075,9.79447,0.748918,-1.4988e-14,-1.50096e-14
0.076,9.79147,0.758874,-1.04361e-14,-1.0458e-14
0.077,9.78825,0.768828,-6.66134e-15,-6.68354e-15
0.078,9.78479,0.778782,2.55351e-15,2.53108e-15
0.079,9.78109,0.788734,9.32587e-15,9.30321e-15
0.08,9.77714,0.798685,1.45439e-14,1.4521e-14
0.081,9.77294,0.808635,1.25455e-14,1.25224e-14
0.082,9.76848,0.818583,1.89848e-14,1.89614e-14
0.083,9.76376,0.82853,2.69784e-14,2.69548e-14
0.084,9.75877,0.838476,3.19744e-14,3.19507e-14
0.085,9.75351,0.84842,2.59792e-14,2.59552e-14
0.086,9.74796,0.858364,3.41949e-14,3.41707e-14
0.087,9.74213,0.868305,3.88578e-14,3.88335e-14
0.088,9.73602,0.878246,3.39728e-14,3.39483e-14
0.089,9.72962,0.888185,3.45279e-14,3.45032e-14
0.09,9.72292,0.898123,3.29736e-14,3.29488e-14
0.091,9.71592,0.908059,4.22995e-14,4.22745e-14
0.092,9.70863,0.917994,4.13003e-14,4.12751e-14
0.093,9.70103,0.927927,4.15223e-14,4.1497e-14
0.094,9.69312,0.937859,4.15223e-14,4.14968e-14
0.095,9.68491,0.94779,5.39568e-14,5.39312e-14
0.096,9.67639,0.957719,6.51701e-14,6.51442e-14
0.097,9.66756,0.967646,7.09433e-14,7.09172e-14
0.098,9.65842,0.977572,7.00551e-14,7.00288e-14
0.099,9.64897,0.987497,6.72795e-14,6.72531e-14
0.1,9.6392,0.99742,6.50591e-14,6.50325e-14
0.101,9.62912,1.00734,5.70655e-14,5.70387e-14
0.102,9.61873,1.01726,5.4623e-14,5.45961e-14
0.103,9.60803,1.02718,5.66214e-14,5.65944e-14
0.104,9.59701,1.0371,5.9508e-14,5.94809e-14
0.105,9.58569,1.04701,6.30607e-14,6.30335e-14
0.106,9.57406,1.05692,6.03961e-14,6.03689e-14
0.107,9.56212,1.06684,6.08402e-14,6.08129e-14
0.108,9.54987,1.07675,5.26246e-14,5.25972e-14
0.109,9.53733,1.08665,4.84057e-14,4.83783e-14
0.11,9.52448,1.09656,4.37428e-14,4.37153e-14
0.111,9.51134,1.10647,4.28546e-14,4.2827e-14
0.112,9.4979,1.11637,4.26326e-14,4.26049e-14
0.113,9.48417,1.12627,4.26326e-14,4.26048e-14
0.114,9.47016,1.13617,4.92939e-14,4.92662e-14
0.115,9.45586,1.14607,4.57412e-14,4.57134e-14
0.116,9.44128,1.15596,4.57412e-14,4.57134e-14
0.117,9.42644,1.16586,4.79616e-14,4.79338e-14
0.118,9.41132,1.17575,5.24025e-14,5.23748e-14
0.119,9.39594,1.18564,5.39568e-14,5.3929e-14
0.12,9.3803,1.19553,4.88498e-14,4.8822e-14
0.121,9.36441,1.20542,4.55191e-14,4.54913e-14
0.122,9.34827,1.2153,4.90719e-14,4.90439e-14
0.123,9.3319,1.22518,5.12923e-14,5.12642e-14
0.124,9.31528,1.23506,4.61853e-14,4.61571e-14
0.125,9.29845,1.24494,4.84057e-14,4.83773e-14
0.126,9.28139,1.25482,4.61853e-14,4.61569e-14
0.127,9.26412,1.2647,3.9968e-14,3.99395e-14
0.128,9.24664,1.27457,3.79696e-14,3.7941e-14
0.129,9.22897,1.28444,3.9968e-14,3.99393e-14
0.13,9.2111,1.29431,4.35207e-14,4.34919e-14
0.131,9.19305,1.30418,4.57412e-14,4.57123e-14
0.132,9.17483,1.31404,4.75175e-14,4.74885e-14
0.133,9.15644,1.3239,5.15143e-14,5.14852e-14
0.134,9.13789,1.33377,5.61773e-14,5.61481e-14
0.135,9.1192,1.34362,6.83897e-14,6.83605e-14
0.136,9.10036,1.35348,6.88338e-14,6.88045e-14
0.137,9.08139,1.36334,6.90559e-14,6.90264e-14
0.138,9.0623,1.37319,7.66054e-14,7.65759e-14
0.139,9.0431,1.38304,7.63833e-14,7.63538e-14
0.14,9.02379,1.39289,7.37188e-14,7.36892e-14
0.141,9.00439,1.40273,7.4607e-14,7.45773e-14
0.142,8.9849,1.41258,7.4607e-14,7.45772e-14
0.143,8.96533,1.42242,6.88338e-14,6.8804e-14
0.144,8.9457,1.43226,6.23945e-14,6.23646e-14
0.145,8.92601,1.44209,6.77236e-14,6.76936e-14
0.146,8.90628,1.45193,6.88338e-14,6.88038e-14
0.147,8.88651,1.46176,7.08322e-14,7.08022e-14
0.148,8.86671,1.47159,7.32747e-14,7.32446e-14
0.149,8.84689,1.48142,6.90559e-14,6.90257e-14
0.15,8.82707,1.49124,7.32747e-14,7.32445e-14
0.151,8.80725,1.50107,7.9714e-14,7.96837e-14
0.152,8.78744,1.51089,7.57172e-14,7.56869e-14
0.153,8.76765,1.52071,8.26006e-14,8.25702e-14
0.154,8.7479,1.53052,8.41549e-14,8.41244e-14
0.155,8.72818,1.54034,8.21565e-14,8.2126e-14
0.156,8.70852,1.55015,7.90479e-14,7.90173e-14
0.157,8.68892,1.55996,7.4607e-14,7.45764e-14
0.158,8.66939,1.56976,7.83817e-14,7.83511e-14
0.159,8.64994,1.57957,7.41629e-14,7.41321e-14
0.16,8.63058,1.58937,7.08322e-14,7.08014e-14
0.161,8.61132,1.59917,6.95e-14,6.94691e-14
0.162,8.59217,1.60896,6.81677e-14,6.81367e-14
0.163,8.57314,1.61876,6.72795e-14,6.72484e-14
0.164,8.55424,1.62855,6.92779e-14,6.92467e-14
0.165,8.53547,1.63834,6.81677e-14,6.81364e-14
0.166,8.51684,1.64812,6.63913e-14,6.636e-14
0.167,8.49837,1.65791,6.12843e-14,6.12528e-14
0.168,8.48007,1.66769,6.86118e-14,6.85802e-14
0.169,8.46193,1.67747,6.75016e-14,6.74699e-14
0.17,8.44397,1.68724,6.70575e-14,6.70256e-14
0.171,8.4262,1.69702,6.75016e-14,6.74696e-14
0.172,8.40863,1.70679,6.01741e-14,6.01419e-14
0.173,8.39126,1.71655,6.39488e-14,6.39165e-14
0.174,8.3741,1.72632,5.19584e-14,5.19259e-14
0.175,8.35715,1.73608,5.68434e-14,5.68107e-14
0.176,8.34044,1.74584,5.52891e-14,5.52562e-14
0.177,8.32395,1.7556,5.70655e-14,5.70323e-14
0.178,8.3077,1.76535,5.70655e-14,5.70321e-14
0.179,8.2917,1.7751,5.35127e-14,5.34792e-14
0.18,8.27595,1.78485,5.4845e-14,5.48112e-14
0.181,8.26045,1.7946,5.86198e-14,5.85857e-14
0.182,8.24522,1.80434,5.12923e-14,5.12579e-14
0.183,8.23025,1.81408,4.57412e-14,4.57065e-14
0.184,8.21556,1.82382,5.08482e-14,5.08133e-14
0.185,8.20115,1.83355,5.24025e-14,5.23672e-14
0.186,8.18702,1.84328,4.57412e-14,4.57055e-14
0.187,8.17317,1.85301,4.90719e-14,4.90358e-14
0.188,8.15962,1.86274,4.70735e-14,4.70369e-14
0.189,8.14636,1.87246,4.86278e-14,4.85908e-14
0.19,8.13341,1.88218,5.06262e-14,5.05887e-14
0.191,8.12075,1.8919,5.68434e-14,5.68055e-14
0.192,8.1084,1.90161,5.4845e-14,5.48067e-14
0.193,8.09635,1.91132,6.17284e-14,6.16896e-14
0.194,8.08462,1.92103,5.83977e-14,5.83585e-14
0.195,8.07319,1.93073,6.08402e-14,6.08005e-14
0.196,8.06208,1.94043,5.63993e-14,5.63592e-14
0.197,8.05128,1.95013,5.63993e-14,5.63587e-14
0.198,8.0408,1.95983,5.63993e-14,5.63582e-14
0.199,8.03064,1.96952,6.28386e-14,6.2797e-14
0.2,8.02079,1.97921,6.08402e-14,6.07981e-14
0.201,8.01127,1.9889,6.57252e-14,6.56826e-14
0.202,8.00205,1.99858,6.63913e-14,6.63482e-14
0.203,7.99316,2.00826,6.75016e-14,6.74587e-14
0.204,7.98458,2.01794,6.30607e-14,6.30181e-14
0.205,7.97631,2.02761,5.63993e-14,5.6357e-14
0.206,7.96836,2.03728,5.24025e-14,5.23605e-14
0.207,7.96072,2.04695,5.06262e-14,5.05845e-14
0.208,7.95339,2.05661,5.50671e-14,5.50256e-14
0.209,7.94637,2.06627,5.9952e-14,5.99109e-14
0.21,7.93965,2.07593,6.17284e-14,6.16875e-14
0.211,7.93324,2.08558,5.86198e-14,5.85791e-14
0.212,7.92712,2.09523,6.39488e-14,6.39084e-14
0.213,7.9213,2.10488,6.43929e-14,6.43527e-14
0.214,7.91577,2.11453,6.26166e-14,6.25766e-14
0.215,7.91053,2.12417,6.03961e-14,6.03563e-14
0.216,7.90557,2.13381,6.08402e-14,6.08006e-14
0.217,7.90089,2.14344,6.43929e-14,6.43535e-14
0.218,7.89649,2.15307,6.52811e-14,6.52419e-14
0.219,7.89235,2.1627,6.79456e-14,6.79066e-14
0.22,7.88847,2.17232,6.70575e-14,6.70185e-14
0.221,7.88486,2.18194,6.43929e-14,6.43541e-14
0.222,7.88149,2.19156,6.83897e-14,6.83511e-14
0.223,7.87837,2.20117,6.9722e-14,6.96835e-14
0.224,7.87549,2.21078,7.32747e-14,7.32363e-14
0.225,7.87284,2.22039,7.77156e-14,7.76773e-14
0.226,7.87042,2.22999,7.72715e-14,7.72333e-14
0.227,7.86822,2.23959,7.99361e-14,7.98979e-14
0.228,7.86622,2.24919,8.08242e-14,8.07862e-14
0.229,7.86444,2.25878,8.03801e-14,8.03422e-14
0.23,7.86284,2.26837,8.17124e-14,8.16745e-14
0.231,7.86144,2.27796,8.70415e-14,8.70037e-14
0.232,7.86021,2.28754,9.19265e-14,9.18888e-14
0.233,7.85916,2.29712,8.70415e-14,8.70038e-14
0.234,7.85827,2.30669,8.83738e-14,8.83362e-14
0.235,7.85754,2.31627,8.92619e-14,8.92244e-14
0.236,7.85695,2.32583,9.41469e-14,9.41094e-14
0.237,7.8565,2.3354,9.28146e-14,9.27772e-14
0.238,7.85618,2.34496,9.54792e-14,9.54418e-14
0.239,7.85598,2.35451,9.72555e-14,9.72182e-14
0.24,7.85588,2.36407,9.76996e-14,9.76623e-14
0.241,7.85589,2.37362,9.85878e-14,9.85505e-14
0.242,7.85599,2.38316,9.32587e-14,9.32214e-14
0.243,7.85617,2.3927,9.14824e-14,9.1445e-14
0.244,7.85643,2.40224,8.65974e-14,8.656e-14
0.245,7.85674,2.41178,8.83738e-14,8.83364e-14
0.246,7.85711,2.42131,8.92619e-14,8.92245e-14
0.247,7.85753,2.43083,9.05942e-14,9.05568e-14
0.248,7.85797,2.44035,9.28146e-14,9.27772e-14
0.249,7.85844,2.44987,9.32587e-14,9.32212e-14
0.25,7.85893,2.45939,9.01501e-14,9.01126e-14
0.251,7.85941,2.4689,8.57092e-14,8.56717e-14
0.252,7.85989,2.47841,8.70415e-14,8.70039e-14
0.253,7.86036,2.48791,9.14824e-14,9.14448e-14
0.254,7.8608,2.49741,8.88178e-14,8.87802e-14
0.255,7.8612,2.5069,8.61533e-14,8.61157e-14
0.256,7.86156,2.5164,8.61533e-14,8.61156e-14
0.257,7.86187,2.52588,8.88178e-14,8.87802e-14
0.258,7.86211,2.53537,8.9706e-14,8.96683e-14
0.259,7.86227,2.54485,8.30447e-14,8.3007e-14
0.26,7.86235,2.55432,8.03801e-14,8.03424e-14
0.261,7.86234,2.56379,7.63833e-14,7.63456e-14
0.262,7.86223,2.57326,7.59393e-14,7.59015e-14
0.263,7.86201,2.58272,7.90479e-14,7.90101e-14
