"time",	"outputs"
0,	282.8427
0.0002,	279.5038
0.0004,	276.1649
0.0006,	272.826
0.0008,	269.4873
0.001,	266.1486
0.0012,	262.81
0.0014,	259.4714
0.0016,	256.1329
0.0018,	252.7945
0.002,	249.4561
0.0022,	246.1179
0.0024,	242.7796
0.0026,	239.4415
0.0028,	236.3713
0.003,	234.1808
0.0032,	232.9836
0.0034,	232.8314
0.0036,	233.7285
0.0038,	235.6306
0.004,	238.4473
0.0042,	242.0432
0.0044,	246.2424
0.0046,	250.8322
0.0048,	255.5687
0.005,	260.1828
0.0052,	264.3869
0.0054,	267.8818
0.0056,	270.3649
0.0058,	271.5369
0.006,	271.1101
0.0062,	268.8154
0.0064,	265.5985
0.0066,	262.6947
0.0068,	260.188
0.007,	258.1284
0.0072,	256.5313
0.0074,	255.3771
0.0076,	254.612
0.0078,	254.15
0.008,	253.8747
0.0082,	253.643
0.0084,	253.2887
0.0086,	252.6269
0.0088,	251.4591
0.009,	249.5784
0.0092,	246.7749
0.0094,	243.7456
0.0096,	241.4239
0.0098,	239.9204
0.01,	239.3026
0.0102,	239.5936
0.0104,	240.7715
0.0106,	242.7703
0.0108,	245.4813
0.011,	248.7564
0.0112,	252.4113
0.0114,	256.2307
0.0116,	259.9731
0.0118,	263.3774
0.012,	266.1692
0.0122,	268.0675
0.0124,	268.7922
0.0126,	268.0712
0.0128,	265.6472
0.013,	262.4611
0.0132,	259.6454
0.0134,	257.2899
0.0136,	255.4493
0.0138,	254.1421
0.014,	253.3502
0.0142,	253.0197
0.0144,	253.0627
0.0146,	253.3591
0.0148,	253.7608
0.015,	254.0947
0.0152,	254.1677
0.0154,	253.7718
0.0156,	252.6895
0.0158,	250.6996
0.016,	247.6773
0.0162,	244.8479
0.0164,	242.7447
0.0166,	241.4572
0.0168,	241.0315
0.017,	241.4703
0.0172,	242.7319
0.0174,	244.7324
0.0176,	247.3472
0.0178,	250.4145
0.018,	253.7394
0.0182,	257.0988
0.0184,	260.247
0.0186,	262.9292
0.0188,	264.9754
0.019,	266.2738
0.0192,	266.7082
0.0194,	266.3277
0.0196,	266.0137
0.0198,	265.9666
0.02,	266.2237
0.0202,	266.7904
0.0204,	267.6409
0.0206,	268.7183
0.0208,	269.9365
0.021,	271.1822
0.0212,	272.318
0.0214,	273.1859
0.0216,	273.6114
0.0218,	273.4079
0.022,	272.3818
0.0222,	270.3375
0.0224,	267.2076
0.0226,	263.9208
0.0228,	260.8412
0.023,	258.114
0.0232,	255.8519
0.0234,	254.1321
