"time","dataOut1","dataOut2"
0,1,1
0.05000000075,1,1
0.1000000015,1,1
0.150000006,1,1
0.200000003,1,1
0.25,1,1
0.3000000119,1,1
0.349999994,1,1
0.400000006,1,1
0.4499999881,1,1
0.5,1,1
0.5500000119,1,1
0.6000000238,1,1
0.6499999762,1,1
0.6999999881,1,1
0.75,1,1
0.8000000119,1,1
0.8500000238,1,1
0.8999999762,1,1
0.9499999881,1,1
1,1,1
1.049999952,1,1
1.100000024,1,1
1.149999976,1,1
1.200000048,1,1
1.25,1,1
1.299999952,1,1
1.350000024,1,1
1.399999976,1,1
1.450000048,1,1
1.5,1,1
1.549999952,1,1
1.600000024,1,1
1.649999976,1,1
1.700000048,1,1
1.75,1,1
1.799999952,1,1
1.850000024,1,1
1.899999976,1,1
1.950000048,1,1
2,1,1
2.049999952,1,1
2.099999905,1,1
2.150000095,1,1
2.200000048,1,1
2.25,1,1
2.299999952,1,1
2.349999905,1,1
2.400000095,1,1
2.450000048,1,1
2.5,1,1
2.549999952,1,1
2.599999905,1,1
2.650000095,1,1
2.700000048,1,1
2.75,1,1
2.799999952,1,1
2.849999905,1,1
2.900000095,1,1
2.950000048,1,1
3,1,1
3.049999952,1,1
3.099999905,1,1
3.150000095,1,1
3.200000048,1,1
3.25,1,1
3.299999952,1,1
3.349999905,1,1
3.400000095,1,1
3.450000048,1,1
3.5,1,1
3.549999952,1,1
3.599999905,1,1
3.650000095,1,1
3.700000048,1,1
3.75,1,1
3.799999952,1,1
3.849999905,1,1
3.900000095,1,1
3.950000048,1,1
4,1,1
4.050000191,1,1
4.099999905,1,1
4.150000095,1,1
4.199999809,1,1
4.25,1,1
4.300000191,1,1
4.349999905,1,1
4.400000095,1,1
4.449999809,1,1
4.5,1,1
4.550000191,1,1
4.599999905,1,1
4.650000095,1,1
4.699999809,1,1
4.75,1,1
4.800000191,1,1
4.849999905,1,1
4.900000095,1,1
4.949999809,1,1
5,1,1
5.050000191,1,1
5.099999905,1,1
5.150000095,1,1
5.199999809,1,1
5.25,1,1
5.300000191,1,1
5.349999905,1,1
5.400000095,1,1
5.449999809,1,1
5.5,1,1
5.550000191,1,1
5.599999905,1,1
5.650000095,1,1
5.699999809,1,1
5.75,1,1
5.800000191,1,1
5.849999905,1,1
5.900000095,1,1
5.949999809,1,1
6,1,1
6.050000191,3,3
6.099999905,3,3
6.150000095,3,3
6.199999809,3,3
6.25,3,3
6.300000191,3,3
6.349999905,3,3
6.400000095,3,3
6.449999809,3,3
6.5,3,3
6.550000191,3,3
6.599999905,3,3
6.650000095,3,3
6.699999809,3,3
6.75,3,3
6.800000191,3,3
6.849999905,3,3
6.900000095,3,3
6.949999809,3,3
7,3,3
7.050000191,3,3
7.099999905,3,3
7.150000095,3,3
7.199999809,3,3
7.25,3,3
7.300000191,3,3
7.349999905,3,3
7.400000095,3,3
7.449999809,3,3
7.5,3,3
7.550000191,3,3
7.599999905,3,3
7.650000095,3,3
7.699999809,3,3
7.75,3,3
7.800000191,3,3
7.849999905,3,3
7.900000095,3,3
7.949999809,3,3
8,3,3
8.050000191,3,3
8.100000381,3,3
8.149999619,3,3
8.199999809,3,3
8.25,3,3
8.300000191,3,3
8.350000381,3,3
8.399999619,3,3
8.449999809,3,3
8.5,3,3
8.550000191,3,3
8.600000381,3,3
8.649999619,3,3
8.699999809,3,3
8.75,3,3
8.800000191,3,3
8.850000381,3,3
8.899999619,3,3
8.949999809,3,3
9,3,3
9.050000191,3,3
9.100000381,3,3
9.149999619,3,3
9.199999809,3,3
9.25,3,3
9.300000191,3,3
9.350000381,3,3
9.399999619,3,3
9.449999809,3,3
9.5,3,3
9.550000191,3,3
9.600000381,3,3
9.649999619,3,3
9.699999809,3,3
9.75,3,3
9.800000191,3,3
9.850000381,3,3
9.899999619,3,3
9.949999809,3,3
10,3,3
10.05000019,3,3
10.10000038,3,3
10.14999962,3,3
10.19999981,3,3
10.25,3,3
10.30000019,3,3
10.35000038,3,3
10.39999962,3,3
10.44999981,3,3
10.5,3,3
10.55000019,3,3
10.60000038,3,3
10.64999962,3,3
10.69999981,3,3
10.75,3,3
10.80000019,3,3
10.85000038,3,3
10.89999962,3,3
10.94999981,3,3
11,3,3
11.05000019,3,3
11.10000038,3,3
11.14999962,3,3
11.19999981,3,3
11.25,3,3
11.30000019,3,3
11.35000038,3,3
11.39999962,3,3
11.44999981,3,3
11.5,3,3
11.55000019,3,3
11.60000038,3,3
11.64999962,3,3
11.69999981,3,3
11.75,3,3
11.80000019,3,3
11.85000038,3,3
11.89999962,3,3
11.94999981,3,3
12,3,3
12.05000019,3,3
12.10000038,3,3
12.14999962,3,3
12.19999981,3,3
12.25,3,3
12.30000019,3,3
12.35000038,3,3
12.39999962,3,3
12.44999981,3,3
12.5,3,3
12.55000019,3,3
12.60000038,3,3
12.64999962,3,3
12.69999981,3,3
12.75,3,3
12.80000019,3,3
12.85000038,3,3
12.89999962,3,3
12.94999981,3,3
13,3,3
13.05000019,4,3
13.10000038,4,3
13.14999962,4,3
13.19999981,4,3
13.25,4,3
13.30000019,4,3
13.35000038,4,3
13.39999962,4,3
13.44999981,4,3
13.5,4,3
13.55000019,4,3
13.60000038,4,3
13.64999962,4,3
13.69999981,4,3
13.75,4,3
13.80000019,4,3
13.85000038,4,3
13.89999962,4,3
13.94999981,4,3
14,4,3
14.05000019,4,3
14.10000038,4,3
14.14999962,4,3
14.19999981,4,3
14.25,4,3
14.30000019,4,3
14.35000038,4,3
14.39999962,4,3
14.44999981,4,3
14.5,4,3
14.55000019,4,3
14.60000038,4,3
14.64999962,4,3
14.69999981,4,3
14.75,4,3
14.80000019,4,3
14.85000038,4,3
14.89999962,4,3
14.94999981,4,3
15,4,3
15.05000019,4,3
15.10000038,4,3
15.14999962,4,3
15.19999981,4,3
15.25,4,3
15.30000019,4,3
15.35000038,4,3
15.39999962,4,3
15.44999981,4,3
15.5,4,3
15.55000019,4,3
15.60000038,4,3
15.64999962,4,3
15.69999981,4,3
15.75,4,3
15.80000019,4,3
15.85000038,4,3
15.89999962,4,3
15.94999981,4,3
16,4,3
16.04999924,4,2
16.10000038,4,2
16.14999962,4,2
16.20000076,4,2
16.25,4,2
16.29999924,4,2
16.35000038,4,2
16.39999962,4,2
16.45000076,4,2
16.5,4,2
16.54999924,4,2
16.60000038,4,2
16.64999962,4,2
16.70000076,4,2
16.75,4,2
16.79999924,4,2
16.85000038,4,2
16.89999962,4,2
16.95000076,4,2
17,4,2
17.04999924,4,2
17.10000038,4,2
17.14999962,4,2
17.20000076,4,2
17.25,4,2
17.29999924,4,2
17.35000038,4,2
17.39999962,4,2
17.45000076,4,2
17.5,4,2
17.54999924,4,2
17.60000038,4,2
17.64999962,4,2
17.70000076,4,2
17.75,4,2
17.79999924,4,2
17.85000038,4,2
17.89999962,4,2
17.95000076,4,2
18,4,2
18.04999924,4,2
18.10000038,4,2
18.14999962,4,2
18.20000076,4,2
