"time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,1,0,0.45,0,30,0,3,0,1000,40
1,1,0.912186,0.45,0.45159,30,22.3714,3,0.962945,1000,40
2,1,0.961032,0.45,0.452476,30,22.4183,3,0.960632,1000,40
3,1,1.00571,0.45,0.452835,30,28.8981,3,0.966678,1000,40
4,1,1.02948,0.45,0.452336,30,30.2243,3,1.50237,1000,40
5,1,1.02824,0.45,0.451204,30,30.1398,3,2.64226,1000,40
6,1,1.01573,0.45,0.450072,30,30.0653,3,3.82103,1000,40
7,1,1.00329,0.45,0.449304,30,30.0179,3,4.08705,1000,40
8,1,0.996084,0.45,0.44897,30,29.9931,3,3.61325,1000,40
9,1,0.994315,0.45,0.44896,30,29.9852,3,3.17945,1000,40
10,1,0.995846,0.45,0.449115,30,29.9882,3,2.96184,1000,40
11,1,0.998304,0.45,0.449308,30,29.9952,3,2.90323,1000,40
12,1,1.00018,0.45,0.449471,30,30.0008,3,2.92874,1000,40
13,1,1.00098,0.45,0.449589,30,30.0031,3,2.97759,1000,40
14,1,1.00096,0.45,0.449674,30,30.003,3,3.01305,1000,40
15,1,1.00054,0.45,0.449742,30,30.0017,3,3.02471,1000,40
16,1,1.00012,0.45,0.449805,30,30.0004,3,3.01932,1000,40
17,1,0.999866,0.45,0.449864,30,29.9996,3,3.00824,1000,40
18,1,0.9998,0.45,0.449917,30,29.9994,3,2.99926,1000,40
19,1,0.999851,0.45,0.449962,30,29.9996,3,2.99512,1000,40
20,1,0.999936,0.45,0.449996,30,29.9998,3,2.9951,1000,40
21,1,1,0.45,0.450018,30,30,3,2.99711,1000,40
22,1,1.00003,0.45,0.450031,30,30.0001,3,2.99928,1000,40
23,1,1.00003,0.45,0.450037,30,30.0001,3,3.00062,1000,40
24,1,1.00002,0.45,0.450039,30,30.0001,3,3.00102,1000,40
25,1,1,0.45,0.450037,30,30,3,3.00076,1000,40
26,1,0.999995,0.45,0.450034,30,30,3,3.00035,1000,40
27,1,0.999992,0.45,0.45003,30,30,3,3.00001,1000,40
28,1,0.999994,0.45,0.450026,30,30,3,2.99986,1000,40
29,1,0.999997,0.45,0.450022,30,30,3,2.99983,1000,40
30,1,0.999999,0.45,0.450017,30,30,3,2.99989,1000,40
31,1,1,0.45,0.450014,30,30,3,2.99995,1000,40
32,1,1,0.45,0.45001,30,30,3,3,1000,40
33,1,1,0.45,0.450008,30,30,3,3.00002,1000,40
34,1,1,0.45,0.450005,30,30,3,3.00002,1000,40
35,1,1,0.45,0.450004,30,30,3,3.00001,1000,40
36,1,1,0.45,0.450002,30,30,3,3,1000,40
37,1,1,0.45,0.450001,30,30,3,3,1000,40
38,1,1,0.45,0.450001,30,30,3,2.99999,1000,40
39,1,1,0.45,0.45,30,30,3,2.99999,1000,40
40,1,1,0.45,0.45,30,30,3,3,1000,40
41,1,1,0.45,0.45,30,30,3,3,1000,40
42,1,1,0.45,0.45,30,30,3,3,1000,40
43,1,1,0.45,0.45,30,30,3,3,1000,40
44,1,1,0.45,0.45,30,30,3,3,1000,40
45,1,1,0.45,0.45,30,30,3,3,1000,40
46,1,1,0.45,0.45,30,30,3,3,1000,40
47,1,1,0.45,0.45,30,30,3,3,1000,40
48,1,1,0.45,0.45,30,30,3,3,1000,40
49,1,1,0.45,0.45,30,30,3,3,1000,40
50,1,1,0.45,0.45,30,30,3,3,1000,40
51,0.95,0.983588,0.45,0.449533,30,30.0255,3,3.2724,1000,40
52,0.95,0.969245,0.45,0.449275,30,30.0088,3,3.21111,1000,40
53,0.95,0.9567,0.45,0.44917,30,30.0026,3,3.11122,1000,40
54,0.95,0.946243,0.45,0.449189,30,29.9922,3,3.03372,1000,40
55,0.95,0.942173,0.45,0.449424,30,29.9813,3,2.91713,1000,40
56,0.95,0.943357,0.45,0.449762,30,29.9831,3,2.84996,1000,40
57,0.95,0.946624,0.45,0.450064,30,29.9912,3,2.85654,1000,40
58,0.95,0.949586,0.45,0.450255,30,29.9992,3,2.91321,1000,40
59,0.95,0.9512,0.45,0.45033,30,30.0034,3,2.97963,1000,40
60,0.95,0.951501,0.45,0.450321,30,30.0041,3,3.02413,1000,40
61,0.95,0.951038,0.45,0.450273,30,30.0028,3,3.0376,1000,40
62,0.95,0.950391,0.45,0.450216,30,30.001,3,3.02944,1000,40
63,0.95,0.949918,0.45,0.450168,30,29.9998,3,3.01397,1000,40
64,0.95,0.949718,0.45,0.450132,30,29.9992,3,3.001,1000,40
65,0.95,0.949734,0.45,0.450105,30,29.9993,3,2.99433,1000,40
66,0.95,0.949849,0.45,0.450083,30,29.9996,3,2.99334,1000,40
67,0.95,0.949967,0.45,0.450063,30,29.9999,3,2.99554,1000,40
68,0.95,0.950038,0.45,0.450045,30,30.0001,3,2.99842,1000,40
69,0.95,0.950058,0.45,0.450028,30,30.0002,3,3.00048,1000,40
70,0.95,0.950044,0.45,0.450015,30,30.0001,3,3.0013,1000,40
71,0.95,0.95002,0.45,0.450004,30,30.0001,3,3.00119,1000,40
72,0.95,0.950001,0.45,0.449997,30,30,3,3.00065,1000,40
73,0.95,0.949991,0.45,0.449993,30,30,3,3.00015,1000,40
74,0.95,0.949989,0.45,0.449991,30,30,3,2.99983,1000,40
