"time","light_switch","light_intensity","headlight"
0,0,0,0
0.02,0.117647,0,0
0.04,0.352941,0,0
0.06,0.588235,0,1
0.08,0.823529,0,1
0.1,1.05882,0,1
0.12,1.29412,0,1
0.14,1.52941,0,1
0.16,1.76471,0,1
0.18,2,0,1
0.2,2,0.222222,1
0.22,2,0.444444,1
0.24,2,0.666667,1
0.26,2,0.888889,1
0.28,2,1.11111,1
0.3,2,1.33333,1
0.32,2,1.55556,1
0.34,2,1.77778,1
0.36,2,2,1
0.38,2,23,1
0.4,2,59,1
0.42,2,83,1
0.44,2,100,1
0.46,2,99.9937,1
0.48,2,99.9874,1
0.5,2,99.9811,1
0.52,2,99.9748,1
0.54,2,99.9686,1
0.56,2,99.9623,1
0.58,2,99.956,1
0.6,2,99.9497,1
0.62,2,99.9434,1
0.64,2,99.9371,1
0.66,2,99.9308,1
0.68,2,99.9245,1
0.7,2,99.9182,1
0.72,2,99.9119,1
0.74,2,99.9057,1
0.76,2,99.8994,1
0.78,2,99.8931,1
0.8,2,99.8868,1
0.82,2,99.8805,1
0.84,2,99.8742,1
0.86,2,99.8679,1
0.88,2,99.8616,1
0.9,2,99.8553,1
0.92,2,99.8491,1
0.94,2,99.8428,1
0.96,2,99.8365,1
0.98,2,99.8302,1
1,2,99.8239,1
1.02,2,99.8176,1
1.04,2,99.8113,1
1.06,2,99.805,1
1.08,2,99.7987,1
1.1,2,99.7925,1
1.12,2,99.7862,1
1.14,2,99.7799,1
1.16,2,99.7736,1
1.18,2,99.7673,1
1.2,2,99.761,1
1.22,2,99.7547,1
1.24,2,99.7484,1
1.26,2,99.7421,1
1.28,2,99.7358,1
1.3,2,99.7296,1
1.32,2,99.7233,1
1.34,2,99.717,1
1.36,2,99.7107,1
1.38,2,99.7044,1
1.4,2,99.6981,1
1.42,2,99.6918,1
1.44,2,99.6855,1
1.46,2,99.6792,1
1.48,2,99.673,1
1.5,2,99.6667,1
1.52,2,99.6604,1
1.54,2,99.6541,1
1.56,2,99.6478,1
1.58,2,99.6415,1
1.6,2,99.6352,1
1.62,2,99.6289,1
1.64,2,99.6226,1
1.66,2,99.6164,1
