"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
0,0,33.789999999999999,67.560000000000002,-1.4890000000000001,-2.21
0.001,1.175257830848305e-005,33.788731522669046,67.436317828199591,0.3305464608694626,-0.33840747756232192
0.002,6.0794631644489962e-005,33.810695186738393,67.389104659178713,0.31567526435029658,-0.32302028238338965
0.003,0.00014692098563127948,33.826399344200993,67.349420897010731,0.29479130222999828,-0.30164916219250582
0.004,0.00026356523792402049,33.836264893653485,67.317250599453558,0.27010806442103807,-0.27651408735249849
0.005,0.00040312832027613156,33.841012305946364,67.292131523934444,0.24336923966568125,-0.24936294995127606
0.006,0.00055840568987153283,33.841443018668151,67.27339952208284,0.21591900680763521,-0.22154217973663359
0.007,0.00072301669365897026,33.838353461244729,67.260300646757401,0.18876517668583137,-0.1940602502891311
0.008,0.00089152170104506623,33.832493936222718,67.252055454591797,0.16263618081014597,-0.16764500812496441
0.009,0.0010594236912823401,33.824546800081329,67.247900461933767,0.13803200815686067,-0.14279491246188303
0.01,0.0012231176264224934,33.815115388262178,67.247115414894083,0.11526905819197453,-0.11982415130293356
0.011,0.0013798130356744022,33.804719916536477,67.24904048619706,0.094519101756707191,-0.098901826546991423
0.012,0.001527442935062193,33.793798197778074,67.25308593323517,0.075842638263864171,-0.080085498182573822
0.013,0.0016645676462447934,33.782709643584866,67.258736100575078,0.059216965624503515,-0.06334940581873405
0.014,0.0017902789756226343,33.771741391542072,67.265549317350803,0.044559523824843073,-0.048607932030119483
0.015,0.001904108708574596,33.761115692105548,67.273154863285527,0.031746947588967345,-0.035734745840999227
0.016,0.0020059439078198263,33.750997887565219,67.281247976283126,0.020630356467816302,-0.024578158450477727
0.017,0.002095950704027886,33.741504473276201,67.289583670932288,0.011047349761805436,-0.014973162243556049
0.018,0.0021745070759618202,33.732710910592516,67.297969939542824,0.0028312256813909364,-0.0067506763235110068
0.019,0.0022421449353270235,33.724658938862987,67.306261040974121,-0.0041821652010566313,0.00025558242267398334
0.02,0.0022995010623762407,33.717363446906894,67.314351274275751,-0.010149519141331331,0.0062041802732886175
0.021,0.0023472767941231641,33.710819056463848,67.322166462572639,-0.015216788564905159,0.011242713677555471
0.022,0.0023862058740345615,33.7050032983949,67.329659125946037,-0.019517101332339637,0.015505760994899642
0.023,0.0024170283218008324,33.699881991180327,67.336803288522447,-0.023169746087731591,0.019113861271269572
0.024,0.0024404704961044563,33.695413158876647,67.343589735262512,-0.026279905420257044,0.022173263079516281
0.025,0.0024572305513512107,33.691550072011225,67.350021939243547,-0.028938950449002854,0.02477623968081899
0.026,0.0024679683311183407,33.688243678544737,67.356112616480999,-0.031225136723479263,0.027001805230368991
0.027,0.0024732988682091344,33.685444505786371,67.361880856899475,-0.033204568837138293,0.028916700237841653
0.028,0.0024737888038157611,33.683104099904959,67.367349787622857,-0.034932326299220717,0.03057653393619264
0.029,0.0024699550943754582,33.681176076904329,67.372544703865842,-0.036453669503984321,0.032027009178745569
0.03,0.0024622654806209128,33.679616844588573,67.377491617390149,-0.037805260507629335,0.03330515610382967
0.031,0.0024511402504319075,33.678386057754729,67.382216160170017,-0.039016349211431156,0.034440538416901534
0.032,0.0024369549063257361,33.67744685898866,67.386742790145675,-0.04010989953785693,0.035456378314310699
0.033,0.0024200434095450543,33.676765955249145,67.391094242690031,-0.04110362170594184,0.036370610925028135
0.034,0.0024007018682999852,33.676313556734499,67.395291192933968,-0.042010920961499609,0.037196835593934052
0.035,0.0023791922375723776,33.676063233376681,67.399352075635278,-0.042841721311302816,0.037945147293919179
0.036,0.0023557459673871372,33.675991713751415,67.403293022498517,-0.043603186368318392,0.038622863030994492
0.037,0.0023305677508684256,33.676078618096902,67.407127914049326,-0.044300354919326379,0.039235161837101851
0.038,0.0023038388000082774,33.676306197120631,67.410868478792011,-0.04493665740475461,0.039785604586604517
0.039,0.0022757200802857127,33.67665903904264,67.414524458419024,-0.045514359194479659,0.04027657989513056
0.04,0.0022463549747283183,33.67712381259652,67.418103774371559,-0.046034908696948151,0.040709654066139023
0.041,0.0022158720276246702,33.677688976159011,67.421612749313383,-0.046499232236183019,0.041085867364223039
0.042,0.0021843869986548879,33.678344549940398,67.425056292562999,-0.046907950910868967,0.041405951710181133
0.043,0.0021520049194328908,33.679081873116324,67.428438113774021,-0.047261554794238103,0.04167050544363371
0.044,0.002118821672159639,33.679893408359881,67.431760904392817,-0.047560524284832373,0.041880114925260781
0.045,0.0020849254465112399,33.68077255344182,67.435026520356459,-0.047805422594392355,0.042035447105034596
0.046,0.0020503979096619046,33.681713482358113,67.438236143235912,-0.047996952873278098,0.042137306568264865
0.047,0.0020153151521786002,33.682711011752232,67.441390420263929,-0.048135991290271019,0.042186668454408327
0.048,0.0019797484929061191,33.683760482931881,67.444489591646672,-0.048223603466044818,0.042184694673935264
0.049,0.0019437651150952023,33.68485766472832,67.447533598511185,-0.048261045877531439,0.042132735070259275
0.05,0.001907428574980385,33.685998672874092,67.450522174736207,-0.048249757007070904,0.042032318323113049
0.051,0.0018707991995924322,33.687179904581761,67.453454923146566,-0.048191341258733145,0.041885135633303094
0.052,0.0018339343953418664,33.68839798602604,67.456331377847278,-0.048087548212288223,0.041693019751654625
0.053,0.0017968888832323737,33.689649731067654,67.459151053951004,-0.047940249253902278,0.041457921511214413
0.054,0.0017597148748189336,33.690932109587969,67.461913486109538,-0.047751413321069691,0.04118188527751232
0.055,0.0017224622055542727,33.692242223220866,67.464618258055168,-0.047523082559335017,0.040867024653219564
