"time","Var_disp"
0,-9.28221E-06
0.001,-9.28221E-06
0.001,-9.74133E-06
0.002,-9.74133E-06
0.002,-1.04546E-05
0.003,-1.04546E-05
0.003,-1.14577E-05
0.004,-1.14577E-05
0.004,-1.27866E-05
0.005,-1.27866E-05
0.005,-1.44672E-05
0.006,-1.44672E-05
0.006,-1.64367E-05
0.007,-1.64367E-05
0.007,-1.85840E-05
0.008,-1.85840E-05
0.008,-2.07956E-05
0.009,-2.07956E-05
0.009,-2.29561E-05
0.01,-2.29561E-05
0.01,-2.49485E-05
0.011,-2.49485E-05
0.011,-2.66538E-05
0.012,-2.66538E-05
0.012,-2.79513E-05
0.013,-2.79513E-05
0.013,-2.87208E-05
0.014,-2.87208E-05
0.014,-2.89137E-05
0.015,-2.89137E-05
0.015,-2.85649E-05
0.016,-2.85649E-05
0.016,-2.77141E-05
0.017,-2.77141E-05
0.017,-2.64006E-05
0.018,-2.64006E-05
0.018,-2.46638E-05
0.019,-2.46638E-05
0.019,-2.25427E-05
0.02,-2.25427E-05
0.02,-2.00762E-05
0.021,-2.00762E-05
0.021,-1.73032E-05
0.022,-1.73032E-05
0.022,-1.42621E-05
0.023,-1.42621E-05
0.023,-1.09947E-05
0.024,-1.09947E-05
0.024,-7.57914E-06
0.025,-7.57914E-06
0.025,-4.11549E-06
0.026,-4.11549E-06
0.026,-7.03006E-07
0.027,-7.03006E-07
0.027,2.56019E-06
0.028,2.56019E-06
0.028,5.57709E-06
0.029,5.57709E-06
0.029,8.25185E-06
0.03,8.25185E-06
0.03,1.04898E-05
0.031,1.04898E-05
0.031,1.21973E-05
0.032,1.21973E-05
0.032,1.32822E-05
0.033,1.32822E-05
0.033,1.36584E-05
0.034,1.36584E-05
0.034,1.33274E-05
0.035,1.33274E-05
0.035,1.23643E-05
0.036,1.23643E-05
0.036,1.08468E-05
0.037,1.08468E-05
0.037,8.85385E-06
0.038,8.85385E-06
0.038,6.46482E-06
0.039,6.46482E-06
0.039,3.75996E-06
0.04,3.75996E-06
0.04,8.20131E-07
0.041,8.20131E-07
0.041,-2.27310E-06
0.042,-2.27310E-06
0.042,-5.43755E-06
0.043,-5.43755E-06
0.043,-8.59056E-06
0.044,-8.59056E-06
0.044,-1.16548E-05
0.045,-1.16548E-05
0.045,-1.45604E-05
0.046,-1.45604E-05
0.046,-1.72375E-05
0.047,-1.72375E-05
0.047,-1.96151E-05
