"time","Capacitor1.i","IdealDiode3.v"
0.0,-500.848528137,-282.842712475
0.0001,-500.829606423,1.03698113237
0.0002,-500.382682904,2.00042509679
0.0003,-498.229938767,2.00255750611
0.0004,-494.708313293,2.00605887238
0.0005,-490.301436533,2.01044559143
0.0006,-485.495205801,2.01523178694
0.0007,-480.774633624,2.0199324624
0.0008,-476.620706625,2.02406664233
0.0009,-473.507274657,2.02716048312
0.001,-471.897987901,2.02875033605
0.0011,-472.243299302,2.02838574494
0.0012,-474.977549281,2.02563236155
0.0013,-480.516149196,2.02007476235
0.0014,-489.252879451,2.01131915054
0.0015,-500.578827106,-15.0562774887
0.0016,-500.567684661,-20.0330382841
0.0017,-500.557508798,-25.4989201173
0.0018,-500.548300012,-31.445396359
0.0019,-500.448846205,-38.6259522361
0.002,-494.606638955,-50.9240218836
0.0021,-480.014841938,-63.4529569443
0.0022,-457.196451902,-76.2270949841
0.0023,-426.724777212,-89.2587653936
0.0024,-389.219702944,-102.558141759
0.0025,-345.34374905,-116.133107037
0.0026,-295.79788723,-129.989132574
0.0027,-241.317146068,-144.12917162
0.0028,-182.666030893,-158.553567927
0.0029,-120.633784514,-173.259979998
0.003,-56.0295158218,-188.24332145
0.0031,10.3227760414,-203.495717878
0.0032,77.5892537104,-219.006480507
0.0033,144.931341222,-234.762096814
0.0034,211.510842408,-250.746238225
0.0035,276.495049176,-266.93978489
0.0036,339.061810898,-283.320867426
0.0037,398.404536399,-299.864925445
0.0038,453.737100444,-316.544782582
0.0039,504.29862722,-333.330737643
0.004,549.358124024,-350.190671394
0.0041,588.218939253,-367.090168447
0.0042,620.223019812,-383.992653595
0.0043,644.7549442,-400.859541871
0.0044,661.245708858,-417.65040153
0.0045,669.176246723,-434.323129097
0.0046,668.080658496,-450.834135512
0.0047,657.549138749,-467.1385424
0.0048,637.230580718,-483.190387393
0.0049,606.83484546,-498.942837388
0.005,566.134682922,-514.348408608
0.0051,514.96729445,-529.359192254
0.0052,453.235528273,-543.927084533
0.0053,382.31050841,-550.481295427
0.0054,306.726744372,-552.795080456
0.0055,226.861561613,-554.603148538
0.0056,142.781888509,-555.877081931
0.0057,54.5883364988,-556.589047025
0.0058,-37.5850660953,-556.711995115
0.0059,-133.571403614,-556.219883225
0.006,-184.486761956,-555.121152563
0.0061,-185.931947426,-553.88284168
0.0062,-183.724080582,-552.650975973
0.0063,-178.340197799,-551.44786304
0.0064,-170.276133296,-550.292537011
0.0065,-160.043432725,-549.200657004
0.0066,-148.166034878,-548.184416044
0.0067,-135.176886417,-547.252473431
0.0068,-121.614511582,-546.409909374
0.0069,-108.019556411,-545.658202792
0.007,-94.9313271577,-544.995232149
0.0071,-82.8843425631,-544.415299409
0.0072,-72.4049195484,-543.909176764
0.0073,-64.0078116579,-543.464175777
0.0074,-58.1929192701,-543.064238936
0.0075,-55.4420901537,-542.690052557
0.0076,-56.2160284131,-542.319180432
0.0077,-60.9513292344,-541.926218066
0.0078,-70.0576561097,-541.482965368
0.0079,-83.9150763979,-540.958617971
0.008,-102.871570171,-540.319975499
0.0081,-127.240726299,-539.531665338
0.0082,-157.299638668,-538.556381687
0.0083,-193.28701428,-537.355136284
0.0084,-235.401503786,-535.887522625
0.0085,-283.800263745,-534.111988781
0.0086,-335.362509479,-531.99595563
0.0087,-385.811535185,-529.541000103
0.0088,-435.28439076,-526.754038738
0.0089,-433.942534834,-523.853142695
0.009,-425.038936625,-520.994770748
0.0091,-409.222043453,-518.226005015
0.0092,-387.035307711,-515.590600815
0.0093,-359.060667415,-513.12852267
0.0094,-325.914826094,-510.87570242
0.0095,-288.245325244,-508.863824837
0.0096,-246.72645072,-507.120139524
0.0097,-202.054994938,-505.667300865
0.0098,-154.94589907,-504.523236921
0.0099,-106.127800067,-503.701047555
0.01,-56.3385078305,-503.208932842
0.0101,-6.3204381967,-503.050151513
0.0102,43.1839724153,-503.223010346
0.0103,91.4368447503,-503.720883631
0.0104,137.709401029,-504.532263428
0.0105,181.286450215,-505.640839696
0.0106,221.470789,-507.025609965
0.0107,257.587493774,-508.661017909
0.0108,288.98807952,-510.517120009
0.0109,315.054502312,-512.559779298
0.011,335.202983052,-514.750884785
0.0111,348.887631076,-517.048595982
0.0112,355.603847434,-519.407610208
0.0113,354.89148889,-521.779451611
0.0114,346.337775072,-524.112780585
0.0115,329.579922646,-526.353720766
0.0116,304.307491931,-528.446202989
0.0117,270.264433029,-530.332322959
0.0118,227.25082019,-531.952711892
0.0119,176.610469489,-533.247249456
0.012,123.117084643,-534.178528036
0.0121,67.0185108269,-534.728621612
0.0122,8.20190003041,-534.879867247
0.0123,-53.4238985755,-534.613788409
0.0124,-117.925615407,-533.911516043
0.0125,-185.345379537,-532.753824749
0.0126,-184.132472755,-376.629959624
0.0127,-168.166919642,-361.005200469
0.0128,-148.372285271,-345.344604965
0.0129,-125.321566009,-329.674919419
0.013,-99.6073550213,-314.021027638
0.0131,-71.8380068126,-298.40587561
0.0132,-42.6337803372,-282.850410497
0.0133,-12.6229210485,-267.373532537
0.0134,17.5622958291,-251.992060054
0.0135,47.2895383331,-236.720707651
0.0136,75.9303845802,-221.572077659
0.0137,102.864260917,-206.55666476
0.0138,127.482329148,-191.682873689
0.0139,149.191300917,-176.957049819
0.014,167.417157737,-162.383522363
0.0141,181.60875576,-147.964659852
0.0142,191.241295005,-133.700937497
0.0143,195.819633618,-119.591015964
0.0144,194.88142856,-105.631831012
0.0145,188.000085177,-91.8186934243
0.0146,174.787499162,-78.1453985666
0.0147,154.896575621,-64.6043448687
0.0148,128.023511215,-51.186660486
0.0149,93.9098266981,-37.8823373349
0.015,52.3441385781,-24.6803716674
0.0151,3.16366009681,-11.5689103131
0.0152,-53.7445767358,1.4645983176
0.0153,-115.120332926,2.00664789512
0.0154,-177.153612211,2.02762661098
0.0155,-239.912062324,2.06283530726
0.0156,-303.46129352,2.11215138303
0.0157,-346.475485108,2.15417656885
0.0158,-340.703590206,2.15995978466
0.0159,-329.074338935,2.17160058015
0.016,-312.111423885,2.1885753035
0.0161,-290.370776837,2.21032805815
0.0162,-264.436936274,2.23627433499
0.0163,-234.919306281,2.26580475326
0.0164,-202.448281229,2.29828893559
0.0165,-167.671258417,2.33307949524
0.0166,-131.248561433,2.36951611256
0.0167,-93.8492974407,2.40692967767
0.0168,-56.1471719614,2.44464647558
0.0169,-18.8162848686,2.48199239022
0.017,17.4730685774,2.51829710343
0.0171,52.0585679229,2.55289826522
0.0172,84.2899854013,2.5851456118
0.0173,113.53322829,2.61440500808
0.0174,139.174282993,2.64006239194
0.0175,160.623038695,2.66152759814
0.0176,177.316969107,2.67823804034
0.0177,188.724651708,2.68966223066
0.0178,194.349104755,2.695303117
0.0179,193.730923452,2.69470121963
0.018,186.451197754,2.68743754939
0.0181,172.134195587,2.67313629131
0.0182,150.44979655,2.65146723885
0.0183,121.115662607,2.62214796497
0.0184,83.899133761,2.58494571841
0.0185,38.6249229967,2.53968461268
0.0186,-11.0174896325,2.49004233577
0.0187,-61.9235264623,2.43913576325
0.0188,-114.248290242,2.38680977433
0.0189,-168.134159799,2.33292197014
0.019,-223.709263263,2.27734420075
0.0191,-263.909831607,2.23701299761
0.0192,-248.853911364,2.25205152078
0.0193,-228.76502587,2.27212306996
0.0194,-204.214771983,2.29665611017
0.0195,-175.801782549,2.32505206447
0.0196,-144.147849169,2.35668919114
0.0197,-109.893981822,2.39092652381
0.0198,-73.6963662466,2.42710791392
0.0199,-36.2222421114,2.46456615238
0.02,1.85427456062,2.50262714706
0.0201,39.8564009997,2.54061413233
0.0202,77.1089054632,2.57785188686
0.0203,112.942309312,2.61367093564
0.0204,146.697049645,2.64741171276
0.0205,177.727579022,2.67842866121
0.0206,205.406379167,2.70609424671
0.0207,229.127866096,2.72980286309
0.0208,248.312164724,2.74897460705
0.0209,262.408731794,2.7630589014
0.021,270.899806834,2.77153794631
0.0211,273.303671838,2.77392997932
0.0212,269.17770149,2.76979232592
0.0213,258.121186907,2.75872422369
0.0214,239.777917205,2.74036940431
0.0215,213.838504534,2.71441841901
0.0216,180.042439706,2.68061069467
0.0217,138.179867053,2.63873630917
0.0218,88.093068719,2.58863747622
0.0219,30.1019650956,2.52977664557
0.022,-30.7569432392,2.45703637318
0.0221,-93.0705562223,2.36892411181
0.0222,-156.907994684,2.2654854893
0.0223,-222.324707166,2.1467873312
0.0224,-289.36156689,2.01291799854
0.0225,-290.089991028,-139.058047433
0.0226,-278.931476228,-153.034322753
0.0227,-262.866742541,-167.166534395
0.0228,-242.447456062,-181.455297865
0.0229,-218.251047881,-195.89923907
0.023,-190.87736723,-210.494941258
0.0231,-160.944864028,-225.236891301
0.0232,-129.086670717,-240.1174391
0.0233,-95.9466080627,-255.126770211
0.0234,-62.1751373244,-270.252891917
0.0235,-28.4252817742,-285.481632869
0.0236,4.65145928078,-300.796656343
0.0237,36.409180851,-316.179487095
0.0238,66.2116039769,-331.60955169
0.0239,93.4360460466,-347.064232145
0.024,117.477307345,-362.518932615
0.0241,137.751451958,-377.947158792
0.0242,153.699461794,-393.320609625
0.0243,164.790743206,-408.609280872
0.0244,170.52646658,-423.781579968
0.0245,170.442720187,-438.804451586
0.0246,164.113460698,-453.643513232
0.0247,151.153243884,-468.263200171
0.0248,131.219720314,-482.626918886
0.0249,104.015882158,-496.697208271
0.025,69.2920486623,-510.435907679
0.0251,26.8475792769,-523.804330935
0.0252,-23.215475895,-533.363464888
0.0253,-76.0326724971,-533.04407302
0.0254,-129.805383523,-532.383648849
0.0255,-184.667403918,-531.375228386
0.0256,-240.742135892,-530.010980562
0.0257,-298.141167735,-528.282281811
0.0258,-290.778308179,-526.319637904
0.0259,-274.478376634,-524.448808097
0.026,-253.155421328,-522.708730632
0.0261,-227.388986848,-521.130391367
0.0262,-197.785408944,-519.740799852
0.0263,-164.973877784,-518.562822243
0.0264,-129.602456067,-517.615046006
0.0265,-92.333997048,-516.911671797
0.0266,-53.8419857158,-516.462432802
0.0267,-14.8063267621,-516.272542197
0.0268,24.090896731,-516.342668525
0.0269,62.1696698597,-516.668940009
0.027,98.7562736995,-517.24297602
0.0271,133.18747046,-518.051947881
0.0272,164.814622391,-519.078665978
0.0273,193.007721255,-520.301695245
0.0274,217.159305699,-521.695496046
0.0275,236.688244542,-523.230590945
0.0276,251.043364763,-524.873756264
0.0277,259.706903879,-526.58823672
0.0278,262.197767424,-528.333982332
0.0279,258.074573326,-530.067906251
0.028,246.938466246,-531.744162053
0.0281,228.435686206,-533.314438212
0.0282,202.259877247,-534.728268939
0.0283,168.154123338,-535.933359424
0.0284,125.912700287,-536.875922867
0.0285,75.3825339906,-537.501028386
0.0286,18.6550081894,-537.758982929
0.0287,-39.6970383557,-537.631336697
0.0288,-99.6196671348,-537.107921813
0.0289,-161.198799742,-536.177887389
0.029,-224.505499532,-534.829873651
0.0291,-279.283850798,-533.067201889
0.0292,-269.915280737,-531.242984109
0.0293,-255.385558507,-529.50376861
0.0294,-236.237314778,-527.881744946
0.0295,-213.039426428,-526.405248016
0.0296,-186.385088862,-525.098717363
0.0297,-156.887960393,-523.982547185
0.0298,-125.178269108,-523.072966642
0.0299,-91.8988325683,-522.381946458
0.03,-57.7010129898,-521.917132659
0.0301,-23.240630923,-521.681807333
0.0302,10.8261393898,-521.67487646
0.0303,43.8468697123,-521.890885689
0.0304,75.1769493818,-522.320062589
0.0305,104.18360575,-522.948386462
0.0306,130.249850823,-523.757684367
0.0307,152.778331883,-524.725753002
0.0308,171.195064439,-525.826506044
0.0309,184.953026536,-527.03014541
0.031,193.535594292,-528.30335607
0.0311,196.459799411,-529.609523052
0.0312,193.279390467,-530.908968679
0.0313,183.587680871,-532.159210588
0.0314,167.02016765,-533.315236307
0.0315,143.256906474,-534.329795466
0.0316,112.024629425,-535.153705771
0.0317,73.0985832037,-535.736172634
0.0318,26.3041344606,-536.025118759
0.0319,-27.5360751384,-535.967378421
0.032,-83.1719047256,-535.528814737
0.0321,-139.883220026,-534.700662761
0.0322,-197.781582751,-533.475381753
0.0323,-256.966992359,-531.844760286
0.0324,-302.135499158,-405.543615997
0.0325,-291.491936202,-389.751800798
0.0326,-275.419965096,-373.879447025
0.0327,-254.469804203,-357.958524479
0.0328,-229.219897837,-342.0191784
0.0329,-200.274386649,-326.089674496
0.033,-168.25933263,-310.196306693
0.0331,-133.818756371,-294.363315779
0.0332,-97.6105783711,-278.612821402
0.0333,-60.3024886324,-262.964767674
0.0334,-22.5677679287,-247.436882599
0.0335,14.9189155111,-232.044651452
0.0336,51.4857101025,-216.801304177
0.0337,86.4677620027,-201.717816779
0.0338,119.211349598,-186.802926594
0.0339,149.077948064,-172.063161289
0.034,175.448201121,-157.502881297
0.0341,197.725777651,-143.124335388
0.0342,215.341091522,-128.927728952
0.0343,227.754863777,-114.911304518
0.0344,234.461507242,-101.071433977
0.0345,234.992314629,-87.4027218819
0.0346,228.918432358,-73.8981191737
0.0347,215.853603508,-60.5490465843
0.0348,195.456664664,-47.3455269515
0.0349,167.43378278,-34.2763256077
0.035,131.54041969,-21.3290979702
0.0351,87.5830133936,-8.49054341977
0.0352,35.5336007757,2.00022653972
0.0353,-20.1437843676,2.00978945071
0.0354,-77.1851914856,2.0333382733
0.0355,-135.699612342,2.07074305246
0.0356,-195.78278511,2.12186611588
0.0357,-257.516048911,2.18656272018
0.0358,-278.419153037,2.22224162679
0.0359,-265.592127783,2.23508082642
0.036,-247.785283195,2.25290011932
0.0361,-225.55883204,2.2751393244
0.0362,-199.499438934,2.30121180283
0.0363,-170.216623486,2.33050805471
0.0364,-138.338896065,2.36239958308
0.0365,-104.509784666,2.39624286695
0.0366,-69.3837831091,2.43138341292
0.0367,-33.6222437511,2.46715986248
0.0368,2.11076163227,2.50290813102
0.0369,37.1525893939,2.53796555546
0.037,70.846156511,2.57167502674
0.0371,102.544034675,2.60338908406
0.0372,131.612482874,2.63247394755
0.0373,157.435395742,2.65831346682
0.0374,179.418145471,2.6803129631
0.0375,196.991295689,2.69790294332
0.0376,209.614166477,2.71054266548
0.0377,216.778230549,2.71772353509
0.0378,218.010321602,2.71897231393
0.0379,212.875636911,2.713854123
0.038,200.980517424,2.70197522302
0.0381,181.974989889,2.68298555703
0.0382,155.555056869,2.65658104086
0.0383,121.464721972,2.62250558881
0.0384,79.4977390701,2.58055286343
0.0385,29.4990758788,2.53056773958
0.0386,-26.246479961,2.4748244707
0.0387,-83.2468574353,2.4178233076
0.0388,-141.497975802,2.35957063413
0.0389,-201.098658291,2.29996760961
0.039,-262.135119218,2.23892800106
0.0391,-294.274533869,2.20665517006
0.0392,-282.910891368,2.21800108917
0.0393,-266.318789769,2.23457549258
0.0394,-245.050903373,2.25582576973
0.0395,-219.688038599,2.28117117239
0.0396,-190.835479093,2.3100064692
0.0397,-159.119135567,2.34170579565
0.0398,-125.181584371,2.37562661527
0.0399,-89.6780185109,2.4111137685
0.04,-53.2721341237,2.44750358605
0.0401,-16.6319757935,2.48412804353
0.0402,19.5742357282,2.52031893372
0.0403,54.682269761,2.55541203277
0.0404,88.0360223353,2.58875123694
0.0405,118.991599882,2.61969264632
0.0406,146.921326947,2.64760857274
0.0407,171.217655386,2.6718914491
0.0408,191.296953045,2.69195761825
0.0409,206.603150686,2.70725098019
0.041,216.611226706,2.71724647707
0.0411,220.830510153,2.72145339649
0.0412,218.807783571,2.71941847473
0.0413,210.130168385,2.71072878249
0.0414,194.427776728,2.69501437712
0.0415,171.376114989,2.67195070663
0.0416,140.698225732,2.64126075203
0.0417,102.166556131,2.60271689623
0.0418,55.6045426193,2.55614250924
0.0419,1.84728775104,2.50044752458
0.042,-53.8970452765,2.43028980091
0.0421,-110.933214422,2.34484123827
0.0422,-169.370015921,2.24412780606
0.0423,-229.303106263,2.12819625689
0.0424,-289.371364548,-122.746607145
0.0425,-279.527671085,-136.596603413
0.0426,-264.320299738,-150.614831735
0.0427,-244.295289384,-164.802375696
0.0428,-220.02542909,-179.159495536
0.0429,-192.109329457,-193.684416048
0.043,-161.167257949,-208.373249919
0.0431,-127.837208622,-223.219946851
0.0432,-92.7708772741,-238.216256033
0.0433,-56.6295658999,-253.351702208
0.0434,-20.0800396829,-268.613575512
0.0435,16.209639959,-283.986935187
0.0436,51.5742826616,-299.454627199
0.0437,85.3557131623,-314.997315704
0.0438,116.906868703,-330.593528227
0.0439,145.595826678,-346.219714357
0.044,170.809739856,-361.850317665
0.0441,191.958657031,-377.457860474
0.0442,208.479207679,-393.01304108
0.0443,219.838129928,-408.484842883
0.0444,225.535622115,-423.840654891
0.0445,225.108499184,-439.046402938
0.0446,218.133136309,-454.066690941
0.0447,204.228183326,-468.864951434
0.0448,183.0570349,-483.403604575
0.0449,154.330042684,-497.644224783
0.045,117.806457238,-511.547714102
0.0451,73.2960889634,-525.074481367
0.0452,20.7479658773,-536.205378907
0.0453,-35.4573885911,-536.166295002
0.0454,-92.9126329538,-535.762449493
0.0455,-151.723863216,-534.985019337
0.0456,-211.984819886,-533.824508138
0.0457,-273.775728004,-532.270831664
0.0458,-286.942018593,-530.378912035
0.0459,-274.033252021,-528.518999485
0.046,-256.097743547,-526.767203626
0.0461,-233.696728006,-525.154648906
0.0462,-207.417913101,-523.708571766
0.0463,-177.872110664,-522.452189127
0.0464,-145.689363421,-521.404560281
0.0465,-111.514962481,-520.580475968
0.0466,-76.0053851745,-519.990374234
0.0467,-39.8241764522,-519.640283713
0.0468,-3.6377972555,-519.531794262
0.0469,31.8885366181,-519.662056044
0.047,66.0950015899,-520.023805188
0.0471,98.3312758781,-520.605418205
0.0472,127.960588391,-521.390992437
0.0473,154.363684121,-522.36045381
0.0474,176.942683727,-523.489690464
0.0475,195.12481563,-524.750711319
0.0476,208.365999673,-526.111829367
0.0477,216.154262276,-527.537867501
0.0478,218.012963985,-528.990386992
0.0479,213.503821384,-530.427935928
0.048,202.22970651,-531.806317536
0.0481,183.837208211,-533.078875494
0.0482,158.018941184,-534.196795625
0.0483,124.515589914,-535.109421757
0.0484,83.117676195,-535.764584109
0.0485,33.6670404965,-536.108937974
0.0486,-21.4077305704,-536.09559569
0.0487,-77.7441947383,-535.70943922
0.0488,-135.373219448,-534.942165367
0.0489,-194.398159053,-533.784702237
0.049,-254.909408278,-532.227344495
0.0491,-289.554374844,-530.322567356
0.0492,-277.864550355,-528.439849585
0.0493,-260.974281592,-526.657854138
0.0494,-239.438381749,-525.008907475
0.0495,-213.839087663,-523.521473154
0.0496,-184.782947744,-522.220023769
0.0497,-152.896947656,-521.124898283
0.0498,-118.824547928,-520.25218217
0.0499,-83.2216312016,-519.613615043
0.05,-46.7523851408,-519.216525733
0.0501,-10.0851453494,-519.063794737
0.0502,26.1117781848,-519.153844921
0.0503,61.1742674843,-519.480659488
0.0504,94.4465322573,-520.033828043
0.0505,125.285191507,-520.798619698
0.0506,153.063278073,-521.756083352
0.0507,177.174143558,-522.883174058
0.0508,197.035241703,-524.152904787
0.0509,212.091768971,-525.534523233
0.051,221.82014194,-526.993711755
0.0511,225.731292053,-528.492809872
0.0512,223.373759292,-529.991058037
0.0513,214.336567556,-531.444860893
0.0514,198.251865684,-532.808068547
0.0515,174.797319481,-534.032274931
0.0516,143.698241446,-535.067130334
