"time","revolute1_w","revolute2_w"
0,0,0
0.003,0,0
0.003,-0.0754395,0.100219
0.006,-0.0754395,0.100219
0.006,-0.150868,0.200412
0.009,-0.150868,0.200412
0.009,-0.226286,0.300576
0.012,-0.226286,0.300576
0.012,-0.301691,0.40071
0.015,-0.301691,0.40071
0.015,-0.377084,0.50081
0.018,-0.377084,0.50081
0.018,-0.452462,0.600872
0.021,-0.452462,0.600872
0.021,-0.527824,0.700889
0.024,-0.527824,0.700889
0.024,-0.603168,0.800852
0.027,-0.603168,0.800852
0.027,-0.678488,0.900748
0.03,-0.678488,0.900748
0.03,-0.75378,1.00056
0.033,-0.75378,1.00056
0.033,-0.829039,1.10026
0.036,-0.829039,1.10026
0.036,-0.904256,1.19984
0.039,-0.904256,1.19984
0.039,-0.979423,1.29926
0.042,-0.979423,1.29926
0.042,-1.05453,1.39848
0.045,-1.05453,1.39848
0.045,-1.12956,1.49746
0.048,-1.12956,1.49746
0.048,-1.2045,1.59615
0.051,-1.2045,1.59615
0.051,-1.27934,1.6945
0.054,-1.27934,1.6945
0.054,-1.35406,1.79245
0.057,-1.35406,1.79245
0.057,-1.42864,1.88994
0.06,-1.42864,1.88994
0.06,-1.50305,1.98687
0.063,-1.50305,1.98687
0.063,-1.57728,2.08318
0.066,-1.57728,2.08318
0.066,-1.65128,2.17877
0.069,-1.65128,2.17877
0.069,-1.72505,2.27354
0.072,-1.72505,2.27354
0.072,-1.79853,2.36738
0.075,-1.79853,2.36738
0.075,-1.87171,2.46019
0.078,-1.87171,2.46019
0.078,-1.94455,2.55183
0.081,-1.94455,2.55183
0.081,-2.017,2.64219
0.084,-2.017,2.64219
0.084,-2.08902,2.73113
0.087,-2.08902,2.73113
0.087,-2.16059,2.8185
0.09,-2.16059,2.8185
0.09,-2.23165,2.90416
0.093,-2.23165,2.90416
0.093,-2.30215,2.98795
0.096,-2.30215,2.98795
0.096,-2.37206,3.06972
0.099,-2.37206,3.06972
0.099,-2.44133,3.1493
0.102,-2.44133,3.1493
0.102,-2.50991,3.22654
0.105,-2.50991,3.22654
0.105,-2.57776,3.30127
0.108,-2.57776,3.30127
0.108,-2.64481,3.37333
0.111,-2.64481,3.37333
0.111,-2.71104,3.44254
0.114,-2.71104,3.44254
0.114,-2.7764,3.50875
0.117,-2.7764,3.50875
0.117,-2.84083,3.57179
0.12,-2.84083,3.57179
0.12,-2.9043,3.63152
0.123,-2.9043,3.63152
0.123,-2.96676,3.68777
0.126,-2.96676,3.68777
