"time","B1.f2.Pt","B1.f2.m","B2.f2.Pt","B2.f2.m","C1.V_bubble","C2.V_bubble","D1.f_out.m","D2.f_out.m","D3.f_out.m","D4.f_out.m"
0.000000,1.400555,-69.132802,1.400555,-69.132802,6.383486,6.383486,-69.132802,-69.132802,0.000001,0.000001
1.000000,1.590477,1044.440266,1.400555,-69.132802,6.105200,6.452660,1045.207887,-69.132802,0.000001,0.000001
2.000000,1.953108,2320.816136,1.400555,-69.132802,4.313975,6.521835,2320.960210,-69.132802,0.000001,0.000001
3.000000,3.445729,2330.846391,1.400555,-69.132802,1.690266,6.591009,2335.196952,-69.132802,0.000001,0.000001
4.000000,5.248196,45.081792,1.400555,-69.132802,0.983560,6.660183,34.459026,-69.132802,0.000001,0.000001
5.000000,5.229558,56.608115,1.400555,-69.132802,0.930400,6.729358,48.606498,-69.132802,0.000001,0.000001
6.000000,5.229648,56.671107,1.400555,-69.132802,0.873801,6.798532,50.437771,-69.132802,0.000001,0.000001
7.000000,5.229072,56.648095,1.400555,-69.132802,0.817194,6.867706,51.614429,-69.132802,0.000000,0.000000
8.000000,5.228968,56.631965,1.400555,-69.132802,0.760588,6.936881,52.569479,-69.132802,0.000000,0.000000
9.000000,5.228898,56.605756,1.400555,-69.132802,0.703983,7.006055,54.235476,-69.132802,0.000001,0.000001
10.000000,5.229166,56.653152,1.400555,-69.132802,0.647379,7.075229,53.704381,-69.132802,0.000006,-0.000023
11.000000,5.228846,56.570548,1.400555,-69.132802,0.590774,7.144404,56.570723,-69.132802,0.000002,-0.000003
12.000000,5.228846,56.570547,1.400555,-69.132802,0.534169,7.213578,56.570547,-69.132802,0.000005,-0.000006
13.000000,5.228846,56.570548,1.400555,-69.132802,0.477565,7.282752,56.570548,-69.132802,0.000003,-0.000004
14.000000,5.228846,56.570548,1.400555,-69.132802,0.420960,7.351926,56.570548,-69.132802,0.000003,-0.000004
15.000000,5.228846,56.570548,1.400555,-69.132802,0.364356,7.421101,56.570548,-69.132802,0.000003,-0.000004
16.000000,5.228846,56.570548,1.400555,-69.132802,0.307751,7.490275,56.570548,-69.132802,0.000003,-0.000004
17.000000,5.228846,56.570548,1.400555,-69.132802,0.251147,7.559449,56.570548,-69.132802,0.000003,-0.000004
18.000000,5.228846,56.570548,1.400555,-69.132802,0.194542,7.628624,56.570548,-69.132802,0.000003,-0.000004
19.000000,5.228846,56.570548,1.400555,-69.132802,0.137938,7.697798,56.570548,-69.132802,0.000003,-0.000004
20.000000,5.228846,56.570548,1.400555,-69.132802,0.081333,7.766972,56.570548,-69.132802,0.000003,-0.000004
21.000000,5.151578,124.879457,1.400555,-69.132802,0.025700,7.836147,124.857104,-69.132802,-41.421267,-16.522211
22.000000,4.381400,713.817668,1.400555,-69.132802,0.000000,7.905321,758.449359,-69.132802,-424.540658,-175.622008
23.000000,3.704513,1489.744694,1.400555,-69.132802,0.000000,7.974495,1515.096283,-69.132802,-899.802666,-401.004767
24.000000,3.365827,2116.666400,1.400555,-69.132802,0.000000,8.043669,2135.244632,-69.132802,-1184.242191,-596.720386
25.000000,3.123137,2482.987996,1.400555,-69.132802,0.000000,8.112844,2488.476803,-69.132802,-1283.866285,-732.970983
26.000000,2.934457,2649.058723,1.400555,-69.132802,0.000000,8.182018,2649.183490,-69.132802,-1267.820527,-803.666842
27.000000,2.812332,2749.511868,1.400555,-69.132802,0.000000,8.251192,2749.179503,-69.132802,-1235.028142,-842.427817
28.000000,2.763471,2790.945555,1.400555,-69.132802,0.000000,8.320367,2790.941931,-69.132802,-1183.099044,-852.917734
29.000000,2.747296,2804.514027,1.400555,-69.132802,0.000000,8.389541,2804.517253,-69.132802,-1133.786941,-848.747010
30.000000,2.740861,2809.894755,1.400555,-69.132802,0.000000,8.458715,2809.895669,-69.132802,-1093.293617,-838.601687
31.000000,2.738050,2812.243365,1.400555,-69.132802,0.000000,8.527890,2812.243805,-69.132802,-1061.304275,-826.084140
32.000000,2.736576,2813.461587,1.400555,-69.132802,0.000000,8.597064,2813.461736,-69.132802,-1035.561849,-813.160611
33.000000,2.735672,2814.201648,1.400555,-69.132802,0.000000,8.666238,2814.201699,-69.132802,-1014.944973,-800.720050
34.000000,2.735062,2814.696834,1.400555,-69.132802,0.000000,8.735413,2814.696863,-69.132802,-998.491140,-789.133818
35.000000,2.734589,2815.080135,1.400555,-69.132802,0.000000,8.804587,2815.080156,-69.132802,-985.166406,-778.629635
36.000000,2.734206,2815.389185,1.400555,-69.132802,0.000000,8.873761,2815.389201,-69.132802,-974.295858,-769.242339
37.000000,2.733892,2815.643654,1.400555,-69.132802,0.000000,8.942935,2815.643666,-69.132802,-965.308484,-760.920680
38.000000,2.733630,2815.855306,1.400555,-69.132802,0.000000,9.012110,2815.855315,-69.132802,-957.814726,-753.574795
39.000000,2.733412,2816.031593,1.400555,-69.132802,0.000000,9.081284,2816.031601,-69.132802,-951.566218,-747.123871
40.000000,2.733228,2816.179789,1.400555,-69.132802,0.000000,9.150458,2816.179794,-69.132802,-946.314703,-741.468917
41.000000,2.733072,2816.306134,1.400555,-69.132802,0.000000,9.219633,2816.306138,-69.132802,-941.839993,-736.495025
42.000000,2.732938,2816.413922,1.400555,-69.132802,0.000000,9.288807,2816.413925,-69.132802,-938.025854,-732.129309
43.000000,2.732824,2816.506161,1.400555,-69.132802,0.000000,9.357981,2816.506164,-69.132802,-934.766434,-728.299669
44.000000,2.732726,2816.585410,1.400555,-69.132802,0.000000,9.427156,2816.585413,-69.132802,-931.970942,-724.939102
45.000000,2.732641,2816.653439,1.400555,-69.132802,0.000000,9.496330,2816.653441,-69.132802,-929.576166,-721.997606
46.000000,2.732568,2816.712246,1.400555,-69.132802,0.000000,9.565504,2816.712248,-69.132802,-927.511152,-719.415647
47.000000,2.732505,2816.763383,1.400555,-69.132802,0.000000,9.634679,2816.763384,-69.132802,-925.720027,-717.143246
48.000000,2.732449,2816.808081,1.400555,-69.132802,0.000000,9.703853,2816.808082,-69.132802,-924.158168,-715.137591
49.000000,2.732401,2816.847291,1.400555,-69.132802,0.000000,9.773027,2816.847292,-69.132802,-922.791097,-713.363506
50.000000,2.732358,2816.881814,1.400555,-69.132802,0.000000,9.842201,2816.881815,-69.132802,-921.589907,-711.790361
51.000000,2.732320,2816.912278,1.400555,-69.132802,0.000000,9.911376,2816.912278,-69.132802,-920.532228,-710.393333
52.000000,2.732287,2816.939213,1.400555,-69.132802,0.000000,9.980550,2816.939214,-69.132802,-919.599110,-709.150919
53.000000,2.732257,2816.963064,1.400555,-69.132802,0.000000,10.049724,2816.963065,-69.132802,-918.774633,-708.044788
54.000000,2.732231,2816.984234,1.400555,-69.132802,0.000000,10.118899,2816.984234,-69.132802,-918.044487,-707.058401
55.000000,2.732207,2817.003072,1.400555,-69.132802,0.000000,10.188073,2817.003072,-69.132802,-917.396431,-706.177409
