"time","heatCapacitor_T","switch_Controll"
3.18,302.562,0
3.19,302.649,0
3.2,302.736,0
3.21,302.822,0
3.22,302.909,0
3.23,302.995,0
3.24,303.081,0
3.25,303.168,0
3.26,303.254,0
3.27,303.34,0
3.28,303.425,0
3.29,303.511,0
3.3,303.597,0
3.31,303.682,0
3.32,303.768,0
3.33,303.853,0
3.34,303.938,0
3.35,304.023,0
3.36,304.108,0
3.37,304.193,0
3.38,304.278,0
3.39,304.362,0
3.4,304.447,0
3.41,304.531,0
3.42,304.615,0
3.43,304.699,0
3.44,304.783,0
3.45,304.867,0
3.46,304.951,0
3.47,305.035,0
3.48,305.118,0
3.49,305.202,0
3.5,305.285,0
3.51,305.369,0
3.52,305.452,0
3.53,305.512,1
3.54,305.5,1
3.55,305.488,1
3.56,305.475,1
3.57,305.463,1
3.58,305.451,1
3.59,305.438,1
3.6,305.426,1
3.61,305.414,1
3.62,305.402,1
3.63,305.389,1
3.64,305.377,1
3.65,305.365,1
3.66,305.353,1
3.67,305.341,1
3.68,305.328,1
3.69,305.316,1
3.7,305.304,1
3.71,305.292,1
3.72,305.28,1
3.73,305.268,1
3.74,305.256,1
3.75,305.244,1
3.76,305.232,1
3.77,305.219,1
3.78,305.207,1
3.79,305.195,1
3.8,305.183,1
3.81,305.171,1
3.82,305.159,1
3.83,305.147,1
3.84,305.135,1
3.85,305.123,1
3.86,305.111,1
3.87,305.099,1
3.88,305.088,1
3.89,305.076,1
3.9,305.069,0
3.91,305.153,0
3.92,305.236,0
3.93,305.319,0
3.94,305.402,0
3.95,305.485,0
3.96,305.568,0
3.97,305.651,0
3.98,305.734,0
3.99,305.817,0
4,305.899,0
4.01,305.981,0
4.02,306.064,0
4.03,306.146,0
4.04,306.228,0
4.05,306.31,0
4.06,306.392,0
4.07,306.473,0
4.08,306.555,0
4.09,306.637,0
4.1,306.718,0
4.11,306.799,0
4.12,306.88,0
4.13,306.962,0
4.14,307.043,0
4.15,307.123,0
4.16,307.204,0
4.17,307.285,0
4.18,307.365,0
4.19,307.446,0
