"time","J1.phi","J1.w","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0.003,0.03,9.97,0.4,-0.03,-9.94,0,-0.03,0,0,0.2
0.006,0.05991,9.94282,0.4,-0.05982,-9.88282,-9e-05,-0.0599999,0,0,0.2
0.009,0.0897385,9.91845,0.4,-0.0894685,-9.82845,-0.00027,-0.0899992,0,0,0.2
0.015,0.149184,9.87786,0.4,-0.148284,-9.72787,-0.00089999,-0.149994,0,0,0.2
0.021,0.208402,9.84757,0.4,-0.206512,-9.63759,-0.00188994,-0.209982,0,0,0.2
0.027,0.267453,9.82652,0.4,-0.264213,-9.55656,-0.00323981,-0.26996,0,0,0.2
0.033,0.32639,9.81333,0.4,-0.32144,-9.4834,-0.00494952,-0.329923,0,0,0.2
0.036,0.35583,9.80917,0.4,-0.34989,-9.44928,-0.00593928,-0.359898,0,0,0.2
0.039,0.385257,9.80635,0.4,-0.378238,-9.41648,-0.00701898,-0.389868,0,0,0.2
0.042,0.414676,9.80461,0.4,-0.406488,-9.38478,-0.00818858,-0.419833,0,0,0.2
0.045,0.44409,9.80371,0.4,-0.434642,-9.35392,-0.00944808,-0.449793,0,0,0.2
0.048,0.473501,9.80339,0.4,-0.462704,-9.32364,-0.0107975,-0.479746,0,0,0.2
0.051,0.502911,9.80338,0.4,-0.490675,-9.29369,-0.0122367,-0.509693,0,0,0.2
0.054,0.532321,9.80342,0.4,-0.518556,-9.26379,-0.0137658,-0.539633,0,0,0.2
0.057,0.561732,9.80326,0.4,-0.546347,-9.23369,-0.0153847,-0.569566,0,0,0.2
0.06,0.591141,9.80261,0.4,-0.574048,-9.20312,-0.0170934,-0.59949,0,0,0.2
0.066,0.649953,9.79885,0.4,-0.629173,-9.13953,-0.0207801,-0.659315,0,0,0.2
0.069,0.679349,9.79524,0.4,-0.656591,-9.10602,-0.022758,-0.689214,0,0,0.2
0.072,0.708735,9.79016,0.4,-0.68391,-9.07106,-0.0248257,-0.719103,0,0,0.2
0.075,0.738106,9.7834,0.4,-0.711123,-9.03441,-0.026983,-0.748983,0,0,0.2
0.078,0.767456,9.77474,0.4,-0.738226,-8.99589,-0.0292299,-0.778852,0,0,0.2
0.081,0.79678,9.76401,0.4,-0.765214,-8.9553,-0.0315665,-0.80871,0,0,0.2
0.084,0.826072,9.75102,0.4,-0.79208,-8.91246,-0.0339926,-0.838557,0,0,0.2
0.087,0.855325,9.73564,0.4,-0.818817,-8.86725,-0.0365083,-0.868393,0,0,0.2
0.09,0.884532,9.71773,0.4,-0.845419,-8.81951,-0.0391134,-0.898216,0,0,0.2
0.093,0.913685,9.69719,0.4,-0.871877,-8.76916,-0.0418081,-0.928027,0,0,0.2
0.096,0.942777,9.67393,0.4,-0.898185,-8.71611,-0.0445922,-0.957825,0,0,0.2
0.099,0.971799,9.64791,0.4,-0.924333,-8.6603,-0.0474657,-0.98761,0,0,0.2
0.102,1.00074,9.61908,0.4,-0.950314,-8.6017,-0.0504285,-1.01738,0,0,0.2
0.105,1.0296,9.58744,0.4,-0.976119,-8.5403,-0.0534806,-1.04714,0,0,0.2
0.108,1.05836,9.55301,0.4,-1.00174,-8.47612,-0.056622,-1.07688,0,0,0.2
0.111,1.08702,9.51582,0.4,-1.02717,-8.40921,-0.0598527,-1.10661,0,0,0.2
0.114,1.11557,9.47594,0.4,-1.0524,-8.33962,-0.0631725,-1.13632,0,0,0.2
0.117,1.144,9.43347,0.4,-1.07741,-8.26746,-0.0665815,-1.16602,0,0,0.2
0.12,1.1723,9.38852,0.4,-1.10222,-8.19283,-0.0700795,-1.1957,0,0,0.2
0.123,1.20046,9.34123,0.4,-1.1268,-8.11587,-0.0736666,-1.22536,0,0,0.2
0.129,1.25636,9.24024,0.4,-1.17525,-7.95561,-0.0811077,-1.28463,0,0,0.2
0.132,1.28408,9.18693,0.4,-1.19912,-7.87268,-0.0849616,-1.31424,0,0,0.2
0.135,1.31164,9.13201,0.4,-1.22274,-7.78817,-0.0889043,-1.34384,0,0,0.2
0.138,1.33904,9.0757,0.4,-1.2461,-7.70229,-0.0929358,-1.37341,0,0,0.2
0.141,1.36627,9.01825,0.4,-1.26921,-7.61529,-0.0970561,-1.40296,0,0,0.2
