"time","V","X"
0,-0.00199402,1.999999004
0.01,-0.021289396,1.99988163
0.02,-0.039459598,1.999576979
0.03,-0.056569652,1.999095978
0.04,-0.072681509,1.998448919
0.05,-0.087854058,1.997645487
0.06,-0.102143212,1.996694791
0.07,-0.115601966,1.995605394
0.08,-0.128280555,1.994385352
0.09,-0.140226472,1.993042225
0.1,-0.15148459,1.991583115
0.11,-0.16209727,1.990014685
0.12,-0.172104473,1.988343188
0.13,-0.181543852,1.986574491
0.14,-0.190450853,1.98471409
0.15,-0.198858851,1.98276714
0.16,-0.206799243,1.980738475
0.17,-0.214301525,1.978632619
0.18,-0.221393427,1.976453816
0.19,-0.228100981,1.974206034
0.2,-0.234448637,1.971892996
0.21,-0.240459345,1.969518185
0.22,-0.246154638,1.967084861
0.23,-0.251554705,1.964596078
0.24,-0.256678474,1.962054691
0.25,-0.261543699,1.959463372
0.26,-0.266167023,1.956824625
0.27,-0.270564045,1.954140788
0.28,-0.27474938,1.951414052
0.29,-0.278736724,1.948646463
0.3,-0.282538911,1.945839936
0.31,-0.286167964,1.942996263
0.32,-0.289635151,1.940117118
0.33,-0.292951027,1.937204066
0.34,-0.296125482,1.93425857
0.35,-0.29916778,1.931281998
0.36,-0.302086601,1.928275627
0.37,-0.304890084,1.925240651
0.38,-0.307585851,1.922178186
0.39,-0.310181048,1.919089271
0.4,-0.31268237,1.915974878
0.41,-0.315096097,1.912835916
0.42,-0.317428113,1.90967323
0.43,-0.319683941,1.906487609
0.44,-0.321868755,1.903279788
0.45,-0.323987412,1.900050455
0.46,-0.326044469,1.896800246
0.47,-0.328044201,1.893529757
0.48,-0.329990624,1.89023954
0.49,-0.331887505,1.88693011
0.5,-0.333738385,1.883601944
0.51,-0.335546589,1.880255485
0.52,-0.337315242,1.876891144
0.53,-0.339047283,1.873509303
0.54,-0.340745474,1.870110312
0.55,-0.342412413,1.866694498
0.56,-0.344050549,1.86326216
0.57,-0.345662183,1.859813575
0.58,-0.347249484,1.856348998
0.59,-0.348814498,1.85286866
0.6,-0.35035915,1.849372776
0.61,-0.351885259,1.845861539
0.62,-0.353394542,1.842335127
0.63,-0.354888618,1.838793699
0.64,-0.356369018,1.8352374
0.65,-0.35783719,1.831666359
0.66,-0.359294504,1.828080693
0.67,-0.360742136,1.824480299
0.68,-0.362181375,1.820865313
0.69,-0.363613506,1.817236012
0.7,-0.365039615,1.813592443
0.71,-0.366460734,1.809934614
0.72,-0.367877866,1.806262592
0.73,-0.36929196,1.802576414
0.74,-0.370703919,1.798876087
0.75,-0.372114607,1.795161701
0.76,-0.37352484,1.791433199
0.77,-0.374935403,1.787690627
0.78,-0.376347055,1.783933844
0.79,-0.377760504,1.780162999
0.8,-0.379176454,1.776377955
0.81,-0.380595555,1.772578759
0.82,-0.38201845,1.768765346
0.83,-0.38344575,1.764937686
0.84,-0.38487803,1.761095775
0.85,-0.386315858,1.757239557
0.86,-0.38775978,1.753368977
0.87,-0.389210256,1.749484133
0.88,-0.390667893,1.745584748
0.89,-0.392133197,1.741670749
0.9,-0.393606658,1.737742057
0.91,-0.395088754,1.733798587
0.92,-0.396579953,1.729840252
0.93,-0.39808071,1.725866956
0.94,-0.399591473,1.721878604
0.95,-0.40111268,1.717875092
0.96,-0.402644763,1.713856314
0.97,-0.404188144,1.709822159
0.98,-0.405743241,1.705772512
0.99,-0.407310468,1.701707254
1,-0.408890231,1.697626261
1.01,-0.410482935,1.693529406
1.02,-0.41208898,1.689416557
1.03,-0.413708765,1.68528758
1.04,-0.415342685,1.681142335
1.05,-0.416991134,1.676980678
1.06,-0.418654506,1.672802462
1.07,-0.420333193,1.668607537
1.08,-0.422027589,1.664395746
1.09,-0.423738087,1.660166931
1.1,-0.425465082,1.655920929
1.11,-0.42720897,1.651657573
1.12,-0.428970149,1.647376692
1.13,-0.430749019,1.643078111
1.14,-0.432545984,1.638761651
1.15,-0.434361451,1.634427129
1.16,-0.436195829,1.630074359
1.17,-0.438049533,1.625703148
1.18,-0.439922981,1.621313302
1.19,-0.441816599,1.616904621
1.2,-0.443730813,1.612476901
1.21,-0.44566606,1.608029935
1.22,-0.447622779,1.603563508
1.23,-0.449601418,1.599077406
1.24,-0.451602431,1.594571405
1.25,-0.453626278,1.590045281
1.26,-0.455673429,1.585498802
1.27,-0.45774436,1.580931733
1.28,-0.459839556,1.576343833
1.29,-0.461959511,1.571734859
1.3,-0.464104727,1.567104559
1.31,-0.466275718,1.562452678
1.32,-0.468473006,1.557778956
1.33,-0.470697123,1.553083128
1.34,-0.472948613,1.548364922
1.35,-0.475228031,1.543624063
1.36,-0.477535944,1.538860267
1.37,-0.479872929,1.534073246
1.38,-0.482239577,1.529262709
1.39,-0.484636494,1.524428354
1.4,-0.487064296,1.519569876
1.41,-0.489523614,1.514686963
1.42,-0.492015095,1.509779296
1.43,-0.494539399,1.504846551
1.44,-0.497097203,1.499888396
1.45,-0.499689198,1.494904492
1.46,-0.502316094,1.489894495
1.47,-0.504978616,1.484858051
1.48,-0.507677508,1.479794801
1.49,-0.510413531,1.474704377
1.5,-0.513187467,1.469586404
1.51,-0.516000114,1.464440498
