"time","step2","J1_w","J2_w","J3_w","J4_w"
0,0,10,0,0,0
0,0,10,0,0,0
0.001,0,9.99,0.01,-5.55112e-017,-5.55112e-017
0.002,0,9.98031,0.02,-6.80012e-016,-6.80012e-016
0.003,0,9.97094,0.03,3.05311e-016,3.05311e-016
0.004,0,9.96188,0.0399999,1.249e-015,1.249e-015
0.005,0,9.95314,0.0499998,1.91513e-015,1.91513e-015
0.006,0,9.9447,0.0599997,1.64452e-015,1.64452e-015
0.007,0,9.93658,0.0699995,1.06859e-015,1.06859e-015
0.008,0,9.92876,0.0799991,2.77556e-016,2.77556e-016
0.009,0,9.92124,0.0899987,4.85723e-016,4.85723e-016
0.01,0,9.91403,0.0999982,4.44089e-016,4.44089e-016
0.011,0,9.90713,0.109997,-5.55112e-017,-5.55112e-017
0.012,0,9.90051,0.119997,-2.77556e-016,-2.77556e-016
0.013,0,9.8942,0.129996,-3.88578e-016,-3.88578e-016
0.014,0,9.88817,0.139994,2.77556e-016,2.77556e-016
0.015,0,9.88243,0.149993,1.36002e-015,1.36002e-015
0.016,0,9.87697,0.159991,1.41553e-015,1.41553e-015
0.017,0,9.87179,0.169989,1.41553e-015,1.41553e-015
0.018,0,9.86688,0.179987,1.11022e-015,1.11022e-015
0.019,0,9.86224,0.189985,7.21645e-016,7.21645e-016
0.02,0,9.85787,0.199982,9.4369e-016,9.4369e-016
0.021,0,9.85375,0.209979,1.08247e-015,1.08247e-015
0.022,0,9.84988,0.219976,7.21645e-016,7.21645e-016
0.023,0,9.84626,0.229972,1.4988e-015,1.4988e-015
0.024,0,9.84287,0.239969,1.66533e-015,1.66533e-015
0.025,0,9.83972,0.249964,1.44329e-015,1.44329e-015
0.026,0,9.8368,0.25996,1.05471e-015,1.05471e-015
0.027,0,9.83409,0.269954,8.32667e-016,8.32667e-016
0.028,0,9.8316,0.279949,9.99201e-016,9.99201e-016
0.029,0,9.82931,0.289943,1.72085e-015,1.72085e-015
0.03,0,9.82722,0.299937,1.22125e-015,1.22125e-015
0.031,0,9.82532,0.30993,1.11022e-015,1.11022e-015
0.032,0,9.82359,0.319923,9.99201e-016,9.99201e-016
0.033,0,9.82205,0.329915,1.11022e-016,1.11022e-016
0.034,0,9.82066,0.339907,9.4369e-016,9.4369e-016
0.035,0,9.81943,0.349898,2.22045e-016,2.22045e-016
0.036,0,9.81835,0.359888,-3.88578e-016,-3.88578e-016
0.037,0,9.81741,0.369879,-1.55431e-015,-1.55431e-015
0.038,0,9.8166,0.379868,-2.60902e-015,-2.60902e-015
0.039,0,9.81591,0.389857,-1.77636e-015,-1.77636e-015
0.04,0,9.81533,0.399846,-1.44329e-015,-1.44329e-015
0.041,0,9.81485,0.409833,-1.05471e-015,-1.05471e-015
0.042,0,9.81447,0.41982,-7.77156e-016,-7.77156e-016
0.043,0,9.81417,0.429807,2.22045e-016,2.22045e-016
0.044,0,9.81394,0.439793,3.33067e-016,3.33067e-016
0.045,0,9.81378,0.449778,5.55112e-016,5.55112e-016
0.046,0,9.81367,0.459762,-6.10623e-016,-6.10623e-016
0.047,0,9.81361,0.469746,-2.22045e-016,-2.22045e-016
0.048,0,9.81358,0.479729,1.11022e-016,1.11022e-016
0.049,0,9.81358,0.489711,-2.22045e-016,-2.22045e-016
0.05,0,9.81359,0.499693,-1.11022e-015,-1.11022e-015
0.051,0,9.81361,0.509674,-1.55431e-015,-1.55431e-015
0.052,0,9.81363,0.519654,-1.66533e-015,-1.66533e-015
0.053,0,9.81363,0.529633,-7.77156e-016,-7.77156e-016
0.054,0,9.8136,0.539611,-8.88178e-016,-8.88178e-016
0.055,0,9.81355,0.549589,-1.55431e-015,-1.55431e-015
0.056,0,9.81345,0.559565,-1.77636e-015,-1.77636e-015
0.057,0,9.81329,0.569541,-1.44329e-015,-1.44329e-015
0.058,0,9.81308,0.579516,-1.55431e-015,-1.55431e-015
0.059,0,9.81279,0.58949,-7.77156e-016,-7.77156e-016
0.06,0,9.81242,0.599463,-2.22045e-015,-2.22045e-015
0.061,0,9.81196,0.609435,-3.21965e-015,-3.21965e-015
0.062,0,9.8114,0.619407,-1.9984e-015,-1.9984e-015
0.063,0,9.81072,0.629377,-3.33067e-015,-3.33067e-015
0.064,0,9.80993,0.639346,-4.10783e-015,-4.10783e-015
0.065,0,9.80901,0.649315,-4.21885e-015,-4.21885e-015
0.066,0,9.80795,0.659282,-4.55191e-015,-4.55191e-015
0.067,0,9.80675,0.669248,-5.32907e-015,-5.32907e-015
0.068,0,9.80539,0.679213,-5.9952e-015,-5.9952e-015
0.069,0,9.80387,0.689178,-6.99441e-015,-6.99441e-015
0.07,0,9.80218,0.699141,-6.43929e-015,-6.43929e-015
0.071,0,9.80031,0.709103,-6.66134e-015,-6.66134e-015
0.072,0,9.79825,0.719064,-7.77156e-015,-7.77156e-015
0.073,0,9.79599,0.729024,-6.99441e-015,-6.99441e-015
0.074,0,9.79354,0.738982,-7.99361e-015,-7.99361e-015
0.075,0,9.79087,0.74894,-8.10463e-015,-8.10463e-015
0.076,0,9.78798,0.758896,-8.99281e-015,-8.99281e-015
0.077,0,9.78487,0.768851,-9.76996e-015,-9.76996e-015
0.078,0,9.78153,0.778805,-1.02141e-014,-1.02141e-014
0.079,0,9.77795,0.788758,-1.07692e-014,-1.07692e-014
0.08,0,9.77413,0.79871,-1.09912e-014,-1.09912e-014
0.081,0,9.77006,0.80866,-1.07692e-014,-1.07692e-014
0.082,0,9.76573,0.818609,-1.07692e-014,-1.07692e-014
0.083,0,9.76114,0.828557,-1.21014e-014,-1.21014e-014
0.084,0,9.75629,0.838503,-1.28786e-014,-1.28786e-014
0.085,0,9.75116,0.848448,-1.33227e-014,-1.33227e-014
0.086,0,9.74575,0.858392,-1.21014e-014,-1.21014e-014
0.087,0,9.74007,0.868335,-1.18794e-014,-1.18794e-014
0.088,0,9.7341,0.878276,-1.17684e-014,-1.17684e-014
0.089,0,9.72784,0.888216,-1.12133e-014,-1.12133e-014
0.09,0,9.72129,0.898154,-1.13243e-014,-1.13243e-014
0.091,0,9.71444,0.908091,-1.14353e-014,-1.14353e-014
0.092,0,9.7073,0.918027,-1.07692e-014,-1.07692e-014
0.093,0,9.69985,0.927961,-9.99201e-015,-9.99201e-015
0.094,0,9.6921,0.937894,-9.54792e-015,-9.54792e-015
0.095,0,9.68404,0.947825,-9.54792e-015,-9.54792e-015
0.096,0,9.67568,0.957755,-9.32587e-015,-9.32587e-015
0.097,0,9.667,0.967683,-9.65894e-015,-9.65894e-015
0.098,0,9.65802,0.97761,-8.77076e-015,-8.77076e-015
0.099,0,9.64872,0.987535,-9.21485e-015,-9.21485e-015
0.1,0,9.63911,0.997459,-9.21485e-015,-9.21485e-015
0.101,0,9.62919,1.00738,-9.32587e-015,-9.32587e-015
0.102,0,9.61895,1.0173,-9.10383e-015,-9.10383e-015
0.103,0,9.60841,1.02722,-8.43769e-015,-8.43769e-015
0.104,0,9.59755,1.03714,-9.32587e-015,-9.32587e-015
0.105,0,9.58638,1.04705,-8.65974e-015,-8.65974e-015
0.106,0,9.5749,1.05697,-8.65974e-015,-8.65974e-015
0.107,0,9.56311,1.06688,-7.99361e-015,-7.99361e-015
0.108,0,9.55102,1.07679,-8.65974e-015,-8.65974e-015
0.109,0,9.53862,1.0867,-8.65974e-015,-8.65974e-015
0.11,0,9.52593,1.09661,-9.10383e-015,-9.10383e-015
0.111,0,9.51293,1.10651,-8.43769e-015,-8.43769e-015
0.112,0,9.49964,1.11642,-7.99361e-015,-7.99361e-015
0.113,0,9.48606,1.12632,-7.99361e-015,-7.99361e-015
0.114,0,9.47218,1.13622,-7.32747e-015,-7.32747e-015
0.115,0,9.45803,1.14612,-7.32747e-015,-7.32747e-015
0.116,0,9.44359,1.15602,-7.77156e-015,-7.77156e-015
0.117,0,9.42888,1.16591,-6.43929e-015,-6.43929e-015
0.118,0,9.41389,1.1758,-6.43929e-015,-6.43929e-015
0.119,0,9.39865,1.1857,-5.10703e-015,-5.10703e-015
0.12,0,9.38313,1.19558,-4.66294e-015,-4.66294e-015
0.121,0,9.36737,1.20547,-4.88498e-015,-4.88498e-015
0.122,0,9.35135,1.21536,-4.44089e-015,-4.44089e-015
0.123,0,9.3351,1.22524,-4.44089e-015,-4.44089e-015
0.124,0,9.3186,1.23512,-4.66294e-015,-4.66294e-015
0.125,0,9.30188,1.245,-4.88498e-015,-4.88498e-015
0.126,0,9.28493,1.25488,-4.88498e-015,-4.88498e-015
0.127,0,9.26776,1.26476,-6.21725e-015,-6.21725e-015
0.128,0,9.25039,1.27463,-6.66134e-015,-6.66134e-015
0.129,0,9.23281,1.2845,-6.66134e-015,-6.66134e-015
0.13,0,9.21504,1.29438,-7.54952e-015,-7.54952e-015
0.131,0,9.19708,1.30424,-7.32747e-015,-7.32747e-015
0.132,0,9.17894,1.31411,-6.43929e-015,-6.43929e-015
0.133,0,9.16063,1.32397,-6.66134e-015,-6.66134e-015
0.134,0,9.14216,1.33384,-6.43929e-015,-6.43929e-015
0.135,0,9.12354,1.3437,-6.66134e-015,-6.66134e-015
0.136,0,9.10477,1.35355,-7.32747e-015,-7.32747e-015
0.137,0,9.08587,1.36341,-7.99361e-015,-7.99361e-015
0.138,0,9.06684,1.37326,-7.99361e-015,-7.99361e-015
0.139,0,9.04769,1.38311,-8.43769e-015,-8.43769e-015
0.14,0,9.02843,1.39296,-8.43769e-015,-8.43769e-015
0.141,0,9.00907,1.40281,-8.21565e-015,-8.21565e-015
0.142,0,8.98963,1.41265,-8.43769e-015,-8.43769e-015
0.143,0,8.9701,1.4225,-7.54952e-015,-7.54952e-015
0.144,0,8.9505,1.43234,-7.77156e-015,-7.77156e-015
0.145,0,8.93084,1.44218,-7.32747e-015,-7.32747e-015
0.146,0,8.91112,1.45201,-7.10543e-015,-7.10543e-015
0.147,0,8.89137,1.46185,-7.77156e-015,-7.77156e-015
0.148,0,8.87158,1.47168,-6.88338e-015,-6.88338e-015
0.149,0,8.85177,1.48151,-7.10543e-015,-7.10543e-015
0.15,0,8.83195,1.49133,-7.54952e-015,-7.54952e-015
0.151,0,8.81213,1.50116,-6.88338e-015,-6.88338e-015
0.152,0,8.79231,1.51098,-6.21725e-015,-6.21725e-015
0.153,0,8.77251,1.5208,-7.10543e-015,-7.10543e-015
0.154,0,8.75274,1.53062,-7.10543e-015,-7.10543e-015
0.155,0,8.733,1.54043,-7.10543e-015,-7.10543e-015
0.156,0,8.71331,1.55024,-7.99361e-015,-7.99361e-015
0.157,0,8.69368,1.56005,-8.88178e-015,-8.88178e-015
0.158,0,8.67411,1.56986,-9.32587e-015,-9.32587e-015
0.159,0,8.65462,1.57967,-8.43769e-015,-8.43769e-015
0.16,0,8.63522,1.58947,-9.32587e-015,-9.32587e-015
0.161,0,8.6159,1.59927,-9.99201e-015,-9.99201e-015
0.162,0,8.5967,1.60907,-9.32587e-015,-9.32587e-015
0.163,0,8.57761,1.61886,-8.88178e-015,-8.88178e-015
0.164,0,8.55864,1.62865,-8.65974e-015,-8.65974e-015
0.165,0,8.5398,1.63844,-8.88178e-015,-8.88178e-015
0.166,0,8.5211,1.64823,-8.43769e-015,-8.43769e-015
0.167,0,8.50255,1.65802,-9.32587e-015,-9.32587e-015
0.168,0,8.48416,1.6678,-9.76996e-015,-9.76996e-015
0.169,0,8.46594,1.67758,-9.10383e-015,-9.10383e-015
0.17,0,8.44789,1.68736,-9.32587e-015,-9.32587e-015
0.171,0,8.43003,1.69713,-8.65974e-015,-8.65974e-015
0.172,0,8.41235,1.7069,-8.65974e-015,-8.65974e-015
0.173,0,8.39488,1.71667,-8.65974e-015,-8.65974e-015
0.174,0,8.37761,1.72644,-8.65974e-015,-8.65974e-015
0.175,0,8.36056,1.7362,-8.21565e-015,-8.21565e-015
0.176,0,8.34373,1.74596,-7.99361e-015,-7.99361e-015
0.177,0,8.32712,1.75572,-7.54952e-015,-7.54952e-015
0.178,0,8.31075,1.76547,-8.21565e-015,-8.21565e-015
0.179,0,8.29463,1.77523,-8.43769e-015,-8.43769e-015
0.18,0,8.27875,1.78498,-8.43769e-015,-8.43769e-015
0.181,0,8.26312,1.79472,-7.77156e-015,-7.77156e-015
0.182,0,8.24776,1.80447,-7.54952e-015,-7.54952e-015
0.183,0,8.23266,1.81421,-6.21725e-015,-6.21725e-015
0.184,0,8.21783,1.82395,-5.32907e-015,-5.32907e-015
0.185,0,8.20328,1.83368,-4.66294e-015,-4.66294e-015
0.186,0,8.189,1.84342,-3.77476e-015,-3.77476e-015
0.187,0,8.17502,1.85315,-3.77476e-015,-3.77476e-015
