Time,onOffController_reference,temperatureSensor_T,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,0,20,0,1,1,2
0.02,0,20,0,1,1,2
0.04,0,20,0,1,1,2
0.06,0,20,0,1,1,2
0.08,0,20,0,1,1,2
0.1,0,20,0,1,1,2
0.12,0,20,0,1,1,2
0.14,0,20,0,1,1,2
0.16,0,20,0,1,1,2
0.18,0,20,0,1,1,2
0.2,0,20,0,1,1,2
0.22,0,20,0,1,1,2
0.24,0,20,0,1,1,2
0.26,0,20,0,1,1,2
0.28,0,20,0,1,1,2
0.3,0,20,0,1,1,2
0.32,0,20,0,1,1,2
0.34,0,20,0,1,1,2
0.36,0,20,0,1,1,2
0.38,0,20,0,1,1,2
0.4,0,20,0,1,1,2
0.42,0,20,0,1,1,2
0.44,0,20,0,1,1,2
0.46,0,20,0,1,1,2
0.48,0,20,0,1,1,2
0.5,0,20,0,1,1,2
0.52,0,20,0,1,1,2
0.54,0,20,0,1,1,2
0.56,0,20,0,1,1,2
0.58,0,20,0,1,1,2
0.6,0,20,0,1,1,2
0.62,0,20,0,1,1,2
0.64,0,20,0,1,1,2
0.66,0,20,0,1,1,2
0.68,0,20,0,1,1,2
0.7,0,20,0,1,1,2
0.72,0,20,0,1,1,2
0.74,0,20,0,1,1,2
0.76,0,20,0,1,1,2
0.78,0,20,0,1,1,2
0.8,0,20,0,1,1,2
0.82,0,20,0,1,1,2
0.84,0,20,0,1,1,2
0.86,0,20,0,1,1,2
0.88,0,20,0,1,1,2
0.9,0,20,0,1,1,2
0.92,0,20,0,1,1,2
0.94,0,20,0,1,1,2
0.96,0,20,0,1,1,2
0.98,0,20,0,1,1,2
1,0,20,0,1,1,2
1.02,0,20,0,1,1,2
1.04,0,20,0,1,1,2
1.06,0,20,0,1,1,2
1.08,0,20,0,1,1,2
1.1,0,20,0,1,1,2
1.12,0,20,0,1,1,2
1.14,0,20,0,1,1,2
1.16,0,20,0,1,1,2
1.18,0,20,0,1,1,2
1.2,0,20,0,1,1,2
1.22,0,20,0,1,1,2
1.24,0,20,0,1,1,2
1.26,0,20,0,1,1,2
1.28,0,20,0,1,1,2
1.3,0,20,0,1,1,2
1.32,0,20,0,1,1,2
1.34,0,20,0,1,1,2
1.36,0,20,0,1,1,2
1.38,0,20,0,1,1,2
1.4,0,20,0,1,1,2
1.42,0,20,0,1,1,2
1.44,0,20,0,1,1,2
1.46,0,20,0,1,1,2
1.48,0,20,0,1,1,2
1.5,0,20,0,1,1,2
1.52,0,20,0,1,1,2
1.54,0,20,0,1,1,2
1.56,0,20,0,1,1,2
