"time","uDC"
0,565.685
0.0001,562.133
0.0002,558.794
0.0003,555.455
0.0004,552.117
0.0005,548.778
0.0006,545.439
0.0007,542.1
0.0008,538.761
0.0009,535.423
0.001,532.084
0.0011,528.745
0.0012,525.407
0.0013,522.068
0.0014,518.73
0.0015,515.391
0.0016,512.053
0.0017,508.714
0.0018,505.376
0.0019,502.038
0.002,498.699
0.0021,495.361
0.0022,492.023
0.0023,488.684
0.0024,485.346
0.0025,482.008
0.0026,478.67
0.0027,474.207
0.0028,470.869
0.0029,467.531
0.003,464.193
0.0031,460.855
0.0032,457.517
0.0033,454.179
0.0034,450.842
0.0035,447.504
0.0036,444.166
0.0037,440.828
0.0038,437.49
0.0039,434.153
0.004,430.815
0.0041,427.478
0.0042,424.14
0.0043,420.802
0.0044,417.465
0.0045,415.146
0.0046,411.809
0.0047,408.471
0.0048,405.134
0.0049,401.796
0.005,398.459
0.0051,395.122
0.0052,391.784
0.0053,388.447
0.0054,385.076
0.0055,380.457
0.0056,377.12
0.0057,373.783
0.0058,370.446
0.0059,367.109
0.006,363.772
0.0061,360.435
0.0062,357.098
0.0063,353.761
0.0064,350.425
0.0065,347.088
0.0066,343.751
0.0067,340.414
0.0068,337.077
0.0069,333.741
0.007,330.404
0.0071,327.068
0.0072,323.731
0.0073,320.394
0.0074,317.058
0.0075,313.721
0.0076,310.385
0.0077,307.048
0.0078,303.712
0.0079,300.376
0.008,297.039
0.0081,293.703
0.0082,291.744
0.0083,287.126
0.0084,283.79
0.0085,280.454
0.0086,277.943
0.0087,274.607
0.0088,271.271
0.0089,267.934
0.009,264.598
0.0091,261.263
0.0092,257.927
0.0093,254.591
0.0094,251.255
0.0095,247.919
0.0096,244.583
0.0097,241.247
0.0098,237.912
0.0099,234.576
0.01,231.24
0.0101,227.905
0.0102,224.569
0.0103,221.234
0.0104,217.898
0.0105,214.563
0.0106,211.227
0.0107,207.892
0.0108,204.556
0.0109,201.221
0.011,197.886
0.0111,195.114
