"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi"
0,0.2,0.4,0.9,0,0,0,-10,1,0
0.001,0.2,0.4,0.9,0.00999487,0.314108,0.00999487,-10,1,0.00999487
0.002,0.2,0.4,0.9,0.0199803,0.627905,0.0199803,-9.99999,1,0.0199803
0.003,0.2,0.4,0.9,0.0299564,0.941083,0.0299564,-9.99996,1,0.0299564
0.004,0.2,0.4,0.9,0.0399242,1.25333,0.0399242,-9.99991,1,0.0399242
0.005,0.2,0.4,0.9,0.0498833,1.56434,0.0498833,-9.99985,1,0.0498833
0.006,0.2,0.4,0.9,0.0598337,1.87381,0.0598337,-9.99977,1,0.0598337
0.007,0.2,0.4,0.9,0.0697761,2.18143,0.0697761,-9.99968,1,0.0697761
0.008,0.2,0.4,0.9,0.0797113,2.4869,0.0797113,-9.99957,1,0.0797113
0.009,0.2,0.4,0.9,0.0896385,2.78991,0.0896385,-9.99945,1,0.0896385
0.01,0.2,0.4,0.9,0.0995582,3.09017,0.0995582,-9.99931,1,0.0995582
0.011,0.2,0.4,0.9,0.109472,3.38738,0.109472,-9.99915,1,0.109472
0.012,0.2,0.4,0.9,0.119378,3.68125,0.119378,-9.99898,1,0.119378
0.013,0.2,0.4,0.9,0.129278,3.97148,0.129278,-9.99879,1,0.129278
0.014,0.2,0.4,0.9,0.139173,4.25779,0.139173,-9.99859,1,0.139173
0.015,0.2,0.4,0.9,0.149061,4.53991,0.149061,-9.99837,1,0.149061
0.016,0.2,0.4,0.9,0.158944,4.81754,0.158944,-9.99814,1,0.158944
0.017,0.2,0.4,0.9,0.168822,5.09041,0.168822,-9.99788,1,0.168822
0.018,0.2,0.4,0.9,0.178695,5.35827,0.178695,-9.99762,1,0.178695
0.019,0.2,0.4,0.9,0.188563,5.62083,0.188563,-9.99734,1,0.188563
0.02,0.2,0.4,0.9,0.198426,5.87785,0.198426,-9.99704,1,0.198426
0.021,0.2,0.4,0.9,0.208286,6.12907,0.208286,-9.99673,1,0.208286
0.022,0.2,0.4,0.9,0.218142,6.37424,0.218142,-9.9964,1,0.218142
0.023,0.2,0.4,0.9,0.227994,6.61312,0.227994,-9.99605,1,0.227994
0.024,0.2,0.4,0.9,0.237843,6.84547,0.237843,-9.99569,1,0.237843
0.025,0.2,0.4,0.9,0.247688,7.07107,0.247688,-9.99531,1,0.247688
0.026,0.2,0.4,0.9,0.25753,7.28969,0.25753,-9.99492,1,0.25753
0.027,0.2,0.4,0.9,0.26737,7.50111,0.26737,-9.99451,1,0.26737
