"time","TRes","TAmb","TDif","heatCapacitor.T"
0,293.14999999999998,293.14999999999998,2,293.14999999999998
0.01,293.24991689670759,293.14999999999998,2,293.24991689670759
0.02,293.34970229693812,293.14999999999998,2,293.34970229693812
0.03,293.4493528916442,293.14999999999998,2,293.4493528916442
0.04,293.54886626354994,293.14999999999998,2,293.54886626354994
0.05,293.64824175493584,293.14999999999998,2,293.64824175493584
0.06,293.74747929455913,293.14999999999998,2,293.74747929455913
0.07,293.84657900644686,293.14999999999998,2,293.84657900644686
0.08,293.94554107943441,293.14999999999998,2,293.94554107943441
0.09,294.04436572365887,293.14999999999998,2,294.04436572365887
0.1,294.14305315605134,293.14999999999998,2,294.14305315605134
0.11,294.24160359549973,293.14999999999998,2,294.24160359549973
0.12,294.34001723931323,293.14999999999998,2,294.34001723931323
0.13,294.43829429784341,293.14999999999998,2,294.43829429784341
0.14,294.53643500604602,293.14999999999998,2,294.53643500604602
0.15,294.63443959003354,293.14999999999998,2,294.63443959003354
0.16,294.73230827325057,293.14999999999998,2,294.73230827325057
0.17,294.83004127446026,293.14999999999998,2,294.83004127446026
0.18,294.92763881089678,293.14999999999998,2,294.92763881089678
0.19,295.02510109871088,293.14999999999998,2,295.02510109871088
0.2,295.1224283536647,293.14999999999998,2,295.1224283536647
0.21,295.21962079113973,293.14999999999998,2,295.21962079113973
0.22,295.31667862623601,293.14999999999998,2,295.31667862623601
0.23,295.41360207358093,293.14999999999998,2,295.41360207358093
0.24,295.51039134732974,293.14999999999998,2,295.51039134732974
0.25,295.60704666120233,293.14999999999998,2,295.60704666120233
0.26,295.70356822849408,293.14999999999998,2,295.70356822849408
0.27,295.79995626206767,293.14999999999998,2,295.79995626206767
0.28,295.89621097434491,293.14999999999998,2,295.89621097434491
0.29,295.99233257730526,293.14999999999998,2,295.99233257730526
0.3,296.08832128248861,293.14999999999998,2,296.08832128248861
0.31,296.18417730099799,293.14999999999998,2,296.18417730099799
0.32,296.27990084350125,293.14999999999998,2,296.27990084350125
0.33,296.3754921202322,293.14999999999998,2,296.3754921202322
0.34,296.47095134099135,293.14999999999998,2,296.47095134099135
0.35,296.5662787151474,293.14999999999998,2,296.5662787151474
0.36,296.66147445163841,293.14999999999998,2,296.66147445163841
0.37,296.75653875897325,293.14999999999998,2,296.75653875897325
0.38,296.85147184523277,293.14999999999998,2,296.85147184523277
0.39,296.94627391807114,293.14999999999998,2,296.94627391807114
0.4,297.04094518471697,293.14999999999998,2,297.04094518471697
0.41,297.13548585197469,293.14999999999998,2,297.13548585197469
