"time","counter"
0,1
0.12,1
0.24,1
0.36,1
0.48,1
0.6,1
0.72,1
0.84,1
0.96,1
1.08,2
1.2,2
1.32,2
1.44,2
1.56,2
1.68,2
1.8,2
1.92,2
2.04,3
2.16,3
2.28,3
2.4,3
2.52,3
2.64,3
2.76,3
2.88,3
3,3
3.12,4
3.24,4
3.36,4
3.48,4
3.6,4
3.72,4
3.84,4
3.96,4
4.08,5
4.2,5
4.32,5
4.44,5
4.56,5
4.68,5
4.8,5
4.92,5
5.04,6
5.16,6
5.28,6
5.4,6
5.52,6
5.64,6
5.76,6
5.88,6
6,6
6.12,7
6.24,7
6.36,7
6.48,7
6.6,7
6.72,7
6.84,7
6.96,7
7.08,8
7.2,8
7.32,8
7.44,8
7.56,8
7.68,8
7.8,8
7.92,8
8.04,9
8.16,9
8.28,9
8.4,9
8.52,9
8.64,9
8.76,9
8.88,9
9,9
9.12,10
9.24,10
9.36,10
9.48,10
9.6,10
9.72,10
9.84,10
9.96,10
10.08,11
10.2,11
10.32,11
10.44,11
10.56,11
10.68,11
10.8,11
10.92,11
11.04,12
11.16,12
11.28,12
11.4,12
11.52,12
11.64,12
11.76,12
11.88,12
12,12
