Time,TAmb,TDif,ground_p_v,ground_p_i,constantVoltage_V,constantVoltage_v,constantVoltage_i,constantVoltage_p_v,constantVoltage_p_i,constantVoltage_n_v,constantVoltage_n_i,heatCapacitor_C,heatCapacitor_T,der_heatCapacitor_T_,heatCapacitor_der_0T,heatCapacitor_port_T,heatCapacitor_port_Q_0flow,heatingResistor_R_0ref,heatingResistor_T_0ref,heatingResistor_alpha,heatingResistor_v,heatingResistor_i,heatingResistor_p_v,heatingResistor_p_i,heatingResistor_n_v,heatingResistor_n_i,heatingResistor_useHeatPort,heatingResistor_T,heatingResistor_heatPort_T,heatingResistor_heatPort_Q_0flow,heatingResistor_LossPower,heatingResistor_T_0heatPort,heatingResistor_R,fixedTemperature_T,fixedTemperature_port_T,fixedTemperature_port_Q_0flow,temperatureSensor_T,temperatureSensor_port_T,temperatureSensor_port_Q_0flow,thermalConductor_Q_0flow,thermalConductor_dT,thermalConductor_port_0a_T,thermalConductor_port_0a_Q_0flow,thermalConductor_port_0b_T,thermalConductor_port_0b_Q_0flow,thermalConductor_G,idealSwitch_v,idealSwitch_i,idealSwitch_p_v,idealSwitch_p_i,idealSwitch_n_v,idealSwitch_n_i,idealSwitch_Ron,idealSwitch_Goff,idealSwitch_useHeatPort,idealSwitch_T,idealSwitch_LossPower,idealSwitch_T_0heatPort,idealSwitch_control,idealSwitch_s,idealSwitch_unitVoltage,idealSwitch_unitCurrent,ramp_height,ramp_duration,ramp_offset,ramp_startTime,ramp_y,onOffController_reference,onOffController_u,onOffController_y,onOffController_bandwidth,onOffController_pre_0y_0start,logicalNot_u,logicalNot_y,TRes,heatCapacitor_0T,switch_0Controll,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,293.15,2,0,0,10,10,-0.999999,10,-0.999999,0,0.999999,1,293.15,9.99998,9.99998,293.15,9.99998,10,293.15,0.00392157,9.99999,0.999999,9.99999,0.999999,0,-0.999999,1,293.15,293.15,-9.99998,9.99998,293.15,10,293.15,293.15,0,20,293.15,0,0,0,293.15,0,293.15,-0,0.1,9.99999e-006,0.999999,10,0.999999,9.99999,-0.999999,1e-005,1e-005,0,293.15,9.99998e-006,293.15,0,0.999999,1,1,25,6,25,2,25,25,20,1,2,0,1,0,293.15,20,0,0,1,1,6
0.02,293.15,2,0,0,10,10,-0.999216,10,-0.999216,0,0.999216,1,293.35,9.97218,9.97218,293.35,9.97218,10,293.15,0.00392157,9.99999,0.999216,9.99999,0.999216,0,-0.999216,1,293.15,293.35,-9.99215,9.99215,293.35,10.0078,293.15,293.15,0.0199722,20.1997,293.35,0,0.0199722,0.199722,293.35,0.0199722,293.15,-0.0199722,0.1,9.99216e-006,0.999216,10,0.999216,9.99999,-0.999216,1e-005,1e-005,0,293.15,9.98433e-006,293.15,0,0.999216,1,1,25,6,25,2,25,25,20.1997,1,2,0,1,0,293.35,20.1997,0,0,1,1,6
0.04,293.15,2,0,0,10,10,-0.998437,10,-0.998437,0,0.998437,1,293.549,9.94447,9.94447,293.549,9.94447,10,293.15,0.00392157,9.99999,0.998437,9.99999,0.998437,0,-0.998437,1,293.15,293.549,-9.98436,9.98436,293.549,10.0156,293.15,293.15,0.0398888,20.3989,293.549,0,0.0398888,0.398888,293.549,0.0398888,293.15,-0.0398888,0.1,9.98437e-006,0.998437,10,0.998437,9.99999,-0.998437,1e-005,1e-005,0,293.15,9.96877e-006,293.15,0,0.998437,1,1,25,6,25,2,25,25,20.3989,1,2,0,1,0,293.549,20.3989,0,0,1,1,6
0.06,293.15,2,0,0,10,10,-0.997661,10,-0.997661,0,0.997661,1,293.747,9.91685,9.91685,293.747,9.91685,10,293.15,0.00392157,9.99999,0.997661,9.99999,0.997661,0,-0.997661,1,293.15,293.747,-9.9766,9.9766,293.747,10.0234,293.15,293.15,0.0597503,20.5975,293.747,0,0.0597503,0.597503,293.747,0.0597503,293.15,-0.0597503,0.1,9.97661e-006,0.997661,10,0.997661,9.99999,-0.997661,1e-005,1e-005,0,293.15,9.95328e-006,293.15,0,0.997661,1,1,25,6,25,2,25,25,20.5975,1,2,0,1,0,293.747,20.5975,0,0,1,1,6
0.08,293.15,2,0,0,10,10,-0.996889,10,-0.996889,0,0.996889,1,293.946,9.88932,9.88932,293.946,9.88932,10,293.15,0.00392157,9.99999,0.996889,9.99999,0.996889,0,-0.996889,1,293.15,293.946,-9.96888,9.96888,293.946,10.0312,293.15,293.15,0.0795566,20.7956,293.946,0,0.0795566,0.795566,293.946,0.0795566,293.15,-0.0795566,0.1,9.96889e-006,0.996889,10,0.996889,9.99999,-0.996889,1e-005,1e-005,0,293.15,9.93787e-006,293.15,0,0.996889,1,1,25,6,25,2,25,25,20.7956,1,2,0,1,0,293.946,20.7956,0,0,1,1,6
0.1,293.15,2,0,0,10,10,-0.99612,10,-0.99612,0,0.99612,1,294.143,9.86188,9.86188,294.143,9.86188,10,293.15,0.00392157,9.99999,0.99612,9.99999,0.99612,0,-0.99612,1,293.15,294.143,-9.96119,9.96119,294.143,10.0389,293.15,293.15,0.0993085,20.9931,294.143,0,0.0993085,0.993084,294.143,0.0993085,293.15,-0.0993085,0.1,9.9612e-006,0.99612,10,0.99612,9.99999,-0.99612,1e-005,1e-005,0,293.15,9.92254e-006,293.15,0,0.99612,1,1,25,6,25,2,25,25,20.9931,1,2,0,1,0,294.143,20.9931,0,0,1,1,6
0.12,293.15,2,0,0,10,10,-0.995354,10,-0.995354,0,0.995354,1,294.34,9.83452,9.83452,294.34,9.83452,10,293.15,0.00392157,9.99999,0.995354,9.99999,0.995354,0,-0.995354,1,293.15,294.34,-9.95353,9.95353,294.34,10.0467,293.15,293.15,0.119006,21.1901,294.34,0,0.119006,1.19006,294.34,0.119006,293.15,-0.119006,0.1,9.95354e-006,0.995354,10,0.995354,9.99999,-0.995354,1e-005,1e-005,0,293.15,9.90729e-006,293.15,0,0.995354,1,1,25,6,25,2,25,25,21.1901,1,2,0,1,0,294.34,21.1901,0,0,1,1,6
0.14,293.15,2,0,0,10,10,-0.994591,10,-0.994591,0,0.994591,1,294.536,9.80725,9.80725,294.536,9.80725,10,293.15,0.00392157,9.99999,0.994591,9.99999,0.994591,0,-0.994591,1,293.15,294.536,-9.9459,9.9459,294.536,10.0544,293.15,293.15,0.138648,21.3865,294.536,0,0.138648,1.38648,294.536,0.138648,293.15,-0.138648,0.1,9.94591e-006,0.994591,10,0.994591,9.99999,-0.994591,1e-005,1e-005,0,293.15,9.89212e-006,293.15,0,0.994591,1,1,25,6,25,2,25,25,21.3865,1,2,0,1,0,294.536,21.3865,0,0,1,1,6
0.16,293.15,2,0,0,10,10,-0.993832,10,-0.993832,0,0.993832,1,294.732,9.78007,9.78007,294.732,9.78007,10,293.15,0.00392157,9.99999,0.993832,9.99999,0.993832,0,-0.993832,1,293.15,294.732,-9.93831,9.93831,294.732,10.0621,293.15,293.15,0.158236,21.5824,294.732,0,0.158236,1.58236,294.732,0.158236,293.15,-0.158236,0.1,9.93832e-006,0.993832,10,0.993832,9.99999,-0.993832,1e-005,1e-005,0,293.15,9.87702e-006,293.15,0,0.993832,1,1,25,6,25,2,25,25,21.5824,1,2,0,1,0,294.732,21.5824,0,0,1,1,6
0.18,293.15,2,0,0,10,10,-0.993076,10,-0.993076,0,0.993076,1,294.928,9.75298,9.75298,294.928,9.75298,10,293.15,0.00392157,9.99999,0.993076,9.99999,0.993076,0,-0.993076,1,293.15,294.928,-9.93075,9.93075,294.928,10.0697,293.15,293.15,0.177771,21.7777,294.928,0,0.177771,1.77771,294.928,0.177771,293.15,-0.177771,0.1,9.93076e-006,0.993076,10,0.993076,9.99999,-0.993076,1e-005,1e-005,0,293.15,9.862e-006,293.15,0,0.993076,1,1,25,6,25,2,25,25,21.7777,1,2,0,1,0,294.928,21.7777,0,0,1,1,6
