"time","p0","p1","p2","p3","p4","p5","p6","x0","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
0,275,0.1,4,0.4,2.5,0.017,0.6,0,0,4900,4,140,0,0,0,0,35,35
0.008,275,0.1,4,0.4,2.5,0.017,0.6,4.294439933,0.5090909091,4958.893666,3.98848,140,26.38857408,58.6787391,0.7558688404,1.680781627,34.91157813,35.42066904
0.016,275,0.1,4,0.4,2.5,0.017,0.6,8.762592734,0.5090909091,4945.36655,3.97696,140,53.69556126,58.51633819,1.542313064,1.680781627,34.81495588,35.32404679
0.024,275,0.1,4,0.4,2.5,0.017,0.6,13.21256345,0.5090909091,4931.873824,3.96544,140,80.74003641,58.35435015,2.325557039,1.680781627,34.71857927,35.22767017
0.032,275,0.1,4,0.4,2.5,0.017,0.6,17.64440718,0.5090909091,4918.415445,3.95392,140,107.5238368,58.19277446,3.105610466,1.680781627,34.62244798,35.13153889
0.04,275,0.1,4,0.4,2.5,0.017,0.6,22.05817892,0.5090909091,4904.99137,3.9424,140,134.0487897,58.03161061,3.882483021,1.680781627,34.52656173,35.03565264
0.048,275,0.1,4,0.4,2.5,0.017,0.6,26.45393354,0.5090909091,4891.601557,3.93088,140,160.3167124,57.87085809,4.656184365,1.680781627,34.43092021,34.94001112
0.056,275,0.1,4,0.4,2.5,0.017,0.6,30.83172581,0.5090909091,4878.245963,3.91936,140,186.329412,57.7105164,5.426724137,1.680781627,34.33552311,34.84461402
0.064,275,0.1,4,0.4,2.5,0.017,0.6,35.19161039,0.5090909091,4864.924547,3.90784,140,212.0886861,57.55058503,6.194111958,1.680781627,34.24037014,34.74946105
0.072,275,0.1,4,0.4,2.5,0.017,0.6,39.53364183,0.5090909091,4851.637266,3.89632,140,237.5963221,57.39106348,6.958357428,1.680781627,34.14546099,34.6545519
0.08,275,0.1,4,0.4,2.5,0.017,0.6,43.85787456,0.5090909091,4838.38408,3.8848,140,262.8540978,57.23195125,7.719470131,1.680781627,34.05079537,34.55988628
0.088,275,0.1,4,0.4,2.5,0.017,0.6,48.16436292,0.5090909091,4825.164946,3.87328,140,287.8637811,57.07324784,8.477459628,1.680781627,33.95637299,34.4654639
0.096,275,0.1,4,0.4,2.5,0.017,0.6,52.45316114,0.5090909091,4811.979823,3.86176,140,312.6271303,56.91495276,9.232335464,1.680781627,33.86219354,34.37128445
