"time","Out1"
3.19,1.99905387
3.2,1.99856999
3.21,1.99798625
3.22,1.99730271
3.23,1.99651944
3.24,1.99563652
3.25,1.99465403
3.26,1.99357208
3.27,1.99239077
3.28,1.99111022
3.29,1.98973056
3.3,1.98825193
3.31,1.98667447
3.32,1.98499835
3.33,1.98322373
3.34,1.98135078
3.35,1.9793797
3.36,1.97731068
3.37,1.97514393
3.38,1.97287966
3.39,1.97051811
3.4,1.9680595
3.41,1.96550409
3.42,1.96285213
3.43,1.96010388
3.44,1.95725962
3.45,1.95431964
3.46,1.95128422
3.47,1.94815368
3.48,1.94492832
3.49,1.94160847
3.5,1.93819446
3.51,1.93468663
3.52,1.93108533
3.53,1.92739092
3.54,1.92360377
3.55,1.91972426
3.56,1.91575278
3.57,1.91168972
3.58,1.90753549
3.59,1.90329051
3.6,1.8989552
3.61,1.89453
3.62,1.89001534
3.63,1.88541168
3.64,1.88071948
3.65,1.87593921
3.66,1.87107134
3.67,1.86611637
3.68,1.86107478
3.69,1.85594709
3.7,1.8507338
3.71,1.84543544
3.72,1.84005253
3.73,1.83458562
3.74,1.82903525
3.75,1.82340198
3.76,1.81768637
3.77,1.81188899
3.78,1.80601042
3.79,1.80005125
3.8,1.79401207
3.81,1.78789349
3.82,1.78169612
3.83,1.77542058
3.84,1.7690675
3.85,1.76263751
3.86,1.75613126
3.87,1.7495494
3.88,1.74289258
3.89,1.73616147
3.9,1.72935674
3.91,1.72247908
3.92,1.71552917
3.93,1.70850771
3.94,1.7014154
3.95,1.69425294
3.96,1.68702106
3.97,1.67972048
3.98,1.67235192
3.99,1.66491613
4.0,1.65741385
4.01,1.64984583
4.02,1.64221282
4.03,1.63451559
4.04,1.62675491
4.05,1.61893155
4.06,1.6110463
4.07,1.60309994
4.08,1.59509327
4.09,1.58702709
4.1,1.57890221
4.11,1.57071944
4.12,1.5624796
4.13,1.55418351
4.14,1.545832
4.15,1.53742591
4.16,1.52896607
4.17,1.52045334
4.18,1.51188856
4.19,1.50327259
4.2,1.49460629
4.21,1.48589053
4.22,1.47712618
4.23,1.46831412
4.24,1.45945523
4.25,1.45055039
4.26,1.4416005
4.27,1.43260645
4.28,1.42356913
4.29,1.41448946
4.3,1.40536834
4.31,1.39620668
4.32,1.3870054
4.33,1.37776542
4.34,1.36848766
4.35,1.35917305
4.36,1.34982252
4.37,1.34043701
4.38,1.33101746
4.39,1.3215648
4.4,1.31207999
4.41,1.30256397
4.42,1.29301769
4.43,1.28344211
4.44,1.27383819
4.45,1.26420688
4.46,1.25454915
4.47,1.24486596
4.48,1.23515829
4.49,1.2254271
4.5,1.21567337
4.51,1.20589807
4.52,1.19610218
4.53,1.18628668
4.54,1.17645255
4.55,1.16660077
4.56,1.15673233
4.57,1.14684822
4.58,1.13694942
4.59,1.12703693
4.6,1.11711173
4.61,1.10717482
4.62,1.09722719
4.63,1.08726984
4.64,1.07730376
4.65,1.06732995
4.66,1.05734941
4.67,1.04736313
4.68,1.03737211
4.69,1.02737735
4.7,1.01737986
4.71,1.00738063
4.72,0.99738066
4.73,0.98738095
4.74,0.9773825
4.75,0.96738631
4.76,0.95739338
4.77,0.94740471
4.78,0.9374213
4.79,0.92744415
4.8,0.91747425
4.81,0.9075126
4.82,0.8975602
4.83,0.88761804
4.84,0.87768712
4.85,0.86776843
4.86,0.85786296
4.87,0.84797171
4.88,0.83809566
4.89,0.8282358
4.9,0.81839311
4.91,0.80856858
4.92,0.7987632
4.93,0.78897794
4.94,0.77921378
4.95,0.7694717
4.96,0.75975267
4.97,0.75005766
4.98,0.74038765
4.99,0.7307436
5.0,0.72112647
5.01,0.71153723
5.02,0.70197683
5.03,0.69244623
5.04,0.68294639
5.05,0.67347825
5.06,0.66404276
5.07,0.65464087
5.08,0.64527351
5.09,0.63594162
5.1,0.62664614
5.11,0.61738799
5.12,0.6081681
5.13,0.5989874
5.14,0.5898468
5.15,0.58074721
5.16,0.57168954
5.17,0.5626747
5.18,0.55370359
5.19,0.54477711
5.2,0.53589615
5.21,0.5270616
5.22,0.51827435
5.23,0.50953527
5.24,0.50084523
5.25,0.49220511
5.26,0.48361577
5.27,0.47507806
5.28,0.46659284
5.29,0.45816096
5.3,0.44978327
5.31,0.4414606
5.32,0.43319378
5.33,0.42498364
5.34,0.416831
5.35,0.40873667
5.36,0.40070147
5.37,0.3927262
5.38,0.38481165
5.39,0.37695862
5.4,0.36916789
5.41,0.36144025
5.42,0.35377646
5.43,0.34617729
5.44,0.3386435
5.45,0.33117585
5.46,0.32377508
5.47,0.31644193
5.48,0.30917713
5.49,0.30198141
5.5,0.29485549
5.51,0.28780009
5.52,0.28081591
5.53,0.27390364
5.54,0.26706398
5.55,0.26029761
5.56,0.25360521
5.57,0.24698745
5.58,0.24044499
5.59,0.23397848
5.6,0.22758857
5.61,0.2212759
5.62,0.2150411
5.63,0.2088848
5.64,0.20280761
5.65,0.19681014
5.66,0.19089298
5.67,0.18505673
5.68,0.17930198
5.69,0.17362929
5.7,0.16803924
5.71,0.16253238
5.72,0.15710927
5.73,0.15177045
5.74,0.14651645
5.75,0.1413478
5.76,0.13626501
5.77,0.13126859
5.78,0.12635904
5.79,0.12153686
5.8,0.11680252
5.81,0.1121565
5.82,0.10759926
5.83,0.10313126
5.84,0.09875294
5.85,0.09446475
5.86,0.09026711
5.87,0.08616044
5.88,0.08214515
5.89,0.07822165
5.9,0.07439032
5.91,0.07065155
5.92,0.06700572
5.93,0.06345318
5.94,0.0599943
5.95,0.05662942
5.96,0.05335887
5.97,0.05018298
5.98,0.04710207
5.99,0.04411645
6.0,0.04122642
6.01,0.03843227
6.02,0.03573427
6.03,0.0331327
6.04,0.03062781
6.05,0.02821986
6.06,0.02590908
6.07,0.02369571
6.08,0.02157997
6.09,0.01956207
6.1,0.01764221
6.11,0.01582058
6.12,0.01409737
6.13,0.01247275
6.14,0.01094688
6.15,0.00951990999998
6.16,0.00819198999998
6.17,0.00696324999998
6.18,0.00583380999998
6.19,0.00480378999998
6.2,0.00387327999998
6.21,0.00304238999998
6.22,0.00231118999998
6.23,0.00167975999997
6.24,0.00114815999997
6.25,0.000716439999973
6.26,0.000384649999972
6.27,0.000152819999971
6.28,2.09699999703e-05
6.29,-1.08800000306e-05
6.3,5.72699999685e-05
6.31,0.000225409999968
6.32,0.000493519999967
6.33,0.000861579999966
6.34,0.00132955999996
6.35,0.00189739999996
6.36,0.00256504999996
6.37,0.00333243999996
6.38,0.00419949999996
6.39,0.00516613999996
6.4,0.00623225999996
6.41,0.00739774999996
6.42,0.00866249999996
6.43,0.01002638
6.44,0.01148926
6.45,0.01305099
6.46,0.01471141
6.47,0.01647036
6.48,0.01832766
6.49,0.02028313
6.5,0.02233657
6.51,0.0244877699999
6.52,0.0267365199999
6.53,0.0290825899999
6.54,0.0315257499999
6.55,0.0340657599999
6.56,0.0367023599999
6.57,0.0394352899999
6.58,0.0422642699999
6.59,0.0451890299999
6.6,0.0482092699999
6.61,0.0513246799999
6.62,0.0545349599999
6.63,0.0578397799999
6.64,0.0612388199999
6.65,0.0647317299999
6.66,0.0683181699999
6.67,0.0719977799999
6.68,0.0757701799999
6.69,0.0796350099999
6.7,0.0835918699999
6.71,0.0876403699999
6.72,0.0917800999999
6.73,0.0960106499999
6.74,0.1003316
6.75,0.10474252
6.76,0.10924296
6.77,0.11383247
6.78,0.1185106
6.79,0.12327688
6.8,0.12813083
6.81,0.13307196
6.82,0.13809978
6.83,0.14321379
6.84,0.14841348
6.85,0.15369833
6.86,0.15906781
6.87,0.16452138
6.88,0.17005849
6.89,0.1756786
6.9,0.18138114
6.91,0.18716554
6.92,0.19303122
6.93,0.19897759
6.94,0.20500407
6.95,0.21111004
6.96,0.2172949
6.97,0.22355803
6.98,0.2298988
6.99,0.23631658
7.0,0.24281073
7.01,0.2493806
7.02,0.25602553
7.03,0.26274485
7.04,0.2695379
7.05,0.27640399
7.06,0.28334244
7.07,0.29035255
7.08,0.29743363
7.09,0.30458496
7.1,0.31180583
7.11,0.31909552
7.12,0.3264533
7.13,0.33387843
7.14,0.34137017
7.15,0.34892778
7.16,0.35655049
7.17,0.36423754
7.18,0.37198817
7.19,0.3798016
7.2,0.38767705
7.21,0.39561373
7.22,0.40361085
7.23,0.4116676
7.24,0.41978319
7.25,0.4279568
7.26,0.43618761
7.27,0.4444748
7.28,0.45281754
7.29,0.461215
7.3,0.46966633
7.31,0.4781707
7.32,0.48672725
7.33,0.49533512
7.34,0.50399346
7.35,0.5127014
7.36,0.52145807
7.37,0.53026259
7.38,0.53911408
7.39,0.54801166
7.4,0.55695444
7.41,0.56594152
7.42,0.57497201
7.43,0.584045
7.44,0.59315958
7.45,0.60231484
7.46,0.61150987
7.47,0.62074375
7.48,0.63001555
7.49,0.63932435
7.5,0.64866922
7.51,0.65804922
7.52,0.66746341
7.53,0.67691086
7.54,0.68639061
7.55,0.69590172
7.56,0.70544324
7.57,0.71501422
7.58,0.72461369
7.59,0.7342407
7.6,0.74389429
7.61,0.75357349
7.62,0.76327733
7.63,0.77300484
7.64,0.78275505
7.65,0.79252698
7.66,0.80231966
7.67,0.8121321
7.68,0.82196333
7.69,0.83181236
7.7,0.84167821
7.71,0.85155989
7.72,0.86145642
7.73,0.8713668
7.74,0.88129004
7.75,0.89122515
7.76,0.90117114
7.77,0.91112701
7.78,0.92109177
7.79,0.93106442
7.8,0.94104396
7.81,0.95102939
7.82,0.96101972
7.83,0.97101395
7.84,0.98101107
7.85,0.99101009
7.86,1.00101001
7.87,1.01100983
7.88,1.02100855
7.89,1.03100517
7.9,1.04099868
7.91,1.05098809
7.92,1.0609724
7.93,1.07095062
7.94,1.08092174
7.95,1.09088477
7.96,1.10083871
7.97,1.11078256
7.98,1.12071533
7.99,1.13063603
8.0,1.14054367
8.01,1.15043725
8.02,1.16031579
8.03,1.1701783
8.04,1.18002379
8.05,1.18985127
8.06,1.19965977
8.07,1.2094483
8.08,1.21921589
8.09,1.22896155
8.1,1.23868432
8.11,1.24838322
8.12,1.25805728
8.13,1.26770553
8.14,1.27732701
8.15,1.28692076
8.16,1.29648582
8.17,1.30602123
8.18,1.31552603
