"Time","FMU:y","FMU:y2","FMU:y3","FMU:y1","FMU:y4","FMU:y5","FMU:y6","FMU:Q","FMU:QI"
0,0,1,0,0,1,0,0,1,0
2.8421709430404006e-20,0,1,0,0,1,0,0,1,0
5.0000000000000284e-06,0,1,0,0,1,0,0,1,0
3.0000000000000024e-05,0,1,0,0,1,0,0,1,0
0.00015500000000000003,0,1,0,0,1,0,0,1,0
0.00078000000000000009,0,1,0,0,1,0,0,1,0
0.0039050000000000005,0,1,0,0,1,0,0,1,0
0.019529999999999999,0,1,0,0,1,0,0,1,0
0.019999999552963776,0,1,0,0,1,0,0,1,0
0.019999999552966552,0,1,0,0,1,0,0,1,0
0.039999999105927483,0,1,0,0,1,0,0,1,0
0.039999999105933173,0,1,0,0,1,0,0,1,0
0.059999998658892648,0,1,0,0,1,0,0,1,0
0.059999998658898338,0,1,0,0,1,0,0,1,0
0.079999998211857812,0,1,0,0,1,0,0,1,0
0.079999998211863502,0,1,0,0,1,0,0,1,0
0.10000000149011327,0,1,0,0,1,0,0,1,0
0.10000000149011896,0,1,0,0,1,0,0,1,0
0.11999999731778814,0,1,0,0,1,0,0,1,0
0.11999999731779383,0,1,0,0,1,0,0,1,0
0.14000000059604362,0,1,0,0,1,0,0,1,0
0.14000000059604928,0,1,0,0,1,0,0,1,0
0.15999999642371848,0,1,0,0,1,0,0,1,0
0.15999999642372414,0,1,0,0,1,0,0,1,0
0.18000000715255454,0,1,0,0,1,0,0,1,0
0.1800000071525602,0,1,0,0,1,0,0,1,0
0.19999999999999432,0,1,0,0,1,0,0,1,0
0.20000000000000001,0,1,0,0,1,0,0,1,0
0.20000000298022796,0,1,0,0,1,0,0,1,0
0.20000000298023651,0,1,0,0,1,0,0,1,0
0.21999999880790283,0,1,0,0,1,0,0,1,0
0.21999999880791138,0,1,0,0,1,0,0,1,0
0.2399999946355777,0,1,0,0,1,0,0,1,0
0.23999999463558624,0,1,0,0,1,0,0,1,0
0.25999999046325256,0,1,0,0,1,0,0,1,0
0.25999999046326111,0,1,0,0,1,0,0,1,0
0.28000000119208862,0,1,0,0,1,0,0,1,0
0.28000000119209717,0,1,0,0,1,0,0,1,0
