"time","mu","x0","der(x0)","x1","der(x1)"
0.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00
1.00000000000000E-01,1.00000000000000E+00,1.99105313647403E+00,-1.73009485811024E-01,-1.73009485811024E-01,-1.47820239929317E+00
2.00000000000000E-01,1.00000000000000E+00,1.96716043453876E+00,-3.01385402631846E-01,-3.01385402631846E-01,-1.10226866409094E+00
3.00000000000000E-01,1.00000000000000E+00,1.93189311903616E+00,-3.97634101655061E-01,-3.97634101655061E-01,-8.45472843222693E-01
4.00000000000000E-01,1.00000000000000E+00,1.88796474392285E+00,-4.72390985430722E-01,-4.72390985430722E-01,-6.76560163965055E-01
5.00000000000000E-01,1.00000000000000E+00,1.83719445212629E+00,-5.33171516893828E-01,-5.33171516893828E-01,-5.70760969411856E-01
6.00000000000000E-01,1.00000000000000E+00,1.78081913925931E+00,-5.85962805902164E-01,-5.85962805902164E-01,-5.08508250672226E-01
7.00000000000000E-01,1.00000000000000E+00,1.71951214407465E+00,-6.34823571518305E-01,-6.34823571518305E-01,-4.77338886919784E-01
8.00000000000000E-01,1.00000000000000E+00,1.65350219114045E+00,-6.82207979312919E-01,-6.82207979312919E-01,-4.70506144213618E-01
9.00000000000000E-01,1.00000000000000E+00,1.58280118263394E+00,-7.30011294469894E-01,-7.30011294469894E-01,-4.83944685389282E-01
1.00000000000000E+00,1.00000000000000E+00,1.50724368639576E+00,-7.79974193579292E-01,-7.79974193579292E-01,-5.15285353036280E-01
1.10000000000000E+00,1.00000000000000E+00,1.42624856175185E+00,-8.33762935938171E-01,-8.33762935938171E-01,-5.63983473283177E-01
1.20000000000000E+00,1.00000000000000E+00,1.33965163999193E+00,-8.93148926426241E-01,-8.93148926426241E-01,-6.29896093883537E-01
1.30000000000000E+00,1.00000000000000E+00,1.24566174940093E+00,-9.60435762474610E-01,-9.60435762474610E-01,-7.15815084761012E-01
1.40000000000000E+00,1.00000000000000E+00,1.14348973180357E+00,-1.03757868983427E+00,-1.03757868983427E+00,-8.24362933775337E-01
1.50000000000000E+00,1.00000000000000E+00,1.03307495858481E+00,-1.12627967973821E+00,-1.12627967973821E+00,-9.57339554154898E-01
1.60000000000000E+00,1.00000000000000E+00,9.13958485066907E-01,-1.22837917866368E+00,-1.22837917866368E+00,-1.11624783010773E+00
1.70000000000000E+00,1.00000000000000E+00,7.82729681348797E-01,-1.34624172399273E+00,-1.34624172399273E+00,-1.30417520435858E+00
1.80000000000000E+00,1.00000000000000E+00,6.37246689772739E-01,-1.48200657434538E+00,-1.48200657434538E+00,-1.51743507913177E+00
1.90000000000000E+00,1.00000000000000E+00,4.77681391730132E-01,-1.63740216892835E+00,-1.63740216892835E+00,-1.74146193279610E+00
2.00000000000000E+00,1.00000000000000E+00,3.02874308001216E-01,-1.81439333868204E+00,-1.81439333868204E+00,-1.95082818115109E+00
2.10000000000000E+00,1.00000000000000E+00,1.11212425226284E-01,-2.00901753435896E+00,-2.00901753435896E+00,-2.09538202183557E+00
2.20000000000000E+00,1.00000000000000E+00,-9.95253963508176E-02,-2.20936441174636E+00,-2.20936441174636E+00,-2.08795458810422E+00
2.30000000000000E+00,1.00000000000000E+00,-3.27989427765640E-01,-2.39322403801348E+00,-2.39322403801348E+00,-1.80777859300657E+00
2.40000000000000E+00,1.00000000000000E+00,-5.72139743991483E-01,-2.52989177582653E+00,-2.52989177582653E+00,-1.12960742512039E+00
2.50000000000000E+00,1.00000000000000E+00,-8.23184735550410E-01,-2.57728037128249E+00,-2.57728037128249E+00,-7.64512537937134E-03
2.60000000000000E+00,1.00000000000000E+00,-1.07433127634792E+00,-2.49643558593751E+00,-2.49643558593751E+00,1.45925091592103E+00
2.70000000000000E+00,1.00000000000000E+00,-1.31088212880977E+00,-2.30197335692270E+00,-2.30197335692270E+00,2.96464730997128E+00
2.80000000000000E+00,1.00000000000000E+00,-1.52411853490191E+00,-1.97791277762715E+00,-1.97791277762715E+00,4.14077314124832E+00
2.90000000000000E+00,1.00000000000000E+00,-1.70340543208960E+00,-1.57757007583539E+00,-1.57757007583539E+00,4.70329701683121E+00
3.00000000000000E+00,1.00000000000000E+00,-1.83953708257120E+00,-1.11719893097408E+00,-1.11719893097408E+00,4.50282390295811E+00
3.10000000000000E+00,1.00000000000000E+00,-1.93130837936036E+00,-6.90426478188046E-01,-6.90426478188046E-01,3.81613956313614E+00
3.20000000000000E+00,1.00000000000000E+00,-1.98360022773178E+00,-3.41078425313975E-01,-3.41078425313975E-01,2.98455280357626E+00
3.30000000000000E+00,1.00000000000000E+00,-2.00435494736571E+00,-7.74688944094750E-02,-7.74688944094750E-02,2.23811259166613E+00
3.40000000000000E+00,1.00000000000000E+00,-2.00187167564343E+00,1.15269167906018E-01,1.15269167906018E-01,1.65520078214189E+00
3.50000000000000E+00,1.00000000000000E+00,-1.98276630179007E+00,2.57578054423352E-01,2.57578054423352E-01,1.22771172756840E+00
3.60000000000000E+00,1.00000000000000E+00,-1.95118499817823E+00,3.63872208758860E-01,3.63872208758860E-01,9.29750989347142E-01
3.70000000000000E+00,1.00000000000000E+00,-1.90923223351638E+00,4.43590945175451E-01,4.43590945175451E-01,7.35859783789511E-01
3.80000000000000E+00,1.00000000000000E+00,-1.86016068576543E+00,5.08929829154065E-01,5.08929829154065E-01,6.08092651499132E-01
3.90000000000000E+00,1.00000000000000E+00,-1.80446319142759E+00,5.63559818714508E-01,5.63559818714508E-01,5.33022980085150E-01
4.00000000000000E+00,1.00000000000000E+00,-1.74441009378841E+00,6.15546309668028E-01,6.15546309668028E-01,4.86869557580660E-01
4.10000000000000E+00,1.00000000000000E+00,-1.67968977490800E+00,6.64822461599793E-01,6.64822461599793E-01,4.68810238793576E-01
4.20000000000000E+00,1.00000000000000E+00,-1.61073998062826E+00,7.14146554715130E-01,7.14146554715130E-01,4.72045235955867E-01
4.30000000000000E+00,1.00000000000000E+00,-1.53702964012035E+00,7.63657221954573E-01,7.63657221954573E-01,4.96577133974513E-01
4.40000000000000E+00,1.00000000000000E+00,-1.45832901913917E+00,8.17488416998133E-01,8.17488416998133E-01,5.37245585788056E-01
4.50000000000000E+00,1.00000000000000E+00,-1.37382425950391E+00,8.76935867142788E-01,8.76935867142788E-01,5.95637425365335E-01
