"time","x0","der(x0)","x1","der(x1)"
0,2,0,0,-2
0.05,2,-0.1,-0.1,-1.7
0.057648163,1.99931,-0.113226466,-0.113226466,-1.6599431
0.06455209,1.9985373,-0.12471366,-0.12471366,-1.6251258
0.07430661,1.9973317,-0.14059922,-0.14059922,-1.5770338
0.08779197,1.9954567,-0.16192958,-0.16192958,-1.5126073
0.1,1.9935054,-0.18047252,-0.18047252,-1.4567686
0.11503293,1.9908196,-0.20245418,-0.20245418,-1.3908744
0.13370553,1.9870794,-0.22854584,-0.22854584,-1.3132155
0.15,1.983397,-0.2500679,-0.2500679,-1.2497319
0.16954625,1.9785503,-0.2746169,-0.2746169,-1.178135
0.19351275,1.9720262,-0.30302066,-0.30302066,-1.0966337
0.2,1.9700785,-0.31018654,-0.31018654,-1.0763662
0.20980357,1.9670445,-0.32075822,-0.32075822,-1.0467045
0.2279064,1.9612565,-0.3397591,-0.3397591,-0.99412304
0.25,1.9537911,-0.36183655,-0.36183655,-0.93438905
0.2791847,1.9432942,-0.38927707,-0.38927707,-0.86250836
0.3,1.9352471,-0.4073769,-0.4073769,-0.8169237
0.32686025,1.9243524,-0.4294395,-0.4294395,-0.7635206
0.35,1.9144653,-0.44722813,-0.44722813,-0.722523
0.38163945,1.9003704,-0.47021535,-0.47021535,-0.6724465
0.4,1.8917782,-0.48265183,-0.48265183,-0.64710367
0.42712164,1.878721,-0.5002696,-0.5002696,-0.61324275
0.45,1.867315,-0.51437545,-0.51437545,-0.5881325
0.48540917,1.8491503,-0.53528774,-0.53528774,-0.5540982
0.5,1.8413699,-0.5434211,-0.5434211,-0.54224396
0.52501917,1.8277938,-0.5570166,-0.5570166,-0.5239124
0.55,1.8139124,-0.57014924,-0.57014924,-0.5081121
0.59388274,1.7889491,-0.59251446,-0.59251446,-0.48521653
0.6,1.7853379,-0.59549636,-0.59549636,-0.48273045
0.6137883,1.7771311,-0.60215575,-0.60215575,-0.47756168
0.65,1.7553496,-0.6194674,-0.6194674,-0.46608177
0.7,1.724461,-0.64282763,-0.64282763,-0.45566988
0.75,1.6924338,-0.6656621,-0.6656621,-0.45141843
0.8,1.6592625,-0.6882538,-0.6882538,-0.45264885
0.85,1.6249604,-0.7108803,-0.7108803,-0.45876396
0.9,1.5895271,-0.73378855,-0.73378855,-0.46932814
0.95,1.5529498,-0.7572032,-0.7572032,-0.48404148
1,1.5152043,-0.78133327,-0.78133327,-0.5027182
1.05,1.4762557,-0.80637777,-0.80637777,-0.52526945
1.1,1.4360594,-0.8325309,-0.8325309,-0.5516897
1.15,1.3945608,-0.85998607,-0.85998607,-0.58204603
1.2,1.3516959,-0.8889398,-0.8889398,-0.61647
1.25,1.3073906,-0.9195948,-0.9195948,-0.6551494
1.3,1.2615609,-0.952163,-0.952163,-0.6983223
1.35,1.2141122,-0.9868678,-0.9868678,-0.7462694
1.4,1.1649386,-1.0239466,-1.0239466,-0.79930574
1.45,1.1139227,-1.0636524,-1.0636524,-0.85776985
1.5,1.0609344,-1.1062547,-1.1062547,-0.9220089
1.55,1.0058302,-1.1520407,-1.1520407,-0.99235773
1.6,0.9484523,-1.2013143,-1.2013143,-1.0691103
1.65,0.8886277,-1.2543942,-1.2543942,-1.152478
1.7,0.82616776,-1.3116101,-1.3116101,-1.2425342
1.75,0.7608673,-1.373296,-1.373296,-1.3391361
1.8,0.6925044,-1.4397801,-1.4397801,-1.4418201
1.85,0.6208408,-1.5113685,-1.5113685,-1.5496625
1.9,0.5456227,-1.5883238,-1.5883238,-1.661096
1.95,0.46658316,-1.6708332,-1.6708332,-1.7736763
2,0.38344532,-1.7589661,-1.7589661,-1.88379
2.05,0.29592836,-1.8526167,-1.8526167,-1.9863048
2.1,0.20375587,-1.9514302,-1.9514302,-2.0741696
2.1445487,0.11725335,-2.0434482,-2.0434482,-2.1326077
2.15,0.10616271,-2.055043,-2.055043,-2.138044
2.1568854,0.092020564,-2.0697608,-2.0697608,-2.144255
2.1691985,0.066553265,-2.0961554,-2.0961554,-2.1534243
2.187361,0.028528797,-2.1352508,-2.1352508,-2.1620417
2.2,0.001589733,-2.1625662,-2.1625662,-2.1641505
2.2012596,-0.001130885,-2.1652918,-2.1652918,-2.164158
2.20241,-0.003621517,-2.1677816,-2.1677816,-2.1641316
2.2039948,-0.007056352,-2.171211,-2.171211,-2.1640465
2.206626,-0.012768664,-2.1769054,-2.1769054,-2.1637816
2.2108574,-0.02197774,-2.1860614,-2.1860614,-2.1630278
2.2171526,-0.03573364,-2.1996784,-2.1996784,-2.161136
2.2259212,-0.055010214,-2.2186303,-2.2186303,-2.1569061
2.2375576,-0.08080563,-2.243734,-2.243734,-2.1482775
2.25,-0.10869223,-2.2704737,-2.2704737,-2.1349583
2.2660375,-0.14506292,-2.304734,-2.304734,-2.111172
2.2866244,-0.19244121,-2.3482444,-2.3482444,-2.0688393
2.3,-0.22379348,-2.3759718,-2.3759718,-2.0331814
2.3181078,-0.26676807,-2.4128516,-2.4128516,-1.9743725
2.3441308,-0.32946354,-2.4643803,-2.4643803,-1.8674177
2.35,-0.343898,-2.475402,-2.475402,-1.8387486
2.3600855,-0.3688525,-2.493975,-2.493975,-1.7858117
2.3814387,-0.42206818,-2.5322185,-2.5322185,-1.659057
2.4,-0.4690001,-2.5632432,-2.5632432,-1.5304292
2.428257,-0.54134405,-2.6068444,-2.6068444,-1.3015558
2.45,-0.5979317,-2.635631,-2.635631,-1.0954026
2.4822726,-0.6828992,-2.6716337,-2.6716337,-0.7428147
2.5,-0.730198,-2.6854138,-2.6854138,-0.5233821
2.5252635,-0.798007,-2.699179,-2.699179,-0.18229362
2.55,-0.8647418,-2.704514,-2.704514,0.18260504
2.5832672,-0.95469636,-2.6996274,-2.6996274,0.7156311
2.6,-0.9998764,-2.6885262,-2.6885262,0.9992118
2.6222556,-1.0597352,-2.6669059,-2.6669059,1.387868
2.65,-1.1337857,-2.6294556,-2.6294556,1.8844168
2.6854408,-1.2271057,-2.564393,-2.564393,2.5241463
2.7,-1.2645339,-2.5285552,-2.5285552,2.779255
2.7190013,-1.3126463,-2.4762204,-2.4762204,3.1030529
2.7471805,-1.3825686,-2.3896718,-2.3896718,3.560745
2.75,-1.3893303,-2.3797586,-2.3797586,3.6030731
2.7553873,-1.4021559,-2.3603702,-2.3603702,3.6823702
2.7699335,-1.4365178,-2.3069186,-2.3069186,3.8901184
2.8,-1.5060363,-2.1905675,-2.1905675,4.2839937
