"time","Capacitor1.v","IdealDiode3.off","SineVoltage1.phase","SineVoltage2.phase","SineVoltage3.phase"
0,282.843,1,0,0,0
0.0001,281.155,1,0,0,0
0.0002,279.485,1,0,0,0
0.0003,277.816,1,0,0,0
0.0004,276.147,1,0,0,0
0.0005,274.477,1,0,0,0
0.0006,272.808,1,0,0,0
0.0007,271.138,1,0,0,0
0.0008,269.469,1,0,0,0
0.0009,267.8,1,0,0,0
0.001,266.13,1,0,0,0
0.0011,264.461,1,0,0,0
0.0012,262.792,1,0,0,0
0.0013,261.122,1,0,0,0
0.0014,259.453,1,0,0,0
0.0015,257.784,1,0,0,0
0.0016,256.115,1,0,0,0
0.0017,254.445,1,0,0,0
0.0018,252.776,1,0,0,0
0.0019,251.107,1,0,0,0
0.002,249.438,1,0,0,0
0.0021,247.769,1,0,0,0
0.0022,246.1,1,0,0,0
0.0023,244.43,1,0,0,0
0.0024,242.761,1,0,0,0
0.0025,241.092,1,0,0,0
0.0026,239.423,1,0,0,0
0.0027,237.754,1,0,0,0
0.0028,236.085,1,0,0,0
0.0029,234.416,1,0,0,0
0.003,232.747,1,0,0,0
0.0031,231.078,1,0,0,0
0.0032,229.409,1,0,0,0
0.0033,227.74,1,0,0,0
0.0034,226.071,1,0,0,0
0.0035,224.402,1,0,0,0
0.0036,222.733,1,0,0,0
0.0037,221.064,1,0,0,0
0.0038,219.396,1,0,0,0
0.0039,217.727,1,0,0,0
0.004,216.058,1,0,0,0
0.0041,214.389,1,0,0,0
0.0042,212.72,1,0,0,0
0.0043,211.051,1,0,0,0
0.0044,209.383,1,0,0,0
0.0045,207.714,1,0,0,0
0.0046,206.045,1,0,0,0
0.0047,204.377,1,0,0,0
0.0048,202.708,1,0,0,0
0.0049,201.039,1,0,0,0
0.005,199.37,1,0,0,0
0.0051,197.702,1,0,0,0
0.0052,196.033,1,0,0,0
0.0053,194.365,1,0,0,0
0.0054,192.696,1,0,0,0
0.0055,191.027,1,0,0,0
0.0056,189.359,1,0,0,0
0.0057,187.69,1,0,0,0
0.0058,186.022,1,0,0,0
0.0059,184.353,1,0,0,0
0.006,182.685,1,0,0,0
0.0061,181.016,1,0,0,0
0.0062,179.348,1,0,0,0
0.0063,177.679,1,0,0,0
0.0064,176.011,1,0,0,0
0.0065,174.342,1,0,0,0
0.0066,172.674,1,0,0,0
0.0067,171.006,1,0,0,0
0.0068,169.337,1,0,0,0
0.0069,167.669,1,0,0,0
0.007,166.001,1,0,0,0
0.0071,164.332,1,0,0,0
0.0072,162.664,1,0,0,0
0.0073,160.996,1,0,0,0
0.0074,159.327,1,0,0,0
0.0075,157.659,1,0,0,0
0.0076,155.991,1,0,0,0
0.0077,154.323,1,0,0,0
0.0078,152.655,1,0,0,0
0.0079,150.986,1,0,0,0
0.008,149.318,1,0,0,0
0.0081,147.65,1,0,0,0
0.0082,145.982,1,0,0,0
0.0083,144.314,1,0,0,0
0.0084,142.646,1,0,0,0
0.0085,140.978,1,0,0,0
0.0086,139.31,1,0,0,0
0.0087,137.641,1,0,0,0
0.0088,135.973,1,0,0,0
0.0089,134.305,1,0,0,0
0.009,132.637,1,0,0,0
0.0091,130.969,1,0,0,0
0.0092,129.301,1,0,0,0
0.0093,127.633,1,0,0,0
0.0094,125.966,1,0,0,0
0.0095,124.298,1,0,0,0
0.0096,122.63,1,0,0,0
0.0097,120.962,1,0,0,0
0.0098,119.294,1,0,0,0
0.0099,117.626,1,0,0,0
0.01,115.958,1,0,0,0
0.0101,114.29,1,0,0,0
0.0102,112.623,1,0,0,0
0.0103,110.955,1,0,0,0
0.0104,109.287,1,0,0,0
0.0105,107.619,1,0,0,0
0.0106,105.952,1,0,0,0
0.0107,104.284,1,0,0,0
0.0108,102.616,1,0,0,0
0.0109,100.949,1,0,0,0
0.011,99.2809,1,0,0,0
0.0111,97.6132,1,0,0,0
0.0112,95.9456,1,0,0,0
0.0113,94.278,1,0,0,0
0.0114,92.6104,1,0,0,0
0.0115,90.9428,1,0,0,0
0.0116,89.2752,1,0,0,0
0.0117,87.6077,1,0,0,0
0.0118,85.9401,1,0,0,0
0.0119,84.2726,1,0,0,0
0.012,82.6051,1,0,0,0
0.0121,80.9376,1,0,0,0
0.0122,79.2702,1,0,0,0
0.0123,77.6027,1,0,0,0
0.0124,75.9353,1,0,0,0
0.0125,74.2679,1,0,0,0
0.0126,72.6005,1,0,0,0
0.0127,70.9331,1,0,0,0
0.0128,69.2657,1,0,0,0
0.0129,67.5984,1,0,0,0
0.013,65.931,1,0,0,0
0.0131,64.2637,1,0,0,0
0.0132,62.5964,1,0,0,0
0.0133,60.9291,1,0,0,0
0.0134,59.2619,1,0,0,0
0.0135,57.5946,1,0,0,0
0.0136,55.9274,1,0,0,0
0.0137,54.2601,1,0,0,0
0.0138,52.5929,1,0,0,0
0.0139,50.9258,1,0,0,0
0.014,49.2586,1,0,0,0
0.0141,47.5914,1,0,0,0
0.0142,45.9243,1,0,0,0
0.0143,44.2572,1,0,0,0
0.0144,42.5901,1,0,0,0
0.0145,40.923,1,0,0,0
0.0146,39.2559,1,0,0,0
0.0147,37.5889,1,0,0,0
0.0148,35.9219,1,0,0,0
0.0149,34.2548,1,0,0,0
0.015,32.5878,1,0,0,0
0.0151,30.9209,1,0,0,0
0.0152,29.2539,1,0,0,0
0.0153,27.5869,1,0,0,0
0.0154,25.92,1,0,0,0
0.0155,24.2531,1,0,0,0
0.0156,22.5862,1,0,0,0
0.0157,20.9193,1,0,0,0
0.0158,19.2524,1,0,0,0
0.0159,17.5856,1,0,0,0
0.016,15.9187,1,0,0,0
0.0161,14.2519,1,0,0,0
0.0162,12.5851,1,0,0,0
0.0163,10.9183,1,0,0,0
0.0164,9.25157,1,0,0,0
0.0165,7.58482,1,0,0,0
0.0166,5.91809,1,0,0,0
0.0167,4.25137,1,0,0,0
0.0168,2.58467,1,0,0,0
0.0169,0.917986,1,0,0,0
0.017,-0.748681,1,0,0,0
0.0171,-2.15343,0,0,0,0
0.0172,-2.16666,0,0,0,0
0.0173,-2.16666,0,0,0,0
0.0174,-2.16666,0,0,0,0
0.0175,-2.16666,0,0,0,0
0.0176,-2.16666,0,0,0,0
0.0177,-2.16666,0,0,0,0
0.0178,-2.16666,0,0,0,0
0.0179,-2.16666,0,0,0,0
0.018,-2.16666,0,0,0,0
0.0181,-2.16666,0,0,0,0
0.0182,-2.16666,0,0,0,0
0.0183,-2.16666,0,0,0,0
0.0184,-2.16666,0,0,0,0
0.0185,-2.16666,0,0,0,0
0.0186,-2.16666,0,0,0,0
0.0187,-2.16666,0,0,0,0
0.0188,-2.16666,0,0,0,0
0.0189,-2.16666,0,0,0,0
0.019,-2.16666,0,0,0,0
0.0191,-2.16666,0,0,0,0
0.0192,-2.16666,0,0,0,0
0.0193,-2.16666,0,0,0,0
0.0194,-2.16666,0,0,0,0
0.0195,-2.16666,0,0,0,0
0.0196,-2.16666,0,0,0,0
0.0197,-2.16666,0,0,0,0
0.0198,-2.16666,0,0,0,0
0.0199,-2.16666,0,0,0,0
0.02,-2.16666,0,0,0,0
0.0201,-2.16666,0,0,0,0
