time,clutch1.a_rel,clutch1.a_relfric,clutch1.f_normalized,clutch1.flange_a.phi,clutch1.flange_a.tau,clutch1.flange_b.phi,clutch1.flange_b.tau,clutch1.fn,clutch1.free,clutch1.locked,clutch1.lossPower,clutch1.mode,clutch1.mue0,clutch1.phi_rel,clutch1.sa,clutch1.startBackward,clutch1.startForward,clutch1.tau,clutch1.tau0,clutch1.tau0_max,clutch1.w_rel,clutch1.w_relfric,clutch2.a_rel,clutch2.a_relfric,clutch2.f_normalized,clutch2.flange_a.phi,clutch2.flange_a.tau,clutch2.flange_b.phi,clutch2.flange_b.tau,clutch2.fn,clutch2.free,clutch2.locked,clutch2.lossPower,clutch2.mode,clutch2.mue0,clutch2.phi_rel,clutch2.sa,clutch2.startBackward,clutch2.startForward,clutch2.tau,clutch2.tau0,clutch2.tau0_max,clutch2.w_rel,clutch2.w_relfric,clutch3.a_rel,clutch3.a_relfric,clutch3.f_normalized,clutch3.flange_a.phi,clutch3.flange_a.tau,clutch3.flange_b.phi,clutch3.flange_b.tau,clutch3.fn,clutch3.free,clutch3.locked,clutch3.lossPower,clutch3.mode,clutch3.mue0,clutch3.phi_rel,clutch3.sa,clutch3.startBackward,clutch3.startForward,clutch3.tau,clutch3.tau0,clutch3.tau0_max,clutch3.w_rel,clutch3.w_relfric,der(clutch1.phi_rel),der(clutch1.w_rel),der(clutch2.phi_rel),der(clutch2.w_rel),der(clutch3.phi_rel),der(clutch3.w_rel),der(J1.phi),der(J1.w),der(J2.phi),der(J2.w),der(J3.phi),der(J3.w),der(J4.phi),der(J4.w),fixed.flange.phi,fixed.flange.tau,J1.a,J1.flange_a.phi,J1.flange_a.tau,J1.flange_b.phi,J1.flange_b.tau,J1.phi,J1.w,J2.a,J2.flange_a.phi,J2.flange_a.tau,J2.flange_b.phi,J2.flange_b.tau,J2.phi,J2.w,J3.a,J3.flange_a.phi,J3.flange_a.tau,J3.flange_b.phi,J3.flange_b.tau,J3.phi,J3.w,J4.a,J4.flange_a.phi,J4.flange_a.tau,J4.flange_b.phi,J4.phi,J4.w,sin1.y,sin2.y,step1.y,step2.y,torque.flange.phi,torque.flange.tau,torque.phi_support,torque.support.phi,torque.support.tau,torque.tau
0,19.9999936586367,19.9999936586367,0.999999682931835,0,9.99999682931835,0,-9.99999682931835,19.9999936586367,0,0,99.9999682931835,-1,0.5,0,8.99999714638651,0,0,-9.99999682931835,9.99999682931835,10.9999965122502,-10,-10,-9.99999682931835,-9.99999682931835,0,0,-0,0,0,0,1,0,0,2,0.5,0,-9.99999682931835,0,0,0,0,0,0,0,-6.88816826198827E-017,-6.88816826198827E-017,0,0,-0,0,0,0,1,0,0,2,0.5,0,-6.88816826198827E-017,0,0,0,0,0,0,0,-10,19.9999936586367,0,-9.99999682931835,0,-6.88816826198827E-017,10,-9.99999682931835,0,9.99999682931835,0,0,0,-6.88816826198827E-017,0,-0,-9.99999682931835,0,0,0,-9.99999682931835,0,10,9.99999682931835,0,9.99999682931835,0,0,0,0,0,0,-0,0,0,0,0,-6.88816826198827E-017,0,-0,0,0,0,0,0.999999682931835,0,0,0,-0,0,0,0,0
0.003,19.0588284448388,19.0588284448388,0.999995578901197,0.0299605175278709,9.99995578901197,4.04999850455064E-005,-9.99995578901197,19.9999115780239,0,0,99.4122760575387,-1,0.5,-0.0299200175428254,8.05887707692563,0,0,-9.99995578901197,9.99995578901197,10.9999513679132,-9.94127155709765,-9.94127155709765,-9.99995578901197,-9.99995578901197,0,4.04999850455064E-005,-0,6.83047368665868E-018,0,0,1,0,-0,2,0.5,-4.04999850454995E-005,-9.99995578901197,0,0,0,0,0,-0.0299999702587783,-0.0299999702587783,-6.07925758154942E-017,-6.07925758154942E-017,0,6.83047368665868E-018,-0,6.83017680494117E-018,0,0,1,0,-0,2,0.5,-2.96881717509402E-022,-6.07925758154942E-017,0,0,0,0,0,-2.23093939966049E-019,-2.23093939966049E-019,-9.94127155709765,19.0588284448388,-0.0299999702587783,-9.99995578901197,-2.23093939966049E-019,-6.07925758154942E-017,9.97127152735643,-9.05887265582683,0.0299999702587801,9.99995578901197,1.83880688453542E-015,1.77635683940025E-015,1.83858379059545E-015,1.71556426358476E-015,0,-0.941083133185143,-9.05887265582683,0.0299605175278709,0.941083133185143,0.0299605175278709,-9.99995578901197,0.0299605175278709,9.97127152735643,9.99995578901197,4.04999850455064E-005,9.99995578901197,4.04999850455064E-005,0,4.04999850455064E-005,0.0299999702587801,1.77635683940025E-015,6.83047368665868E-018,-0,6.83047368665868E-018,0,6.83047368665868E-018,1.83880688453542E-015,1.71556426358476E-015,6.83017680494117E-018,-0,6.83017680494117E-018,6.83017680494117E-018,1.83858379059545E-015,0.941083133185143,0.999995578901197,0,0,0.0299605175278709,-0.941083133185143,0,0,0.941083133185143,0.941083133185143
0.006,18.1257321085405,18.1257321085405,0.999977262719888,0.0598386547976138,9.99977262719888,0.000170999561162427,-9.99977262719888,19.9995452543978,0,0,98.851330122847,-1,0.5,-0.0596676552364514,7.12598221862175,0,0,-9.99977262719888,9.99977262719888,10.9997498899188,-9.88535777843351,-9.88535777843351,-9.99977262719888,-9.99977262719888,0,0.000170999561162427,-0,1.05167610731094E-017,0,0,1,0,-0,2,0.5,-0.000170999561162417,-9.99977262719888,0,0,0,0,0,-0.059999625532209,-0.059999625532209,-1.10451931285988E-016,-1.10451931285988E-016,0,1.05167610731094E-017,-0,1.05154888350647E-017,0,0,1,0,-0,2,0.5,-1.27223804469385E-021,-1.10451931285988E-016,0,0,0,0,0,-4.69253014679638E-019,-4.69253014679638E-019,-9.88535777843351,18.1257321085405,-0.059999625532209,-9.99977262719888,-4.69253014679638E-019,-1.10451931285988E-016,9.94535740396572,-8.12595948134163,0.0599996255322104,9.99977262719888,1.38083988687754E-015,1.77635683940025E-015,1.38037063386286E-015,1.66590490811426E-015,0,-1.87381314585725,-8.12595948134163,0.0598386547976138,1.87381314585725,0.0598386547976138,-9.99977262719888,0.0598386547976138,9.94535740396572,9.99977262719888,0.000170999561162427,9.99977262719888,0.000170999561162427,0,0.000170999561162427,0.0599996255322104,1.77635683940025E-015,1.05167610731094E-017,-0,1.05167610731094E-017,0,1.05167610731094E-017,1.38083988687754E-015,1.66590490811426E-015,1.05154888350647E-017,-0,1.05154888350647E-017,1.05154888350647E-017,1.38037063386286E-015,1.87381314585725,0.999977262719888,0,0,0.0598386547976138,-1.87381314585725,0,0,1.87381314585725,1.87381314585725
0.009,17.2089836325721,17.2089836325721,0.999944734648221,0.0896428126290303,9.99944734648221,0.000391497207804833,-9.99944734648221,19.9988946929644,0,0,98.3167987198352,-1,0.5,-0.0892513154212254,6.20959155144169,0,0,-9.99944734648221,9.99944734648221,10.9993920811304,-9.83222325326038,-9.83222325326038,-9.99944734648221,-9.99944734648221,0,0.000391497207804833,-0,1.5558301175167E-017,0,0,1,0,-0,2,0.5,-0.000391497207804818,-9.99944734648221,0,0,0,0,0,-0.0899985394587864,-0.0899985394587864,-1.25951386912699E-016,-1.25951386912699E-016,0,1.5558301175167E-017,-0,1.55551536314116E-017,0,0,1,0,-0,2,0.5,-3.14754375539498E-021,-1.25951386912699E-016,0,0,0,0,0,-8.29225463118827E-019,-8.29225463118827E-019,-9.83222325326038,17.2089836325721,-0.0899985394587864,-9.99944734648221,-8.29225463118827E-019,-1.25951386912699E-016,9.92222179271917,-7.20953628608992,0.0899985394587901,9.99944734648221,3.67761376907083E-015,0,3.67678454360771E-015,-1.25951386912699E-016,0,-2.78991106039229,-7.20953628608992,0.0896428126290303,2.78991106039229,0.0896428126290303,-9.99944734648221,0.0896428126290303,9.92222179271917,9.99944734648221,0.000391497207804833,9.99944734648221,0.000391497207804833,0,0.000391497207804833,0.0899985394587901,0,1.5558301175167E-017,-0,1.5558301175167E-017,0,1.5558301175167E-017,3.67761376907083E-015,-1.25951386912699E-016,1.55551536314116E-017,-0,1.55551536314116E-017,1.55551536314116E-017,3.67678454360771E-015,2.78991106039229,0.999944734648221,0,0,0.0896428126290303,-2.78991106039229,0,0,2.78991106039229,2.78991106039229
0.012,16.316714376123,16.316714376123,0.999897995148491,0.119381250938481,9.99897995148491,0.000701990125355031,-9.99897995148491,19.9979599029698,0,0,97.8081012325586,-1,0.5,-0.118679260813125,5.31783642948964,0,0,-9.99897995148491,9.99897995148491,10.9988779466334,-9.78180791511972,-9.78180791511972,-9.99897995148491,-9.99897995148491,0,0.000701990125355031,-0,5.45353692760209E-017,0,0,1,0,-0,2,0.5,-0.000701990125354977,-9.99897995148491,0,0,0,0,0,-0.119996285687541,-0.119996285687541,-1.871317245427E-016,-1.871317245427E-016,0,5.45353692760209E-017,-0,5.45291556184306E-017,0,0,1,0,-0,2,0.5,-6.2136575902546E-021,-1.871317245427E-016,0,0,0,0,0,-1.29322277716249E-018,-1.29322277716249E-018,-9.78180791511972,16.316714376123,-0.119996285687541,-9.99897995148491,-1.29322277716249E-018,-1.871317245427E-016,9.90180420080727,-6.31773442463813,0.119996285687547,9.99897995148491,6.10622663543836E-015,0,6.1049334126612E-015,-1.871317245427E-016,0,-3.68124552684678,-6.31773442463813,0.119381250938481,3.68124552684678,0.119381250938481,-9.99897995148491,0.119381250938481,9.90180420080727,9.99897995148491,0.000701990125355031,9.99897995148491,0.000701990125355031,0,0.000701990125355031,0.119996285687547,0,5.45353692760209E-017,-0,5.45353692760209E-017,0,5.45353692760209E-017,6.10622663543836E-015,-1.871317245427E-016,5.45291556184306E-017,-0,5.45291556184306E-017,5.45291556184306E-017,6.1049334126612E-015,3.68124552684678,0.999897995148491,0,0,0.119381250938481,-3.68124552684678,0,0,3.68124552684678,3.68124552684678
0.015,15.456835900304,15.456835900304,0.999837044884971,0.149062015448091,9.99837044884971,0.00110247423516324,-9.99837044884971,19.9967408976994,0,0,97.3244137296795,-1,0.5,-0.147959541212927,4.45862840656927,0,0,-9.99837044884971,9.99837044884971,10.9982074937347,-9.73402758255236,-9.73402758255236,-9.99837044884971,-9.99837044884971,0,0.00110247423516324,-0,8.00141203294302E-017,0,0,1,0,-0,2,0.5,-0.00110247423516316,-9.99837044884971,0,0,0,0,0,-0.149992437884098,-0.149992437884098,-2.19307946465869E-016,-2.19307946465869E-016,0,8.00141203294302E-017,-0,8.00032353249612E-017,0,0,1,0,-0,2,0.5,-1.08850044690354E-020,-2.19307946465869E-016,0,0,0,0,0,-1.90039809752928E-018,-1.90039809752928E-018,-9.73402758255236,15.456835900304,-0.149992437884098,-9.99837044884971,-1.90039809752928E-018,-2.19307946465869E-016,9.88402002043647,-5.45846545145424,0.149992437884105,9.99837044884971,6.93889390390723E-015,0,6.9369935058097E-015,-2.19307946465869E-016,0,-4.53990499739547,-5.45846545145424,0.149062015448091,4.53990499739547,0.149062015448091,-9.99837044884971,0.149062015448091,9.88402002043647,9.99837044884971,0.00110247423516324,9.99837044884971,0.00110247423516324,0,0.00110247423516324,0.149992437884105,0,8.00141203294302E-017,-0,8.00141203294302E-017,0,8.00141203294302E-017,6.93889390390723E-015,-2.19307946465869E-016,8.00032353249612E-017,-0,8.00032353249612E-017,8.00032353249612E-017,6.9369935058097E-015,4.53990499739547,0.999837044884971,0,0,0.149062015448091,-4.53990499739547,0,0,4.53990499739547,4.53990499739547
0.018,14.636969744688,14.636969744688,0.999761884723898,0.178692866307497,9.99761884723899,0.00159294417960568,-9.99761884723899,19.995237694478,0,0,96.864676685892,-1,0.5,-0.177099922127891,3.63958901272512,0,0,-9.99761884723899,9.99761884723899,10.9973807319629,-9.68877471385527,-9.68877471385527,-9.99761884723899,-9.99761884723899,0,0.00159294417960568,-0,7.19910242530375E-017,0,0,1,0,-0,2,0.5,-0.0015929441796056,-9.99761884723899,0,0,0,0,0,-0.179986569736739,-0.179986569736739,-2.28792791733214E-016,-2.28792791733214E-016,0,7.19910242530375E-017,-0,7.19735667592644E-017,0,0,1,0,-0,2,0.5,-1.74574937731033E-020,-2.28792791733214E-016,0,0,0,0,0,-2.55274675299568E-018,-2.55274675299568E-018,-9.68877471385527,14.636969744688,-0.179986569736739,-9.99761884723899,-2.55274675299568E-018,-2.28792791733214E-016,9.86876128359202,-4.63935089744902,0.179986569736748,9.99761884723899,8.88178419700125E-015,0,8.87923145024826E-015,-2.28792791733214E-016,0,-5.35826794978997,-4.63935089744902,0.178692866307497,5.35826794978997,0.178692866307497,-9.99761884723899,0.178692866307497,9.86876128359202,9.99761884723899,0.00159294417960568,9.99761884723899,0.00159294417960568,0,0.00159294417960568,0.179986569736748,0,7.19910242530375E-017,-0,7.19910242530375E-017,0,7.19910242530375E-017,8.88178419700125E-015,-2.28792791733214E-016,7.19735667592644E-017,-0,7.19735667592644E-017,7.19735667592644E-017,8.87923145024826E-015,5.35826794978997,0.999761884723898,0,0,0.178692866307497,-5.35826794978997,0,0,5.35826794978997,5.35826794978997
0.021,13.8643797781395,13.8643797781395,0.999672515733466,0.20828120926169,9.99672515733466,0.00217339332216071,-9.99672515733466,19.9934503146693,0,0,96.4276048235553,-1,0.5,-0.206107815939529,2.86798210507142,0,0,-9.99672515733466,9.99672515733466,10.9963976730681,-9.6459193691852,-9.6459193691852,-9.99672515733466,-9.99672515733466,0,0.00217339332216071,-0,6.98226199080665E-017,0,0,1,0,-0,2,0.5,-0.00217339332216064,-9.99672515733466,0,0,0,0,0,-0.209978254962458,-0.209978254962458,-2.56293910141872E-016,-2.56293910141872E-016,0,6.98226199080665E-017,-0,6.97965476715963E-017,0,0,1,0,-0,2,0.5,-2.60722364701453E-020,-2.56293910141872E-016,0,0,0,0,0,-3.27945555963973E-018,-3.27945555963973E-018,-9.6459193691852,13.8643797781395,-0.209978254962458,-9.99672515733466,-3.27945555963973E-018,-2.56293910141872E-016,9.85589762414767,-3.86765462080489,0.209978254962467,9.99672515733466,8.82627304576999E-015,0,8.82299359021035E-015,-2.56293910141872E-016,0,-6.12907053652977,-3.86765462080489,0.20828120926169,6.12907053652977,0.20828120926169,-9.99672515733466,0.20828120926169,9.85589762414767,9.99672515733466,0.00217339332216071,9.99672515733466,0.00217339332216071,0,0.00217339332216071,0.209978254962467,0,6.98226199080665E-017,-0,6.98226199080665E-017,0,6.98226199080665E-017,8.82627304576999E-015,-2.56293910141872E-016,6.97965476715963E-017,-0,6.97965476715963E-017,6.97965476715963E-017,8.82299359021035E-015,6.12907053652977,0.999672515733466,0,0,0.20828120926169,-6.12907053652977,0,0,6.12907053652977,6.12907053652977
0.024,13.1459077243892,13.1459077243892,0.999568939183804,0.237834029975904,9.99568939183804,0.00284381374750312,-9.99568939183804,19.9913787836761,0,0,96.0116989854068,-1,0.5,-0.234990216228401,2.15064939336734,0,0,-9.99568939183804,9.99568939183804,10.9952583310218,-9.60531037146922,-9.60531037146922,-9.99568939183804,-9.99568939183804,0,0.00284381374750312,-0,8.28330459778925E-017,0,0,1,0,-0,2,0.5,-0.00284381374750303,-9.99568939183804,0,0,0,0,0,-0.239967067313021,-0.239967067313021,-2.898316538632E-016,-2.898316538632E-016,0,8.28330459778925E-017,-0,8.27960759374862E-017,0,0,1,0,-0,2,0.5,-3.69700404063755E-020,-2.898316538632E-016,0,0,0,0,0,-4.078826430636E-018,-4.078826430636E-018,-9.60531037146922,13.1459077243892,-0.239967067313021,-9.99568939183804,-4.078826430636E-018,-2.898316538632E-016,9.84527743878225,-3.15021833255115,0.239967067313032,9.99568939183804,1.11022302462516E-014,0,1.10981514198209E-014,-2.898316538632E-016,0,-6.8454710592869,-3.15021833255115,0.237834029975904,6.8454710592869,0.237834029975904,-9.99568939183804,0.237834029975904,9.84527743878225,9.99568939183804,0.00284381374750312,9.99568939183804,0.00284381374750312,0,0.00284381374750312,0.239967067313032,0,8.28330459778925E-017,-0,8.28330459778925E-017,0,8.28330459778925E-017,1.11022302462516E-014,-2.898316538632E-016,8.27960759374862E-017,-0,8.27960759374862E-017,8.27960759374862E-017,1.10981514198209E-014,6.8454710592869,0.999568939183804,0,0,0.237834029975904,-6.8454710592869,0,0,6.8454710592869,6.8454710592869
0.0270000000000001,12.4879124346347,12.4879124346347,0.999451156546965,0.267357832100509,9.99451156546965,0.00360419626161657,-9.99451156546965,19.9890231309393,0,0,95.6152599308364,-1,0.5,-0.263753635838892,1.49394971261808,0,0,-9.99451156546965,9.99451156546965,10.9939627220166,-9.56677665581783,-9.56677665581783,-9.99451156546965,-9.99451156546965,0,0.00360419626161657,-0,1.0321604682062E-016,0,0,1,0,-0,2,0.5,-0.00360419626161646,-9.99451156546965,0,0,0,0,0,-0.269952580581023,-0.269952580581023,-3.19945983361102E-016,-3.19945983361102E-016,0,1.0321604682062E-016,-0,1.03165648924936E-016,0,0,1,0,-0,2,0.5,-5.03978956836164E-020,-3.19945983361102E-016,0,0,0,0,0,-4.97623625965385E-018,-4.97623625965385E-018,-9.56677665581783,12.4879124346347,-0.269952580581023,-9.99451156546965,-4.97623625965385E-018,-3.19945983361102E-016,9.83672923639887,-2.49340086916505,0.269952580581037,9.99451156546965,1.41553435639707E-014,0,1.41503673277111E-014,-3.19945983361102E-016,0,-7.50111069630461,-2.49340086916505,0.267357832100509,7.50111069630461,0.267357832100509,-9.99451156546965,0.267357832100509,9.83672923639887,9.99451156546965,0.00360419626161657,9.99451156546965,0.00360419626161657,0,0.00360419626161657,0.269952580581037,0,1.0321604682062E-016,-0,1.0321604682062E-016,0,1.0321604682062E-016,1.41553435639707E-014,-3.19945983361102E-016,1.03165648924936E-016,-0,1.03165648924936E-016,1.03165648924936E-016,1.41503673277111E-014,7.50111069630461,0.999451156546965,0,0,0.267357832100509,-7.50111069630461,0,0,7.50111069630461,7.50111069630461
