"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0,0.2,0.4,0,-10,0,0,0,0,0,10
0.001,0.2,0.4,-0.0099901,-9.9802,-5e-06,-0.01,0,0,0.0099951,9.9902
0.002,0.2,0.4,-0.01996,-9.9606,-2e-05,-0.02,0,0,0.01998,9.9806
0.003,0.2,0.4,-0.029911,-9.9414,-4.5e-05,-0.03,0,0,0.029956,9.9714
0.004,0.2,0.4,-0.039843,-9.9225,-8e-05,-0.04,0,0,0.039923,9.9625
0.005,0.2,0.4,-0.049757,-9.9039,-0.000125,-0.05,0,0,0.049882,9.9539
0.006,0.2,0.4,-0.059651,-9.8856,-0.00018,-0.06,0,0,0.059831,9.9456
0.007,0.2,0.4,-0.069528,-9.8677,-0.000245,-0.069999,0,0,0.069773,9.9377
0.008,0.2,0.4,-0.079387,-9.85,-0.00032,-0.079999,0,0,0.079707,9.93
0.009,0.2,0.4,-0.089228,-9.8326,-0.000405,-0.089998,0,0,0.089633,9.9226
0.01,0.2,0.4,-0.099052,-9.8156,-0.00049999,-0.099998,0,0,0.099552,9.9156
0.011,0.2,0.4,-0.10886,-9.7988,-0.00060499,-0.11,0,0,0.10946,9.9088
0.012,0.2,0.4,-0.11865,-9.7824,-0.00071999,-0.12,0,0,0.11937,9.9024
0.013,0.2,0.4,-0.12842,-9.7662,-0.00084498,-0.13,0,0,0.12927,9.8962
0.014,0.2,0.4,-0.13818,-9.7503,-0.00097998,-0.13999,0,0,0.13916,9.8903
0.015,0.2,0.4,-0.14792,-9.7347,-0.001125,-0.14999,0,0,0.14905,9.8847
0.016,0.2,0.4,-0.15765,-9.7194,-0.00128,-0.15999,0,0,0.15893,9.8794
0.017,0.2,0.4,-0.16736,-9.7044,-0.001445,-0.16999,0,0,0.16881,9.8743
0.018,0.2,0.4,-0.17706,-9.6896,-0.0016199,-0.17999,0,0,0.17868,9.8696
0.019,0.2,0.4,-0.18674,-9.6751,-0.0018049,-0.18998,0,0,0.18855,9.8651
0.02,0.2,0.4,-0.19641,-9.6608,-0.0019999,-0.19998,0,0,0.19841,9.8608
0.021,0.2,0.4,-0.20606,-9.6468,-0.0022049,-0.20998,0,0,0.20827,9.8568
0.022,0.2,0.4,-0.2157,-9.6331,-0.0024199,-0.21997,0,0,0.21812,9.8531
0.023,0.2,0.4,-0.22533,-9.6196,-0.0026448,-0.22997,0,0,0.22798,9.8496
0.024,0.2,0.4,-0.23494,-9.6063,-0.0028798,-0.23997,0,0,0.23782,9.8463
0.025,0.2,0.4,-0.24454,-9.5933,-0.0031248,-0.24996,0,0,0.24767,9.8433
0.026,0.2,0.4,-0.25413,-9.5805,-0.0033797,-0.25996,0,0,0.25751,9.8405
0.027,0.2,0.4,-0.2637,-9.5679,-0.0036447,-0.26995,0,0,0.26735,9.8379
0.028,0.2,0.4,-0.27327,-9.5555,-0.0039196,-0.27995,0,0,0.27719,9.8355
0.029,0.2,0.4,-0.28282,-9.5433,-0.0042046,-0.28994,0,0,0.28702,9.8333
0.03,0.2,0.4,-0.29235,-9.5313,-0.0044995,-0.29993,0,0,0.29685,9.8313
0.031,0.2,0.4,-0.30188,-9.5195,-0.0048044,-0.30993,0,0,0.30668,9.8295
0.032,0.2,0.4,-0.31139,-9.5079,-0.0051194,-0.31992,0,0,0.31651,9.8278
0.033,0.2,0.4,-0.32089,-9.4965,-0.0054443,-0.32991,0,0,0.32634,9.8264
0.034,0.2,0.4,-0.33039,-9.4852,-0.0057792,-0.3399,0,0,0.33616,9.8251
0.035,0.2,0.4,-0.33986,-9.474,-0.0061241,-0.34989,0,0,0.34599,9.8239
0.036,0.2,0.4,-0.34933,-9.463,-0.006479,-0.35988,0,0,0.35581,9.8229
0.037,0.2,0.4,-0.35879,-9.4521,-0.0068438,-0.36987,0,0,0.36563,9.822
0.038,0.2,0.4,-0.36824,-9.4414,-0.0072187,-0.37986,0,0,0.37546,9.8213
0.039,0.2,0.4,-0.37767,-9.4308,-0.0076036,-0.38985,0,0,0.38528,9.8206
0.04,0.2,0.4,-0.3871,-9.4203,-0.0079984,-0.39984,0,0,0.3951,9.8201
0.041,0.2,0.4,-0.39651,-9.4099,-0.0084033,-0.40983,0,0,0.40492,9.8197
0.042,0.2,0.4,-0.40592,-9.3995,-0.0088181,-0.41981,0,0,0.41474,9.8193
0.043,0.2,0.4,-0.41531,-9.3893,-0.0092429,-0.4298,0,0,0.42456,9.8191
0.044,0.2,0.4,-0.4247,-9.3791,-0.0096777,-0.43979,0,0,0.43438,9.8189
0.045,0.2,0.4,-0.43407,-9.369,-0.010122,-0.44977,0,0,0.44419,9.8187
0.046,0.2,0.4,-0.44344,-9.3589,-0.010577,-0.45975,0,0,0.45401,9.8187
0.047,0.2,0.4,-0.45279,-9.3489,-0.011042,-0.46974,0,0,0.46383,9.8186
0.048,0.2,0.4,-0.46213,-9.3389,-0.011517,-0.47972,0,0,0.47365,9.8186
0.049,0.2,0.4,-0.47147,-9.3289,-0.012001,-0.4897,0,0,0.48347,9.8186
0.05,0.2,0.4,-0.48079,-9.3189,-0.012496,-0.49968,0,0,0.49329,9.8186
0.051,0.2,0.4,-0.49011,-9.309,-0.013001,-0.50966,0,0,0.50311,9.8186
0.052,0.2,0.4,-0.49941,-9.299,-0.013515,-0.51964,0,0,0.51292,9.8187
0.053,0.2,0.4,-0.5087,-9.289,-0.01404,-0.52962,0,0,0.52274,9.8186
0.054,0.2,0.4,-0.51799,-9.279,-0.014575,-0.5396,0,0,0.53256,9.8186
0.055,0.2,0.4,-0.52726,-9.269,-0.015119,-0.54958,0,0,0.54238,9.8185
0.056,0.2,0.4,-0.53653,-9.2588,-0.015674,-0.55955,0,0,0.5522,9.8184
0.057,0.2,0.4,-0.54578,-9.2487,-0.016238,-0.56953,0,0,0.56202,9.8182
0.058,0.2,0.4,-0.55502,-9.2385,-0.016813,-0.5795,0,0,0.57184,9.818
0.059,0.2,0.4,-0.56426,-9.2282,-0.017397,-0.58948,0,0,0.58165,9.8176
0.06,0.2,0.4,-0.57348,-9.2178,-0.017992,-0.59945,0,0,0.59147,9.8172
0.061,0.2,0.4,-0.58269,-9.2073,-0.018596,-0.60942,0,0,0.60129,9.8167
0.062,0.2,0.4,-0.59189,-9.1967,-0.019211,-0.61939,0,0,0.6111,9.8161
0.063,0.2,0.4,-0.60108,-9.186,-0.019835,-0.62936,0,0,0.62092,9.8154
0.064,0.2,0.4,-0.61027,-9.1752,-0.020469,-0.63933,0,0,0.63073,9.8145
0.065,0.2,0.4,-0.61943,-9.1642,-0.021114,-0.6493,0,0,0.64055,9.8135
0.066,0.2,0.4,-0.62859,-9.1531,-0.021768,-0.65927,0,0,0.65036,9.8124
0.067,0.2,0.4,-0.63774,-9.1419,-0.022432,-0.66923,0,0,0.66017,9.8111
0.068,0.2,0.4,-0.64688,-9.1305,-0.023106,-0.6792,0,0,0.66998,9.8097
0.069,0.2,0.4,-0.656,-9.1189,-0.023791,-0.68916,0,0,0.67979,9.8081
0.07,0.2,0.4,-0.66512,-9.1072,-0.024485,-0.69912,0,0,0.6896,9.8063
0.071,0.2,0.4,-0.67422,-9.0952,-0.025189,-0.70908,0,0,0.69941,9.8043
0.072,0.2,0.4,-0.68331,-9.0831,-0.025903,-0.71904,0,0,0.70921,9.8022
0.073,0.2,0.4,-0.69238,-9.0708,-0.026627,-0.729,0,0,0.71901,9.7998
0.074,0.2,0.4,-0.70145,-9.0583,-0.027361,-0.73896,0,0,0.72881,9.7972
0.075,0.2,0.4,-0.7105,-9.0456,-0.028105,-0.74892,0,0,0.7386,9.7945
0.076,0.2,0.4,-0.71954,-9.0326,-0.028859,-0.75887,0,0,0.7484,9.7915
0.077,0.2,0.4,-0.72856,-9.0194,-0.029623,-0.76883,0,0,0.75819,9.7882
0.078,0.2,0.4,-0.73758,-9.006,-0.030396,-0.77878,0,0,0.76797,9.7848
0.079,0.2,0.4,-0.74658,-8.9924,-0.03118,-0.78873,0,0,0.77776,9.7811
0.08,0.2,0.4,-0.75556,-8.9785,-0.031974,-0.79868,0,0,0.78754,9.7771
0.081,0.2,0.4,-0.76453,-8.9643,-0.032778,-0.80863,0,0,0.79731,9.7729
0.082,0.2,0.4,-0.77349,-8.9499,-0.033591,-0.81858,0,0,0.80708,9.7685
0.083,0.2,0.4,-0.78243,-8.9352,-0.034415,-0.82853,0,0,0.81685,9.7638
0.084,0.2,0.4,-0.79136,-8.9203,-0.035248,-0.83848,0,0,0.82661,9.7588
0.085,0.2,0.4,-0.80027,-8.9051,-0.036092,-0.84842,0,0,0.83636,9.7535
0.086,0.2,0.4,-0.80917,-8.8896,-0.036945,-0.85836,0,0,0.84612,9.748
0.087,0.2,0.4,-0.81805,-8.8738,-0.037808,-0.86831,0,0,0.85586,9.7421
0.088,0.2,0.4,-0.82692,-8.8578,-0.038682,-0.87825,0,0,0.8656,9.736
0.089,0.2,0.4,-0.83577,-8.8414,-0.039565,-0.88819,0,0,0.87533,9.7296
0.09,0.2,0.4,-0.8446,-8.8248,-0.040458,-0.89812,0,0,0.88506,9.7229
0.091,0.2,0.4,-0.85342,-8.8079,-0.041361,-0.90806,0,0,0.89478,9.7159
0.092,0.2,0.4,-0.86222,-8.7906,-0.042274,-0.91799,0,0,0.90449,9.7086
0.093,0.2,0.4,-0.871,-8.7731,-0.043197,-0.92793,0,0,0.9142,9.701
0.094,0.2,0.4,-0.87976,-8.7553,-0.04413,-0.93786,0,0,0.92389,9.6931
0.095,0.2,0.4,-0.88851,-8.7371,-0.045073,-0.94779,0,0,0.93358,9.6849
0.096,0.2,0.4,-0.89724,-8.7187,-0.046026,-0.95772,0,0,0.94326,9.6764
0.097,0.2,0.4,-0.90595,-8.6999,-0.046988,-0.96765,0,0,0.95293,9.6676
0.098,0.2,0.4,-0.91464,-8.6808,-0.047961,-0.97757,0,0,0.9626,9.6584
0.099,0.2,0.4,-0.92331,-8.6615,-0.048943,-0.9875,0,0,0.97225,9.649
0.1,0.2,0.4,-0.93196,-8.6418,-0.049936,-0.99742,0,0,0.9819,9.6392
0.101,0.2,0.4,-0.94059,-8.6218,-0.050938,-1.0073,0,0,0.99153,9.6291
0.102,0.2,0.4,-0.9492,-8.6015,-0.051951,-1.0173,0,0,1.0012,9.6187
0.103,0.2,0.4,-0.95779,-8.5808,-0.052973,-1.0272,0,0,1.0108,9.608
0.104,0.2,0.4,-0.96636,-8.5599,-0.054005,-1.0371,0,0,1.0204,9.597
0.105,0.2,0.4,-0.97491,-8.5387,-0.055047,-1.047,0,0,1.03,9.5857
0.106,0.2,0.4,-0.98344,-8.5171,-0.056099,-1.0569,0,0,1.0395,9.5741
0.107,0.2,0.4,-0.99195,-8.4953,-0.057161,-1.0668,0,0,1.0491,9.5621
0.108,0.2,0.4,-1.0004,-8.4731,-0.058233,-1.0767,0,0,1.0587,9.5499
0.109,0.2,0.4,-1.0089,-8.4507,-0.059315,-1.0867,0,0,1.0682,9.5373
0.11,0.2,0.4,-1.0173,-8.4279,-0.060406,-1.0966,0,0,1.0777,9.5245
0.111,0.2,0.4,-1.0257,-8.4049,-0.061508,-1.1065,0,0,1.0873,9.5113
0.112,0.2,0.4,-1.0341,-8.3815,-0.062619,-1.1164,0,0,1.0968,9.4979
0.113,0.2,0.4,-1.0425,-8.3579,-0.06374,-1.1263,0,0,1.1063,9.4842
0.114,0.2,0.4,-1.0509,-8.334,-0.064872,-1.1362,0,0,1.1157,9.4702
0.115,0.2,0.4,-1.0592,-8.3098,-0.066013,-1.1461,0,0,1.1252,9.4559
0.116,0.2,0.4,-1.0675,-8.2853,-0.067164,-1.156,0,0,1.1346,9.4413
0.117,0.2,0.4,-1.0757,-8.2606,-0.068325,-1.1659,0,0,1.1441,9.4264
0.118,0.2,0.4,-1.084,-8.2356,-0.069496,-1.1757,0,0,1.1535,9.4113
0.119,0.2,0.4,-1.0922,-8.2103,-0.070676,-1.1856,0,0,1.1629,9.3959
0.12,0.2,0.4,-1.1004,-8.1848,-0.071867,-1.1955,0,0,1.1723,9.3803
0.121,0.2,0.4,-1.1086,-8.159,-0.073067,-1.2054,0,0,1.1817,9.3644
0.122,0.2,0.4,-1.1167,-8.133,-0.074278,-1.2153,0,0,1.191,9.3483
0.123,0.2,0.4,-1.1249,-8.1067,-0.075498,-1.2252,0,0,1.2004,9.3319
0.124,0.2,0.4,-1.1329,-8.0802,-0.076728,-1.2351,0,0,1.2097,9.3153
0.125,0.2,0.4,-1.141,-8.0535,-0.077968,-1.2449,0,0,1.219,9.2985
0.126,0.2,0.4,-1.1491,-8.0266,-0.079218,-1.2548,0,0,1.2283,9.2814
0.127,0.2,0.4,-1.1571,-7.9994,-0.080478,-1.2647,0,0,1.2375,9.2641
0.128,0.2,0.4,-1.1651,-7.9721,-0.081747,-1.2746,0,0,1.2468,9.2466
0.129,0.2,0.4,-1.173,-7.9445,-0.083027,-1.2844,0,0,1.256,9.229
0.13,0.2,0.4,-1.1809,-7.9168,-0.084316,-1.2943,0,0,1.2653,9.2111
0.131,0.2,0.4,-1.1888,-7.8889,-0.085615,-1.3042,0,0,1.2745,9.1931
0.132,0.2,0.4,-1.1967,-7.8608,-0.086925,-1.314,0,0,1.2836,9.1748
0.133,0.2,0.4,-1.2046,-7.8325,-0.088243,-1.3239,0,0,1.2928,9.1564
0.134,0.2,0.4,-1.2124,-7.8041,-0.089572,-1.3338,0,0,1.302,9.1379
0.135,0.2,0.4,-1.2202,-7.7756,-0.090911,-1.3436,0,0,1.3111,9.1192
0.136,0.2,0.4,-1.2279,-7.7469,-0.09226,-1.3535,0,0,1.3202,9.1004
0.137,0.2,0.4,-1.2357,-7.7181,-0.093618,-1.3633,0,0,1.3293,9.0814
0.138,0.2,0.4,-1.2434,-7.6891,-0.094986,-1.3732,0,0,1.3384,9.0623
0.139,0.2,0.4,-1.251,-7.6601,-0.096364,-1.383,0,0,1.3474,9.0431
0.14,0.2,0.4,-1.2587,-7.6309,-0.097752,-1.3929,0,0,1.3564,9.0238
0.141,0.2,0.4,-1.2663,-7.6017,-0.09915,-1.4027,0,0,1.3655,9.0044
0.142,0.2,0.4,-1.2739,-7.5723,-0.10056,-1.4126,0,0,1.3745,8.9849
0.143,0.2,0.4,-1.2815,-7.5429,-0.10198,-1.4224,0,0,1.3834,8.9653
0.144,0.2,0.4,-1.289,-7.5135,-0.1034,-1.4323,0,0,1.3924,8.9457
0.145,0.2,0.4,-1.2965,-7.4839,-0.10484,-1.4421,0,0,1.4013,8.926
0.146,0.2,0.4,-1.304,-7.4544,-0.10629,-1.4519,0,0,1.4102,8.9063
0.147,0.2,0.4,-1.3114,-7.4248,-0.10774,-1.4618,0,0,1.4191,8.8865
0.148,0.2,0.4,-1.3188,-7.3951,-0.10921,-1.4716,0,0,1.428,8.8667
0.149,0.2,0.4,-1.3262,-7.3655,-0.11069,-1.4814,0,0,1.4369,8.8469
0.15,0.2,0.4,-1.3335,-7.3358,-0.11217,-1.4912,0,0,1.4457,8.8271
0.151,0.2,0.4,-1.3409,-7.3062,-0.11367,-1.5011,0,0,1.4545,8.8073
0.152,0.2,0.4,-1.3481,-7.2766,-0.11518,-1.5109,0,0,1.4633,8.7874
0.153,0.2,0.4,-1.3554,-7.2469,-0.11669,-1.5207,0,0,1.4721,8.7677
0.154,0.2,0.4,-1.3626,-7.2174,-0.11822,-1.5305,0,0,1.4809,8.7479
0.155,0.2,0.4,-1.3698,-7.1879,-0.11975,-1.5403,0,0,1.4896,8.7282
0.156,0.2,0.4,-1.377,-7.1584,-0.1213,-1.5501,0,0,1.4983,8.7085
0.157,0.2,0.4,-1.3842,-7.129,-0.12285,-1.56,0,0,1.507,8.6889
0.158,0.2,0.4,-1.3913,-7.0996,-0.12442,-1.5698,0,0,1.5157,8.6694
0.159,0.2,0.4,-1.3984,-7.0704,-0.12599,-1.5796,0,0,1.5243,8.6499
0.16,0.2,0.4,-1.4054,-7.0412,-0.12758,-1.5894,0,0,1.533,8.6306
0.161,0.2,0.4,-1.4124,-7.0122,-0.12917,-1.5992,0,0,1.5416,8.6113
0.162,0.2,0.4,-1.4194,-6.9832,-0.13077,-1.609,0,0,1.5502,8.5922
0.163,0.2,0.4,-1.4264,-6.9544,-0.13239,-1.6188,0,0,1.5588,8.5731
0.164,0.2,0.4,-1.4333,-6.9257,-0.13401,-1.6285,0,0,1.5674,8.5542
0.165,0.2,0.4,-1.4403,-6.8971,-0.13565,-1.6383,0,0,1.5759,8.5355
0.166,0.2,0.4,-1.4471,-6.8687,-0.13729,-1.6481,0,0,1.5844,8.5168
0.167,0.2,0.4,-1.454,-6.8405,-0.13894,-1.6579,0,0,1.5929,8.4984
0.168,0.2,0.4,-1.4608,-6.8124,-0.1406,-1.6677,0,0,1.6014,8.4801
0.169,0.2,0.4,-1.4676,-6.7845,-0.14228,-1.6775,0,0,1.6099,8.4619
0.17,0.2,0.4,-1.4744,-6.7567,-0.14396,-1.6872,0,0,1.6183,8.444
0.171,0.2,0.4,-1.4811,-6.7292,-0.14565,-1.697,0,0,1.6268,8.4262
0.172,0.2,0.4,-1.4878,-6.7018,-0.14735,-1.7068,0,0,1.6352,8.4086
0.173,0.2,0.4,-1.4945,-6.6747,-0.14907,-1.7166,0,0,1.6436,8.3913
0.174,0.2,0.4,-1.5012,-6.6478,-0.15079,-1.7263,0,0,1.652,8.3741
0.175,0.2,0.4,-1.5078,-6.6211,-0.15252,-1.7361,0,0,1.6603,8.3572
0.176,0.2,0.4,-1.5144,-6.5946,-0.15426,-1.7458,0,0,1.6687,8.3404
0.177,0.2,0.4,-1.521,-6.5684,-0.15601,-1.7556,0,0,1.677,8.324
0.178,0.2,0.4,-1.5276,-6.5424,-0.15777,-1.7654,0,0,1.6853,8.3077
0.179,0.2,0.4,-1.5341,-6.5166,-0.15954,-1.7751,0,0,1.6936,8.2917
0.18,0.2,0.4,-1.5406,-6.4911,-0.16132,-1.7849,0,0,1.7019,8.276
0.181,0.2,0.4,-1.5471,-6.4659,-0.16311,-1.7946,0,0,1.7102,8.2605
0.182,0.2,0.4,-1.5535,-6.4409,-0.16491,-1.8043,0,0,1.7185,8.2452
0.183,0.2,0.4,-1.56,-6.4162,-0.16672,-1.8141,0,0,1.7267,8.2303
0.184,0.2,0.4,-1.5664,-6.3917,-0.16854,-1.8238,0,0,1.7349,8.2156
0.185,0.2,0.4,-1.5728,-6.3676,-0.17037,-1.8336,0,0,1.7431,8.2012
0.186,0.2,0.4,-1.5791,-6.3437,-0.1722,-1.8433,0,0,1.7513,8.187
0.187,0.2,0.4,-1.5854,-6.3202,-0.17405,-1.853,0,0,1.7595,8.1732
0.188,0.2,0.4,-1.5917,-6.2969,-0.17591,-1.8627,0,0,1.7677,8.1596
0.189,0.2,0.4,-1.598,-6.2739,-0.17778,-1.8725,0,0,1.7758,8.1464
0.19,0.2,0.4,-1.6043,-6.2512,-0.17966,-1.8822,0,0,1.784,8.1334
0.191,0.2,0.4,-1.6105,-6.2289,-0.18154,-1.8919,0,0,1.7921,8.1208
0.192,0.2,0.4,-1.6168,-6.2068,-0.18344,-1.9016,0,0,1.8002,8.1084
0.193,0.2,0.4,-1.623,-6.185,-0.18535,-1.9113,0,0,1.8083,8.0964
0.194,0.2,0.4,-1.6291,-6.1636,-0.18726,-1.921,0,0,1.8164,8.0846
0.195,0.2,0.4,-1.6353,-6.1425,-0.18919,-1.9307,0,0,1.8245,8.0732
0.196,0.2,0.4,-1.6414,-6.1217,-0.19112,-1.9404,0,0,1.8325,8.0621
0.197,0.2,0.4,-1.6475,-6.1012,-0.19307,-1.9501,0,0,1.8406,8.0513
0.198,0.2,0.4,-1.6536,-6.081,-0.19502,-1.9598,0,0,1.8486,8.0408
0.199,0.2,0.4,-1.6597,-6.0611,-0.19699,-1.9695,0,0,1.8567,8.0307
0.2,0.2,0.4,-1.6657,-6.0416,-0.19896,-1.9792,0,0,1.8647,8.0208
0.201,0.2,0.4,-1.6718,-6.0224,-0.20095,-1.9889,0,0,1.8727,8.0113
0.202,0.2,0.4,-1.6778,-6.0035,-0.20294,-1.9986,0,0,1.8807,8.0021
0.203,0.2,0.4,-1.6838,-5.9849,-0.20494,-2.0083,0,0,1.8887,7.9932
0.204,0.2,0.4,-1.6898,-5.9667,-0.20696,-2.0179,0,0,1.8967,7.9846
0.205,0.2,0.4,-1.6957,-5.9487,-0.20898,-2.0276,0,0,1.9047,7.9763
0.206,0.2,0.4,-1.7016,-5.9311,-0.21101,-2.0373,0,0,1.9127,7.9684
0.207,0.2,0.4,-1.7076,-5.9138,-0.21306,-2.0469,0,0,1.9206,7.9607
0.208,0.2,0.4,-1.7135,-5.8968,-0.21511,-2.0566,0,0,1.9286,7.9534
0.209,0.2,0.4,-1.7194,-5.8801,-0.21717,-2.0663,0,0,1.9365,7.9464
0.21,0.2,0.4,-1.7252,-5.8637,-0.21924,-2.0759,0,0,1.9445,7.9397
0.211,0.2,0.4,-1.7311,-5.8477,-0.22132,-2.0856,0,0,1.9524,7.9333
0.212,0.2,0.4,-1.7369,-5.8319,-0.22341,-2.0952,0,0,1.9603,7.9271
0.213,0.2,0.4,-1.7428,-5.8164,-0.22551,-2.1049,0,0,1.9683,7.9213
0.214,0.2,0.4,-1.7486,-5.8013,-0.22762,-2.1145,0,0,1.9762,7.9158
0.215,0.2,0.4,-1.7544,-5.7864,-0.22974,-2.1242,0,0,1.9841,7.9105
0.216,0.2,0.4,-1.7601,-5.7718,-0.23187,-2.1338,0,0,1.992,7.9056
0.217,0.2,0.4,-1.7659,-5.7575,-0.23401,-2.1434,0,0,1.9999,7.9009
0.218,0.2,0.4,-1.7717,-5.7434,-0.23616,-2.1531,0,0,2.0078,7.8965
0.219,0.2,0.4,-1.7774,-5.7297,-0.23831,-2.1627,0,0,2.0157,7.8924
0.22,0.2,0.4,-1.7831,-5.7162,-0.24048,-2.1723,0,0,2.0236,7.8885
0.221,0.2,0.4,-1.7888,-5.7029,-0.24266,-2.1819,0,0,2.0315,7.8849
0.222,0.2,0.4,-1.7945,-5.6899,-0.24484,-2.1916,0,0,2.0394,7.8815
0.223,0.2,0.4,-1.8002,-5.6772,-0.24704,-2.2012,0,0,2.0472,7.8784
0.224,0.2,0.4,-1.8059,-5.6647,-0.24925,-2.2108,0,0,2.0551,7.8755
0.225,0.2,0.4,-1.8115,-5.6525,-0.25146,-2.2204,0,0,2.063,7.8729
0.226,0.2,0.4,-1.8172,-5.6404,-0.25369,-2.23,0,0,2.0709,7.8704
0.227,0.2,0.4,-1.8228,-5.6286,-0.25592,-2.2396,0,0,2.0787,7.8682
0.228,0.2,0.4,-1.8284,-5.617,-0.25817,-2.2492,0,0,2.0866,7.8662
0.229,0.2,0.4,-1.834,-5.6057,-0.26042,-2.2588,0,0,2.0945,7.8644
0.23,0.2,0.4,-1.8396,-5.5945,-0.26268,-2.2684,0,0,2.1023,7.8629
0.231,0.2,0.4,-1.8452,-5.5835,-0.26496,-2.278,0,0,2.1102,7.8615
0.232,0.2,0.4,-1.8508,-5.5727,-0.26724,-2.2875,0,0,2.1181,7.8602
0.233,0.2,0.4,-1.8564,-5.5621,-0.26953,-2.2971,0,0,2.1259,7.8592
0.234,0.2,0.4,-1.8619,-5.5516,-0.27183,-2.3067,0,0,2.1338,7.8583
0.235,0.2,0.4,-1.8675,-5.5413,-0.27415,-2.3163,0,0,2.1416,7.8576
0.236,0.2,0.4,-1.873,-5.5311,-0.27647,-2.3258,0,0,2.1495,7.857
0.237,0.2,0.4,-1.8785,-5.5211,-0.2788,-2.3354,0,0,2.1573,7.8565
0.238,0.2,0.4,-1.8841,-5.5112,-0.28114,-2.345,0,0,2.1652,7.8562
0.239,0.2,0.4,-1.8896,-5.5015,-0.28349,-2.3545,0,0,2.1731,7.856
0.24,0.2,0.4,-1.8951,-5.4918,-0.28585,-2.3641,0,0,2.1809,7.8559
0.241,0.2,0.4,-1.9006,-5.4823,-0.28822,-2.3736,0,0,2.1888,7.8559
0.242,0.2,0.4,-1.906,-5.4728,-0.29059,-2.3832,0,0,2.1966,7.856
0.243,0.2,0.4,-1.9115,-5.4635,-0.29298,-2.3927,0,0,2.2045,7.8562
0.244,0.2,0.4,-1.917,-5.4542,-0.29538,-2.4022,0,0,2.2123,7.8564
0.245,0.2,0.4,-1.9224,-5.445,-0.29779,-2.4118,0,0,2.2202,7.8568
0.246,0.2,0.4,-1.9278,-5.4358,-0.3002,-2.4213,0,0,2.2281,7.8571
0.247,0.2,0.4,-1.9333,-5.4267,-0.30263,-2.4308,0,0,2.2359,7.8575
0.248,0.2,0.4,-1.9387,-5.4176,-0.30506,-2.4404,0,0,2.2438,7.858
0.249,0.2,0.4,-1.9441,-5.4086,-0.30751,-2.4499,0,0,2.2516,7.8585
0.25,0.2,0.4,-1.9495,-5.3996,-0.30996,-2.4594,0,0,2.2595,7.8589
0.251,0.2,0.4,-1.9549,-5.3905,-0.31243,-2.4689,0,0,2.2673,7.8594
0.252,0.2,0.4,-1.9603,-5.3815,-0.3149,-2.4784,0,0,2.2752,7.8599
0.253,0.2,0.4,-1.9657,-5.3725,-0.31739,-2.4879,0,0,2.2831,7.8604
0.254,0.2,0.4,-1.971,-5.3634,-0.31988,-2.4974,0,0,2.2909,7.8608
0.255,0.2,0.4,-1.9764,-5.3543,-0.32238,-2.5069,0,0,2.2988,7.8612
0.256,0.2,0.4,-1.9818,-5.3452,-0.32489,-2.5164,0,0,2.3066,7.8616
0.257,0.2,0.4,-1.9871,-5.336,-0.32741,-2.5259,0,0,2.3145,7.8619
0.258,0.2,0.4,-1.9924,-5.3268,-0.32994,-2.5354,0,0,2.3224,7.8621
0.259,0.2,0.4,-1.9977,-5.3174,-0.33248,-2.5448,0,0,2.3302,7.8623
0.26,0.2,0.4,-2.0031,-5.308,-0.33503,-2.5543,0,0,2.3381,7.8624
