"time","booleanStep"
0,0
0.02,0
0.039999999,0
0.059999999,0
0.079999998,0
0.100000001,0
0.119999997,0
0.140000001,0
0.159999996,0
0.180000007,0
0.200000003,0
0.200000003,0
0.219999999,0
0.239999995,0
0.25999999,0
0.280000001,0
0.300000012,0
0.300000012,0
0.319999993,0
0.340000004,0
0.360000014,0
0.379999995,0
0.400000006,0
0.419999987,0
0.439999998,0
0.460000008,0
0.479999989,0
0.5,0
0.5,0
0.519999981,0
0.540000021,0
0.560000002,0
0.579999983,0
0.600000024,0
0.620000005,0
0.639999986,0
0.660000026,0
0.680000007,0
0.699999988,0
0.720000029,0
0.74000001,0
0.75999999,0
0.779999971,0
0.800000012,0
0.800000012,0
0.819999993,0
0.839999974,0
0.860000014,0
0.879999995,0
0.899999976,0
0.920000017,0
0.939999998,0
0.959999979,0
0.980000019,0
1,0
1,0
1.019999981,0
1.039999962,0
1.059999943,0
1.080000043,0
1.100000024,0
1.120000005,0
1.139999986,0
1.159999967,0
1.179999948,0
1.200000048,0
1.200000048,0
1.220000029,0
1.24000001,0
1.25999999,0
1.279999971,0
1.299999952,0
1.299999952,0
1.320000052,0
1.340000033,0
1.360000014,0
1.379999995,0
1.399999976,0
1.419999957,0
1.440000057,0
1.460000038,0
1.480000019,0
1.5,0
1.5,1
1.519999981,1
1.539999962,1
1.559999943,1
1.580000043,1
1.600000024,1
1.620000005,1
1.639999986,1
1.659999967,1
1.679999948,1
1.700000048,1
1.720000029,1
1.74000001,1
1.75999999,1
1.779999971,1
1.799999952,1
1.799999952,1
1.820000052,1
1.840000033,1
1.860000014,1
1.879999995,1
1.899999976,1
1.919999957,1
1.940000057,1
1.960000038,1
1.980000019,1
2,1
2,1
2.019999981,1
2.039999962,1
2.059999943,1
2.079999924,1
2.099999905,1
2.119999886,1
2.140000105,1
2.160000086,1
2.180000067,1
2.200000048,1
2.200000048,1
2.220000029,1
2.24000001,1
2.25999999,1
2.279999971,1
2.299999952,1
2.299999952,1
2.319999933,1
2.339999914,1
2.359999895,1
2.380000114,1
2.400000095,1
2.420000076,1
2.440000057,1
2.460000038,1
2.480000019,1
2.5,1
2.5,1
2.519999981,1
2.539999962,1
2.559999943,1
2.579999924,1
2.599999905,1
2.619999886,1
2.640000105,1
2.660000086,1
2.680000067,1
2.700000048,1
2.720000029,1
2.74000001,1
2.75999999,1
2.779999971,1
2.799999952,1
2.799999952,1
2.819999933,1
2.839999914,1
2.859999895,1
2.880000114,1
2.900000095,1
2.920000076,1
2.940000057,1
2.960000038,1
2.980000019,1
3,1
3,1
3.019999981,1
3.039999962,1
3.059999943,1
3.079999924,1
3.099999905,1
3.119999886,1
3.140000105,1
3.160000086,1
3.180000067,1
3.200000048,1
3.200000048,1
3.220000029,1
3.24000001,1
3.25999999,1
3.279999971,1
3.299999952,1
3.299999952,1
3.319999933,1
3.339999914,1
3.359999895,1
3.380000114,1
3.400000095,1
3.420000076,1
3.440000057,1
3.460000038,1
3.480000019,1
3.5,1
3.5,1
3.519999981,1
3.539999962,1
3.559999943,1
3.579999924,1
3.599999905,1
3.619999886,1
3.640000105,1
3.660000086,1
3.680000067,1
3.700000048,1
3.720000029,1
3.74000001,1
3.75999999,1
3.779999971,1
3.799999952,1
3.799999952,1
3.819999933,1
3.839999914,1
3.859999895,1
3.880000114,1
3.900000095,1
3.920000076,1
3.940000057,1
3.960000038,1
3.980000019,1
4,1
4,1
4.019999981,1
4.039999962,1
4.059999943,1
4.079999924,1
4.099999905,1
4.119999886,1
4.139999866,1
4.159999847,1
4.179999828,1
4.199999809,1
4.199999809,1
4.21999979,1
4.239999771,1
4.260000229,1
4.28000021,1
4.300000191,1
4.300000191,1
4.320000172,1
4.340000153,1
4.360000134,1
4.380000114,1
4.400000095,1
4.420000076,1
4.440000057,1
4.460000038,1
4.480000019,1
4.5,1
4.5,1
4.519999981,1
4.539999962,1
4.559999943,1
4.579999924,1
4.599999905,1
4.619999886,1
4.639999866,1
4.659999847,1
4.679999828,1
4.699999809,1
4.71999979,1
4.739999771,1
4.760000229,1
