"time","_output"
0.0000000000000000E+000,0.0000000000000000E+000
5.0000000000000000E-001,1.0000000000000000E+000
1.0000000000000000E+000,2.0000000000000000E+000
1.5000000000000000E+000,3.0000000000000000E+000
2.0000000000000000E+000,2.0000000000000000E+000
2.5000000000000000E+000,1.0000000000000000E+000
3.0000000000000000E+000,2.0000000000000000E+000
3.5000000000000000E+000,2.0000000000000000E+000
4.0000000000000000E+000,2.0000000000000000E+000
4.5000000000000000E+000,2.0000000000000000E+000
5.0000000000000000E+000,2.0000000000000000E+000
5.5000000000000000E+000,2.0000000000000000E+000
6.0000000000000000E+000,2.0000000000000000E+000
6.5000000000000000E+000,2.0000000000000000E+000
7.0000000000000000E+000,2.0000000000000000E+000
7.5000000000000000E+000,2.0000000000000000E+000
8.0000000000000000E+000,2.0000000000000000E+000
8.5000000000000000E+000,2.0000000000000000E+000
9.0000000000000000E+000,2.0000000000000000E+000
