"time","qINJ01","sacpINJ01","x1INJ01","volumeINJ01","paDVALV01","lcaPUMP01","p1PUMP01","qinjexpseu_"
0,0,0,0,0,0,0,0,0
1e-005,-9.8316e-009,50,1e-009,-1.63796e-015,9.93552,1.2744e-008,2.49987,-1.63796e-009
2e-005,-9.83154e-009,50,1e-009,-3.27656e-015,9.9361,2.95593e-008,2.50005,-3.27656e-009
3e-005,-9.83162e-009,50,1e-009,-4.91516e-015,9.97453,5.17387e-008,2.50009,-4.91516e-009
4e-005,-9.83159e-009,50,1e-009,-6.55376e-015,9.96156,8.0575e-008,2.49998,-6.55376e-009
5e-005,-9.83162e-009,50,1e-009,-8.19236e-015,9.93994,1.17361e-007,2.50001,-8.19236e-009
6e-005,-9.83162e-009,50,1e-009,-9.83096e-015,9.95708,1.6339e-007,2.50008,-9.83096e-009
7e-005,-9.83161e-009,50,1e-009,-1.14696e-014,9.96741,2.19955e-007,2.50004,-1.14696e-008
8e-005,-9.83161e-009,50,1e-009,-1.31082e-014,9.95311,2.88348e-007,2.50003,-1.31082e-008
9e-005,-9.83162e-009,50,1e-009,-1.47468e-014,9.95229,3.69863e-007,2.50012,-1.47468e-008
0.0001,-9.83161e-009,50,1e-009,-1.63854e-014,9.96363,4.65792e-007,2.50016,-1.63854e-008
0.00011,-9.83162e-009,50,1e-009,-1.8024e-014,9.96119,5.77428e-007,2.50013,-1.8024e-008
0.00012,-9.83162e-009,50,1e-009,-1.96626e-014,9.95607,7.06065e-007,2.5002,-1.96626e-008
0.00013,-9.83168e-009,50,1e-009,-2.13012e-014,9.96117,8.52994e-007,2.50032,-2.13012e-008
0.00014,-9.8316e-009,50,1e-009,-2.29398e-014,9.96449,1.01951e-006,2.50035,-2.29398e-008
0.00015,-9.8316e-009,50,1e-009,-2.45784e-014,9.96142,1.20639e-006,2.50041,-2.45784e-008
0.00016,-9.83161e-009,50,1e-009,-2.6217e-014,9.96238,1.41296e-006,2.50056,-2.6217e-008
0.00017,-9.83162e-009,50,1e-009,-2.78556e-014,9.966,1.63826e-006,2.50064,-2.78556e-008
0.00018,-9.83167e-009,50,1e-009,-2.94942e-014,9.96579,1.88136e-006,2.5007,-2.94942e-008
0.00019,-9.83156e-009,50,1e-009,-3.11328e-014,9.96531,2.1413e-006,2.50082,-3.11328e-008
0.0002,-9.83162e-009,50,1e-009,-3.27714e-014,9.96773,2.41714e-006,2.50094,-3.27714e-008
0.00021,-9.8316e-009,50,1e-009,-3.441e-014,9.96904,2.70793e-006,2.501,-3.441e-008
0.00022,-9.83162e-009,50,1e-009,-3.60486e-014,9.96874,3.01273e-006,2.50109,-3.60486e-008
0.00023,-9.8316e-009,50,1e-009,-3.76872e-014,9.97007,3.33059e-006,2.50121,-3.76872e-008
0.00024,-9.83161e-009,50,1e-009,-3.93258e-014,9.97167,3.66056e-006,2.50129,-3.93258e-008
0.00025,-9.83161e-009,50,1e-009,-4.09644e-014,9.97187,4.0017e-006,2.50136,-4.09644e-008
0.00026,-9.83161e-009,50,1e-009,-4.2603e-014,9.97264,4.35306e-006,2.50145,-4.2603e-008
0.00027,-9.83162e-009,50,1e-009,-4.42416e-014,9.97399,4.7137e-006,2.50152,-4.42416e-008
0.00028,-9.83162e-009,50,1e-009,-4.58802e-014,9.97453,5.08267e-006,2.50158,-4.58802e-008
0.00029,-9.83162e-009,50,1e-009,-4.75188e-014,9.97508,5.45938e-006,2.50166,-4.75188e-008
0.0003,-9.8316e-009,50,1e-009,-4.91574e-014,9.97618,5.84399e-006,2.50173,-4.91574e-008
0.00031,-9.8316e-009,50,1e-009,-5.0796e-014,9.97676,6.23676e-006,2.50179,-5.0796e-008
0.00032,-9.83161e-009,50,1e-009,-5.24346e-014,9.97734,6.63793e-006,2.50188,-5.24346e-008
0.00033,-9.83162e-009,50,1e-009,-5.40732e-014,9.97814,7.04777e-006,2.50196,-5.40732e-008
0.00034,-9.83161e-009,50,1e-009,-5.57118e-014,9.97868,7.46652e-006,2.50204,-5.57118e-008
0.00035,-9.83162e-009,50,1e-009,-5.73504e-014,9.97927,7.89443e-006,2.50214,-5.73504e-008
0.00036,-9.83162e-009,50,1e-009,-5.8989e-014,9.97985,8.33175e-006,2.50223,-5.8989e-008
0.00037,-9.83162e-009,50,1e-009,-6.06276e-014,9.98037,8.77875e-006,2.50233,-6.06276e-008
0.00038,-9.83161e-009,50,1e-009,-6.22662e-014,9.98086,9.23567e-006,2.50243,-6.22662e-008
0.00039,-9.83162e-009,50,1e-009,-6.39048e-014,9.98134,9.70276e-006,2.50254,-6.39048e-008
0.0004,-9.83162e-009,50,1e-009,-6.55434e-014,9.98179,1.01803e-005,2.50266,-6.55434e-008
0.00041,-9.83162e-009,50,1e-009,-6.7182e-014,9.98223,1.06685e-005,2.50278,-6.7182e-008
0.00042,-9.83163e-009,50,1e-009,-6.88206e-014,9.98265,1.11676e-005,2.5029,-6.88206e-008
0.00043,-9.83163e-009,50,1e-009,-7.04592e-014,9.98306,1.16778e-005,2.50303,-7.04592e-008
0.00044,-9.83164e-009,50,1e-009,-7.20978e-014,9.98345,1.2199e-005,2.50316,-7.20978e-008
0.00045,-9.83165e-009,50,1e-009,-7.37364e-014,9.98384,1.27312e-005,2.5033,-7.37364e-008
0.00046,-9.83166e-009,50,1e-009,-7.53751e-014,9.98421,1.32742e-005,2.50343,-7.53751e-008
0.00047,-9.83167e-009,50,1e-009,-7.70137e-014,9.98458,1.38281e-005,2.50357,-7.70137e-008
0.00048,-9.83169e-009,50,1e-009,-7.86523e-014,9.98494,1.43927e-005,2.50371,-7.86523e-008
0.00049,-9.83171e-009,50,1e-009,-8.02909e-014,9.9853,1.4968e-005,2.50385,-8.02909e-008
