"time","uDC","iAC_1_","iAC_2_","iAC_3_","uAC_1_","uAC_2_","uAC_3_","Losses"
0,565.685,-0,0,0,0,0,0,480
2.97018e-005,564.694,0.0060703,-0.568694,0.562623,287.382,-565.659,278.277,798.316
2.97018e-005,564.694,0.0060703,-0.568694,0.562623,287.382,-565.659,278.277,798.316
0.000135914,561.147,0.0417631,-0.60691,0.565147,303.455,-565.147,261.692,792.677
0.000135914,561.147,0.0417631,-0.60691,0.565147,303.455,-565.147,261.692,792.677
0.00149316,517.311,0.44289,-0.964202,0.521311,482.101,-521.312,39.2105,772.144
0.00149316,517.311,0.44289,-0.964202,0.521311,482.101,-521.312,39.2105,772.144
0.00188605,504.2,0.5082,-0.938529,0.430328,508.201,-469.265,-38.9358,733.047
0.00188605,504.2,0.5082,-0.938529,0.430328,508.201,-469.265,-38.9358,733.047
0.0052334,546.697,931.689,-931.138,-0.550697,552.558,-0.930587,-551.628,6361.72
0.0052334,546.697,931.689,-931.138,-0.550697,552.558,-0.930587,-551.628,6361.72
0.00594916,553.438,319.289,-0.557438,-318.732,557.757,0.318174,-558.075,2402.89
0.00594916,553.438,319.289,-0.557438,-318.732,557.757,0.318176,-558.075,2402.89
0.00850826,531.718,213.096,0.535718,-213.632,0.21256,535.932,-536.144,1796.94
0.00850826,531.718,213.096,0.535718,-213.632,0.21256,535.932,-536.144,1796.94
0.00880047,524.659,0.528659,65.7069,-66.2355,-0.0651782,528.789,-528.724,1102.59
0.00880047,524.659,0.528659,65.7069,-66.2355,-0.0651804,528.789,-528.724,1102.59
0.0118339,529.745,-0.533745,712.24,-711.706,-534.456,535.168,-0.711172,4707.83
0.0118339,529.745,-0.533745,712.24,-711.706,-534.456,535.168,-0.711172,4707.83
0.0125133,530.56,-306.405,306.939,-0.53456,-535.172,534.866,0.30587,2263.51
0.0125133,530.56,-306.405,306.939,-0.53456,-535.172,534.866,0.305873,2263.51
0.0152041,539.213,-445.64,445.097,0.543213,-544.102,0.444554,543.658,3054.75
0.0152041,539.213,-445.64,445.097,0.543213,-544.102,0.444554,543.658,3054.75
0.015668,533.025,-154.738,0.537025,154.201,-537.179,-0.153664,537.333,1522.22
0.015668,533.025,-154.738,0.537025,154.201,-537.179,-0.153666,537.333,1522.22
0.0184961,528.589,-541.401,-0.532589,541.934,-0.540868,-533.13,533.671,3595.93
0.0184961,528.589,-541.401,-0.532589,541.934,-0.540868,-533.13,533.671,3595.93
0.0190752,524.378,-0.528378,-234.073,234.602,0.233545,-528.845,528.612,1876.3
0.0190752,524.378,-0.528378,-234.073,234.602,0.233547,-528.845,528.612,1876.3
0.0218653,537.811,0.541811,-552.837,552.295,542.364,-542.915,0.551753,3692.95
0.0218653,537.811,0.541811,-552.837,552.295,542.364,-542.915,0.551753,3692.95
0.0224094,533.516,205.737,-206.274,0.537516,537.927,-537.722,-0.205199,1767.09
0.0224094,533.516,205.737,-206.274,0.537516,537.927,-537.722,-0.205205,1767.09
0.0251737,531.406,492.448,-491.912,-0.535406,536.389,-0.491376,-535.898,3304.63
0.0251737,531.406,492.448,-491.912,-0.535406,536.389,-0.491376,-535.898,3304.63
0.0257053,526.004,200.574,-0.530004,-200.044,530.204,0.199514,-530.403,1715.74
0.0257053,526.004,200.574,-0.530004,-200.044,530.204,0.199518,-530.403,1715.74
0.0285211,535.011,564.783,0.539011,-565.322,0.564243,539.576,-540.14,3761.77
0.0285211,535.011,564.783,0.539011,-565.322,0.564243,539.576,-540.14,3761.77
0.0290857,531.103,0.535103,220.961,-221.496,-0.220426,535.544,-535.324,1833.26
0.0290857,531.103,0.535103,220.961,-221.496,-0.220435,535.544,-535.324,1833.26
0.0318487,533.558,-0.537558,502.177,-501.64,-538.059,538.56,-0.501102,3369.78
0.0318487,533.558,-0.537558,502.177,-501.64,-538.059,538.56,-0.501102,3369.78
0.0323774,528.307,-197.191,197.723,-0.532307,-532.7,532.504,0.196658,1709.36
0.0323774,528.307,-197.191,197.723,-0.532307,-532.7,532.504,0.196672,1709.36
0.0351822,533.587,-547.257,546.72,0.537587,-538.68,0.546181,538.134,3644.76
0.0351822,533.587,-547.257,546.72,0.537587,-538.68,0.546181,538.134,3644.76
0.0357414,529.307,-218.426,0.533307,217.892,-533.525,-0.217359,533.743,1812.56
0.0357414,529.307,-218.426,0.533307,217.892,-533.525,-0.21737,533.743,1812.56
0.0385182,534.274,-520.806,-0.538274,521.344,-0.520267,-538.794,539.315,3487.96
0.0385182,534.274,-520.806,-0.538274,521.344,-0.520267,-538.794,539.315,3487.96
0.0390569,529.403,-0.533403,-203.64,204.173,0.203106,-533.809,533.606,1743.82
0.0390569,529.403,-0.533403,-203.64,204.173,0.203114,-533.809,533.606,1743.82
0.0418481,533.393,0.537393,-531.597,531.059,537.924,-538.455,0.530521,3547.73
0.0418481,533.393,0.537393,-531.597,531.059,537.924,-538.455,0.530521,3547.73
0.0423977,528.76,211.353,-211.886,0.53276,533.182,-532.971,-0.21082,1779.04
0.0423977,528.76,211.353,-211.886,0.53276,533.182,-532.971,-0.210828,1779.04
0.0451844,534.17,531.516,-530.977,-0.53817,539.232,-0.530439,-538.701,3549.72
0.0451844,534.17,531.516,-530.977,-0.53817,539.232,-0.530439,-538.701,3549.72
0.0457305,529.519,209.182,-0.533519,-208.649,533.727,0.208115,-533.936,1768.37
0.0457305,529.519,209.182,-0.533519,-208.649,533.727,0.208119,-533.936,1768.37
0.0485156,533.613,526.37,0.537613,-526.908,0.525832,538.139,-538.665,3519.75
0.0485156,533.613,526.37,0.537613,-526.908,0.525832,538.139,-538.665,3519.75
0.0490611,528.877,0.532877,208.479,-209.012,-0.207946,533.293,-533.085,1765.5
0.0490611,528.877,0.532877,208.479,-209.012,-0.207964,533.293,-533.085,1765.5
0.0518503,533.954,-0.537954,532.402,-531.864,-538.486,539.017,-0.531325,3554.46
0.0518503,533.954,-0.537954,532.402,-531.864,-538.486,539.017,-0.531325,3554.46
0.0523979,529.322,-209.758,210.291,-0.533322,-533.741,533.532,0.209224,1773.1
0.0523979,529.322,-209.758,210.291,-0.533322,-533.741,533.532,0.209231,1773.1
0.0551829,533.779,-527.781,527.243,0.537779,-538.833,0.526705,538.307,3525.62
0.0551829,533.779,-527.781,527.243,0.537779,-538.833,0.526705,538.307,3525.62
0.0557282,529.058,-208.832,0.533058,208.299,-533.266,-0.207766,533.474,1765.21
0.0557282,529.058,-208.832,0.533058,208.299,-533.266,-0.207771,533.474,1765.21
0.0585165,533.833,-530.832,-0.537833,531.37,-0.530294,-538.364,538.894,3547.75
0.0585165,533.833,-530.832,-0.537833,531.37,-0.530294,-538.364,538.894,3547.75
0.0590639,529.188,-0.533188,-209.757,210.29,0.209224,-533.607,533.398,1772.67
0.0590639,529.188,-0.533188,-209.757,210.29,0.209243,-533.607,533.398,1772.67
0.0618499,533.866,0.537866,-528.554,528.017,538.394,-538.921,0.527478,3530.63
0.0618499,533.866,0.537866,-528.554,528.017,538.394,-538.921,0.527478,3530.63
0.0623954,529.153,208.303,-208.836,0.533153,533.569,-533.361,-0.20777,1765.53
0.0623954,529.153,208.303,-208.836,0.533153,533.569,-533.361,-0.207781,1765.53
0.0651829,533.782,530.494,-529.956,-0.537782,538.842,-0.529418,-538.312,3542.22
0.0651829,533.782,530.494,-529.956,-0.537782,538.842,-0.529418,-538.312,3542.22
0.0657301,529.119,210.067,-0.533119,-209.534,533.329,0.209,-533.538,1771.37
0.0657301,529.119,210.067,-0.533119,-209.534,533.329,0.209011,-533.538,1771.37
0.0685166,533.874,529.274,0.537874,-529.812,0.528736,538.403,-538.932,3538.34
0.0685166,533.874,529.274,0.537874,-529.812,0.528736,538.403,-538.932,3538.34
0.0690629,529.193,0.533193,208.902,-209.435,-0.208369,533.611,-533.402,1768.55
0.0690629,529.193,0.533193,208.902,-209.435,-0.20839,533.611,-533.402,1768.55
0.0718497,533.813,-0.537813,529.199,-528.662,-538.341,538.87,-0.528123,3534.4
0.0718497,533.813,-0.537813,529.199,-528.662,-538.341,538.87,-0.528123,3534.4
0.0723958,529.115,-208.784,209.317,-0.533115,-533.532,533.324,0.208251,1767.73
0.0723958,529.115,-208.784,209.317,-0.533115,-533.532,533.324,0.208266,1767.73
0.0751831,533.83,-530.446,529.908,0.53783,-538.89,0.52937,538.36,3542.08
0.0751831,533.83,-530.446,529.908,0.53783,-538.89,0.52937,538.36,3542.08
0.07573,529.165,-209.877,0.533165,209.344,-533.374,-0.20881,533.583,1770.6
0.07573,529.165,-209.877,0.533165,209.344,-533.374,-0.208813,533.583,1770.6
0.0785165,533.839,-529.014,-0.537839,529.552,-0.528476,-538.368,538.896,3536.64
0.0785165,533.839,-529.014,-0.537839,529.552,-0.528476,-538.368,538.896,3536.64
0.0790627,529.154,-0.533154,-208.905,209.438,0.208372,-533.571,533.363,1768.44
0.0790627,529.154,-0.533154,-208.905,209.438,0.208408,-533.571,533.362,1768.44
0.0818498,533.834,0.537834,-529.557,529.019,538.363,-538.891,0.52848,3536.65
0.0818498,533.834,0.537834,-529.557,529.019,538.363,-538.891,0.52848,3536.65
0.0823961,529.143,208.874,-209.407,0.533143,533.56,-533.352,-0.208341,1768.26
0.0823961,529.143,208.874,-209.407,0.533143,533.56,-533.352,-0.208389,1768.26
0.0851831,533.821,530.117,-529.58,-0.537821,538.88,-0.529041,-538.35,3540.04
0.0851831,533.821,530.117,-529.58,-0.537821,538.88,-0.529041,-538.35,3540.04
0.0857298,529.149,209.759,-0.533149,-209.226,533.358,0.208693,-533.567,1769.98
0.0857298,529.149,209.759,-0.533149,-209.226,533.358,0.208704,-533.567,1769.98
0.0885165,533.84,529.257,0.53784,-529.795,0.528719,538.369,-538.898,3538.13
0.0885165,533.84,529.257,0.53784,-529.795,0.528719,538.369,-538.898,3538.13
0.0890629,529.16,0.533161,209.011,-209.544,-0.208478,533.578,-533.37,1768.98
0.0890629,529.16,0.533161,209.011,-209.544,-0.208482,533.578,-533.37,1768.98
0.0918498,533.836,-0.537836,529.409,-528.871,-538.365,538.894,-0.528332,3535.75
0.0918498,533.836,-0.537836,529.409,-528.871,-538.365,538.894,-0.528332,3535.75
0.092396,529.143,-208.797,209.33,-0.533143,-533.56,533.351,0.208264,1767.89
0.092396,529.143,-208.797,209.33,-0.533143,-533.56,533.351,0.208272,1767.89
0.0951831,533.817,-530.186,529.648,0.537817,-538.875,0.529109,538.346,3540.44
0.0951831,533.817,-530.186,529.648,0.537817,-538.875,0.529109,538.346,3540.44
0.0957298,529.146,-209.805,0.533146,209.272,-533.355,-0.208739,533.564,1770.19
0.0957298,529.146,-209.805,0.533146,209.272,-533.355,-0.208767,533.564,1770.19
0.0985165,533.844,-529.244,-0.537844,529.781,-0.528705,-538.373,538.902,3538.06
0.0985165,533.844,-529.244,-0.537844,529.781,-0.528705,-538.373,538.902,3538.06
0.0990629,529.164,-0.533164,-208.991,209.524,0.208457,-533.582,533.373,1768.89
0.0990629,529.164,-0.533164,-208.991,209.524,0.208458,-533.582,533.373,1768.89
0.1,517.041,-5.5406e-005,-452.434,452.434,260.945,-521.945,261,2889.52
0.1,517.041,-5.5406e-005,-452.434,452.434,260.945,-521.945,261,2889.52
