"time","Rte_RefVelocitySensor_EcuRefVelocity_OP_GET_ref_velocity","Rte_VelocitySensor_EcuVelocity_OP_GET_velocity"
0.00000000,0.50000000,0.00000000
0.00100000,0.50000000,0.00830078
0.00200000,0.50000000,0.01708984
0.00300000,0.50000000,0.02539063
0.00400000,0.50000000,0.03417969
0.00500000,0.50000000,0.04296875
0.00600000,0.50000000,0.05126953
0.00700000,0.50000000,0.06005859
0.00800000,0.50000000,0.06835938
0.00900000,0.50000000,0.07666016
0.01000000,0.50000000,0.08544922
0.01100000,0.50000000,0.09375000
0.01200000,0.50000000,0.10205078
0.01300000,0.50000000,0.11035156
0.01400000,0.50000000,0.11914063
0.01500000,0.50000000,0.12744141
0.01600000,0.50000000,0.13574219
0.01700000,0.50000000,0.14404297
0.01800000,0.50000000,0.15185547
0.01900000,0.50000000,0.16015625
0.02000000,0.50000000,0.16845703
0.02100000,0.50000000,0.17675781
0.02200000,0.50000000,0.18505859
0.02300000,0.50000000,0.19287109
0.02400000,0.50000000,0.20117188
0.02500000,0.50000000,0.20898438
0.02600000,0.50000000,0.21728516
0.02700000,0.50000000,0.22509766
0.02800000,0.50000000,0.23339844
0.02900000,0.50000000,0.24121094
0.03000000,0.50000000,0.24902344
0.03100000,0.50000000,0.25683594
0.03200000,0.50000000,0.26513672
0.03300000,0.50000000,0.27294922
0.03400000,0.50000000,0.28076172
0.03500000,0.50000000,0.28857422
0.03600000,0.50000000,0.29638672
0.03700000,0.50000000,0.30419922
0.03800000,0.50000000,0.31201172
0.03900000,0.50000000,0.31933594
0.04000000,0.50000000,0.32714844
0.04100000,0.50000000,0.33496094
0.04200000,0.50000000,0.34277344
0.04300000,0.50000000,0.35009766
0.04400000,0.50000000,0.35791016
0.04500000,0.50000000,0.36523438
0.04600000,0.50000000,0.37304688
0.04700000,0.50000000,0.38037109
0.04800000,0.50000000,0.38818359
0.04900000,0.50000000,0.39550781
0.05000000,0.50000000,0.40283203
0.05100000,0.50000000,0.41015625
0.05200000,0.50000000,0.41796875
0.05300000,0.50000000,0.42529297
0.05400000,0.50000000,0.43261719
0.05500000,0.50000000,0.43994141
0.05600000,0.50000000,0.44726563
0.05700000,0.50000000,0.45458984
0.05800000,0.50000000,0.46191406
0.05900000,0.50000000,0.46923828
0.06000000,0.50000000,0.47607422
0.06100000,0.50000000,0.48339844
0.06200000,0.50000000,0.49072266
0.06300000,0.50000000,0.49755859
0.06400000,0.50000000,0.50488281
0.06500000,0.50000000,0.51220703
0.06600000,0.50000000,0.51904297
0.06700000,0.50000000,0.52587891
0.06800000,0.50000000,0.53320313
0.06900000,0.50000000,0.54003906
0.07000000,0.50000000,0.54687500
0.07100000,0.50000000,0.55371094
0.07200000,0.50000000,0.56103516
0.07300000,0.50000000,0.56787109
0.07400000,0.50000000,0.57470703
0.07500000,0.50000000,0.58154297
0.07600000,0.50000000,0.58837891
0.07700000,0.50000000,0.59521484
0.07800000,0.50000000,0.59375000
0.07900000,0.50000000,0.59277344
0.08000000,0.50000000,0.59375000
0.08100000,0.50000000,0.59326172
0.08200000,0.50000000,0.59326172
0.08300000,0.50000000,0.59326172
0.08400000,0.50000000,0.59326172
0.08500000,0.50000000,0.59326172
0.08600000,0.50000000,0.59326172
0.08700000,0.50000000,0.59326172
0.08800000,0.50000000,0.59326172
0.08900000,0.50000000,0.59326172
0.09000000,0.50000000,0.59326172
0.09100000,0.50000000,0.59326172
0.09200000,0.50000000,0.59326172
0.09300000,0.50000000,0.59326172
0.09400000,0.50000000,0.59326172
0.09500000,0.50000000,0.59326172
0.09600000,0.50000000,0.59326172
0.09700000,0.50000000,0.59326172
0.09800000,0.50000000,0.59326172
0.09900000,0.50000000,0.59375000
0.10000000,0.50000000,0.59277344
0.10100000,0.50000000,0.59375000
0.10200000,0.50000000,0.59326172
0.10300000,0.50000000,0.59326172
0.10400000,0.50000000,0.59326172
0.10500000,0.50000000,0.59326172
0.10600000,0.50000000,0.59326172
0.10700000,0.50000000,0.59326172
0.10800000,0.50000000,0.59326172
0.10900000,0.50000000,0.59326172
0.11000000,0.50000000,0.59326172
0.11100000,0.50000000,0.59326172
0.11200000,0.50000000,0.59326172
0.11300000,0.50000000,0.59326172
0.11400000,0.50000000,0.59326172
0.11500000,0.50000000,0.59326172
0.11600000,0.50000000,0.59326172
0.11700000,0.50000000,0.59326172
0.11800000,0.50000000,0.59326172
0.11900000,0.50000000,0.59326172
0.12000000,0.50000000,0.59326172
0.12100000,0.50000000,0.59326172
0.12200000,0.50000000,0.59326172
0.12300000,0.50000000,0.59326172
0.12400000,0.50000000,0.59375000
0.12500000,0.50000000,0.59277344
0.12600000,0.50000000,0.59375000
0.12700000,0.50000000,0.59326172
0.12800000,0.50000000,0.59326172
0.12900000,0.50000000,0.59326172
0.13000000,0.50000000,0.59326172
0.13100000,0.50000000,0.59326172
0.13200000,0.50000000,0.59326172
0.13300000,0.50000000,0.59326172
0.13400000,0.50000000,0.59326172
0.13500000,0.50000000,0.59326172
0.13600000,0.50000000,0.59326172
0.13700000,0.50000000,0.59326172
0.13800000,0.50000000,0.59326172
0.13900000,0.50000000,0.59326172
0.14000000,0.50000000,0.59326172
0.14100000,0.50000000,0.59326172
0.14200000,0.50000000,0.59326172
0.14300000,0.50000000,0.59326172
0.14400000,0.50000000,0.59326172
0.14500000,0.50000000,0.59326172
0.14600000,0.50000000,0.59326172
0.14700000,0.50000000,0.59326172
0.14800000,0.50000000,0.59326172
0.14900000,0.50000000,0.59326172
0.15000000,0.50000000,0.59326172
0.15100000,0.50000000,0.59326172
0.15200000,0.50000000,0.59375000
0.15300000,0.50000000,0.59277344
0.15400000,0.50000000,0.59375000
0.15500000,0.50000000,0.59326172
0.15600000,0.50000000,0.59326172
0.15700000,0.50000000,0.59326172
0.15800000,0.50000000,0.59326172
0.15900000,0.50000000,0.59326172
0.16000000,0.50000000,0.59326172
0.16100000,0.50000000,0.59326172
0.16200000,0.50000000,0.59326172
0.16300000,0.50000000,0.59326172
0.16400000,0.50000000,0.59326172
0.16500000,0.50000000,0.59326172
0.16600000,0.50000000,0.59326172
0.16700000,0.50000000,0.59326172
0.16800000,0.50000000,0.59326172
0.16900000,0.50000000,0.59326172
0.17000000,0.50000000,0.59326172
0.17100000,0.50000000,0.59326172
0.17200000,0.50000000,0.59326172
0.17300000,0.50000000,0.59326172
0.17400000,0.50000000,0.59326172
0.17500000,0.50000000,0.59326172
0.17600000,0.50000000,0.59326172
0.17700000,0.50000000,0.59326172
