"time","Rte_RefVelocitySensor_EcuRefVelocity_OP_GET_ref_velocity","Rte_VelocitySensor_EcuVelocity_OP_GET_velocity"
0.17800000,0.50000000,0.59326172
0.17900000,0.50000000,0.59326172
0.18000000,0.50000000,0.59326172
0.18100000,0.50000000,0.59326172
0.18200000,0.50000000,0.59375000
0.18300000,0.50000000,0.59277344
0.18400000,0.50000000,0.59375000
0.18500000,0.50000000,0.59326172
0.18600000,0.50000000,0.59326172
0.18700000,0.50000000,0.59326172
0.18800000,0.50000000,0.59326172
0.18900000,0.50000000,0.59326172
0.19000000,0.50000000,0.59326172
0.19100000,0.50000000,0.59326172
0.19200000,0.50000000,0.59326172
0.19300000,0.50000000,0.59326172
0.19400000,0.50000000,0.59326172
0.19500000,0.50000000,0.59326172
0.19600000,0.50000000,0.59326172
0.19700000,0.50000000,0.59326172
0.19800000,0.50000000,0.59326172
0.19900000,0.50000000,0.59326172
0.20000000,0.50000000,0.59326172
