    "time","outDateAndTime2", "outChar"
         0,         0,         0
      0.01,         0,         0
      0.02,         0,         0
      0.03,         0,         0
      0.04,         0,         0
      0.05,         0,         0
      0.06,       300,         3
      0.07,       300,         3
      0.08,       300,         3
      0.09,       300,         3
       0.1,       300,         3
      0.11,       600,         4
      0.12,       600,         4
      0.13,       600,         4
      0.14,       600,         4
      0.15,       600,         4
      0.16,      1000,         5
      0.17,      1000,         5
      0.18,      1000,         5
      0.19,      1000,         5
       0.2,      1000,         5
      0.21,      1500,         6
      0.22,      1500,         6
      0.23,      1500,         6
      0.24,      1500,         6
      0.25,      1500,         6
      0.26,      2100,         7
      0.27,      2100,         7
      0.28,      2100,         7
      0.29,      2100,         7
       0.3,      2100,         7
      0.31,      2800,         8
      0.32,      2800,         8
      0.33,      2800,         8
      0.34,      2800,         8
      0.35,      2800,         8
      0.36,      3600,         9
      0.37,      3600,         9
      0.38,      3600,         9
      0.39,      3600,         9
       0.4,      3600,         9
      0.41,      4500,        10
      0.42,      4500,        10
      0.43,      4500,        10
      0.44,      4500,        10
      0.45,      4500,        10
      0.46,      5500,        11
      0.47,      5500,        11
      0.48,      5500,        11
      0.49,      5500,        11
       0.5,      5500,        11
      0.51,      6600,        12
      0.52,      6600,        12
      0.53,      6600,        12
      0.54,      6600,        12
      0.55,      6600,        12
      0.56,      7800,        13
      0.57,      7800,        13
      0.58,      7800,        13
      0.59,      7800,        13
       0.6,      7800,        13
      0.61,      9100,        14
      0.62,      9100,        14
      0.63,      9100,        14
      0.64,      9100,        14
      0.65,      9100,        14
      0.66,     10500,        15
      0.67,     10500,        15
      0.68,     10500,        15
      0.69,     10500,        15
       0.7,     10500,        15
      0.71,     12000,        16
      0.72,     12000,        16
      0.73,     12000,        16
      0.74,     12000,        16
      0.75,     12000,        16
      0.76,     13600,        17
      0.77,     13600,        17
      0.78,     13600,        17
      0.79,     13600,        17
       0.8,     13600,        17
      0.81,     15300,        18
      0.82,     15300,        18
      0.83,     15300,        18
      0.84,     15300,        18
      0.85,     15300,        18
      0.86,     17100,        19
      0.87,     17100,        19
      0.88,     17100,        19
      0.89,     17100,        19
       0.9,     17100,        19
      0.91,     19000,        20
      0.92,     19000,        20
      0.93,     19000,        20
      0.94,     19000,        20
      0.95,     19000,        20
      0.96,     21000,        21
      0.97,     21000,        21
      0.98,     21000,        21
      0.99,     21000,        21
         1,     21000,        21
      1.01,     23100,        22
      1.02,     23100,        22
      1.03,     23100,        22
      1.04,     23100,        22
      1.05,     23100,        22
      1.06,     25300,        23
      1.07,     25300,        23
      1.08,     25300,        23
      1.09,     25300,        23
       1.1,     25300,        23
      1.11,     27600,        24
      1.12,     27600,        24
      1.13,     27600,        24
      1.14,     27600,        24
      1.15,     27600,        24
      1.16,     30000,        25
      1.17,     30000,        25
      1.18,     30000,        25
      1.19,     30000,        25
       1.2,     30000,        25
      1.21,     32500,        26
      1.22,     32500,        26
      1.23,     32500,        26
      1.24,     32500,        26
      1.25,     32500,        26
      1.26,     35100,        27
      1.27,     35100,        27
      1.28,     35100,        27
      1.29,     35100,        27
       1.3,     35100,        27
      1.31,     37800,        28
      1.32,     37800,        28
      1.33,     37800,        28
      1.34,     37800,        28
      1.35,     37800,        28
      1.36,     40600,        29
      1.37,     40600,        29
      1.38,     40600,        29
      1.39,     40600,        29
       1.4,     40600,        29
      1.41,     43500,        30
      1.42,     43500,        30
      1.43,     43500,        30
      1.44,     43500,        30
      1.45,     43500,        30
      1.46,     46500,        31
      1.47,     46500,        31
      1.48,     46500,        31
      1.49,     46500,        31
       1.5,     46500,        31
      1.51,     49600,        32
      1.52,     49600,        32
      1.53,     49600,        32
      1.54,     49600,        32
      1.55,     49600,        32
      1.56,     52800,        33
      1.57,     52800,        33
      1.58,     52800,        33
      1.59,     52800,        33
       1.6,     52800,        33
      1.61,     56100,        34
      1.62,     56100,        34
      1.63,     56100,        34
      1.64,     56100,        34
      1.65,     56100,        34
      1.66,     59500,        35
      1.67,     59500,        35
      1.68,     59500,        35
      1.69,     59500,        35
       1.7,     59500,        35
      1.71,     63000,        36
      1.72,     63000,        36
      1.73,     63000,        36
      1.74,     63000,        36
      1.75,     63000,        36
      1.76,     66600,        37
      1.77,     66600,        37
      1.78,     66600,        37
      1.79,     66600,        37
       1.8,     66600,        37
      1.81,     70300,        38
      1.82,     70300,        38
      1.83,     70300,        38
      1.84,     70300,        38
      1.85,     70300,        38
      1.86,     74100,        39
      1.87,     74100,        39
      1.88,     74100,        39
      1.89,     74100,        39
       1.9,     74100,        39
      1.91,     78000,        40
      1.92,     78000,        40
      1.93,     78000,        40
      1.94,     78000,        40
      1.95,     78000,        40
      1.96,     82000,        41
      1.97,     82000,        41
      1.98,     82000,        41
      1.99,     82000,        41
         2,     82000,        41
      2.01,     86100,        42
      2.02,     86100,        42
      2.03,     86100,        42
      2.04,     86100,        42
      2.05,     86100,        42
      2.06,     90300,        43
      2.07,     90300,        43
      2.08,     90300,        43
      2.09,     90300,        43
       2.1,     90300,        43
      2.11,     94600,        44
      2.12,     94600,        44
      2.13,     94600,        44
      2.14,     94600,        44
      2.15,     94600,        44
      2.16,     99000,        45
      2.17,     99000,        45
      2.18,     99000,        45
      2.19,     99000,        45
       2.2,     99000,        45
      2.21,    103500,        46
      2.22,    103500,        46
      2.23,    103500,        46
      2.24,    103500,        46
      2.25,    103500,        46
      2.26,    108100,        47
      2.27,    108100,        47
      2.28,    108100,        47
      2.29,    108100,        47
       2.3,    108100,        47
      2.31,    112800,        48
      2.32,    112800,        48
      2.33,    112800,        48
      2.34,    112800,        48
      2.35,    112800,        48
      2.36,    117600,        49
      2.37,    117600,        49
      2.38,    117600,        49
      2.39,    117600,        49
       2.4,    117600,        49
      2.41,    122500,        50
      2.42,    122500,        50
      2.43,    122500,        50
      2.44,    122500,        50
      2.45,    122500,        50
      2.46,    127500,        51
      2.47,    127500,        51
      2.48,    127500,        51
      2.49,    127500,        51
       2.5,    127500,        51
      2.51,    132600,        52
      2.52,    132600,        52
      2.53,    132600,        52
      2.54,    132600,        52
      2.55,    132600,        52
      2.56,    137800,        53
      2.57,    137800,        53
      2.58,    137800,        53
      2.59,    137800,        53
       2.6,    137800,        53
      2.61,    143100,        54
      2.62,    143100,        54
      2.63,    143100,        54
      2.64,    143100,        54
      2.65,    143100,        54
      2.66,    148500,        55
      2.67,    148500,        55
      2.68,    148500,        55
      2.69,    148500,        55
       2.7,    148500,        55
      2.71,    154000,        56
      2.72,    154000,        56
      2.73,    154000,        56
      2.74,    154000,        56
      2.75,    154000,        56
      2.76,    159600,        57
      2.77,    159600,        57
      2.78,    159600,        57
      2.79,    159600,        57
       2.8,    159600,        57
      2.81,    165300,        58
      2.82,    165300,        58
      2.83,    165300,        58
      2.84,    165300,        58
      2.85,    165300,        58
      2.86,    171100,        59
      2.87,    171100,        59
      2.88,    171100,        59
      2.89,    171100,        59
       2.9,    171100,        59
      2.91,    177000,        60
      2.92,    177000,        60
      2.93,    177000,        60
      2.94,    177000,        60
      2.95,    177000,        60
      2.96,    183000,        61
      2.97,    183000,        61
      2.98,    183000,        61
      2.99,    183000,        61
         3,    183000,        61
      3.01,    189100,        62
      3.02,    189100,        62
      3.03,    189100,        62
      3.04,    189100,        62
      3.05,    189100,        62
      3.06,    195300,        63
      3.07,    195300,        63
      3.08,    195300,        63
      3.09,    195300,        63
       3.1,    195300,        63
      3.11,    201600,        64
      3.12,    201600,        64
      3.13,    201600,        64
      3.14,    201600,        64
      3.15,    201600,        64
      3.16,    208000,        65
      3.17,    208000,        65
      3.18,    208000,        65
      3.19,    208000,        65
