"Time","light_intensity - Light Intensity of the enviornment","headlight - Headlight turned on (1) of off (0)"
0,0,0
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,1
0.08,0,1
0.09,0,1
0.1,0,1
0.11,0,1
0.12,0,1
0.13,0,1
0.14,0,1
0.15,0,1
0.16,0,1
0.17,0,1
0.18,0.111111,1
0.19,0.222222,1
0.2,0.333333,1
0.21,0.444444,1
0.22,0.555556,1
0.23,0.666667,1
0.24,0.777778,1
0.25,0.888889,1
0.26,1,1
0.27,1.11111,1
0.28,1.22222,1
0.29,1.33333,1
0.3,1.44444,1
0.31,1.55556,1
0.32,1.66667,1
0.33,1.77778,1
0.34,1.88889,1
0.35,2,1
0.36,11,1
0.37,23,1
0.38,41,1
0.39,59,1
0.4,72,1
0.41,83,1
0.42,95,1
0.43,100,1
0.44,99.9915,1
0.45,99.9831,1
0.46,99.9746,1
0.47,99.9661,1
0.48,99.9576,1
0.49,99.9492,1
0.5,99.9407,1
0.51,99.9322,1
0.52,99.9237,1
0.53,99.9153,1
0.54,99.9068,1
0.55,99.8983,1
0.56,99.8898,1
0.57,99.8814,1
0.58,99.8729,1
0.59,99.8644,1
0.6,99.8559,1
0.61,99.8475,1
0.62,99.839,1
0.63,99.8305,1
0.64,99.822,1
0.65,99.8136,1
0.66,99.8051,1
0.67,99.7966,1
0.68,99.7881,1
0.69,99.7797,1
0.7,99.7712,1
0.71,99.7627,1
0.72,99.7542,1
0.73,99.7458,1
0.74,99.7373,1
0.75,99.7288,1
0.76,99.7203,1
0.77,99.7119,1
0.78,99.7034,1
0.79,99.6949,1
0.8,99.6864,1
0.81,99.678,1
0.82,99.6695,1
0.83,99.661,1
0.84,99.6525,1
0.85,99.6441,1
0.86,99.6356,1
0.87,99.6271,1
0.88,99.6186,1
0.89,99.6102,1
0.9,99.6017,1
0.91,99.5932,1
0.92,99.5847,1
0.93,99.5763,1
0.94,99.5678,1
0.95,99.5593,1
0.96,99.5508,1
0.97,99.5424,1
0.98,99.5339,1
0.99,99.5254,1
1,99.5169,1
1.01,99.5085,1
1.02,99.5,1
1.03,99.4915,1
1.04,99.4831,1
1.05,99.4746,1
1.06,99.4661,1
1.07,99.4576,1
1.08,99.4492,1
1.09,99.4407,1
1.1,99.4322,1
1.11,99.4237,1
1.12,99.4153,1
1.13,99.4068,1
1.14,99.3983,1
1.15,99.3898,1
1.16,99.3814,1
1.17,99.3729,1
1.18,99.3644,1
1.19,99.3559,1
1.2,99.3475,1
1.21,99.339,1
1.22,99.3305,1
1.23,99.322,1
1.24,99.3136,1
1.25,99.3051,1
1.26,99.2966,1
1.27,99.2881,1
1.28,99.2797,1
1.29,99.2712,1
1.3,99.2627,1
1.31,99.2542,1
1.32,99.2458,1
1.33,99.2373,1
1.34,99.2288,1
1.35,99.2203,1
1.36,99.2119,1
1.37,99.2034,1
1.38,99.1949,1
1.39,99.1864,1
1.4,99.178,1
1.41,99.1695,1
1.42,99.161,1
1.43,99.1525,1
1.44,99.1441,1
1.45,99.1356,1
1.46,99.1271,1
1.47,99.1186,1
1.48,99.1102,1
1.49,99.1017,1
1.5,99.0932,0
1.51,99.0847,0
1.52,99.0763,0
1.53,99.0678,0
1.54,99.0593,0
1.55,99.0508,0
1.56,99.0424,0
1.57,99.0339,0
1.58,99.0254,0
1.59,99.0169,0
1.6,99.0085,0
1.61,99,0
1.62,98,0
1.63,83,0
1.64,63,0
1.65,52,0
1.66,40,0
1.67,34,0
1.68,30,0
1.69,28,0
1.7,27,0
1.71,27.075,0
1.72,27.15,0
1.73,27.225,0
1.74,27.3,0
1.75,27.375,0
1.76,27.45,0
1.77,27.525,0
1.78,27.6,0
1.79,27.675,0
1.8,27.75,0
1.81,27.825,0
1.82,27.9,0
1.83,27.975,0
1.84,28.05,0
1.85,28.125,0
1.86,28.2,0
1.87,28.275,0
1.88,28.35,0
1.89,28.425,0
1.9,28.5,0
1.91,28.575,0
1.92,28.65,0
1.93,28.725,0
1.94,28.8,0
1.95,28.875,0
1.96,28.95,0
1.97,29.025,0
1.98,29.1,0
1.99,29.175,0
2,29.25,0
2.01,29.325,0
2.02,29.4,0
2.03,29.475,0
2.04,29.55,0
2.05,29.625,0
2.06,29.7,0
2.07,29.775,0
2.08,29.85,0
2.09,29.925,0
2.1,30,0
2.11,30.075,0
2.12,30.15,0
2.13,30.225,0
2.14,30.3,0
2.15,30.375,0
2.16,30.45,0
2.17,30.525,0
2.18,30.6,0
2.19,30.675,0
2.2,30.75,0
2.21,30.825,0
2.22,30.9,0
2.23,30.975,0
2.24,31.05,0
2.25,31.125,0
2.26,31.2,0
2.27,31.275,0
2.28,31.35,0
2.29,31.425,0
2.3,31.5,0
2.31,31.575,0
2.32,31.65,0
2.33,31.725,0
2.34,31.8,0
2.35,31.875,0
2.36,31.95,0
2.37,32.025,0
2.38,32.1,1
2.39,32.175,1
2.4,32.25,1
2.41,32.325,1
2.42,32.4,1
2.43,32.475,1
2.44,32.55,1
2.45,32.625,1
2.46,32.7,1
2.47,32.775,1
2.48,32.85,1
2.49,32.925,1
2.5,33,1
2.51,48,1
2.52,60,1
2.53,72,1
2.54,88,1
2.55,100,1
2.56,112,1
