"Time","iAC_1_","iAC_2_","iAC_3_ ","Losses","uAC_1_","uAC_2_","uAC_3_","uDC"
0,0,0,0,480,0,0,0,565.6854249
1.00E-11,1.71E-13,-4.71E-05,4.71E-05,480.0000017,0.023568262,-0.047136524,0.023568262,565.6854246
1.10E-10,1.90E-11,-0.000518109,0.000518109,480.0002622,0.259054658,-0.518109287,0.259054629,565.6854213
9.90E-10,8.43E-10,-0.004645368,0.004645367,480.0215234,2.322684373,-4.645367483,2.322683109,565.6853919
3.39E-09,9.74E-09,-0.015768944,0.015768934,480.2484672,7.884476813,-15.76893902,7.884462202,565.6853117
7.56E-09,4.78E-08,-0.034551762,0.034551714,481.1933941,17.27590496,-34.55173823,17.27583326,565.6851724
1.37E-08,1.55E-07,-0.061113403,0.061113248,483.7340612,30.55677865,-61.1133254,30.55654675,565.6849669
2.20E-08,3.90E-07,-0.09489287,0.094892481,489.0033716,47.44663013,-94.89267557,47.44604544,565.6846894
3.27E-08,8.33E-07,-0.134872454,0.134871621,498.1886152,67.43664368,-134.8720374,67.43539372,565.6843341
4.58E-08,1.59E-06,-0.179713741,0.179712156,512.2941461,89.85766329,-179.7129489,89.85528563,565.6838941
6.18E-08,2.77E-06,-0.22786112,0.227858355,531.9165575,113.9319428,-227.8597376,113.9277948,565.6833611
8.09E-08,4.52E-06,-0.277632983,0.277628468,557.0742358,138.8187491,-277.6307255,138.8119764,565.6827238
1.04E-07,7.00E-06,-0.327307525,0.327300525,587.1220574,163.6572623,-327.3040247,163.6467624,565.6819677
1.30E-07,1.04E-05,-0.375204876,0.375194461,620.7674054,187.6076457,-375.1996686,187.5920229,565.6810727
1.62E-07,1.50E-05,-0.419765423,0.419750424,656.1875275,209.8902109,-419.7579238,209.8677129,565.6800113
2.00E-07,2.11E-05,-0.459623746,0.459602693,691.2329736,229.8223993,-459.6132193,229.7908199,565.6787439
2.46E-07,2.90E-05,-0.493678151,0.493649164,723.6898692,246.8535689,-493.6636575,246.8100885,565.6772118
3.03E-07,3.94E-05,-0.521157226,0.521117828,751.56718,260.5983124,-521.1375271,260.5392147,565.6753231
3.74E-07,5.32E-05,-0.541687613,0.541634367,773.3754168,270.8704291,-541.6609901,270.790561,565.6729246
