"time","Rte_UPiActuator_EcuUPi_OP_SET_upi"
0.000000,0.0000000000000000E+00
0.001000,1.0000195312500000E+02
0.002000,1.0000195312500000E+02
0.003000,1.0000195312500000E+02
0.004000,1.0000195312500000E+02
0.005000,1.0000195312500000E+02
0.006000,1.0000195312500000E+02
0.007000,1.0000195312500000E+02
0.008000,1.0000195312500000E+02
0.009000,1.0000195312500000E+02
0.010000,1.0000195312500000E+02
0.011000,1.0000195312500000E+02
0.012000,1.0000195312500000E+02
0.013000,1.0000195312500000E+02
0.014000,1.0000195312500000E+02
0.015000,1.0000195312500000E+02
0.016000,1.0000195312500000E+02
0.017000,1.0000195312500000E+02
0.018000,1.0000195312500000E+02
0.019000,1.0000195312500000E+02
0.020000,1.0000195312500000E+02
0.021000,1.0000195312500000E+02
0.022000,1.0000195312500000E+02
0.023000,1.0000195312500000E+02
0.024000,1.0000195312500000E+02
0.025000,1.0000195312500000E+02
0.026000,1.0000195312500000E+02
0.027000,1.0000195312500000E+02
0.028000,1.0000195312500000E+02
0.029000,1.0000195312500000E+02
0.030000,1.0000195312500000E+02
0.031000,1.0000195312500000E+02
0.032000,1.0000195312500000E+02
0.033000,1.0000195312500000E+02
0.034000,1.0000195312500000E+02
0.035000,1.0000195312500000E+02
0.036000,1.0000195312500000E+02
0.037000,1.0000195312500000E+02
0.038000,1.0000195312500000E+02
0.039000,1.0000195312500000E+02
0.040000,1.0000195312500000E+02
0.041000,1.0000195312500000E+02
0.042000,1.0000195312500000E+02
0.043000,1.0000195312500000E+02
0.044000,1.0000195312500000E+02
0.045000,1.0000195312500000E+02
0.046000,1.0000195312500000E+02
0.047000,1.0000195312500000E+02
0.048000,1.0000195312500000E+02
0.049000,1.0000195312500000E+02
0.050000,1.0000195312500000E+02
0.051000,1.0000195312500000E+02
0.052000,1.0000195312500000E+02
0.053000,1.0000195312500000E+02
0.054000,1.0000195312500000E+02
0.055000,1.0000195312500000E+02
0.056000,1.0000195312500000E+02
0.057000,1.0000195312500000E+02
0.058000,1.0000195312500000E+02
0.059000,1.0000195312500000E+02
0.060000,1.0000195312500000E+02
0.061000,1.0000195312500000E+02
0.062000,1.0000195312500000E+02
0.063000,1.0000195312500000E+02
0.064000,1.0000195312500000E+02
0.065000,1.0000195312500000E+02
0.066000,1.0000195312500000E+02
0.067000,1.0000195312500000E+02
0.068000,1.0000195312500000E+02
0.069000,1.0000195312500000E+02
0.070000,1.0000195312500000E+02
0.071000,1.0000195312500000E+02
0.072000,1.0000195312500000E+02
0.073000,1.0000195312500000E+02
0.074000,1.0000195312500000E+02
0.075000,1.0000195312500000E+02
0.076000,1.0000195312500000E+02
0.077000,1.0000195312500000E+02
0.078000,0.0000000000000000E+00
0.079000,1.2353515625000000E+01
0.080000,3.4228515625000000E+01
0.081000,1.2353515625000000E+01
0.082000,2.1724609375000000E+01
0.083000,2.1724609375000000E+01
0.084000,2.1724609375000000E+01
0.085000,2.1724609375000000E+01
0.086000,2.1724609375000000E+01
0.087000,2.1724609375000000E+01
0.088000,2.1720703125000000E+01
0.089000,2.1720703125000000E+01
0.090000,2.1720703125000000E+01
0.091000,2.1720703125000000E+01
0.092000,2.1720703125000000E+01
0.093000,2.1720703125000000E+01
0.094000,2.1720703125000000E+01
0.095000,2.1714843750000000E+01
0.096000,2.1714843750000000E+01
0.097000,2.1714843750000000E+01
0.098000,2.1714843750000000E+01
0.099000,2.1714843750000000E+01
0.100000,1.2335937500000000E+01
0.101000,3.4216796875000000E+01
0.102000,1.2335937500000000E+01
0.103000,2.1710937500000000E+01
0.104000,2.1710937500000000E+01
0.105000,2.1710937500000000E+01
0.106000,2.1710937500000000E+01
0.107000,2.1707031250000000E+01
0.108000,2.1707031250000000E+01
0.109000,2.1707031250000000E+01
0.110000,2.1707031250000000E+01
0.111000,2.1707031250000000E+01
0.112000,2.1707031250000000E+01
0.113000,2.1707031250000000E+01
0.114000,2.1703125000000000E+01
0.115000,2.1703125000000000E+01
0.116000,2.1703125000000000E+01
0.117000,2.1703125000000000E+01
0.118000,2.1703125000000000E+01
0.119000,2.1703125000000000E+01
0.120000,2.1699218750000000E+01
0.121000,2.1699218750000000E+01
0.122000,2.1699218750000000E+01
0.123000,2.1699218750000000E+01
0.124000,2.1699218750000000E+01
0.125000,1.2324218750000000E+01
0.126000,3.4199218750000000E+01
0.127000,1.2320312500000000E+01
0.128000,2.1695312500000000E+01
0.129000,2.1695312500000000E+01
0.130000,2.1695312500000000E+01
0.131000,2.1695312500000000E+01
0.132000,2.1695312500000000E+01
0.133000,2.1691406250000000E+01
0.134000,2.1691406250000000E+01
0.135000,2.1691406250000000E+01
0.136000,2.1691406250000000E+01
0.137000,2.1691406250000000E+01
0.138000,2.1691406250000000E+01
0.139000,2.1687500000000000E+01
0.140000,2.1687500000000000E+01
0.141000,2.1687500000000000E+01
0.142000,2.1687500000000000E+01
0.143000,2.1687500000000000E+01
0.144000,2.1687500000000000E+01
0.145000,2.1687500000000000E+01
0.146000,2.1683593750000000E+01
0.147000,2.1683593750000000E+01
0.148000,2.1683593750000000E+01
0.149000,2.1683593750000000E+01
0.150000,2.1683593750000000E+01
0.151000,2.1683593750000000E+01
0.152000,2.1679687500000000E+01
0.153000,1.2304687500000000E+01
0.154000,3.4179687500000000E+01
0.155000,1.2304687500000000E+01
0.156000,2.1679687500000000E+01
0.157000,2.1679687500000000E+01
0.158000,2.1675781250000000E+01
0.159000,2.1675781250000000E+01
0.160000,2.1675781250000000E+01
0.161000,2.1675781250000000E+01
0.162000,2.1675781250000000E+01
0.163000,2.1675781250000000E+01
0.164000,2.1675781250000000E+01
0.165000,2.1671875000000000E+01
0.166000,2.1671875000000000E+01
0.167000,2.1671875000000000E+01
0.168000,2.1671875000000000E+01
0.169000,2.1671875000000000E+01
0.170000,2.1671875000000000E+01
0.171000,2.1666015625000000E+01
0.172000,2.1666015625000000E+01
0.173000,2.1666015625000000E+01
0.174000,2.1666015625000000E+01
0.175000,2.1666015625000000E+01
0.176000,2.1666015625000000E+01
0.177000,2.1666015625000000E+01
0.178000,2.1662109375000000E+01
0.179000,2.1662109375000000E+01
0.180000,2.1662109375000000E+01
0.181000,2.1662109375000000E+01
0.182000,2.1662109375000000E+01
0.183000,1.2283203125000000E+01
0.184000,3.4158203125000000E+01
0.185000,1.2283203125000000E+01
0.186000,2.1658203125000000E+01
0.187000,2.1658203125000000E+01
0.188000,2.1658203125000000E+01
0.189000,2.1658203125000000E+01
0.190000,2.1654296875000000E+01
0.191000,2.1654296875000000E+01
0.192000,2.1654296875000000E+01
0.193000,2.1654296875000000E+01
0.194000,2.1654296875000000E+01
0.195000,2.1654296875000000E+01
0.196000,2.1650390625000000E+01
0.197000,2.1650390625000000E+01
0.198000,2.1650390625000000E+01
0.199000,2.1650390625000000E+01
0.200000,2.1650390625000000E+01
