"time","FMU_Interface_OUT0_PrimaryAngle","FMU_Interface_OUT1_SecondaryAngle","FMU_Interface_OUT2_PrimarySpeed","FMU_Interface_OUT3_SecondarySpeed","FMU_Interface_OUT4_PrimaryAcceleration","FMU_Interface_OUT5_SecondaryAcceleration","FMU_Interface_OUT6_PrimaryTorque","FMU_Interface_OUT7_SecondaryTorque","FMU_Interface_OUT8_TorqueFriction","FMU_Interface_OUT9_SpringActualAngle"
0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.002,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.003,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.004,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.005,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.006,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.007,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.008,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.009,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.01,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.011,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.012,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.013,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.014,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.015,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.016,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.017,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.018,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.019,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.02,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.021,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.022,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.023,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.024,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.025,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
0.026,0,0,0,0,0,0,0,-3.5971e-13,-1.0669e-14,155
