time,Capacitor1.v,IdealDiode3.off
0,2,0
0.1,1.9917,-0.17491
0.2,1.9681,-0.30404
0.3,1.9331,-0.4011
0.4,1.8894,-0.47663
0.5,1.8389,-0.53825
0.6,1.7826,-0.59142
0.7,1.7213,-0.64003
0.8,1.6552,-0.68695
0.9,1.5843,-0.73441
1,1.5087,-0.78428
1.1,1.4279,-0.83825
1.2,1.3414,-0.89801
1.3,1.2487,-0.96534
1.4,1.1487,-1.0422
1.5,1.0406,-1.131
1.6,0.92303,-1.2341
1.7,0.79436,-1.3545
1.8,0.65277,-1.4949
1.9,0.49614,-1.6577
2,0.3222,-1.8435
2.1,0.12873,-2.0491
2.2,-0.085852,-2.2641
2.3,-0.3216,-2.4664
2.4,-0.57571,-2.6191
2.5,-0.84106,-2.6726
2.6,-1.1055,-2.5794
2.7,-1.3531,-2.3197
2.8,-1.568,-1.9211
2.9,-1.7393,-1.4521
3,-1.8633,-0.98953
3.1,-1.9435,-0.58678
3.2,-1.9871,-0.26482
3.3,-2.002,-0.020658
3.4,-1.9954,0.15984
3.5,-1.9731,0.29287
3.6,-1.9391,0.39253
3.7,-1.8963,0.46969
3.8,-1.8464,0.53229
3.9,-1.7907,0.58596
4,-1.7299,0.63472
4.1,-1.6643,0.68154
4.2,-1.594,0.72869
4.3,-1.519,0.77805
4.4,-1.4388,0.83133
4.5,-1.3531,0.89019
4.6,-1.2611,0.9564
4.7,-1.1622,1.0319
4.8,-1.0552,1.119
4.9,-0.93886,1.2201
5,-0.8117,1.338
5.1,-0.67187,1.4757
