"Time","h","der(h)","v","der(v)"
0.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,-9.810000000000000E+00
1.000000000000000E-02,9.995095000000001E-01,-9.810000000000001E-02,-9.810000000000001E-02,-9.810000000000000E+00
2.000000000000000E-02,9.980380000000000E-01,-1.962000000000000E-01,-1.962000000000000E-01,-9.810000000000000E+00
3.000000000000000E-02,9.955855000000000E-01,-2.943000000000000E-01,-2.943000000000000E-01,-9.810000000000000E+00
4.000000000000000E-02,9.921520000000000E-01,-3.924000000000000E-01,-3.924000000000000E-01,-9.810000000000000E+00
5.000000000000000E-02,9.877375000000000E-01,-4.905000000000000E-01,-4.905000000000000E-01,-9.810000000000000E+00
6.000000000000000E-02,9.823420000000000E-01,-5.886000000000000E-01,-5.886000000000000E-01,-9.810000000000000E+00
7.000000000000001E-02,9.759655000000000E-01,-6.867000000000000E-01,-6.867000000000000E-01,-9.810000000000000E+00
8.000000000000000E-02,9.686080000000000E-01,-7.848000000000001E-01,-7.848000000000001E-01,-9.810000000000000E+00
9.000000000000000E-02,9.602695000000000E-01,-8.829000000000000E-01,-8.829000000000000E-01,-9.810000000000000E+00
1.000000000000000E-01,9.509500000000000E-01,-9.810000000000000E-01,-9.810000000000000E-01,-9.810000000000000E+00
1.100000000000000E-01,9.406495000000000E-01,-1.079100000000000E+00,-1.079100000000000E+00,-9.810000000000000E+00
1.200000000000000E-01,9.293680000000000E-01,-1.177200000000000E+00,-1.177200000000000E+00,-9.810000000000000E+00
1.300000000000000E-01,9.171055000000000E-01,-1.275300000000000E+00,-1.275300000000000E+00,-9.810000000000000E+00
1.400000000000000E-01,9.038620000000001E-01,-1.373400000000000E+00,-1.373400000000000E+00,-9.810000000000000E+00
1.500000000000000E-01,8.896375000000000E-01,-1.471500000000000E+00,-1.471500000000000E+00,-9.810000000000000E+00
1.600000000000000E-01,8.744320000000000E-01,-1.569600000000000E+00,-1.569600000000000E+00,-9.810000000000000E+00
1.700000000000000E-01,8.582455000000000E-01,-1.667700000000000E+00,-1.667700000000000E+00,-9.810000000000000E+00
1.800000000000000E-01,8.410780000000000E-01,-1.765800000000000E+00,-1.765800000000000E+00,-9.810000000000000E+00
1.900000000000000E-01,8.229295000000000E-01,-1.863900000000000E+00,-1.863900000000000E+00,-9.810000000000000E+00
2.000000000000000E-01,8.038000000000000E-01,-1.962000000000000E+00,-1.962000000000000E+00,-9.810000000000000E+00
2.100000000000000E-01,7.836895000000000E-01,-2.060100000000000E+00,-2.060100000000000E+00,-9.810000000000000E+00
2.200000000000000E-01,7.625980000000000E-01,-2.158200000000000E+00,-2.158200000000000E+00,-9.810000000000000E+00
2.300000000000000E-01,7.405254999999999E-01,-2.256300000000000E+00,-2.256300000000000E+00,-9.810000000000000E+00
2.400000000000000E-01,7.174720000000000E-01,-2.354400000000000E+00,-2.354400000000000E+00,-9.810000000000000E+00
2.500000000000000E-01,6.934375000000000E-01,-2.452500000000000E+00,-2.452500000000000E+00,-9.810000000000000E+00
2.600000000000000E-01,6.684220000000000E-01,-2.550600000000000E+00,-2.550600000000000E+00,-9.810000000000000E+00
2.700000000000000E-01,6.424255000000000E-01,-2.648700000000000E+00,-2.648700000000000E+00,-9.810000000000000E+00
2.800000000000000E-01,6.154480000000000E-01,-2.746800000000000E+00,-2.746800000000000E+00,-9.810000000000000E+00
2.900000000000000E-01,5.874895000000000E-01,-2.844900000000000E+00,-2.844900000000000E+00,-9.810000000000000E+00
3.000000000000000E-01,5.585500000000000E-01,-2.943000000000000E+00,-2.943000000000000E+00,-9.810000000000000E+00
3.100000000000000E-01,5.286295000000000E-01,-3.041100000000000E+00,-3.041100000000000E+00,-9.810000000000000E+00
3.200000000000000E-01,4.977280000000000E-01,-3.139200000000000E+00,-3.139200000000000E+00,-9.810000000000000E+00
3.300000000000000E-01,4.658455000000000E-01,-3.237300000000000E+00,-3.237300000000000E+00,-9.810000000000000E+00
3.400000000000000E-01,4.329820000000000E-01,-3.335400000000000E+00,-3.335400000000000E+00,-9.810000000000000E+00
3.500000000000000E-01,3.991375000000000E-01,-3.433500000000000E+00,-3.433500000000000E+00,-9.810000000000000E+00
3.600000000000000E-01,3.643120000000000E-01,-3.531600000000000E+00,-3.531600000000000E+00,-9.810000000000000E+00
3.700000000000000E-01,3.285055000000000E-01,-3.629700000000000E+00,-3.629700000000000E+00,-9.810000000000000E+00
3.800000000000000E-01,2.917180000000000E-01,-3.727800000000000E+00,-3.727800000000000E+00,-9.810000000000000E+00
3.900000000000000E-01,2.539495000000000E-01,-3.825900000000000E+00,-3.825900000000000E+00,-9.810000000000000E+00
4.000000000000000E-01,2.152000000000000E-01,-3.924000000000000E+00,-3.924000000000000E+00,-9.810000000000000E+00
4.100000000000000E-01,1.754695000000000E-01,-4.022100000000000E+00,-4.022100000000000E+00,-9.810000000000000E+00
4.200000000000000E-01,1.347580000000000E-01,-4.120200000000000E+00,-4.120200000000000E+00,-9.810000000000000E+00
4.300000000000000E-01,9.306550000000000E-02,-4.218300000000000E+00,-4.218300000000000E+00,-9.810000000000000E+00
4.400000000000000E-01,5.039199999999900E-02,-4.316400000000000E+00,-4.316400000000000E+00,-9.810000000000000E+00
4.500000000000000E-01,6.737499999999300E-03,-4.414500000000000E+00,-4.414500000000000E+00,-9.810000000000000E+00
4.600000000000000E-01,2.587034692868000E-02,3.017793037249600E+00,3.017793037249600E+00,-9.810000000000000E+00
4.700000000000000E-01,5.555777730117600E-02,2.919693037249600E+00,2.919693037249600E+00,-9.810000000000000E+00
4.800000000000000E-01,8.426420767367200E-02,2.821593037249600E+00,2.821593037249600E+00,-9.810000000000000E+00
4.900000000000000E-01,1.119896380461700E-01,2.723493037249600E+00,2.723493037249600E+00,-9.810000000000000E+00
5.000000000000000E-01,1.387340684186700E-01,2.625393037249600E+00,2.625393037249600E+00,-9.810000000000000E+00
5.100000000000000E-01,1.644974987911600E-01,2.527293037249600E+00,2.527293037249600E+00,-9.810000000000000E+00
5.200000000000000E-01,1.892799291636600E-01,2.429193037249600E+00,2.429193037249600E+00,-9.810000000000000E+00
5.300000000000000E-01,2.130813595361500E-01,2.331093037249600E+00,2.331093037249600E+00,-9.810000000000000E+00
5.400000000000000E-01,2.359017899086500E-01,2.232993037249600E+00,2.232993037249600E+00,-9.810000000000000E+00
5.500000000000000E-01,2.577412202811500E-01,2.134893037249600E+00,2.134893037249600E+00,-9.810000000000000E+00
5.600000000000001E-01,2.785996506536400E-01,2.036793037249600E+00,2.036793037249600E+00,-9.810000000000000E+00
