"time","Piston_r2","Inertia_w"
0.345,0.113293,294.5810
0.346,0.104297,304.9880
0.347,0.100267,309.4960
0.348,0.101067,308.6470
0.349,0.106735,302.3530
0.350,0.117429,290.2390
0.351,0.133101,273.3110
0.352,0.153143,255.1090
0.353,0.176417,240.0960
0.354,0.201585,231.3220
0.355,0.227339,230.2970
0.356,0.252336,238.1330
0.357,0.274864,255.9590
0.358,0.292163,281.8100
0.359,0.299917,299.5610
0.360,0.294865,288.3120
0.361,0.279119,263.5910
0.362,0.257084,245.0840
0.363,0.231863,236.9030
0.364,0.20538,238.4030
0.365,0.179128,248.6520
0.366,0.154601,266.1710
0.367,0.133398,287.4480
0.368,0.11694,306.9460
0.369,0.105998,320.3280
0.370,0.100642,326.6710
0.371,0.100701,326.6340
0.372,0.106182,320.2490
0.373,0.117269,307.0270
0.374,0.133919,288.1150
0.375,0.155405,267.9430
0.376,0.180361,252.0050
0.377,0.207207,243.8380
0.378,0.234403,245.1680
0.379,0.260296,257.4490
0.380,0.282551,281.6380
0.381,0.297175,310.3760
0.382,0.298898,315.1750
0.383,0.286782,290.3110
0.384,0.265597,265.2160
0.385,0.239799,251.8080
0.386,0.212052,250.2090
0.387,0.184196,259.1910
0.388,0.157949,277.1580
0.389,0.135152,30.2910
0.390,0.117489,322.0130
0.391,0.105903,336.8380
0.392,0.100487,343.5480
0.393,0.101049,342.9070
0.394,0.107621,334.8510
0.395,0.120412,318.8890
0.396,0.139246,297.1510
0.397,0.163073,275.7280
0.398,0.190189,260.8440
0.399,0.218768,255.9090
0.400,0.24701,262.7580
0.401,0.272729,283.2200
0.402,0.292351,315.3500
0.403,0.299997,335.1720
0.404,0.291757,315.2920
0.405,0.271603,284.8400
0.406,0.245298,266.4910
0.407,0.216374,262.1520
0.408,0.187072,270.3000
0.409,0.159366,289.0810
0.410,0.135349,314.1540
0.411,0.116947,337.7420
0.412,0.105217,353.3730
0.413,0.100225,359.8030
0.414,0.101765,357.9060
0.415,0.109927,347.3960
0.416,0.124916,328.0090
0.417,0.146308,303.5630
0.418,0.172628,281.9720
0.419,0.201827,269.6640
0.420,0.23184,269.7330
0.421,0.260492,284.3470
0.422,0.284669,314.8360
0.423,0.2988,347.7890
0.424,0.296323,341.4340
0.425,0.278535,307.1300
0.426,0.252327,282.3410
0.427,0.222477,273.8810
0.428,0.191786,280.0880
0.429,0.162508,298.8650
0.430,0.13699,325.6120
0.431,0.117449,351.4370
0.432,0.105137,368.4860
0.433,0.100145,375.1680
0.434,0.102249,372.4590
0.435,0.111575,359.9220
0.436,0.128314,337.5980
0.437,0.151801,310.9890
0.438,0.180176,289.5590
0.439,0.211086,279.8690
0.440,0.242198,285.0000
0.441,0.270825,307.5740
0.442,0.292561,345.8590
0.443,0.299861,366.7610
0.444,0.288385,337.7930
0.445,0.264207,303.4630
0.446,0.234216,286.8680
0.447,0.202299,287.7580
0.448,0.171106,303.7760
0.449,0.143215,330.8570
0.450,0.121222,359.8410
0.451,0.106854,380.4760
0.452,0.100428,389.4450
0.453,0.101686,387.7900
0.454,0.110712,375.2460
0.455,0.127743,351.6230
0.456,0.152093,322.9490
0.457,0.181699,30.1770
0.458,0.213922,290.8250
0.459,0.246136,298.4140
0.460,0.275188,325.9640
0.461,0.295595,368.2140
0.462,0.298636,377.9100
0.463,0.282251,339.5220
0.464,0.254647,307.5030
0.465,0.22244,296.2550
0.466,0.189302,303.6430
0.467,0.158081,326.5670
0.468,0.131709,357.9890
0.469,0.112754,385.5340
0.470,0.102318,40.8750
0.471,0.100251,403.8430
0.472,0.10643,395.1020
0.473,0.121156,373.6990
0.474,0.144158,343.4770
0.475,0.173582,316.2200
0.476,0.206569,302.2920
0.477,0.240199,306.5170
0.478,0.271175,332.4490
0.479,0.293982,377.3950
0.480,0.299154,393.8300
0.481,0.283142,353.8170
0.482,0.254689,318.7530
0.483,0.221289,306.7820
0.484,0.187022,315.4400
0.485,0.155044,340.9790
0.486,0.12859,374.6690
0.487,0.110337,402.3150
0.488,0.101217,416.0500
0.489,0.100976,416.4650
0.490,0.109607,403.7180
0.491,0.127416,377.2710
0.492,0.153639,344.5040
0.493,0.185735,319.6360
0.494,0.220465,312.0140
0.495,0.254558,326.0920
0.496,0.283644,365.1990
0.497,0.299449,408.4020
0.498,0.292515,387.6110
0.499,0.26743,341.9040
0.500,0.234315,319.0980
