"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
3.794273,-2.214636,-4.214636,-0.714636,-0.793064,1.000000,-2.500000,-12.000000,-0.500000,-0.100000,-2.408981
3.992041,-2.503153,-4.503153,-1.003153,-1.485653,1.000000,-3.000000,-12.000000,-0.500000,-0.100000,-0.100000
3.992041,-2.503153,-4.503153,-1.003153,-1.485653,1.000000,-3.000000,-12.000000,-0.500000,-0.100000,-0.100000
4.007959,-2.523961,-4.523961,-1.023961,-1.541461,1.000000,-3.000000,-12.000000,-0.500000,0.100000,0.100000
4.007959,-2.523961,-4.523961,-1.023961,-1.541461,1.000000,-3.000000,-12.000000,-0.500000,0.100000,0.100000
4.207959,-2.750900,-4.750900,-1.250900,-2.176379,1.000000,-3.500000,-12.000000,-0.500000,0.100000,2.431308
4.407959,-2.908036,-4.908036,-1.408036,-2.578975,1.000000,-4.000000,-12.000000,-0.500000,0.100000,0.000000
4.607959,-2.989104,-4.989104,-1.489104,-2.649228,1.000000,-4.000000,-12.000000,-0.500000,0.100000,0.000000
4.807959,-2.990873,-4.990873,-1.490873,-2.388037,1.000000,-4.000000,-12.000000,-0.500000,0.100000,2.269504
4.992041,-2.922303,-4.922303,-1.422303,-1.939803,1.000000,-4.000000,-12.000000,-0.500000,0.100000,0.100000
4.992041,-2.922303,-4.922303,-1.422303,-1.939803,1.000000,-4.000000,-12.000000,-0.500000,0.100000,0.100000
4.992041,-2.922303,-4.922303,-1.422303,-1.939803,1.000000,-4.000000,-12.000000,-0.500000,0.100000,0.100000
5.000000,-2.917849,-4.917849,-1.417849,-1.917849,1.000000,-4.000000,-12.000000,-0.500000,0.000000,0.000000
5.000000,-2.917849,-4.917849,-1.417849,-1.917849,1.000000,-4.000000,-12.000000,-0.500000,0.000000,0.000000
5.000000,-2.917849,-4.917849,-1.417849,-1.917849,1.000000,-4.000000,-12.000000,-0.500000,-0.000000,-0.000000
5.023896,-2.903746,-4.903746,-1.403746,-1.851246,1.000000,-4.000000,-12.000000,-0.500000,-0.300000,-0.300000
5.023896,-2.903746,-4.903746,-1.403746,-1.851246,1.000000,-4.000000,-12.000000,-0.500000,-0.300000,-0.300000
5.223896,-2.744016,-4.744016,-1.244016,-1.291252,1.000000,-3.500000,-12.000000,-0.500000,-0.300000,-2.587224
5.423896,-2.514758,-4.514758,-1.014758,-0.834670,1.000000,-3.000000,-12.000000,-0.500000,-0.300000,-3.886217
5.623896,-2.225111,-4.225111,-0.725111,-0.577470,1.000000,-2.500000,-12.000000,-0.500000,-0.300000,-3.700806
5.823896,-1.886623,-3.886623,-0.386623,-0.518805,1.000000,-2.000000,-12.000000,-0.500000,-0.300000,-2.101814
5.976104,-1.604555,-3.604555,-0.104555,-0.552055,1.000000,-1.000000,-12.000000,-0.500000,-0.300000,-0.300000
5.976104,-1.604555,-3.604555,-0.104555,-0.552055,1.000000,-1.000000,-12.000000,-0.500000,-0.300000,-0.300000
