    "time","spring.w_rel",  "PI.I.y","inertia1.phi","spring.phi_rel","integrator.y","inertia1.w"
         0,         0,      -0.1,         0,     0.001,         0,         0
      0.01,         0,      -0.1,         0,     0.001,         0,         0
      0.02,         0,      -0.1,         0,     0.001,         0,         0
      0.03,         0,      -0.1,         0,     0.001,         0,         0
      0.04,         0,      -0.1,         0,     0.001,         0,         0
      0.05,         0,      -0.1,         0,     0.001,         0,         0
      0.06,         0,      -0.1,         0,     0.001,         0,         0
      0.07,         0,      -0.1,         0,     0.001,         0,         0
      0.08,         0,      -0.1,         0,     0.001,         0,         0
      0.09,         0,      -0.1,         0,     0.001,         0,         0
       0.1,         0,      -0.1,         0,     0.001,         0,         0
      0.11,         0,      -0.1,         0,     0.001,         0,         0
      0.12,         0,      -0.1,         0,     0.001,         0,         0
      0.13,         0,      -0.1,         0,     0.001,         0,         0
      0.14,         0,      -0.1,         0,     0.001,         0,         0
      0.15,         0,      -0.1,         0,     0.001,         0,         0
      0.16,         0,      -0.1,         0,     0.001,         0,         0
      0.17,         0,      -0.1,         0,     0.001,         0,         0
      0.18,         0,      -0.1,         0,     0.001,         0,         0
      0.19,         0,      -0.1,         0,     0.001,         0,         0
       0.2,         0,      -0.1,         0,     0.001,         0,         0
      0.21,         0,      -0.1,         0,     0.001,         0,         0
      0.22,         0,      -0.1,         0,     0.001,         0,         0
      0.23,         0,      -0.1,         0,     0.001,         0,         0
      0.24,         0,      -0.1,         0,     0.001,         0,         0
      0.25,         0,      -0.1,         0,     0.001,         0,         0
      0.26,         0,      -0.1,         0,     0.001,         0,         0
      0.27,         0,      -0.1,         0,     0.001,         0,         0
      0.28,         0,      -0.1,         0,     0.001,         0,         0
      0.29,         0,      -0.1,         0,     0.001,         0,         0
       0.3,         0,      -0.1,         0,     0.001,         0,         0
      0.31,         0,      -0.1,         0,     0.001,         0,         0
      0.32,         0,      -0.1,         0,     0.001,         0,         0
      0.33,         0,      -0.1,         0,     0.001,         0,         0
      0.34,         0,      -0.1,         0,     0.001,         0,         0
      0.35,         0,      -0.1,         0,     0.001,         0,         0
      0.36,         0,      -0.1,         0,     0.001,         0,         0
      0.37,         0,      -0.1,         0,     0.001,         0,         0
      0.38,         0,      -0.1,         0,     0.001,         0,         0
      0.39,         0,      -0.1,         0,     0.001,         0,         0
       0.4,         0,      -0.1,         0,     0.001,         0,         0
      0.41,         0,      -0.1,         0,     0.001,         0,         0
      0.42,         0,      -0.1,         0,     0.001,         0,         0
      0.43,         0,      -0.1,         0,     0.001,         0,         0
      0.44,         0,      -0.1,         0,     0.001,         0,         0
      0.45,         0,      -0.1,         0,     0.001,         0,         0
      0.46,         0,      -0.1,         0,     0.001,         0,         0
      0.47,         0,      -0.1,         0,     0.001,         0,         0
      0.48,         0,      -0.1,         0,     0.001,         0,         0
      0.49,         0,      -0.1,         0,     0.001,         0,         0
       0.5,         0,      -0.1,         0,     0.001,         0,         0
      0.51,-0.0022619788,-0.099608712,1.0885755e-005,0.00099072098,      0.01,0.0028578385
      0.52,-0.0041733721,-0.098628522,6.2866694e-005,0.00095703257,      0.02,0.007678859
      0.53,-0.0044404029,-0.097173469,0.00016736145,0.00091287169,      0.03,0.013394501
      0.54,-0.0038488642,-0.095349069,0.00033492141,0.00087104701,      0.04,0.020319601
      0.55,-0.0030115274,-0.093281624,0.00057817697,0.0008366912,      0.05,0.028542347
      0.56,-0.0022182804,-0.091095138,0.00090952836,0.00081065626,      0.06,0.03790263
      0.57,-0.0015582563,-0.088892015,0.001339216,0.00079187026,      0.07,0.048142555
      0.58,-0.0010350702,-0.086745404,0.001874555,0.00077901455,      0.08,0.059011887
      0.59,-0.0006354819,-0.084707549,0.0025207694,0.00077076723,      0.09,0.07029955
       0.6,-0.00033704902,-0.082812338,0.0032812483,0.00076598689,       0.1,0.081835352
      0.61,-0.00011874774,-0.08107822,0.0041578365,0.0007637671,      0.11,0.093493155
      0.62,3.6909585e-005,-0.079512032,0.0051512177,0.00076340368,      0.12,0.10518295
      0.63,0.00014361527,-0.078113318,0.0062613463,0.00076435111,      0.13,0.11684131
      0.64,0.00021318809,-0.076877204,0.0074877349,0.00076616381,      0.14,0.12842139
      0.65,0.00025444281,-0.075793952,0.0088294098,0.0007685309,      0.15,0.13989745
      0.66,0.00027476612,-0.074852355,0.01028525,0.00077120349,      0.16,0.15125268
      0.67,0.00028025785,-0.074040006,0.011854015,0.00077398926,      0.17,0.16247822
      0.68,0.00027516107,-0.073343779,0.013534392,0.00077676526,      0.18,0.17357416
      0.69,0.00026255043,-0.072750768,0.015325091,0.00077945438,      0.19,0.18454574
       0.7,0.00024506272,-0.072248871,0.017224902,0.0007819987,       0.2,0.19539954
      0.71,0.00022491638,-0.071826806,0.019232695,0.00078435452,      0.21,0.20614292
      0.72,0.00020367862,-0.071474011,0.021347416,0.00078649846,      0.22,0.21678481
      0.73,0.00018232509,-0.071180772,0.023568092,0.00078842646,      0.23,0.22733546
      0.74,0.00016151457,-0.070938425,0.025893857,0.00079014445,      0.24,0.23780518
