"time","axis1_w"
0,0
0.002,8.37283E-20
0.004,1.51947E-19
0.006,2.32708E-19
0.008,3.23615E-19
0.01,7.7753E-20
0.012,-1.56963E-19
0.014,-1.13274E-18
0.016,-4.13755E-19
0.018,-9.49171E-19
0.02,-2.76689E-18
0.022,-3.05626E-18
0.024,-2.99334E-18
0.026,-4.30608E-18
0.028,-3.93223E-18
0.03,-3.37171E-18
0.032,-3.05677E-18
0.034,-2.71752E-18
0.036,-2.86999E-19
0.038,-2.59529E-18
0.04,-2.0917E-18
0.042,-3.24892E-18
0.044,-4.22737E-18
0.046,-3.79529E-18
0.048,-3.53182E-18
0.05,-2.90679E-18
0.052,-2.71012E-18
0.054,-2.61245E-19
0.056,-3.10891E-18
0.058,-1.15146E-18
0.06,3.87315E-19
0.062,-1.43853E-18
0.064,5.52022E-19
0.066,8.80434E-19
0.068,2.56656E-19
0.07,2.57432E-18
0.072,5.75034E-19
0.074,1.99143E-18
0.076,2.05965E-18
0.078,1.79872E-18
0.08,-4.7059E-19
0.082,2.33613E-18
0.084,-3.59503E-19
0.086,-1.63017E-18
0.088,6.21974E-19
0.09,-4.08863E-19
0.092,-1.12962E-18
0.094,1.67409E-18
0.096,1.89279E-18
0.098,1.17775E-18
0.1,-1.93418E-18
0.102,-1.16159E-18
0.104,-1.83522E-18
0.106,-2.9896E-19
0.108,9.25423E-19
0.11,-2.25063E-18
0.112,-1.77213E-18
0.114,-5.70596E-19
0.116,-8.78791E-19
0.118,7.36956E-20
0.12,-1.44948E-18
0.122,-5.19792E-18
0.124,-9.39297E-18
0.126,-7.12886E-18
0.128,-7.70127E-18
0.13,-1.25558E-17
0.132,-1.14723E-17
0.134,-1.39943E-17
0.136,-1.20055E-17
0.138,-1.15117E-17
0.14,-1.28912E-17
0.142,-1.23687E-17
0.144,-5.39415E-18
0.146,-7.23111E-18
0.148,-7.74891E-18
0.15,-2.0053E-18
0.152,-3.27531E-18
0.154,-1.30237E-18
0.156,2.36524E-18
0.158,6.07954E-18
0.16,5.99996E-18
0.162,1.26057E-17
0.164,1.31338E-17
0.166,1.98797E-17
0.168,1.5019E-17
0.17,2.05663E-17
0.172,1.956E-17
0.174,1.75091E-17
0.176,2.17382E-17
0.178,1.06742E-17
0.18,1.48864E-17
0.182,1.20862E-17
0.184,6.79704E-18
0.186,-5.1093E-19
0.188,-5.05668E-18
0.19,-7.09284E-18
0.192,-1.32252E-17
0.194,-1.28246E-17
0.196,-2.05683E-17
0.198,-2.52416E-17
0.2,-2.42289E-17
0.202,-2.24126E-17
0.204,-1.99629E-17
0.206,-2.16248E-17
0.208,-2.34119E-17
0.21,-2.02749E-17
0.212,-2.29355E-17
0.214,-2.04674E-17
0.216,-2.17947E-17
0.218,-1.34938E-17
0.22,-1.39835E-17
0.222,-1.33023E-17
0.224,-5.16083E-18
0.226,-7.11481E-18
0.228,2.53148E-18
0.23,1.67129E-18
0.232,-8.08996E-18
0.234,-1.81629E-18
0.236,-9.57552E-19
0.238,1.18847E-17
0.24,1.32808E-17
0.242,1.67674E-17
0.244,1.87258E-17
0.246,2.3477E-17
0.248,2.97714E-17
0.25,2.78938E-17
0.252,2.97802E-17
0.254,3.62887E-17
0.256,2.91114E-17
0.258,3.88832E-17
0.26,3.76501E-17
0.262,3.03139E-17
0.264,3.34925E-17
0.266,3.08479E-17
0.268,2.38225E-17
0.27,1.48692E-17
0.272,1.57161E-17
0.274,3.07185E-18
0.276,6.04188E-19
0.278,-2.42011E-18
0.28,-1.93445E-17
0.282,-2.67758E-17
0.284,-3.96706E-17
0.286,-3.72679E-17
0.288,-5.35018E-17
0.29,-5.28325E-17
0.292,-6.05773E-17
0.294,-5.51129E-17
0.296,-6.64265E-17
0.298,-6.85315E-17
0.3,-6.31591E-17
0.302,-6.52434E-17
0.304,-6.3567E-17
0.306,-5.01092E-17
0.308,-4.52768E-17
0.31,-4.04709E-17
0.312,-2.30009E-17
0.314,-1.31935E-17
0.316,-5.85368E-18
0.318,1.39524E-17
0.32,2.59571E-17
0.322,3.66283E-17
0.324,3.60687E-17
0.326,4.91215E-17
