"time","x0","der(x0)","x1","der(x1)","mu"
0,2,0,0,-2,1
0.1,1.9917,-0.17491,-0.17491,-1.4728,1
0.2,1.9681,-0.30404,-0.30404,-1.0945,1
0.3,1.9331,-0.4011,-0.4011,-0.83534,1
0.4,1.8894,-0.47663,-0.47663,-0.66452,1
0.5,1.8389,-0.53825,-0.53825,-0.55702,1
0.6,1.7826,-0.59142,-0.59142,-0.49465,1
0.7,1.7213,-0.64003,-0.64003,-0.46503,1
0.8,1.6552,-0.68695,-0.68695,-0.46018,1
0.9,1.5843,-0.73441,-0.73441,-0.47528,1
1,1.5087,-0.78428,-0.78428,-0.50784,1
1.1,1.4279,-0.83825,-0.83825,-0.55708,1
1.2,1.3414,-0.89801,-0.89801,-0.62356,1
1.3,1.2487,-0.96534,-0.96534,-0.7089,1
1.4,1.1487,-1.0422,-1.0422,-0.81563,1
1.5,1.0406,-1.131,-1.131,-0.94685,1
1.6,0.92303,-1.2341,-1.2341,-1.1057,1
1.7,0.79436,-1.3545,-1.3545,-1.2941,1
1.8,0.65277,-1.4949,-1.4949,-1.5107,1
1.9,0.49614,-1.6577,-1.6577,-1.7458,1
2,0.3222,-1.8435,-1.8435,-1.9743,1
2.1,0.12873,-2.0491,-2.0491,-2.1439,1
2.2,-0.085852,-2.2641,-2.2641,-2.1616,1
2.3,-0.3216,-2.4664,-2.4664,-1.8897,1
2.4,-0.57571,-2.6191,-2.6191,-1.1753,1
2.5,-0.84106,-2.6726,-2.6726,0.059036,1
2.6,-1.1055,-2.5794,-2.5794,1.6784,1
2.7,-1.3531,-2.3197,-2.3197,3.2803,1
2.8,-1.568,-1.9211,-1.9211,4.3702,1
2.9,-1.7393,-1.4521,-1.4521,4.6799,1
3,-1.8633,-0.98953,-0.98953,4.3095,1
3.1,-1.9435,-0.58678,-0.58678,3.5732,1
3.2,-1.9871,-0.26482,-0.26482,2.7679,1
3.3,-2.002,-0.020658,-0.020658,2.0641,1
3.4,-1.9954,0.15984,0.15984,1.5188,1
3.5,-1.9731,0.29287,0.29287,1.1258,1
3.6,-1.9391,0.39253,0.39253,0.85566,1
3.7,-1.8963,0.46969,0.46969,0.67702,1
3.8,-1.8464,0.53229,0.53229,0.56402,1
3.9,-1.7907,0.58596,0.58596,0.49773,1
4,-1.7299,0.63472,0.63472,0.46521,1
4.1,-1.6643,0.68154,0.68154,0.45805,1
4.2,-1.594,0.72869,0.72869,0.47117,1
4.3,-1.519,0.77805,0.77805,0.50186,1
4.4,-1.4388,0.83133,0.83133,0.54916,1
4.5,-1.3531,0.89019,0.89019,0.6135,1
4.6,-1.2611,0.9564,0.9564,0.69641,1
4.7,-1.1622,1.0319,1.0319,0.80032,1
4.8,-1.0552,1.119,1.119,0.92828,1
4.9,-0.93886,1.2201,1.2201,1.0835,1
5,-0.8117,1.338,1.338,1.2682,1
