    "time","egsCarSpeed", "egsGear","egsState","egsTargetGear","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.02,         0,        -2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      0.04,         0,        -2,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
      0.06,         0,        -2,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
      0.08,         0,        -2,         0,         0,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
       0.1,         0,        -2,         0,         0,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0
      0.12,         0,        -2,         0,         0,         0,         0,       0.2,       0.2,         0,         0,         0,         0,         0
      0.14,         0,        -2,         0,         0,         0,         0,      0.24,      0.24,         0,         0,         0,         0,         0
      0.16,         0,        -2,         0,         0,         0,         0,      0.28,      0.28,         0,         0,         0,         0,         0
      0.18,         0,        -2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
       0.2,         0,        -2,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
      0.22,         0,        -2,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
      0.24,         0,        -2,         0,         0,         0,         0,       0.1,       0.1,         0,         0,         0,         0,         0
      0.26,         0,        -2,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
      0.28,         0,        -2,         0,         0,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0
       0.3,         0,        -2,         0,         0,         0,         0,      0.22,      0.22,         0,         0,         0,         0,         0
      0.32,         0,        -2,         0,         0,         0,         0,      0.26,      0.26,         0,         0,         0,         0,         0
      0.34,     0.808,        -2,         0,         0,         0,         0,       0.3,       0.3,         0,         0,         0,         0,         0
      0.36,    -0.385,        -2,         0,         0,         0,         0,      0.34,      0.34,         0,         0,         0,         0,         0
      0.38,     0.113,        -2,         0,         0,         0,         0,      0.38,      0.38,         0,         0,         0,         0,         0
       0.4,      0.14,        -2,         0,         0,         0,         0,      0.42,      0.42,         0,         0,         0,         0,         0
      0.42,     0.154,        -2,         0,         0,         0,         0,      0.46,      0.46,         0,         0,         0,         0,         0
      0.44,     0.169,        -2,         0,         0,         0,         0,       0.5,       0.5,         0,         0,         0,         0,         0
      0.46,     0.184,        -2,         0,         0,         0,         0,      0.54,      0.54,         0,         0,         0,         0,         0
      0.48,     0.198,        -2,         0,         0,         0,         0,      0.58,      0.58,         0,         0,         0,         0,         0
       0.5,     0.246,        -2,         0,         0,         0,         0,      0.62,      0.62,         0,         0,         0,         0,         0
      0.52,     0.256,        -2,         0,         0,         0,         0,      0.66,      0.66,         0,         0,         0,         0,         0
      0.54,     0.145,        -2,         0,         0,         0,         0,       0.7,       0.7,         0,         0,         0,         0,         0
      0.56,     0.227,        -2,         0,         0,         0,         0,      0.74,      0.74,         0,         0,         0,         0,         0
      0.58,     0.237,        -2,         0,         0,         0,         0,      0.78,      0.78,         0,         0,         0,         0,         0
       0.6,     0.238,        -2,         0,         0,         0,         0,      0.82,      0.82,         0,         0,         0,         0,         0
      0.62,     0.237,        -2,         0,         0,         0,         0,      0.86,      0.86,         0,         0,         0,         0,         0
      0.64,     0.237,        -2,         0,         0,         0,         0,       0.9,       0.9,         0,         0,         0,         0,         0
      0.66,     0.236,        -2,         0,         0,         0,         0,      0.94,      0.94,         0,         0,         0,         0,         0
      0.68,     0.235,        -2,         0,         0,         0,         0,      0.98,      0.98,         0,         0,         0,         0,         0
       0.7,     0.235,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.72,     0.234,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.74,     0.234,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.76,     0.233,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.78,     0.233,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
       0.8,     0.232,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.82,     0.231,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.84,     0.231,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.86,      0.23,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.88,      0.23,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
       0.9,     0.229,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.92,     0.229,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.94,     0.228,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.96,     0.227,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      0.98,     0.227,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
         1,     0.226,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.02,     0.226,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.04,     0.225,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.06,     0.225,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.08,     0.799,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
       1.1,     1.035,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.12,     1.349,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.14,      1.77,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.16,     1.705,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.18,     2.475,        -2,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
       1.2,     3.053,         0,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0
      1.22,      3.68,         0,         0,         1,         0,         0,      0.98,         1,         0,      0.02,         0,         0,         0
      1.24,     4.385,         0,         0,         1,         0,         0,      0.94,         1,         0,      0.06,         0,         0,         0
      1.26,     5.176,         0,         0,         1,         0,         0,       0.9,         1,         0,       0.1,         0,         0,         0
      1.28,      5.97,         0,         0,         1,         0,         0,      0.86,         1,         0,      0.14,         0,         0,         0
       1.3,     6.398,         0,         0,         1,         0,         0,      0.82,         1,         0,      0.18,         0,         0,         0
      1.32,     7.222,         0,         0,         1,         0,         0,      0.78,         1,         0,      0.22,         0,         0,         0
      1.34,     8.301,         0,         0,         1,         0,         0,      0.74,         1,         0,      0.26,         0,         0,         0
      1.36,     9.328,         0,         0,         1,         0,         0,       0.7,         1,         0,       0.3,         0,         0,         0
      1.38,     10.32,         0,         0,         1,         0,         0,      0.66,         1,         0,      0.34,         0,         0,         0
       1.4,     11.34,         0,         0,         1,         0,         0,      0.62,         1,         0,      0.38,         0,         0,         0
      1.42,    10.601,         0,         0,         1,         0,         0,      0.58,         1,         0,      0.42,         0,         0,         0
