"time","addr","datao","oeb","sync","vpab","we_n"
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.001,65532,0,0,0,1,0
0.001,65532,0,0,0,1,0
0.002,65532,0,0,0,1,1
0.002,65532,0,0,0,1,1
0.003,65532,0,1,0,1,1
0.003,65532,0,1,0,1,1
0.004,256,255,1,0,1,1
0.004,256,255,1,0,1,1
0.005,256,255,1,0,1,1
0.005,256,255,1,0,1,1
0.006,511,252,1,0,1,1
0.006,511,252,1,0,1,1
0.007,510,68,1,0,1,1
0.007,510,68,1,0,1,1
0.008,510,68,1,0,1,1
0.008,510,68,1,0,1,1
0.009,510,68,1,0,1,1
0.009,510,68,1,0,1,1
0.01,65532,0,1,0,0,1
0.01,65532,0,1,0,0,1
0.011,65532,0,1,0,0,1
0.011,65532,0,1,0,0,1
0.012,65533,0,1,0,0,1
0.012,65533,0,1,0,0,1
0.013,65533,0,1,0,0,1
0.013,65533,0,1,0,0,1
0.014,8653,0,1,1,1,1
0.014,8653,0,1,1,1,1
0.015,8653,0,1,0,1,1
0.015,8653,0,1,0,1,1
0.016,509,33,1,0,1,0
0.016,509,33,1,0,1,0
0.017,508,205,0,0,1,0
0.017,508,205,0,0,1,0
0.018,507,68,0,0,1,0
0.018,507,68,0,0,1,0
0.019,507,68,0,0,1,0
0.019,507,68,0,0,1,0
0.02,65530,0,0,0,0,1
0.02,65530,0,0,0,0,1
0.021,65531,0,1,0,0,1
0.021,65531,0,1,0,0,1
0.022,64348,0,1,1,1,1
0.022,64348,0,1,1,1,1
0.023,64349,0,1,0,1,1
0.023,64349,0,1,0,1,1
0.024,64349,0,1,0,1,1
0.024,64349,0,1,0,1,1
0.025,64349,0,1,0,1,1
0.025,64349,0,1,0,1,1
0.026,64350,0,1,1,1,1
0.026,64350,0,1,1,1,1
0.027,64350,0,1,0,1,1
0.027,64350,0,1,0,1,1
0.028,64350,0,1,0,1,1
0.028,64350,0,1,0,1,1
0.029,64350,0,1,0,1,1
0.029,64350,0,1,0,1,1
0.03,506,251,1,0,1,0
0.03,506,251,1,0,1,0
0.031,505,94,0,0,1,0
0.031,505,94,0,0,1,0
0.032,505,94,0,0,1,0
0.032,505,94,0,0,1,0
0.033,505,94,0,0,1,0
0.033,505,94,0,0,1,0
0.034,505,94,0,0,1,0
0.034,505,94,0,0,1,0
0.035,504,70,0,0,1,0
0.035,504,70,0,0,1,0
0.036,65530,0,0,0,0,1
0.036,65530,0,0,0,0,1
0.037,65531,0,1,0,0,1
0.037,65531,0,1,0,0,1
0.038,65531,0,1,0,0,1
0.038,65531,0,1,0,0,1
0.039,65531,0,1,0,0,1
0.039,65531,0,1,0,0,1
0.04,32059,0,1,1,1,1
0.04,32059,0,1,1,1,1
0.041,32060,0,1,0,1,1
0.041,32060,0,1,0,1,1
0.042,32061,248,1,0,1,1
0.042,32061,248,1,0,1,1
0.043,51960,0,1,0,1,1
0.043,51960,0,1,0,1,1
0.044,51960,0,1,0,1,1
0.044,51960,0,1,0,1,1
0.045,51960,0,1,0,1,1
0.045,51960,0,1,0,1,1
0.046,51960,0,1,0,1,1
0.046,51960,0,1,0,1,1
0.047,51960,0,1,0,1,1
0.047,51960,0,1,0,1,1
0.048,51960,250,1,0,1,0
0.048,51960,250,1,0,1,0
0.049,32062,0,0,1,1,1
0.049,32062,0,0,1,1,1
0.05,32062,0,1,1,1,1
0.05,32062,0,1,1,1,1
0.051,32062,0,1,1,1,1
0.051,32062,0,1,1,1,1
0.052,32062,0,1,1,1,1
0.052,32062,0,1,1,1,1
0.053,32062,0,1,0,1,1
0.053,32062,0,1,0,1,1
0.054,32062,0,1,0,1,1
0.054,32062,0,1,0,1,1
0.055,503,125,1,0,1,0
0.055,503,125,1,0,1,0
0.056,502,62,0,0,1,0
0.056,502,62,0,0,1,0
0.057,502,62,0,0,1,0
0.057,502,62,0,0,1,0
0.058,502,62,0,0,1,0
0.058,502,62,0,0,1,0
0.059,501,70,0,0,1,0
0.059,501,70,0,0,1,0
0.06,65530,0,0,0,0,1
0.06,65530,0,0,0,0,1
0.061,65531,0,1,0,0,1
0.061,65531,0,1,0,0,1
0.062,19015,0,1,1,1,1
0.062,19015,0,1,1,1,1
0.063,19016,0,1,0,1,1
0.063,19016,0,1,0,1,1
0.064,19016,0,1,0,1,1
0.064,19016,0,1,0,1,1
0.065,19016,0,1,0,1,1
0.065,19016,0,1,0,1,1
0.066,19016,0,1,0,1,1
0.066,19016,0,1,0,1,1
0.067,19016,0,1,0,1,1
0.067,19016,0,1,0,1,1
0.068,19016,0,1,0,1,1
0.068,19016,0,1,0,1,1
0.069,19016,0,1,0,1,1
0.069,19016,0,1,0,1,1
0.07,19016,0,1,0,1,1
0.07,19016,0,1,0,1,1
0.071,19016,0,1,0,1,1
0.071,19016,0,1,0,1,1
0.072,19016,0,1,0,1,1
0.072,19016,0,1,0,1,1
0.073,19016,0,1,0,1,1
0.073,19016,0,1,0,1,1
0.074,19016,0,1,0,1,1
0.074,19016,0,1,0,1,1
0.075,19016,0,1,1,1,1
0.075,19016,0,1,1,1,1
0.076,19016,0,1,1,1,1
0.076,19016,0,1,1,1,1
0.077,19016,0,1,0,1,1
0.077,19016,0,1,0,1,1
0.078,500,74,1,0,1,0
0.078,500,74,1,0,1,0
0.079,500,74,0,0,1,0
0.079,500,74,0,0,1,0
0.08,500,74,0,0,1,0
0.08,500,74,0,0,1,0
0.081,499,72,0,0,1,0
0.081,499,72,0,0,1,0
0.082,498,70,0,0,1,0
0.082,498,70,0,0,1,0
0.083,498,70,0,0,1,0
0.083,498,70,0,0,1,0
0.084,65530,0,0,0,0,1
0.084,65530,0,0,0,0,1
0.085,65531,0,1,0,0,1
0.085,65531,0,1,0,0,1
0.086,65531,0,1,0,0,1
0.086,65531,0,1,0,0,1
0.087,20106,0,1,1,1,1
0.087,20106,0,1,1,1,1
0.088,20106,0,1,0,1,1
0.088,20106,0,1,0,1,1
0.089,20106,0,1,0,1,1
0.089,20106,0,1,0,1,1
0.09,20106,0,1,0,1,1
0.09,20106,0,1,0,1,1
0.091,497,78,1,0,1,0
0.091,497,78,1,0,1,0
0.092,497,78,0,0,1,0
0.092,497,78,0,0,1,0
0.093,496,138,0,0,1,0
0.093,496,138,0,0,1,0
0.094,496,138,0,0,1,0
0.094,496,138,0,0,1,0
0.095,495,70,0,0,1,0
0.095,495,70,0,0,1,0
0.096,65530,0,0,0,0,1
0.096,65530,0,0,0,0,1
0.097,65530,0,1,0,0,1
0.097,65530,0,1,0,0,1
0.098,65531,0,1,0,0,1
0.098,65531,0,1,0,0,1
0.099,49545,0,1,1,1,1
0.099,49545,0,1,1,1,1
0.1,49546,0,1,0,1,1
0.1,49546,0,1,0,1,1
0.101,49546,0,1,0,1,1
0.101,49546,0,1,0,1,1
0.102,49546,0,1,0,1,1
0.102,49546,0,1,0,1,1
0.103,9,0,1,0,1,1
0.103,9,0,1,0,1,1
0.104,9,244,1,0,1,1
0.104,9,244,1,0,1,1
0.105,9,180,1,0,1,0
0.105,9,180,1,0,1,0
0.106,9,180,0,0,1,0
0.106,9,180,0,0,1,0
0.107,49547,244,0,1,1,1
0.107,49547,244,0,1,1,1
0.108,49547,244,1,1,1,1
